Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,31.5,31.7,30.5,31.63,11700,0.29600000000000004
2002-07-02,31.1,31.8,28.1,31.515,5800,0.295
2002-07-03,30.8,31.7,30.605,31.54,8400,0.295
2002-07-04,33.2,33.2,31.25,32.255,14600,0.301
2002-07-05,31.115,31.895,31.0,31.76,9200,0.37200000000000005
2002-07-08,31.31,33.5,31.31,32.61,17400,0.382
2002-07-09,32.5,34.5,32.5,33.94,27100,0.397
2002-07-10,34.295,34.5,33.52,34.26,20700,0.401
2002-07-11,32.515,33.99,32.515,33.495,6600,0.392
2002-07-12,34.0,34.5,33.5,33.575,5200,0.39299999999999996
2002-07-15,31.89,32.985,30.3,31.695,20200,0.371
2002-07-16,32.0,32.07,31.0,31.29,4800,0.366
2002-07-17,31.025,31.025,30.7,30.8,8800,0.361
2002-07-18,31.0,31.9,31.0,31.465,6100,0.368
2002-07-19,31.2,32.49,31.2,31.63,5600,0.37
2002-07-22,30.7,31.35,28.2,29.72,23000,0.348
2002-07-23,30.0,30.495,29.7,29.94,3500,0.35
2002-07-24,30.395,30.4,28.505,29.0,7900,0.33899999999999997
2002-07-25,29.5,29.99,29.21,29.99,900,0.35100000000000003
2002-07-26,29.5,29.8,28.0,28.445,17000,0.33299999999999996
2002-07-29,28.5,28.5,26.5,27.0,22400,0.316
2002-07-30,28.35,28.35,26.5,26.725,14000,0.313
2002-07-31,27.0,27.0,25.6,26.465,21100,0.31
2002-08-01,27.0,27.0,26.105,26.895,8200,0.315
2002-08-02,26.5,27.5,26.5,27.27,1400,0.319
2002-08-05,27.0,29.0,27.0,28.7,2800,0.336
2002-08-06,28.5,29.0,28.5,28.995,7200,0.33899999999999997
2002-08-07,29.5,30.89,29.315,29.46,30300,0.345
2002-08-08,30.0,30.0,29.0,29.03,9600,0.34
2002-08-09,29.985,30.0,29.125,29.695,5400,0.348
2002-08-12,290.0,298.0,288.05,293.3,7000,3.4330000000000003
2002-08-13,290.0,296.0,289.25,289.55,9500,3.389
2002-08-14,297.95,300.0,290.0,299.4,5000,3.505
2002-08-15,299.4,299.4,299.4,299.4,0,3.505
2002-08-16,295.0,300.0,295.0,297.9,5000,3.487
2002-08-19,300.0,300.0,295.0,299.95,7000,3.511
2002-08-20,292.05,308.75,292.05,307.25,3800,3.596
2002-08-21,302.0,302.0,300.0,300.0,40000,3.512
2002-08-22,300.0,301.0,290.0,291.9,34000,3.417
2002-08-23,292.55,292.55,290.0,290.0,16000,3.395
2002-08-26,301.0,301.0,290.0,300.0,1500,3.512
2002-08-27,290.0,290.0,289.0,289.0,500,3.383
2002-08-28,294.5,294.95,290.25,291.0,2200,3.406
2002-08-29,287.75,295.0,286.85,287.95,1100,3.3710000000000004
2002-08-30,282.0,294.0,282.0,294.0,400,3.4410000000000003
2002-09-02,295.0,299.9,289.15,289.6,3500,3.39
2002-09-03,290.95,290.95,282.8,285.0,3500,3.3360000000000003
2002-09-04,285.0,285.0,275.15,277.95,4800,3.2539999999999996
2002-09-05,285.0,286.35,278.0,280.0,4600,3.2769999999999997
2002-09-06,278.25,280.0,278.0,278.0,2300,3.2539999999999996
2002-09-09,275.1,283.5,275.1,276.5,2000,3.237
2002-09-10,276.5,276.5,276.5,276.5,0,3.237
2002-09-11,287.55,287.55,286.95,286.95,400,3.359
2002-09-12,284.9,284.9,284.5,284.5,800,3.33
2002-09-13,285.0,285.0,270.0,271.55,8700,3.179
2002-09-16,270.0,272.95,268.6,270.0,15000,3.16
2002-09-17,270.1,271.5,270.1,271.4,1800,3.177
2002-09-18,272.0,272.0,270.25,270.25,800,3.1630000000000003
2002-09-19,270.0,271.0,270.0,271.0,200,3.1719999999999997
2002-09-20,269.5,270.0,269.4,269.55,4500,3.155
2002-09-23,276.35,276.35,272.0,272.0,2700,3.1839999999999997
2002-09-24,270.0,270.0,265.05,269.1,1200,3.15
2002-09-25,269.5,269.5,263.0,266.25,1200,3.117
2002-09-26,266.25,266.25,266.25,266.25,0,3.117
2002-09-27,272.8,272.8,268.0,269.85,5000,3.159
2002-09-30,265.0,270.5,263.25,270.0,4000,3.16
2002-10-01,265.05,265.05,265.0,265.0,2100,3.102
2002-10-02,265.0,265.0,265.0,265.0,0,3.102
2002-10-03,263.5,269.95,263.5,263.5,3000,3.0839999999999996
2002-10-04,263.55,269.95,263.55,265.35,700,3.1060000000000003
2002-10-07,265.55,266.0,265.4,265.85,1000,3.112
2002-10-08,264.05,275.0,264.05,270.0,1600,3.16
2002-10-09,265.0,272.0,262.0,272.0,900,3.1839999999999997
2002-10-10,272.0,272.0,272.0,272.0,200,3.1839999999999997
2002-10-11,273.0,273.0,265.4,265.4,500,3.1069999999999998
2002-10-14,270.0,282.0,270.0,278.85,6700,3.264
2002-10-15,278.85,278.85,278.85,278.85,0,3.264
2002-10-16,270.0,278.45,268.0,273.4,6700,3.2
2002-10-17,272.5,290.0,272.5,285.05,5500,3.3369999999999997
2002-10-18,286.0,300.0,278.1,293.05,8000,3.43
2002-10-21,285.45,299.8,285.4,293.3,6000,3.4330000000000003
2002-10-22,286.05,290.0,285.0,289.2,4800,3.385
2002-10-23,285.1,295.0,280.0,292.25,4400,3.4210000000000003
2002-10-24,285.55,285.55,280.0,280.0,300,3.2769999999999997
2002-10-25,276.0,284.95,269.05,270.35,1700,3.165
2002-10-28,289.95,289.95,265.05,272.65,1300,3.1910000000000003
2002-10-29,275.0,275.05,275.0,275.05,1100,3.22
2002-10-30,275.0,275.05,275.0,275.05,1700,3.22
2002-10-31,275.05,280.0,275.05,276.05,1500,3.2310000000000003
2002-11-01,292.0,292.0,275.1,277.5,500,3.248
2002-11-04,291.95,291.95,275.0,276.95,900,3.242
2002-11-05,280.0,280.0,280.0,280.0,100,3.2769999999999997
2002-11-06,280.0,280.0,280.0,280.0,0,3.2769999999999997
2002-11-07,280.0,283.95,276.0,283.95,700,3.324
2002-11-08,284.55,285.0,277.05,277.05,600,3.2430000000000003
2002-11-11,285.25,285.25,274.65,277.3,5900,3.2460000000000004
2002-11-12,273.05,274.2,273.05,274.2,100,3.21
2002-11-13,280.95,280.95,277.0,277.0,200,3.242
2002-11-14,277.05,277.05,275.0,275.0,2000,3.219
2002-11-15,275.25,275.35,275.0,275.2,1100,3.221
2002-11-18,280.0,281.0,275.0,279.75,15900,3.275
2002-11-19,279.75,279.75,279.75,279.75,0,3.275
2002-11-20,280.0,282.45,277.0,277.0,1400,3.242
2002-11-21,270.35,280.0,270.35,280.0,3200,3.2769999999999997
2002-11-22,280.0,280.0,275.75,278.0,2000,3.2539999999999996
2002-11-25,271.05,276.4,271.05,276.3,1800,3.234
2002-11-26,275.05,295.0,275.05,286.05,8700,3.3480000000000003
2002-11-27,289.85,289.85,277.8,277.8,1200,3.252
2002-11-28,285.0,289.0,280.45,285.0,2100,3.3360000000000003
2002-11-29,281.25,291.0,281.05,281.9,5600,3.3
2002-12-02,282.55,282.55,280.05,280.05,4500,3.278
2002-12-03,287.25,290.0,280.05,280.3,10500,3.281
2002-12-04,278.15,282.6,278.1,280.0,5000,3.2769999999999997
2002-12-05,281.25,281.25,280.05,280.45,3200,3.283
2002-12-06,280.1,280.15,280.05,280.15,3700,3.279
2002-12-09,285.0,285.0,280.05,284.0,4000,3.324
2002-12-10,279.15,281.0,279.15,280.05,300,3.278
2002-12-11,280.25,285.0,280.05,280.05,9000,3.278
2002-12-12,282.25,282.25,282.25,282.25,500,3.304
2002-12-13,280.25,284.5,280.0,283.7,13900,3.321
2002-12-16,288.75,288.75,282.05,284.5,1900,3.33
2002-12-17,279.15,294.0,279.1,291.6,14000,3.4130000000000003
2002-12-18,291.0,295.0,287.25,291.5,21000,3.412
2002-12-19,290.0,290.0,284.0,284.1,7700,3.325
2002-12-20,285.25,286.0,285.05,285.1,4600,3.3369999999999997
2002-12-23,299.0,299.0,288.0,290.4,5800,3.3989999999999996
2002-12-24,288.0,288.0,284.0,287.8,3600,3.3689999999999998
2002-12-25,287.8,287.8,287.8,287.8,0,3.3689999999999998
2002-12-26,285.5,288.15,282.1,285.0,3500,3.3360000000000003
2002-12-27,285.1,289.95,285.0,285.2,12000,3.338
2002-12-30,285.55,290.85,285.5,290.0,6000,3.395
2002-12-31,287.0,289.0,287.0,288.5,2500,3.377
2003-01-01,287.0,294.85,285.3,290.0,3700,3.395
2003-01-02,294.95,294.95,286.0,288.0,1700,3.3710000000000004
2003-01-03,289.1,289.1,289.0,289.0,1100,3.383
2003-01-06,291.0,291.0,280.0,280.2,42000,3.28
2003-01-07,283.3,283.3,280.0,280.0,33000,3.2769999999999997
2003-01-08,280.05,285.0,280.0,284.8,54000,3.3339999999999996
2003-01-09,288.5,302.0,288.5,300.25,210000,3.515
2003-01-10,299.0,299.75,292.2,292.25,7000,3.4210000000000003
2003-01-13,292.25,305.0,292.25,292.85,4400,3.428
2003-01-14,304.0,305.0,291.3,295.0,3400,3.4530000000000003
2003-01-15,295.1,296.0,290.05,290.05,3000,3.395
2003-01-16,296.0,296.0,281.15,283.1,4900,3.3139999999999996
2003-01-17,282.4,284.35,279.1,284.35,10000,3.3280000000000003
2003-01-20,280.5,284.95,274.15,275.1,8000,3.22
2003-01-21,276.3,276.3,270.0,270.0,25000,3.16
2003-01-22,274.0,277.0,274.0,275.0,700,3.219
2003-01-23,270.0,271.4,269.0,270.45,10900,3.1660000000000004
2003-01-24,270.0,270.25,270.0,270.2,4000,3.1630000000000003
2003-01-27,270.05,270.05,270.0,270.0,3000,3.16
2003-01-28,271.4,272.0,270.0,271.75,14000,3.181
2003-01-29,273.95,273.95,270.0,270.0,2200,3.16
2003-01-30,270.0,272.0,270.0,270.0,55000,3.16
2003-01-31,271.5,271.5,265.0,265.0,1000,3.102
2003-02-03,265.05,268.0,265.0,267.5,1900,3.1310000000000002
2003-02-04,265.0,268.05,265.0,268.0,1000,3.137
2003-02-05,270.95,275.0,270.95,273.0,2700,3.196
2003-02-06,268.3,268.3,267.0,267.75,1100,3.134
2003-02-07,267.05,267.15,265.0,267.1,2900,3.1260000000000003
2003-02-10,268.0,270.0,265.0,265.15,5600,3.1039999999999996
2003-02-11,274.0,275.7,274.0,275.7,500,3.227
2003-02-12,275.4,275.4,273.0,273.0,10600,3.196
2003-02-13,273.0,273.0,273.0,273.0,0,3.196
2003-02-14,265.15,266.45,265.0,265.0,800,3.102
2003-02-17,265.95,270.0,265.0,270.0,4500,3.16
2003-02-18,270.0,274.65,266.3,269.3,6800,3.1519999999999997
2003-02-19,267.2,270.0,267.0,270.0,2300,3.16
2003-02-20,265.5,270.0,265.5,268.0,5600,3.137
2003-02-21,269.95,269.95,269.95,269.95,200,3.16
2003-02-24,268.0,268.0,265.0,265.65,1000,3.11
2003-02-25,265.0,272.0,260.0,262.0,8000,3.0669999999999997
2003-02-26,265.1,265.1,265.1,265.1,200,3.103
2003-02-27,265.0,268.0,265.0,267.45,5000,3.1310000000000002
2003-02-28,265.0,265.0,265.0,265.0,200,3.102
2003-03-03,265.0,268.0,265.0,265.0,2500,3.102
2003-03-04,265.1,265.1,262.0,262.0,2900,3.0669999999999997
2003-03-05,260.3,260.55,260.3,260.55,0,3.05
2003-03-06,265.0,265.0,261.7,261.7,9000,3.063
2003-03-07,260.0,264.0,260.0,261.55,2200,3.062
2003-03-10,257.85,262.85,255.1,257.0,15000,3.008
2003-03-11,260.0,260.0,260.0,260.0,2000,3.043
2003-03-12,260.0,260.1,260.0,260.0,5000,3.043
2003-03-13,260.0,263.0,260.0,263.0,1000,3.0789999999999997
2003-03-14,263.0,263.0,263.0,263.0,0,3.0789999999999997
2003-03-17,263.0,263.0,254.0,260.0,10500,3.043
2003-03-18,260.0,260.0,260.0,260.0,0,3.043
2003-03-19,260.0,260.1,260.0,260.1,1400,3.045
2003-03-20,260.0,260.0,256.4,260.0,41000,3.043
2003-03-21,265.0,265.0,254.35,259.7,5100,3.04
2003-03-24,255.0,257.0,254.0,255.25,61000,2.988
2003-03-25,258.0,258.0,257.95,258.0,10000,3.02
2003-03-26,255.0,255.0,251.0,253.95,18000,2.9730000000000003
2003-03-27,255.0,255.0,252.0,253.2,6000,2.964
2003-03-28,255.0,256.85,252.5,253.5,3800,2.967
2003-03-31,240.0,256.5,240.0,253.6,8000,2.968
2003-04-01,250.0,251.5,247.05,249.0,8500,2.915
2003-04-02,250.6,254.95,250.6,252.5,100,2.9560000000000004
2003-04-03,252.0,253.05,252.0,253.05,1100,2.9619999999999997
2003-04-04,262.9,263.0,253.0,253.0,7300,2.9610000000000003
2003-04-07,253.3,258.0,253.3,258.0,200,3.02
2003-04-08,256.0,269.95,255.25,260.0,3000,3.043
2003-04-09,258.5,259.0,258.5,259.0,1100,3.032
2003-04-10,259.0,259.0,259.0,259.0,0,3.032
2003-04-11,250.0,252.0,249.0,252.0,3000,2.95
2003-04-14,252.0,252.0,252.0,252.0,0,2.95
2003-04-15,252.05,254.3,250.0,254.3,40000,2.977
2003-04-16,245.05,250.05,239.0,246.5,6000,2.885
2003-04-17,246.05,247.0,245.0,247.0,8900,2.891
2003-04-18,247.0,247.0,247.0,247.0,0,2.891
2003-04-21,246.5,270.0,246.25,269.9,5800,3.159
2003-04-22,272.0,272.0,260.0,270.0,3500,3.16
2003-04-23,262.0,262.0,250.0,258.0,2800,3.02
2003-04-24,260.0,260.0,254.0,260.0,5300,3.043
