Date,Open,High,Low,Close,Volume,Adj Close
2006-07-28,185.0,210.0,182.0,189.05,411600,81.207
2006-07-31,190.1,194.95,181.1,182.6,224800,78.436
2006-08-01,185.0,187.9,182.0,186.5,120800,80.111
2006-08-02,188.0,188.0,185.1,186.2,47300,79.982
2006-08-04,183.55,193.7,181.5,189.4,196400,81.357
2006-08-07,187.95,192.0,184.0,187.2,153900,80.412
2006-08-08,187.2,190.8,185.1,186.95,51400,80.305
2006-08-09,187.0,189.5,185.4,186.7,55900,80.197
2006-08-10,186.6,195.3,185.65,189.6,152800,81.443
2006-08-11,190.0,196.0,187.95,189.35,199800,81.336
2006-08-14,189.0,192.8,189.0,189.25,48200,81.293
2006-08-16,191.75,202.8,191.75,194.1,232900,83.376
2006-08-17,195.25,203.0,190.25,192.2,179000,82.56
2006-08-18,193.75,196.8,181.1,182.55,177800,78.415
2006-08-21,184.9,189.0,183.0,183.95,73500,79.016
2006-08-22,186.8,190.8,184.05,189.05,131900,81.207
2006-08-23,190.4,210.9,188.2,201.25,1533800,86.447
2006-08-24,198.55,201.9,195.0,195.8,430500,84.106
2006-08-25,198.2,207.0,196.0,203.0,472900,87.199
2006-08-28,204.8,215.8,203.05,213.5,1320400,91.709
2006-08-29,214.4,216.0,207.3,209.6,407800,90.034
2006-08-30,210.15,217.45,207.7,213.35,801000,91.645
2006-08-31,214.95,215.0,205.0,206.45,208100,88.681
2006-09-01,207.8,208.45,200.55,203.15,156200,87.263
2006-09-04,204.0,209.25,204.0,204.55,125200,87.865
2006-09-05,205.2,210.0,202.9,205.9,199500,88.445
2006-09-06,206.9,214.0,203.55,210.75,288900,90.528
2006-09-07,204.0,209.9,204.0,205.75,151600,88.38
2006-09-08,207.8,208.2,204.0,205.9,89200,88.445
2006-09-11,206.1,207.35,195.0,197.65,81800,84.901
2006-09-12,197.0,199.7,184.0,193.35,272900,83.054
2006-09-13,195.7,201.4,195.7,196.8,104400,84.536
2006-09-14,200.05,204.0,199.0,200.3,108400,86.039
2006-09-15,202.8,204.5,196.0,198.7,92800,85.352
2006-09-18,200.95,203.0,197.1,198.75,54900,85.373
2006-09-19,200.7,200.9,190.0,191.25,115400,82.152
2006-09-20,192.0,196.0,191.0,192.1,115100,82.517
2006-09-21,195.0,212.0,195.0,209.4,545500,89.948
2006-09-22,209.5,215.5,204.05,207.8,540600,89.261
2006-09-25,209.7,209.9,204.25,207.05,136100,88.939
2006-09-26,209.15,210.5,205.95,207.45,127200,89.11
2006-09-27,208.0,209.45,206.05,208.55,102900,89.583
2006-09-28,210.0,210.15,206.1,207.85,47200,89.282
2006-09-29,202.5,213.0,202.5,211.55,109300,90.872
2006-10-03,211.5,211.95,208.5,210.05,53400,90.227
2006-10-04,212.8,213.0,203.7,206.45,62500,88.681
2006-10-05,208.0,212.0,208.0,210.15,52100,90.27
2006-10-06,209.6,215.0,208.15,210.6,110200,90.464
2006-10-09,211.0,215.0,208.15,212.65,100100,91.344
2006-10-10,214.7,223.0,213.1,215.0,650000,92.354
2006-10-11,219.6,221.8,212.25,213.8,256400,91.838
2006-10-12,216.2,224.0,211.0,221.4,294200,95.103
2006-10-13,223.6,230.0,220.15,227.95,475900,97.916
2006-10-16,231.15,234.8,222.0,224.75,322200,96.542
2006-10-17,230.0,231.75,221.65,229.75,344800,98.689
2006-10-18,230.0,233.0,221.55,231.0,655800,99.226
2006-10-19,232.0,245.0,231.0,244.2,736100,104.896
2006-10-20,246.0,248.9,240.0,243.15,252000,104.445
2006-10-23,243.0,248.5,240.0,246.55,107200,105.906
2006-10-26,248.9,260.0,243.1,258.2,282600,110.91
2006-10-27,260.8,263.0,248.0,251.1,360500,107.86
2006-10-30,252.55,254.7,249.5,250.1,117900,107.431
2006-10-31,251.8,253.65,247.0,249.5,115600,107.173
2006-11-01,250.1,252.45,248.1,249.2,51300,107.044
2006-11-02,252.7,255.4,249.05,252.4,134500,108.419
2006-11-03,255.0,258.0,250.1,253.7,39500,108.977
2006-11-06,259.0,266.0,252.1,260.8,127700,112.027
2006-11-07,264.65,272.0,263.05,268.55,210200,115.356
2006-11-08,269.0,273.8,260.2,271.0,114200,116.408
2006-11-09,272.0,275.0,260.2,268.35,486800,115.27
2006-11-10,272.5,275.0,269.0,270.6,78500,116.237
2006-11-13,270.0,275.0,265.25,274.3,175800,117.826
2006-11-14,275.1,280.0,268.0,275.0,104500,118.127
2006-11-15,280.0,282.0,272.3,279.65,121700,120.124
2006-11-16,280.0,317.0,273.5,289.65,537000,124.42
2006-11-17,294.0,300.0,275.3,296.6,256300,127.405
2006-11-20,300.0,310.0,272.0,305.65,254300,131.292
2006-11-21,309.8,314.5,296.0,302.55,301100,129.961
2006-11-22,302.4,304.9,293.05,297.6,271900,127.835
2006-11-23,297.0,303.0,291.0,295.9,67100,127.104
2006-11-24,300.0,324.0,295.9,303.5,231100,130.369
2006-11-27,308.75,312.0,303.0,308.8,92100,132.646
2006-11-28,290.05,306.0,290.05,301.75,120800,129.617
2006-11-29,301.75,317.8,301.75,313.85,290600,134.815
2006-11-30,319.9,324.25,317.0,321.95,136100,138.294
2006-12-01,320.0,328.4,315.25,324.4,174200,139.347
2006-12-04,329.0,329.8,321.5,327.9,171500,140.85
2006-12-05,326.1,329.8,319.0,321.35,91700,138.036
2006-12-06,323.0,323.0,310.6,316.15,50000,135.803
2006-12-07,321.0,321.05,308.0,310.7,171400,133.462
2006-12-08,311.5,318.75,297.5,300.8,1361800,129.209
2006-12-11,306.0,308.0,299.0,301.7,134200,129.596
2006-12-12,304.1,305.0,295.0,299.3,211900,128.565
2006-12-13,302.15,303.0,290.0,297.85,765200,127.942
2006-12-14,298.0,310.0,298.0,308.65,105400,132.581
2006-12-15,310.0,312.4,303.2,310.8,421100,133.505
2006-12-18,310.4,314.0,307.1,311.4,42100,133.762
2006-12-19,309.0,314.5,307.0,309.9,34300,133.118
2006-12-20,310.5,318.0,308.0,309.2,87300,132.817
2006-12-21,309.95,316.0,301.0,306.75,115900,131.765
2006-12-22,305.0,336.0,305.0,329.85,262900,141.688
2006-12-26,333.65,333.65,316.65,322.05,96200,138.337
2006-12-27,324.0,346.0,322.0,326.1,266300,140.077
2006-12-28,329.0,329.0,320.65,323.9,120700,139.132
2006-12-29,325.95,328.0,319.0,322.1,77300,138.359
2007-01-02,325.0,335.25,321.1,330.35,71700,141.902
2007-01-03,337.8,346.0,329.0,341.75,228000,146.799
2007-01-04,348.8,348.8,332.1,334.0,126700,143.47
2007-01-05,344.7,345.0,326.15,330.55,509000,141.988
2007-01-08,329.0,337.0,316.5,326.8,257100,140.377
2007-01-09,331.9,341.0,325.6,330.8,457200,142.096
2007-01-10,330.0,340.0,327.05,335.8,69300,144.243
2007-01-11,330.0,337.85,329.0,334.75,64200,143.792
2007-01-12,339.95,342.0,335.15,339.7,92600,145.919
2007-01-15,341.0,357.4,336.35,347.85,190500,149.42
2007-01-16,350.55,358.0,350.0,354.8,181000,152.405
2007-01-17,360.0,373.1,332.25,341.2,1031300,146.563
2007-01-18,349.0,362.5,345.35,357.3,360100,153.479
2007-01-19,359.0,368.0,355.2,363.45,145700,156.121
2007-01-22,368.5,368.5,352.0,356.1,157700,152.963
2007-01-23,351.0,365.0,351.0,361.7,76600,155.369
2007-01-24,364.0,374.0,358.7,370.25,196500,159.041
2007-01-25,371.05,378.0,367.55,374.8,374300,160.996
2007-01-29,373.0,378.85,370.0,376.25,55600,161.619
2007-01-31,377.8,379.0,373.0,376.25,29500,161.619
2007-02-01,378.0,382.8,373.15,380.8,37100,163.573
2007-02-02,383.5,394.0,382.0,388.8,340500,167.01
2007-02-05,388.8,396.8,388.8,394.95,166600,169.651
2007-02-06,395.0,449.9,395.0,411.1,551300,176.589
2007-02-07,415.0,422.8,384.35,394.1,383700,169.286
2007-02-08,398.8,398.8,388.0,395.1,128300,169.716
2007-02-09,398.0,408.65,387.0,404.25,481800,173.646
2007-02-12,405.0,407.0,365.3,380.9,161900,163.616
2007-02-13,375.0,395.0,370.0,385.9,79100,165.764
2007-02-14,375.0,393.0,370.0,380.8,102700,163.573
2007-02-15,385.0,394.0,381.0,390.25,143000,167.632
2007-02-19,398.6,400.0,392.0,397.4,71600,170.704
2007-02-20,396.0,398.0,362.0,391.1,112700,167.998
2007-02-21,390.0,390.9,378.0,379.9,39300,163.187
2007-02-22,391.0,391.0,375.0,376.5,24000,161.726
2007-02-23,380.1,382.0,369.2,375.3,53100,161.211
2007-02-26,374.0,374.0,343.0,353.65,588100,151.911
2007-02-27,360.15,371.0,355.5,361.45,46800,155.261
2007-02-28,331.45,364.8,316.3,355.2,391000,152.577
2007-03-01,355.2,359.95,340.0,349.85,78000,150.279
2007-03-02,350.5,363.95,344.0,350.05,251400,150.365
2007-03-05,341.0,350.0,334.05,345.0,434200,148.195
2007-03-06,319.8,350.0,319.8,341.65,132900,146.756
2007-03-07,342.0,348.0,315.0,318.9,83100,136.984
2007-03-08,323.0,354.9,320.0,352.8,142700,151.546
2007-03-09,352.8,359.9,336.0,343.55,71600,147.572
2007-03-12,344.9,354.0,341.15,351.65,29600,151.052
2007-03-13,352.0,355.0,343.0,352.85,24000,151.567
2007-03-14,345.0,351.0,341.0,348.5,21400,149.699
2007-03-15,351.0,360.0,350.0,358.0,67100,153.779
2007-03-16,365.0,367.0,347.0,362.05,38400,155.519
2007-03-19,365.0,380.0,361.0,374.0,61100,160.652
2007-03-20,380.0,380.0,360.25,366.5,59500,157.431
2007-03-21,362.05,368.0,357.4,365.8,60900,157.13
2007-03-22,370.0,380.0,358.0,367.8,209800,157.989
2007-03-23,377.0,377.5,362.15,366.1,39100,157.259
2007-03-26,363.2,369.85,358.4,360.35,33200,154.789
2007-03-28,358.4,363.0,348.0,351.8,32200,151.116
2007-03-29,350.0,360.0,345.0,346.65,44100,148.904
2007-03-30,351.0,376.0,348.05,361.8,63100,155.412
2007-04-02,358.0,359.8,347.0,348.95,43200,149.892
2007-04-03,357.0,370.0,345.0,345.45,20700,148.389
2007-04-04,355.0,355.0,344.0,345.15,444200,148.26
2007-04-05,346.4,355.5,346.4,350.05,27100,150.365
2007-04-09,350.0,357.0,345.0,354.0,27700,152.061
2007-04-10,356.95,356.95,350.0,354.0,55300,152.061
2007-04-11,353.3,367.8,351.05,365.0,51700,156.786
2007-04-12,360.25,364.9,350.0,361.0,173800,155.068
2007-04-13,362.75,375.0,361.5,370.0,82100,158.934
2007-04-16,380.0,398.0,373.5,393.75,150800,169.136
2007-04-17,398.5,400.0,384.05,387.0,60700,166.236
2007-04-18,396.0,398.0,365.25,368.65,182700,158.354
2007-04-19,360.0,368.0,351.0,363.35,260500,156.078
2007-04-20,369.8,377.9,362.0,373.35,303100,160.373
2007-04-23,377.0,379.95,362.0,366.65,27600,157.495
2007-04-24,364.0,369.7,359.0,365.8,191000,157.13
2007-04-25,366.0,369.0,360.0,364.85,299000,156.722
2007-04-26,370.0,370.0,349.5,352.6,122700,151.46
2007-04-27,354.5,357.8,350.0,355.7,202100,152.791
2007-04-30,355.0,365.0,351.5,360.95,48100,155.047
2007-05-03,370.0,370.0,360.0,362.8,38800,155.841
