Date,Open,High,Low,Close,Volume,Adj Close
2010-02-24,452.1,467.0,412.45,456.2,25101800,456.2
2010-02-25,459.9,471.9,443.35,450.55,4774500,450.55
2010-02-26,446.6,468.7,423.1,439.4,1413300,439.4
2010-03-02,435.0,455.0,411.0,447.2,1551400,447.2
2010-03-03,455.0,461.0,442.5,447.3,532500,447.3
2010-03-04,454.65,460.0,444.05,457.85,460000,457.85
2010-03-05,460.0,467.9,435.1,439.35,570100,439.35
2010-03-08,450.0,460.7,437.0,457.35,588900,457.35
2010-03-09,454.0,474.0,454.0,468.6,1292600,468.6
2010-03-10,475.9,475.9,425.5,466.4,575900,466.4
2010-03-11,467.05,468.9,452.25,460.65,178400,460.65
2010-03-12,464.0,470.0,459.25,465.2,273100,465.2
2010-03-15,469.0,473.0,455.0,455.25,78000,455.25
2010-03-16,459.7,463.0,455.0,455.75,40900,455.75
2010-03-17,457.4,462.6,455.0,455.3,53100,455.3
2010-03-18,458.0,459.5,455.0,455.25,15700,455.25
2010-03-19,458.6,467.0,445.15,457.55,240900,457.55
2010-03-22,449.9,461.0,443.25,452.15,98000,452.15
2010-03-23,452.0,461.0,449.2,454.2,33700,454.2
2010-03-25,455.5,455.5,449.0,450.2,45900,450.2
2010-03-26,450.8,455.0,449.5,452.0,49500,452.0
2010-03-29,453.85,453.85,450.9,450.9,82900,450.9
2010-03-30,464.9,464.9,447.0,450.15,209500,450.15
2010-03-31,453.85,457.5,450.0,453.85,18000,453.85
2010-04-01,455.0,458.0,451.5,455.05,6000,455.05
2010-04-05,459.9,459.9,447.0,448.3,15900,448.3
2010-04-06,450.0,454.9,447.8,451.65,15200,451.65
2010-04-07,453.9,457.0,450.0,455.45,19000,455.45
2010-04-08,450.05,474.5,450.05,455.55,80800,455.55
2010-04-09,459.0,464.0,455.5,460.55,22100,460.55
2010-04-12,457.05,469.95,455.0,459.8,30000,459.8
2010-04-13,462.5,465.0,450.25,451.7,6800,451.7
2010-04-15,456.0,461.9,450.0,450.4,27900,450.4
2010-04-16,457.0,458.0,450.0,454.0,18700,454.0
2010-04-19,450.05,452.0,440.7,445.8,12200,445.8
2010-04-20,452.0,456.3,445.0,453.5,9200,453.5
2010-04-21,455.95,456.0,450.2,453.3,16200,453.3
2010-04-22,456.0,456.0,450.0,450.5,15500,450.5
2010-04-23,459.8,459.8,447.0,450.3,21200,450.3
2010-04-26,452.0,455.0,451.0,454.05,29600,454.05
2010-04-27,458.0,460.0,439.25,443.3,40600,443.3
2010-04-28,440.0,444.5,429.0,438.75,41100,438.75
2010-04-29,439.95,439.95,432.0,435.6,29300,435.6
2010-04-30,437.1,438.0,433.0,434.8,41800,434.8
2010-05-03,435.0,445.0,431.0,433.1,25200,433.1
2010-05-04,434.0,437.5,434.0,434.75,11700,434.75
2010-05-05,426.0,437.95,420.3,431.65,28700,431.65
2010-05-06,430.0,439.0,426.15,430.7,40300,430.7
2010-05-07,437.0,437.0,416.25,427.0,15900,427.0
2010-05-10,425.0,425.0,416.25,419.6,24200,419.6
2010-05-11,420.0,435.0,420.0,430.5,14500,430.5
2010-05-12,415.0,432.9,415.0,417.2,85600,417.2
2010-05-13,422.0,422.0,415.25,417.7,109300,417.7
2010-05-14,418.0,418.8,400.0,409.75,30300,409.75
2010-05-17,400.0,429.9,392.0,418.7,47900,418.7
2010-05-18,419.0,419.0,410.0,415.15,18800,415.15
2010-05-19,410.0,415.0,400.0,409.05,20700,409.05
2010-05-20,405.0,419.0,405.0,410.6,18600,410.6
2010-05-21,400.0,405.0,392.85,398.5,50300,398.5
2010-05-24,410.0,410.0,390.6,397.55,39000,397.55
2010-05-25,395.0,399.7,385.25,392.0,38100,392.0
2010-05-26,388.0,399.7,385.0,389.45,36100,389.45
2010-05-27,391.0,395.0,387.25,393.9,21100,393.9
2010-05-28,392.0,419.4,390.0,412.55,32400,412.55
2010-05-31,404.9,420.0,404.9,411.5,21400,411.5
2010-06-01,409.9,409.9,393.05,399.1,20200,399.1
2010-06-02,406.8,406.8,396.0,401.0,23500,401.0
2010-06-03,405.0,409.8,395.2,401.5,33800,401.5
2010-06-04,405.0,415.25,399.3,402.1,29300,402.1
2010-06-07,404.0,404.75,396.0,400.0,20500,400.0
2010-06-08,395.0,404.7,386.0,396.1,40500,396.1
2010-06-09,399.7,399.7,388.0,392.55,22700,392.55
2010-06-10,391.35,397.2,388.25,392.65,55500,392.65
2010-06-11,400.0,424.0,391.2,397.8,158500,397.8
2010-06-14,397.9,397.9,381.65,392.8,61500,392.8
2010-06-15,387.5,395.05,384.0,392.55,74900,392.55
