Date,Open,High,Low,Close,Volume,Adj Close
2006-10-27,35.0,48.7,35.0,47.45,81863200,47.45
2006-10-30,47.5,47.5,44.35,45.05,10926100,45.05
2006-10-31,45.0,45.4,41.5,42.2,4896500,42.2
2006-11-01,43.9,47.35,41.0,46.55,13725100,46.55
2006-11-02,46.55,49.15,45.6,47.3,13062200,47.3
2006-11-03,47.45,47.45,44.55,45.05,3628200,45.05
2006-11-06,45.3,46.4,44.0,44.9,2555200,44.9
2006-11-07,45.1,52.9,45.1,50.6,21274400,50.6
2006-11-08,50.5,51.8,47.4,48.7,8100400,48.7
2006-11-09,49.0,54.15,47.8,51.1,10396900,51.1
2006-11-10,51.15,54.45,50.8,51.95,7635100,51.95
2006-11-13,52.0,54.2,52.0,52.5,4137400,52.5
2006-11-14,52.35,57.6,52.35,55.15,11892300,55.15
2006-11-15,56.0,56.25,54.1,54.35,4291300,54.35
2006-11-16,54.8,57.15,54.05,54.4,5955500,54.4
2006-11-17,54.9,55.0,50.65,51.7,4026900,51.7
2006-11-20,52.5,54.3,50.8,52.7,5897800,52.7
2006-11-21,52.0,63.25,52.0,63.15,22324400,63.15
2006-11-22,64.15,66.7,61.25,61.8,12022400,61.8
2006-11-23,62.0,64.35,60.1,61.05,7031400,61.05
2006-11-24,61.2,64.5,61.1,62.3,7340800,62.3
2006-11-27,62.3,63.45,60.65,60.9,3168500,60.9
2006-11-28,60.0,62.2,58.7,59.1,3896000,59.1
2006-11-29,59.8,60.9,59.1,59.4,2225700,59.4
2006-11-30,60.0,61.0,58.15,58.6,1727200,58.6
2006-12-01,59.4,61.2,58.1,59.25,3067800,59.25
2006-12-04,59.65,60.25,58.3,58.5,1193700,58.5
2006-12-05,58.75,59.25,56.8,57.25,1060100,57.25
2006-12-06,57.3,62.3,55.6,60.7,4250600,60.7
2006-12-07,61.3,62.1,59.1,59.95,4039500,59.95
2006-12-08,60.0,61.0,59.2,59.5,2592000,59.5
2006-12-11,59.1,59.1,55.1,56.3,1817400,56.3
2006-12-12,56.5,56.6,50.55,52.1,1777600,52.1
2006-12-13,52.5,57.4,50.0,56.75,2801800,56.75
2006-12-14,57.5,60.0,56.5,59.35,1915500,59.35
2006-12-15,59.95,61.15,58.6,59.05,1855100,59.05
2006-12-18,59.25,60.25,57.5,58.75,1605800,58.75
2006-12-19,58.75,58.9,55.45,56.6,1244700,56.6
2006-12-20,57.0,57.45,54.65,54.95,1637200,54.95
2006-12-21,51.9,56.1,51.9,55.2,1118600,55.2
2006-12-22,55.45,58.2,54.6,56.6,1671000,56.6
2006-12-26,56.5,58.2,56.0,56.8,929500,56.8
2006-12-27,57.15,58.2,56.5,57.05,747800,57.05
2006-12-28,57.3,57.55,55.8,55.95,643900,55.95
2006-12-29,56.0,57.15,56.0,56.6,551300,56.6
2007-01-02,57.25,62.25,57.0,60.6,3531800,60.6
2007-01-03,61.0,71.75,59.0,69.6,14989500,69.6
2007-01-04,70.05,72.8,66.2,66.9,6712100,66.9
2007-01-05,66.6,72.25,62.6,67.85,11225100,67.85
2007-01-08,67.0,69.45,65.55,66.45,3699800,66.45
2007-01-09,67.4,68.4,65.2,65.85,1711700,65.85
2007-01-10,66.2,67.0,63.4,63.8,3297100,63.8
2007-01-11,64.2,66.95,64.0,66.3,1977000,66.3
2007-01-12,67.0,70.25,66.7,67.9,3695400,67.9
2007-01-15,68.0,68.55,66.6,67.0,1235100,67.0
2007-01-16,67.45,74.0,66.1,71.7,8568400,71.7
2007-01-17,71.5,74.4,70.45,72.7,4282800,72.7
2007-01-18,73.0,86.4,73.0,82.8,16943500,82.8
2007-01-19,83.2,83.85,78.0,78.45,4745300,78.45
2007-01-22,78.45,83.8,77.65,78.9,5990000,78.9
2007-01-23,78.6,80.8,77.55,78.05,2185100,78.05
2007-01-24,78.0,80.65,78.0,78.85,1607500,78.85
2007-01-25,79.1,82.2,78.55,79.7,2480000,79.7
2007-01-29,80.0,82.3,79.15,80.35,3319300,80.35
2007-01-31,80.35,82.0,78.85,79.65,2642700,79.65
2007-02-01,80.0,80.7,75.4,76.45,1857500,76.45
