Date,Open,High,Low,Close,Volume,Adj Close
2004-04-22,345.0,597.8,310.0,541.25,89295700,41.047
2004-04-23,540.0,579.0,451.0,469.0,53426200,35.568000000000005
2004-04-27,451.0,485.0,416.25,469.35,34849100,35.594
2004-04-28,480.0,504.0,466.0,477.3,28381500,36.196999999999996
2004-04-29,491.0,491.0,471.1,475.65,8452200,36.071999999999996
2004-04-30,478.0,480.95,455.75,464.2,7675900,35.204
2004-05-03,464.0,502.0,451.1,487.65,14651700,36.982
2004-05-04,490.0,507.8,487.1,491.6,11377400,37.281
2004-05-05,500.0,529.0,492.1,517.95,17184800,39.28
2004-05-06,525.0,534.1,515.15,518.8,6239800,39.344
2004-05-07,520.5,520.5,485.25,491.1,7434800,37.244
2004-05-10,490.0,505.25,472.05,496.95,6208600,37.687
2004-05-11,495.0,495.0,475.0,486.45,5447700,36.891
2004-05-12,488.0,501.9,485.0,489.55,2963600,37.126
2004-05-13,461.0,514.0,422.0,505.85,4605500,38.361999999999995
2004-05-14,509.8,516.3,430.0,472.95,4272200,35.867
2004-05-17,465.0,468.0,379.0,417.1,1709600,31.631999999999998
2004-05-18,435.0,475.0,416.0,448.3,1116100,33.998000000000005
2004-05-19,466.9,469.0,442.5,449.3,1224200,34.074
2004-05-20,469.8,477.7,445.15,457.7,1849900,34.711
2004-05-21,450.0,457.0,435.1,450.9,816100,34.195
2004-05-24,470.0,478.9,455.0,469.05,1082800,35.571
2004-05-25,455.0,469.9,455.0,462.0,634800,35.037
2004-05-26,445.0,480.0,421.15,451.6,555800,34.248000000000005
2004-05-27,446.0,466.0,446.0,455.75,742200,34.563
2004-05-28,449.0,460.0,395.3,413.55,1305800,31.362
2004-05-31,409.0,409.0,367.25,382.3,2360500,28.993000000000002
2004-06-01,390.0,404.9,384.55,390.85,1085300,29.641
2004-06-02,392.0,397.0,375.1,381.3,842900,28.916999999999998
2004-06-03,391.0,391.0,370.3,375.25,724400,28.458000000000002
2004-06-04,375.0,390.0,368.0,383.0,476600,29.046
2004-06-07,389.9,409.9,381.15,402.3,1144100,30.509
2004-06-08,409.9,421.95,400.0,415.25,1069900,31.491
2004-06-09,421.0,436.9,416.0,426.3,2378200,32.329
2004-06-10,398.1,435.0,398.1,431.45,1183800,32.72
2004-06-11,500.1,500.1,412.0,419.3,687200,31.798000000000002
2004-06-14,427.0,427.8,406.0,413.25,416600,31.34
2004-06-15,415.0,421.1,408.0,412.4,454200,31.275
2004-06-16,417.95,417.95,409.9,410.35,332600,31.12
2004-06-17,411.4,414.0,395.0,397.05,447000,30.111
2004-06-18,395.0,397.5,384.6,387.85,326700,29.413
2004-06-21,390.75,397.65,381.0,390.7,1246900,29.63
2004-06-22,395.0,395.0,366.65,369.7,460500,28.037
2004-06-23,376.0,380.0,371.1,375.0,403000,28.439
2004-06-24,372.0,382.5,371.0,377.1,270600,28.598000000000003
2004-06-25,376.0,382.8,373.0,376.3,374300,28.537
2004-06-28,380.3,393.9,375.0,391.05,383700,29.656
2004-06-29,393.0,397.4,386.1,395.95,257800,30.028000000000002
2004-06-30,399.0,404.9,380.0,398.0,244000,30.183000000000003
2004-07-01,398.0,410.0,391.0,395.05,90800,29.959
2004-07-02,78.8,79.76,78.6,79.07,90000,5.996
2004-07-05,397.0,398.9,393.25,395.05,72300,29.959
2004-07-06,398.4,410.0,398.4,404.1,222600,30.646
2004-07-07,401.0,416.4,401.0,404.3,291800,30.660999999999998
2004-07-08,409.8,425.0,356.5,375.55,1145900,28.480999999999998
2004-07-09,372.1,395.0,372.1,381.7,185300,28.947
2004-07-12,387.45,389.8,380.0,381.65,164100,28.943
2004-07-13,383.0,389.95,380.5,388.25,273500,29.444000000000003
2004-07-14,391.0,432.8,390.0,424.45,1312100,32.189
2004-07-15,432.0,445.9,416.0,440.35,2024400,33.395
2004-07-16,441.0,462.05,434.0,450.3,951400,34.149
2004-07-19,445.2,461.8,445.2,449.65,659200,34.1
2004-07-20,449.0,454.4,432.4,435.9,263200,33.056999999999995
2004-07-21,440.0,460.0,433.2,454.0,321600,34.43
2004-07-22,460.0,497.4,450.0,488.0,2065600,37.008
2004-07-23,491.0,496.1,480.1,483.7,380900,36.681999999999995
2004-07-26,480.5,504.45,475.0,501.0,982700,37.994
