Date,Open,High,Low,Close,Volume,Adj Close
1996-01-01,59.0124,58.8058,58.4574,58.8058,2500,3.3839
1996-01-02,58.8058,59.0715,57.9792,59.0065,32300,3.3954
1996-01-03,59.0065,58.8235,58.8058,58.8058,5000,3.3839
1996-01-04,57.0345,57.8612,57.0345,57.8612,10100,3.3295
1996-01-05,57.8612,58.4516,57.3297,57.9792,12700,3.3363
1996-01-08,57.9792,58.2154,57.5068,58.2154,12000,3.3499
1996-01-09,58.2154,58.0972,57.3888,57.873,34200,3.3302
1996-01-10,57.873,59.042,57.9792,58.8058,482700,3.3839
1996-01-11,58.8058,59.042,57.867,58.8471,19600,3.3862
1996-01-12,58.8471,58.8058,58.4516,58.5756,10100,3.3706
1996-01-15,58.5756,58.5696,58.1151,58.4457,12000,3.3631
1996-01-16,58.4457,58.4516,57.8612,57.9911,10100,3.337
1996-01-17,57.9911,58.0972,57.873,58.0914,5700,3.3428
1996-01-18,58.0914,58.2154,57.7431,57.7431,8200,3.3227
1996-01-19,57.7431,56.6803,56.3319,56.3319,6300,3.2415
1996-01-22,56.3319,55.9717,55.4994,55.9009,8800,3.2167
1996-01-23,55.9009,56.6803,56.4795,56.6803,8200,3.2616
1996-01-24,56.6803,56.6803,55.4994,56.6035,14600,3.2571
1996-01-25,56.6035,56.7984,55.8537,56.4441,5000,3.248
1996-01-29,56.4441,57.1763,56.5032,57.1527,34900,3.2887
1996-01-30,57.1527,58.3924,57.1527,58.1682,32300,3.3472
1996-01-31,58.1682,58.9239,58.2154,58.8471,13300,3.3862
1996-02-01,58.8471,59.7505,59.042,59.538,16500,3.426
1996-02-02,60.459,63.1749,60.459,60.7896,346100,3.498
1996-02-05,60.7896,63.0568,60.459,62.5845,48900,3.6013
1996-02-06,62.5845,66.4223,63.7653,65.6429,87000,3.7773
1996-02-07,65.6429,66.1271,63.7653,65.7964,53300,3.7861
1996-02-08,65.7964,67.3078,65.5367,67.0068,87000,3.8558
1996-02-09,67.0068,68.0223,66.3631,67.9927,68500,3.9125
1996-02-12,67.9927,70.26,68.4886,70.1124,120000,4.0345
1996-02-13,70.1124,71.8836,68.4886,71.6769,114900,4.1245
1996-02-14,71.6769,78.5259,73.3302,74.7059,144800,4.2988
