Date,Open,High,Low,Close,Volume,Adj Close
2010-10-06,205.45,213.95,177.65,190.25,36086800,188.81
2010-10-07,192.8,206.3,190.5,192.55,13882700,191.09
2010-10-08,193.0,195.8,184.45,188.0,3650300,186.58
2010-10-11,189.8,194.0,186.2,191.25,2620000,189.8
2010-10-12,191.25,191.25,182.8,183.7,668300,182.31
2010-10-13,184.55,187.25,182.1,182.9,571800,181.51
2010-10-14,184.4,184.4,174.5,177.3,1148800,175.96
2010-10-15,178.0,184.4,174.9,175.55,768500,174.22
2010-10-18,177.2,177.2,168.15,168.9,495100,167.62
2010-10-19,170.35,173.0,166.1,167.9,1444200,166.63
2010-10-20,167.0,172.0,166.1,170.2,541400,168.91
2010-10-21,171.75,193.8,171.0,190.45,6869600,189.01
2010-10-22,191.0,192.0,182.1,183.9,1259400,182.51
2010-10-25,185.65,191.0,184.3,185.4,842000,183.99
2010-10-26,186.6,187.85,182.4,184.0,539600,182.61
2010-10-27,185.45,192.0,182.2,189.6,936700,188.16
2010-10-28,191.9,196.95,185.45,186.8,2037800,185.38
2010-10-29,186.5,187.5,180.0,181.75,482500,180.37
2010-11-01,183.2,191.65,182.55,188.75,837300,187.32
2010-11-02,189.95,194.6,185.0,190.4,1396500,188.96
2010-11-03,191.0,191.8,187.85,188.3,456500,186.87
2010-11-04,188.0,195.0,187.5,191.5,979500,190.05
2010-11-05,192.15,195.0,191.65,193.35,299600,191.88
2010-11-08,193.8,194.4,186.4,191.6,696100,190.15
2010-11-09,193.0,201.0,189.5,196.9,2674400,195.41
2010-11-10,198.2,203.7,197.0,198.05,1898500,196.55
2010-11-11,201.05,204.8,192.1,194.3,1861600,192.83
2010-11-12,194.0,194.0,186.05,186.85,590700,185.43
2010-11-15,189.9,191.15,185.1,186.5,553800,185.09
2010-11-16,187.65,193.2,184.2,184.85,1119400,183.45
2010-11-18,186.0,186.75,177.15,181.6,388400,180.22
2010-11-19,181.2,183.7,174.0,175.8,312900,174.47
2010-11-22,177.4,181.05,176.0,179.65,272000,178.29
2010-11-23,178.0,193.3,177.35,186.7,1112400,185.28
2010-11-24,187.85,192.85,184.95,187.35,846000,185.93
2010-11-25,188.4,189.5,177.35,179.2,211500,177.84
2010-11-26,181.25,181.25,164.0,174.15,455800,172.83
2010-11-29,175.2,176.0,171.4,172.45,164300,171.14
2010-11-30,173.4,176.0,171.2,172.1,201700,170.8
2010-12-01,171.2,177.9,171.2,173.55,344300,172.23
2010-12-02,175.0,179.8,174.95,178.85,274500,177.49
2010-12-03,179.2,179.7,170.1,172.95,252200,171.64
2010-12-06,174.65,178.25,172.15,173.5,178500,172.18
2010-12-07,173.0,174.75,167.0,168.85,135000,167.57
2010-12-08,167.9,170.0,162.4,163.55,238000,162.31
2010-12-09,165.0,166.45,148.0,155.8,367900,154.62
2010-12-10,156.9,161.4,151.25,159.25,357100,158.04
2010-12-13,160.45,164.0,158.45,159.9,215700,158.69
2010-12-14,161.75,162.9,160.1,161.4,192300,160.18
2010-12-15,162.0,163.35,156.5,159.2,133600,157.99
2010-12-16,159.05,159.65,156.2,158.2,81300,157.0
2010-12-20,158.75,158.85,155.0,155.45,99900,154.27
2010-12-21,155.45,158.0,152.6,153.15,115500,151.99
2010-12-22,154.0,155.0,151.0,151.45,95900,150.3
2010-12-23,150.4,154.25,150.4,151.85,87300,150.7
2010-12-24,150.6,153.15,150.6,152.05,79100,150.9
2010-12-27,152.85,162.8,151.6,157.55,497900,156.36
2010-12-28,158.7,159.35,152.6,153.45,140800,152.29
2010-12-29,154.25,159.9,152.25,155.45,166200,154.27
2010-12-30,156.5,157.7,154.9,155.8,66500,154.62
2010-12-31,156.9,161.4,155.9,158.05,136000,156.85
2011-01-03,159.0,165.9,158.5,162.4,316000,161.17
2011-01-04,158.15,164.85,158.15,161.3,222700,160.08
2011-01-05,161.9,161.9,155.75,157.9,106500,156.7
2011-01-06,158.4,160.8,156.05,157.0,85100,155.81
2011-01-07,156.5,157.95,151.7,152.45,122800,151.29
2011-01-10,153.0,153.85,139.9,141.65,194900,140.58
2011-01-11,142.0,145.8,138.9,139.9,117900,138.84
2011-01-12,141.8,146.75,138.55,144.5,142700,143.4
2011-01-13,144.8,146.6,140.3,141.5,109500,140.43
2011-01-14,142.45,143.0,136.5,138.4,83900,137.35
2011-01-17,135.65,138.9,134.55,135.65,58000,134.62
2011-01-18,136.2,142.3,135.05,141.2,146700,140.13
2011-01-19,143.8,146.4,139.4,145.3,92000,144.2
2011-01-20,144.1,149.8,142.15,148.0,82100,146.88
2011-01-21,148.95,154.5,148.1,153.3,100200,152.14
2011-01-24,153.9,160.0,152.1,158.5,132900,157.3
2011-01-25,161.7,161.7,154.5,158.35,94800,157.15
2011-01-27,159.9,161.0,154.6,159.25,114900,158.04
2011-01-28,158.1,159.75,152.4,156.6,188500,155.41
2011-01-31,155.95,160.8,152.1,158.85,276700,157.65
2011-02-01,159.5,160.0,155.15,155.9,112600,154.72
