Date,Open,High,Low,Close,Volume,Adj Close
1996-01-01,85.0,86.0,85.0,85.0,800,55.4
1996-01-02,83.25,86.75,83.25,85.25,3100,55.56
1996-01-03,86.15,86.25,86.0,86.25,400,56.22
1996-01-04,86.0,87.0,86.0,87.0,300,56.71
1996-01-05,85.5,86.5,85.5,86.0,1900,56.05
1996-01-08,86.0,86.5,85.0,85.0,3700,55.4
1996-01-09,85.0,84.9,84.0,84.0,1200,54.75
1996-01-10,85.0,85.0,84.2,84.2,400,54.88
1996-01-11,84.5,84.5,83.9,83.95,900,54.72
1996-01-12,84.0,86.5,83.0,83.0,1200,54.1
1996-01-15,83.0,83.0,82.0,82.95,800,54.07
1996-01-16,80.5,82.0,80.05,81.5,500,53.12
1996-01-17,80.05,80.05,80.05,80.05,0,52.18
1996-01-18,81.0,83.0,81.0,81.95,300,53.41
1996-01-19,80.85,80.85,79.5,80.0,200,52.14
1996-01-22,80.0,76.0,76.0,76.0,0,49.54
1996-01-23,83.0,83.0,81.0,81.0,1000,52.79
1996-01-24,78.0,78.5,76.8,78.45,900,51.13
1996-01-25,78.45,79.25,78.5,79.1,2300,51.56
1996-01-29,79.1,80.45,79.0,80.25,800,52.31
1996-01-30,80.25,82.0,79.0,82.0,7800,53.45
1996-01-31,82.0,83.0,82.0,83.0,7900,54.1
1996-02-01,83.5,84.0,83.5,84.0,300,54.75
1996-02-02,84.0,88.5,85.0,88.2,11300,57.49
1996-02-05,88.2,92.0,88.05,89.55,13300,58.37
1996-02-06,89.55,93.0,89.0,90.9,10300,59.25
1996-02-07,90.9,90.0,89.0,89.7,2100,58.47
1996-02-08,90.75,94.0,90.05,93.8,6300,61.14
1996-02-09,93.0,99.0,93.0,97.05,5500,63.26
1996-02-12,97.05,106.5,100.0,100.15,6200,65.28
1996-02-13,100.15,98.0,91.0,94.5,5900,61.59
1996-02-14,94.5,104.0,100.25,103.4,4400,67.39
1996-02-15,103.4,104.0,98.05,103.1,2100,67.2
1996-02-16,103.1,102.5,100.25,102.5,5800,66.81
1996-02-19,102.5,104.0,100.3,103.0,5600,67.13
1996-02-20,103.0,109.0,103.05,106.0,4100,69.09
1996-02-22,106.0,110.0,107.0,107.0,2300,69.74
1996-02-23,107.0,108.45,107.5,107.8,2000,70.26
1996-02-26,107.8,110.0,106.0,106.0,4800,69.09
1996-02-27,106.0,108.0,105.5,107.25,4900,69.9
1996-02-28,107.25,109.5,107.5,108.0,2400,70.39
1996-02-29,108.0,108.0,105.0,105.5,4200,68.76
1996-03-01,105.5,107.75,105.0,107.35,6100,69.97
1996-03-04,107.35,108.0,106.25,107.85,2300,70.3
1996-03-06,107.85,105.25,104.55,104.75,900,68.27
1996-03-07,104.75,107.9,104.5,104.5,500,68.11
1996-03-08,104.5,104.0,98.0,101.0,1500,65.83
1996-03-11,104.0,104.0,97.5,97.5,1300,63.55
1996-03-12,97.5,98.25,96.55,96.8,2200,63.09
1996-03-13,96.8,100.0,97.5,99.5,1100,64.85
1996-03-14,99.5,102.9,98.25,98.7,1700,64.33
1996-03-15,98.7,98.5,98.5,98.5,500,64.2
1996-03-18,98.5,99.0,96.95,97.0,800,63.22
1996-03-19,97.0,97.0,91.1,91.8,1600,59.83
1996-03-21,91.8,97.0,94.0,96.05,900,62.6
1996-03-22,96.05,97.0,95.0,97.0,900,63.22
1996-03-25,97.0,99.0,95.0,98.85,6200,64.43
1996-03-26,98.85,100.0,97.35,99.75,3000,65.02
1996-03-27,99.75,108.5,98.5,108.45,19700,70.69
1996-03-28,108.45,108.5,105.15,106.95,10800,69.71
1996-03-29,106.95,117.5,107.95,116.5,37200,75.93
1996-04-01,116.5,115.7,112.5,114.3,13600,74.5
1996-04-02,114.3,115.95,107.05,108.1,14700,70.46
1996-04-03,108.1,110.0,102.0,102.5,3800,66.81
1996-04-04,102.5,104.4,100.75,103.75,5700,67.62
1996-04-08,103.75,103.5,101.15,101.45,2800,66.12
1996-04-09,101.45,103.5,101.55,102.45,8000,66.78
1996-04-10,102.45,103.0,101.6,101.95,1700,66.45
1996-04-11,101.95,101.45,100.0,101.1,11000,65.9
1996-04-12,101.1,101.75,100.95,101.3,12100,66.03
1996-04-15,101.05,103.95,101.05,103.05,5000,67.17
1996-04-16,103.05,105.0,102.0,104.0,4400,67.79
1996-04-17,104.0,109.45,106.05,107.2,2900,69.87
1996-04-18,107.2,113.5,109.0,110.65,5000,72.12
1996-04-19,110.65,115.0,110.5,112.55,6800,73.36
1996-04-22,112.55,113.0,105.0,106.45,2700,69.38
1996-04-23,106.45,108.1,103.75,107.0,13700,69.74
1996-04-24,109.0,113.0,109.0,111.0,4400,72.35
1996-04-25,111.0,111.0,107.5,109.55,2900,71.4
1996-04-26,109.55,109.0,107.0,107.55,1600,70.1
1996-04-29,107.55,107.95,106.0,106.05,1500,69.12
1996-04-30,106.05,107.5,103.95,105.55,2900,68.8
1996-05-01,105.55,108.0,105.0,106.85,3100,69.64
1996-05-02,106.85,107.95,106.2,106.25,4600,69.25
1996-05-03,106.25,109.0,102.0,103.55,5200,67.49
1996-05-06,103.55,105.75,102.5,105.05,4400,68.47
1996-05-07,105.05,105.0,103.0,103.2,2500,67.26
1996-05-08,103.2,105.9,103.0,105.75,1300,68.93
1996-05-09,105.75,104.5,103.1,103.5,2400,67.46
1996-05-10,103.5,101.0,98.05,101.0,2500,65.83
1996-05-13,101.0,101.0,99.5,101.0,1500,65.83
1996-05-14,101.0,103.0,101.0,102.25,3400,66.65
1996-05-15,102.25,106.0,102.0,103.25,3500,67.3
1996-05-16,103.25,108.5,106.6,107.5,3000,70.07
1996-05-17,107.5,107.2,105.4,106.2,5200,69.22
1996-05-20,106.2,106.0,103.0,104.55,1600,68.14
1996-05-21,104.55,104.95,103.05,104.6,2300,68.18
1996-05-22,104.6,105.5,104.05,105.5,2300,68.76
1996-05-23,105.5,105.7,104.0,105.15,2800,68.54
1996-05-24,105.15,104.4,104.0,104.05,2900,67.82
1996-05-27,104.05,103.0,101.0,102.05,2100,66.51
1996-05-28,102.05,101.5,99.0,101.3,2300,66.03
1996-05-29,102.95,105.25,102.3,105.25,4900,68.6
1996-05-30,105.25,106.0,103.0,105.8,4600,68.96
1996-05-31,105.8,107.75,104.55,107.15,6600,69.84
1996-06-03,107.15,109.45,107.15,107.6,14800,70.13
1996-06-04,107.6,109.5,106.1,108.05,6900,70.43
1996-06-05,109.0,112.0,106.55,109.9,24000,71.63
1996-06-06,111.5,118.0,111.25,116.75,46200,76.1
1996-06-07,122.95,124.0,118.1,119.0,79900,77.56
1996-06-10,118.5,123.0,118.0,119.0,50900,77.56
1996-06-11,117.75,120.0,114.25,115.55,47700,75.31
1996-06-12,119.0,125.0,119.0,120.1,29000,78.28
1996-06-13,119.0,121.0,119.0,120.55,14500,78.57
1996-06-14,124.0,124.0,121.5,122.4,38800,79.78
1996-06-17,125.0,129.0,121.25,122.2,54800,79.65
1996-06-18,121.9,122.0,116.3,117.7,33400,76.72
1996-06-19,120.0,125.0,116.0,123.0,61100,80.17
1996-06-20,120.65,129.0,120.6,126.65,32900,82.55
1996-06-21,127.0,132.75,126.55,130.85,85600,85.29
1996-06-24,133.95,133.95,125.0,131.55,113100,85.74
1996-06-25,131.75,135.0,130.9,132.0,107900,86.04
1996-06-26,139.0,145.0,138.5,139.15,302100,90.7
1996-06-27,137.9,139.4,135.45,139.1,186800,90.66
1996-06-28,140.0,140.0,138.0,138.75,68900,90.44
1996-07-01,138.2,138.5,137.1,137.9,97900,89.88
1996-07-02,137.05,138.9,136.35,138.25,89300,90.11
1996-07-03,135.4,138.4,135.25,136.05,126300,88.68
1996-07-04,135.25,137.0,132.5,135.85,175300,88.54
1996-07-05,136.5,136.7,135.1,136.0,123000,88.64
1996-07-08,138.0,138.0,135.75,136.1,30800,88.71
1996-07-09,135.95,136.25,134.2,134.45,72300,87.63
1996-07-10,133.0,134.9,133.0,134.1,62700,87.4
1996-07-11,132.55,136.25,132.55,135.3,101000,88.19
1996-07-12,135.9,137.0,134.5,136.45,62300,88.94
1996-07-15,135.1,136.5,135.1,136.35,39400,88.87
1996-07-16,135.5,136.5,134.5,135.1,37300,88.06
1996-07-17,135.5,135.75,134.5,135.5,28600,88.32
1996-07-18,134.65,136.0,134.5,134.85,34400,87.89
1996-07-19,134.8,139.0,134.1,136.65,102700,89.07
1996-07-22,142.45,143.7,140.2,142.75,43300,93.04
1996-07-23,142.1,144.0,140.0,142.05,186800,92.59
1996-07-24,138.0,138.8,134.05,137.65,30400,89.72
1996-07-25,135.05,139.0,135.05,135.35,10700,88.22
1996-07-26,135.0,136.0,130.0,132.9,23500,86.62
1996-07-29,134.0,134.0,127.1,128.75,95300,83.92
1996-07-30,128.0,128.5,120.05,122.25,27400,79.68
