Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,58.38,59.05,57.4,58.12,3100,23.23
2002-07-02,57.22,57.91,57.22,57.6,900,23.02
2002-07-03,57.6,58.8,57.4,57.49,1500,22.97
2002-07-04,58.3,58.95,57.61,58.59,6000,23.41
2002-07-05,59.58,59.58,58.25,58.49,2000,23.37
2002-07-08,60.99,60.99,58.2,58.94,4600,23.55
2002-07-09,58.95,59.54,58.3,59.05,1600,23.6
2002-07-10,61.8,61.8,56.0,59.04,3400,23.59
2002-07-11,52.0,58.8,52.0,57.19,6000,22.85
2002-07-12,57.3,58.6,56.5,56.88,4100,22.73
2002-07-15,56.02,56.58,55.0,55.96,2600,22.36
2002-07-16,55.8,56.5,54.2,54.64,4500,21.84
2002-07-17,55.95,56.0,54.2,54.55,6100,21.8
2002-07-18,48.23,57.37,45.23,53.81,7000,21.5
2002-07-19,54.02,54.02,53.5,53.61,7400,21.42
2002-07-22,50.2,53.79,50.2,52.81,300,21.1
2002-07-23,52.23,53.0,52.0,53.0,6100,21.18
2002-07-24,52.31,52.8,52.2,52.62,500,21.03
2002-07-25,53.8,53.8,52.12,52.56,1400,21.0
2002-07-26,50.8,52.0,50.4,50.92,12400,20.35
2002-07-29,50.0,51.2,49.8,50.01,3400,19.99
2002-07-30,50.8,52.6,50.0,50.0,14700,19.98
2002-07-31,50.6,50.6,45.6,46.21,11100,18.47
2002-08-01,47.0,48.1,46.5,46.65,5000,18.64
2002-08-02,45.75,45.91,45.0,45.25,4600,18.08
2002-08-05,45.8,46.94,45.6,46.45,1800,18.56
2002-08-06,46.2,47.4,45.6,46.15,2500,18.44
2002-08-07,48.0,48.0,46.02,46.25,2100,18.48
2002-08-08,46.45,46.69,44.85,45.23,4900,18.08
2002-08-09,47.2,47.2,45.0,45.13,2800,18.04
2002-08-12,45.0,45.3,44.65,44.81,2500,17.91
2002-08-13,45.6,46.0,45.0,45.59,6700,18.22
2002-08-14,45.4,46.0,45.35,45.95,400,18.36
2002-08-16,46.42,47.6,44.3,45.01,9300,17.99
2002-08-19,44.6,45.74,44.6,45.2,10200,18.06
2002-08-20,45.57,46.39,45.2,45.95,4500,18.36
2002-08-21,46.0,46.35,44.8,44.89,3500,17.94
2002-08-22,45.2,45.4,44.8,44.81,2400,17.91
2002-08-23,44.02,44.98,43.82,44.95,1000,17.96
2002-08-26,44.81,46.0,44.8,45.86,2000,18.33
2002-08-27,45.8,46.04,44.61,44.98,6200,17.98
2002-08-28,45.0,45.1,44.7,44.94,500,17.96
2002-08-29,45.39,45.39,44.8,45.04,5100,18.0
2002-08-30,45.9,46.2,45.25,46.11,2900,18.43
2002-09-02,46.0,46.93,45.2,45.42,6200,18.15
2002-09-03,45.6,46.2,45.21,45.89,6200,18.34
2002-09-04,45.25,45.7,44.0,44.37,8500,17.73
2002-09-05,44.8,45.78,44.6,45.56,4500,18.21
2002-09-06,44.83,45.12,44.3,44.42,10000,17.75
2002-09-09,44.63,45.0,43.64,43.71,21100,17.47
2002-09-11,43.2,44.1,43.2,43.75,200,17.48
2002-09-12,43.32,43.9,42.42,42.98,5200,17.18
2002-09-13,42.4,43.11,41.86,42.26,4200,16.89
2002-09-16,41.35,42.31,41.35,41.87,1700,16.73
2002-09-17,42.0,42.38,41.8,42.0,1300,16.78
2002-09-18,41.98,42.0,41.48,41.83,1200,16.72
2002-09-19,41.8,41.8,40.6,41.32,1200,16.51
2002-09-20,39.6,41.78,39.6,41.12,700,16.43
2002-09-23,41.2,41.94,41.0,41.77,1900,16.69
2002-09-24,41.0,41.58,40.4,41.27,600,16.49
2002-09-25,42.0,43.0,41.01,42.71,2500,17.07
2002-09-26,41.64,43.0,41.62,42.91,200,17.15
2002-09-27,43.01,43.28,42.0,42.76,1100,17.09
2002-09-30,42.89,43.0,42.4,42.7,3500,17.06
2002-10-01,42.4,42.98,41.7,42.3,1300,16.9
2002-10-03,41.43,43.18,41.43,42.73,1700,17.08
2002-10-04,43.0,44.02,42.01,42.28,7400,16.9
2002-10-07,43.14,44.1,42.49,43.59,6000,17.42
2002-10-08,43.68,44.8,43.68,44.72,7900,17.87
2002-10-09,44.78,45.0,44.55,44.8,3300,17.9
2002-10-10,44.8,45.2,44.4,44.94,11200,17.96
2002-10-11,45.42,46.88,42.62,45.11,45700,18.03
2002-10-14,45.6,46.2,44.6,44.71,7400,17.87
2002-10-16,46.6,46.6,44.0,44.86,7000,17.93
2002-10-17,44.58,45.0,43.89,44.02,2400,17.59
2002-10-18,44.79,44.79,43.21,43.58,7100,17.42
2002-10-21,44.0,44.0,41.4,43.35,5600,17.32
2002-10-22,42.0,45.0,42.0,43.63,5400,17.44
2002-10-23,45.0,45.0,43.49,43.5,4100,17.38
2002-10-24,46.0,46.0,43.16,43.33,7800,17.32
2002-10-25,41.4,43.8,41.4,42.05,11300,16.8
2002-10-28,42.6,43.0,42.38,42.81,3700,17.11
2002-10-29,42.0,42.0,41.23,41.7,1000,16.66
2002-10-30,41.6,41.6,40.02,40.09,2400,16.02
2002-10-31,40.0,40.6,38.8,39.05,4400,15.61
2002-11-01,39.5,40.6,39.0,39.11,3800,15.63
2002-11-04,39.6,39.95,38.6,38.96,1500,15.57
2002-11-05,38.82,38.99,37.85,38.0,3800,15.19
2002-11-07,38.6,38.6,37.4,37.57,2700,15.01
2002-11-08,38.29,38.29,37.6,37.89,900,15.14
2002-11-11,37.65,37.8,37.22,37.34,1000,14.92
2002-11-12,37.0,38.32,37.0,37.45,6000,14.97
2002-11-13,38.0,38.0,37.2,37.29,7000,14.9
2002-11-14,37.2,38.2,37.2,37.49,6900,14.98
2002-11-15,37.81,38.33,37.24,37.56,7600,15.01
2002-11-18,38.0,38.2,37.6,38.2,1300,15.27
2002-11-20,38.36,38.75,37.8,37.89,6100,15.14
2002-11-21,38.6,38.8,38.0,38.06,5800,15.21
2002-11-22,38.22,38.4,37.6,37.82,7000,15.11
2002-11-25,38.0,38.0,37.51,37.58,12600,15.02
2002-11-26,37.4,37.8,37.4,37.62,4100,15.03
2002-11-27,37.7,37.88,37.2,37.43,3000,14.96
2002-11-28,37.4,38.1,36.5,36.82,10400,14.71
2002-11-29,37.0,37.02,36.85,36.97,7800,14.77
2002-12-02,39.79,39.79,36.92,38.94,56400,15.56
2002-12-03,39.6,40.8,38.27,38.66,43100,15.45
2002-12-04,38.4,39.54,38.02,38.21,8200,15.27
2002-12-05,38.78,40.97,38.3,40.53,28300,16.2
2002-12-06,41.2,41.8,39.9,40.09,47200,16.02
2002-12-09,40.97,41.39,38.65,38.9,34900,15.55
2002-12-10,38.84,39.39,38.8,38.93,9400,15.56
2002-12-11,39.43,40.0,38.85,38.98,10100,15.58
2002-12-12,39.0,39.0,38.46,38.6,10300,15.43
2002-12-13,38.02,40.2,38.0,39.16,75300,15.65
2002-12-16,41.0,41.88,40.0,40.32,140000,16.11
2002-12-17,40.8,41.4,40.0,40.07,134000,16.01
2002-12-18,41.14,43.7,41.14,41.97,145400,16.77
2002-12-19,42.48,42.75,40.87,41.16,61100,16.45
2002-12-20,41.73,41.97,39.73,40.24,42700,16.08
2002-12-23,40.6,41.0,40.22,40.44,13300,16.16
2002-12-24,40.55,40.92,39.9,40.1,12400,16.03
2002-12-26,40.25,40.64,40.0,40.26,9300,16.09
2002-12-27,40.35,40.77,39.05,39.44,11200,15.76
2002-12-30,39.2,39.54,38.8,38.88,10400,15.54
2002-12-31,38.9,39.5,38.8,38.99,28100,15.58
2003-01-01,39.0,39.14,38.8,39.05,5300,15.61
2003-01-02,39.38,39.4,39.0,39.03,10700,15.6
2003-01-03,39.29,39.38,38.22,38.5,6800,15.39
2003-01-06,38.4,38.67,37.52,37.71,14600,15.07
2003-01-07,37.97,37.99,37.2,37.3,7000,14.91
2003-01-08,37.4,38.8,37.4,38.0,11700,15.19
2003-01-09,38.0,38.4,36.53,36.74,32600,14.68
2003-01-10,36.6,37.18,36.03,36.27,18000,14.49
