Date,Open,High,Low,Close,Volume,Adj Close
1997-04-02,65.3333,65.3333,65.3333,65.3333,100,20.3235
1997-04-03,71.6667,71.6667,70.0,71.0,17400,22.0863
1997-04-04,74.6667,75.7667,73.4,75.7,49600,23.5484
1997-04-07,75.7667,75.7667,73.5,73.8667,24700,22.9781
1997-04-09,80.6667,81.2333,80.0,81.2333,68500,25.2696
1997-04-10,80.6667,86.5,77.3667,81.1333,62100,25.2385
1997-04-11,79.3333,82.6667,78.3333,79.4667,35400,24.7201
1997-04-15,81.3333,83.0,76.0,77.5,49900,24.1083
1997-04-17,80.2,82.5,78.6667,81.2667,113800,25.28
1997-04-21,83.3333,83.3333,80.0667,81.5,9300,25.3526
1997-04-22,81.6667,81.6667,78.7,78.8,19200,24.5127
1997-04-23,82.1333,82.1333,79.5333,80.6667,68700,25.0934
1997-04-24,77.6667,88.7333,77.6667,87.1333,84600,27.105
1997-04-25,88.5,95.8333,87.6667,93.3667,92800,29.044
1997-04-28,93.3333,98.0,93.3333,97.3667,282000,30.2883
1997-04-29,97.7,98.4,95.1667,96.7333,62400,30.0913
1997-04-30,103.333,106.4,99.5,101.667,162100,31.6261
1997-05-02,100.7,101.76700000000001,97.1667,98.4,83500,30.6098
1997-05-05,93.3333,97.8,92.6667,95.8667,30900,29.8217
1997-05-06,96.0,97.6667,86.4333,89.4,258900,27.8101
1997-05-07,92.0,98.3667,88.6667,98.3667,267400,30.5994
1997-05-08,99.8667,103.2,98.5,98.8333,166900,30.7446
1997-05-09,99.8333,99.9667,96.6667,98.9667,27400,30.7861
1997-05-12,97.3333,99.3333,94.7333,95.3667,47700,29.6662
1997-05-13,93.7333,97.1333,92.0,94.6333,96000,29.438000000000002
1997-05-14,98.6667,100.0,95.4333,98.5667,102100,30.6616
1997-05-15,99.2667,101.333,97.6667,99.8333,84300,31.0556
1997-05-16,99.9667,100.0,98.6667,99.2,34800,30.8586
1997-05-19,100.0,101.133,99.0,99.3667,49900,30.9105
1997-05-20,99.4333,99.4333,94.6667,95.9333,74200,29.8424
1997-05-21,98.0,99.3333,96.1,96.6333,25600,30.0602
1997-05-22,97.2667,97.2667,95.7,95.8667,3700,29.8217
1997-05-23,95.9667,96.6333,93.6667,95.0333,14400,29.5625
1997-05-26,94.1667,94.3667,87.3667,89.7,38700,27.9034
1997-05-27,88.2333,90.0,84.6667,87.4,38400,27.1879
1997-05-28,90.6667,94.6667,88.7333,93.8667,112200,29.1996
1997-05-29,92.0333,96.6667,92.0333,96.6333,231400,30.0602
1997-05-30,97.2,105.333,97.2,102.96700000000001,118600,32.0304
1997-06-02,102.667,105.167,100.7,102.93299999999999,79200,32.0199
1997-06-03,103.333,106.0,103.333,105.2,300600,32.7251
1997-06-04,106.0,109.96700000000001,105.0,107.93299999999999,272500,33.5752
1997-06-05,110.0,116.26700000000001,109.133,115.96700000000001,197100,36.0744
1997-06-06,115.333,124.633,114.367,120.333,271000,37.4326
1997-06-09,121.6,122.333,115.53299999999999,116.8,75700,36.3335
1997-06-10,116.367,121.167,116.03299999999999,118.53299999999999,67800,36.8726
1997-06-11,121.26700000000001,123.633,120.333,121.9,227700,37.92
1997-06-12,122.833,123.333,122.06700000000001,122.667,23400,38.1586
1997-06-13,123.667,123.667,119.667,120.93299999999999,75300,37.6192
1997-06-16,119.867,119.867,114.96700000000001,115.26700000000001,9000,35.8567
1997-06-17,112.0,116.0,105.73299999999999,107.26700000000001,64900,33.3681
1997-06-18,116.333,116.333,110.0,110.5,23100,34.3738
1997-06-19,111.333,112.6,109.333,110.633,17100,34.4151
1997-06-20,110.0,110.0,108.833,109.667,5100,34.1147
1997-06-23,109.333,115.9,108.0,112.367,27700,34.9546
1997-06-24,113.333,113.833,110.7,111.9,25900,34.8093
1997-06-25,116.0,119.333,115.93299999999999,118.3,44100,36.8002
1997-06-26,120.0,122.3,117.667,119.46700000000001,34000,37.1632
1997-06-27,120.667,122.667,120.06700000000001,121.43299999999999,302700,37.7748
1997-06-30,120.333,120.333,117.5,118.0,7200,36.7068
1997-07-01,118.667,118.667,114.8,116.133,28500,36.1261
1997-07-02,117.333,121.0,117.333,120.06700000000001,35500,37.3498
1997-07-03,121.26700000000001,123.667,117.667,117.96700000000001,7600,36.6966
1997-07-04,117.03299999999999,118.0,110.0,110.76700000000001,197800,34.4568
1997-07-07,108.0,110.667,99.7333,99.8,98100,31.0453
1997-07-08,94.0,96.5333,89.8333,95.3333,134500,29.6558
1997-07-09,97.3333,104.867,97.3333,103.76700000000001,135900,32.2793
1997-07-10,105.96700000000001,106.333,98.6667,99.0333,49600,30.8068
1997-07-11,99.9667,100.333,98.7,99.9667,164200,31.0971
1997-07-14,98.6667,99.6,93.3333,94.9,18000,29.521
1997-07-15,93.3333,95.3333,93.0,93.1,208600,28.9611
1997-07-16,96.0,98.6667,93.3333,93.4667,28800,29.0751
1997-07-17,93.3333,94.6333,84.5333,90.7333,230400,28.2249
1997-07-21,88.0,90.0,87.6667,88.1333,47400,27.4161
1997-07-22,89.9,90.6667,87.4,88.8667,18100,27.6442
1997-07-23,92.0,97.1333,90.6667,96.4333,42100,29.998
1997-07-24,98.6667,98.6667,95.3333,96.3667,31800,29.9773
1997-07-25,94.5,96.3333,94.0667,96.1,17400,29.8943
1997-07-28,95.5,96.6667,95.4,96.1333,11200,29.9047
1997-07-29,95.9333,96.6667,94.0,96.6667,15400,30.0706
1997-07-30,96.6667,97.5667,96.2333,97.0667,17400,30.195
1997-07-31,96.6667,99.6333,96.6667,99.0667,11400,30.8172
1997-08-01,100.06700000000001,102.6,99.6667,101.667,17500,31.6261
1997-08-04,105.167,106.667,98.6667,101.367,94300,31.5327
1997-08-05,100.667,105.333,100.667,104.0,28300,32.3518
1997-08-06,105.96700000000001,109.0,104.867,108.03299999999999,32200,33.6064
1997-08-07,110.0,118.867,108.667,116.4,151900,36.2091
1997-08-08,116.0,117.96700000000001,114.667,116.2,34000,36.1469
1997-08-11,116.667,116.667,104.833,111.03299999999999,35700,34.9913
1997-08-12,114.667,122.0,113.333,119.8,156900,37.7541
1997-08-13,126.633,126.667,122.667,123.3,127000,38.8571
1997-08-14,123.7,124.333,122.167,123.23299999999999,39900,38.836
1997-08-18,122.167,122.167,117.03299999999999,120.0,45000,37.8172
1997-08-19,120.333,122.333,119.06700000000001,119.833,34900,37.7645
1997-08-20,119.833,122.0,119.833,120.03299999999999,45300,37.8276
1997-08-21,120.73299999999999,120.73299999999999,119.03299999999999,119.333,28000,37.607
1997-08-22,120.0,120.0,113.667,114.4,67200,36.0524
1997-08-25,113.6,113.6,107.96700000000001,109.3,48700,34.4451
1997-08-26,113.667,113.667,108.0,109.43299999999999,119100,34.486999999999995
1997-08-27,111.167,113.133,104.333,105.667,76800,33.3002
1997-08-28,105.96700000000001,106.6,95.1,95.5333,138900,30.1067
1997-08-29,101.73299999999999,101.73299999999999,90.0,90.6333,323800,28.5625
1997-09-01,92.3333,93.2667,85.3333,86.1333,174400,27.1443
1997-09-02,89.3333,94.7333,88.0,94.7333,158200,29.8545
1997-09-03,96.6667,97.9,94.8667,95.8667,102100,30.2117
1997-09-04,95.0,104.3,94.6667,103.93299999999999,298900,32.7538
1997-09-05,105.2,114.333,105.2,114.0,385800,35.9263
1997-09-08,112.06700000000001,117.0,110.0,114.367,337600,36.042
1997-09-09,115.667,115.93299999999999,107.53299999999999,111.7,277900,35.2015
1997-09-10,110.2,110.2,104.167,108.8,190000,34.2876
1997-09-11,107.4,111.333,106.667,109.93299999999999,179200,34.6446
1997-09-12,108.167,109.333,104.867,106.133,114900,33.4471
1997-09-15,105.333,106.167,98.7333,98.7333,174100,31.1151
1997-09-16,94.1667,102.333,94.1667,96.7667,346000,30.4953
1997-09-17,103.43299999999999,103.56700000000001,103.43299999999999,103.56700000000001,33000,32.6384
1997-09-18,103.56700000000001,103.56700000000001,96.3333,99.7667,740100,31.4408
1997-09-19,100.96700000000001,104.333,98.8667,103.7,453600,32.6803
1997-09-22,104.167,104.667,101.06700000000001,101.46700000000001,135300,31.9766
1997-09-23,101.0,102.0,97.4333,100.03299999999999,201900,31.5247
1997-09-24,102.5,106.633,102.0,104.4,118600,32.9009
1997-09-25,104.0,105.333,103.0,105.133,41400,33.1319
1997-09-26,105.26700000000001,105.833,104.03299999999999,104.5,25900,32.9324
1997-09-29,105.667,108.73299999999999,104.93299999999999,107.46700000000001,66400,33.8675
1997-09-30,107.333,107.667,104.93299999999999,106.167,41200,33.4578
1997-10-01,106.06700000000001,108.633,106.06700000000001,106.367,85800,33.5208
1997-10-09,105.73299999999999,106.3,102.26700000000001,102.867,45100,32.4178
1997-10-10,104.23299999999999,104.667,100.0,100.333,63000,31.6192
1997-10-13,101.96700000000001,106.0,100.4,103.367,112000,32.5754
1997-10-14,102.867,103.333,99.8667,100.26700000000001,162600,31.5984
1997-10-15,106.667,106.667,103.367,105.5,96100,33.2476
1997-10-16,105.8,109.333,105.53299999999999,107.4,221700,33.8464
1997-10-17,109.26700000000001,112.667,105.4,107.46700000000001,235900,33.8675
1997-10-20,107.93299999999999,107.93299999999999,100.73299999999999,102.23299999999999,173100,32.218
1997-10-21,100.1,102.0,95.1,95.1,477900,29.9701
1997-10-22,89.3333,98.3333,89.3333,95.0667,135100,29.9596
1997-10-23,93.6667,95.8667,93.4,94.6333,41100,29.823
1997-10-24,94.0667,94.0667,89.4,91.0,150300,28.678
1997-10-27,89.5,90.5,86.8333,88.7333,129100,27.9637
1997-10-28,86.8333,86.8333,82.5333,82.6333,384100,26.0413
1997-10-29,87.9,88.4333,84.0,87.0667,300400,27.4385
1997-10-30,86.6667,89.7333,84.7333,87.6333,68800,27.616999999999997
1997-11-03,87.3333,88.0,84.0,84.6333,79200,26.6716
1997-11-04,83.3333,86.3333,80.1667,81.8333,163900,25.7892
1997-11-05,81.3333,87.5667,78.6667,81.2,1075500,25.5896
1997-11-06,80.0667,84.2667,78.6667,83.0,273400,26.1569
1997-11-07,82.1,83.3333,81.3333,81.9667,119800,25.8312
1997-11-10,80.8333,81.6667,78.7,79.4333,125400,25.0328
1997-11-11,78.5,80.4667,77.3667,77.9667,201100,24.5707
1997-11-12,79.3,81.2,78.5,79.7667,111900,25.1379
1997-11-13,79.1333,79.8333,78.5,79.6,66600,25.0854
1997-11-17,79.0333,81.5,79.0333,81.2667,60700,25.6106
1997-11-18,80.3667,81.5,80.0333,80.9,68100,25.4951
1997-11-19,80.6,82.5,79.0,81.2333,54700,25.6001
1997-11-20,80.7,82.9333,80.0,82.2667,17500,25.9258
1997-11-21,82.6,83.8,82.1667,82.2333,25200,25.9152
1997-11-24,82.0667,82.0667,79.7,80.1333,282100,25.2534
1997-11-25,79.7,82.3333,79.4667,81.0667,143400,25.5476
1997-11-26,82.0,82.3333,81.2333,81.3333,41500,25.6316
1997-11-27,81.8333,83.8667,80.7333,83.3333,80500,26.2619
1997-11-28,82.3667,82.6667,81.6667,82.4667,78900,25.9888
1997-12-01,80.1667,83.1,79.0,82.4,122800,25.9678
1997-12-02,81.9,82.2667,80.0,80.1667,122400,25.264
1997-12-03,81.6667,81.8333,81.1,81.3333,9000,25.6316
1997-12-04,81.1,81.5667,80.3333,81.1,24900,25.5581
1997-12-05,80.8333,81.0,79.3333,79.6667,20400,25.1064
1997-12-08,79.1333,81.6667,79.1333,81.4,35400,25.6526
1997-12-09,81.8667,82.3333,78.0667,78.7,60300,24.8018
1997-12-10,78.0667,80.0,77.8333,78.0667,39100,24.6022
1997-12-11,78.6667,78.6667,75.8667,77.8333,28500,24.5286
1997-12-12,77.6667,78.5667,77.4,78.1333,5700,24.6232
1997-12-15,77.6667,79.4667,77.3333,79.3,27700,24.9908
1997-12-16,79.0,79.7667,77.3333,77.7,27300,24.4866
1997-12-17,79.6,81.3333,79.4,80.4333,40000,25.348000000000003
1997-12-18,80.6333,80.6667,79.3333,79.9667,23200,25.2009
1997-12-19,79.8333,80.6333,79.6667,80.3333,4500,25.3165
1997-12-22,80.6667,80.9667,80.1667,80.8,17200,25.4636
1997-12-23,81.1333,83.5667,80.2667,81.7,48700,25.7472
1997-12-24,81.6667,82.2,81.3333,82.0333,10300,25.8522
1997-12-26,82.5333,86.6667,82.5333,84.9,20800,26.7556
1997-12-29,86.6333,86.6333,84.9333,85.0333,11500,26.7977
1997-12-30,83.6667,83.6667,81.6667,81.8333,28200,25.7892
1997-12-31,82.0,83.4,82.0,82.8333,11500,26.1043
1998-01-01,82.2,85.0,82.2,84.4,15400,26.5981
1998-01-02,84.3333,85.3,83.6667,84.6667,33900,26.6821
1998-01-05,85.1333,88.0,84.8333,86.9667,42700,27.4069
1998-01-06,85.8333,85.8333,84.0,85.0667,22600,26.8082
1998-01-07,86.9333,86.9333,84.3333,85.7,19200,27.0078
1998-01-08,84.3333,85.1333,83.3667,84.3667,20400,26.5876
1998-01-09,82.0,82.0,79.5,79.8333,49600,25.1589
1998-01-12,77.8,79.1667,74.6667,75.2667,120600,23.7198
1998-01-13,77.0,77.0,74.2,75.1667,113700,23.6883
1998-01-14,76.3333,77.8667,71.3,72.6667,117400,22.9004
1998-01-15,71.3333,72.9667,66.0,69.3,144100,21.8394
1998-01-16,70.6,71.3333,68.4667,70.4,61500,22.1861
1998-01-19,69.9667,71.9,69.5,71.2,21900,22.4382
1998-01-20,71.3333,71.5,70.0,70.4667,85600,22.2071
1998-01-21,71.8,71.8,70.7333,71.3667,33900,22.4907
1998-01-22,70.6667,72.0,70.6,71.8333,20700,22.6378
1998-01-23,71.4,72.0,70.8333,71.8,10800,22.6273
1998-01-27,70.5667,72.0,70.5,71.2333,57900,22.4487
1998-01-28,71.3333,71.6333,68.6667,70.6667,23400,22.2701
1998-01-29,69.0333,70.4333,68.5333,70.4,13500,22.1861
1998-01-30,70.0,70.6667,70.0,70.5667,6600,22.2386
1998-02-02,70.6667,71.2,70.0,70.8333,19800,22.3226
1998-02-03,70.6667,71.3333,70.0,70.5,32400,22.2176
1998-02-04,73.0,73.0,71.0,71.1333,11200,22.4172
1998-02-05,71.3667,71.3667,70.1667,71.0667,29800,22.3962
1998-02-06,68.6667,70.6667,68.6667,69.9333,17400,22.039
1998-02-09,71.3333,71.3333,69.5,70.0,20100,22.06
1998-02-10,68.7,69.3,67.8333,68.3667,12400,21.5453
1998-02-11,68.3333,69.3333,68.3333,69.0,31000,21.7449
1998-02-12,68.9,69.2,68.2,69.0667,1800,21.7659
1998-02-13,68.6667,69.5,68.6667,69.3333,17200,21.8499
1998-02-17,69.3667,69.9667,68.7,69.6667,24300,21.955
1998-02-18,70.3667,70.6333,69.5667,70.5333,2400,22.2281
1998-02-19,70.6333,71.2333,70.1333,70.7,44700,22.2806
1998-02-20,71.5667,71.8333,71.0,71.3333,6000,22.4802
1998-02-23,74.0,75.3,71.3333,72.6667,93400,22.9004
1998-02-24,74.4667,77.6667,73.3333,76.7,114600,24.1715
1998-02-25,79.6667,83.8333,79.5,83.0667,231000,26.1779
1998-02-26,84.2333,85.9333,81.5,82.2333,114900,25.9152
1998-02-27,84.0,84.2667,81.8,82.3333,65400,25.9468
1998-03-02,82.6667,83.2,80.1,81.6333,48600,25.7262
1998-03-03,80.3333,80.3333,74.0,76.1667,110500,24.0034
1998-03-04,78.6667,81.2,78.6667,80.0,56400,25.2114
1998-03-05,80.0,80.2667,78.3667,78.7333,16800,24.8122
1998-03-06,78.0,79.2,76.2,78.4333,23700,24.7177
1998-03-09,82.0,82.0,78.2,78.6667,33300,24.7913
1998-03-10,79.3333,79.3333,76.6667,76.9,31500,24.2345
1998-03-11,78.1667,78.5667,77.3333,77.5,8800,24.4236
1998-03-12,81.3333,81.3333,76.1333,77.2667,15300,24.3501
1998-03-16,78.0,78.6667,76.0,76.2,80800,24.0139
1998-03-17,73.3333,75.6667,73.3333,75.2667,41400,23.7198
1998-03-18,76.3667,79.3333,76.1,78.0667,27600,24.6022
1998-03-19,79.0,79.0,77.0,77.9,9900,24.5496
1998-03-20,77.0,78.6333,76.8333,78.1667,22500,24.6337
1998-03-23,78.3333,78.8333,78.3333,78.6667,2500,24.7913
1998-03-24,80.0,81.3333,77.6667,78.9667,61000,24.8858
