Date,Open,High,Low,Close,Volume,Adj Close
2011-08-22,651.675,651.675,559.4,633.135,9700,110.4199
2011-08-23,647.84,660.625,618.43,655.94,3800,114.3971
2011-08-24,664.89,724.345,664.89,696.43,37300,121.4586
2011-08-25,716.035,728.605,694.935,705.165,26400,122.982
2011-08-26,704.1,707.51,641.875,651.25,16000,113.5792
2011-08-29,652.1,686.625,652.1,674.69,35500,117.6671
2011-08-30,673.41,698.56,643.79,654.445,28900,118.5283
2011-09-02,652.1,660.625,637.395,645.71,28400,116.9463
2011-09-05,653.165,668.51,641.445,654.235,25600,118.4903
2011-09-06,660.625,702.82,660.625,668.51,27200,121.0757
2011-09-07,674.48,677.675,656.365,660.415,33700,119.6096
2011-09-08,652.1,677.46,652.1,657.855,29900,119.1459
2011-09-09,669.15,676.18,653.38,658.92,19000,119.3388
2011-09-12,658.92,668.3,622.48,639.955,20300,115.904
2011-09-13,639.315,675.755,635.48,657.64,23700,119.107
2011-09-14,662.755,671.92,649.97,660.415,21200,119.6096
2011-09-15,658.28,664.46,647.84,650.185,18000,117.7568
2011-09-16,639.315,647.84,634.84,639.53,20000,115.827
2011-09-19,639.53,659.56,630.79,634.415,17200,114.9006
2011-09-20,643.575,656.15,631.215,638.89,17100,115.7111
2011-09-21,639.315,639.315,623.97,630.365,7600,114.1671
2011-09-22,660.625,660.625,605.22,617.15,16900,111.7737
2011-09-23,605.22,613.745,586.04,597.545,12900,108.223
2011-09-26,617.15,622.055,594.135,596.27,23800,107.9921
2011-09-27,594.565,617.79,594.565,604.79,14600,109.5352
2011-09-28,611.61,619.925,596.695,601.595,14800,108.9565
2011-09-29,596.905,608.63,592.86,594.565,16300,107.6833
2011-09-30,604.365,617.58,589.66,594.135,14800,107.6054
2011-10-03,713.05,713.05,590.3,593.5,12500,107.4904
2011-10-04,656.365,656.365,588.17,592.86,15000,107.3745
2011-10-05,605.22,608.63,585.4,589.45,10000,106.7569
2011-10-07,575.385,617.15,554.075,593.71,15700,107.5284
2011-10-10,603.085,605.005,588.17,593.71,9100,107.5284
2011-10-11,602.66,611.61,594.565,595.84,8300,107.9142
2011-10-12,605.22,612.675,588.17,589.66,9500,106.7949
2011-10-13,596.695,602.66,588.385,592.22,6800,107.2586
2011-10-14,596.695,600.955,592.005,597.76,12400,108.262
2011-10-17,607.35,607.35,584.545,598.185,17000,108.3389
2011-10-18,603.085,655.94,596.695,610.545,19100,110.5775
2011-10-19,618.43,634.2,605.22,622.265,12500,112.7001
2011-10-20,626.53,634.2,609.48,629.725,18000,114.0512
2011-10-21,626.53,634.625,618.005,618.005,18100,111.9286
2011-10-24,625.675,638.89,618.005,626.74,17600,113.5106
2011-10-25,634.625,638.035,622.695,634.625,19300,114.9387
2011-10-26,644.645,651.25,629.085,640.38,15800,115.981
2011-10-28,652.1,655.51,628.445,633.99,19600,114.8237
2011-10-31,640.38,698.985,637.61,670.215,32600,121.3845
2011-11-01,656.575,661.905,656.575,661.905,21100,119.8794
2011-11-02,672.56,679.805,639.315,639.955,15200,115.904
2011-11-03,647.84,672.56,610.97,619.71,27500,112.2374
2011-11-04,637.185,647.625,615.02,619.71,21200,112.2374
2011-11-08,630.365,630.365,602.02,606.925,20500,109.9219
2011-11-09,609.695,617.15,592.43,602.235,42200,109.0724
2011-11-11,626.53,626.53,584.12,587.53,36500,106.4092
2011-11-14,600.955,613.315,575.595,579.86,16700,105.02
2011-11-15,583.27,596.695,575.595,587.745,17500,106.4481
2011-11-16,583.27,588.385,558.76,570.48,14300,103.3212
2011-11-17,576.025,628.235,554.5,564.09,19000,102.1639
2011-11-18,558.335,566.435,539.155,551.515,9200,99.8864
2011-11-21,536.17,545.335,516.78,523.6,10100,94.8306
2011-11-22,536.6,536.6,519.975,524.45,13900,94.9846
2011-11-23,540.01,548.96,519.975,522.32,13700,94.5988
2011-11-24,516.14,532.765,516.14,532.55,12700,96.4516
2011-11-25,567.075,567.075,511.45,511.45,11700,92.6301
2011-11-28,510.6,532.765,509.32,522.96,15300,94.7147
2011-11-29,544.695,583.91,519.975,522.11,15300,94.5608
2011-11-30,524.88,524.88,508.47,511.24,16400,92.5921
2011-12-01,528.5,528.5,507.615,510.815,18700,92.5151
2011-12-02,507.19,515.715,505.06,510.815,21400,92.5151
2011-12-05,511.45,511.45,505.06,506.55,19600,91.7427
2011-12-06,506.55,506.55,506.55,506.55,0,91.7427
2011-12-07,515.715,519.125,502.93,505.27,26000,91.5108
2011-12-08,506.975,509.745,499.9445,503.14,16800,91.1251
2011-12-09,502.93,509.11,494.404,504.635,15600,91.3958
2011-12-12,500.795,511.45,477.7815,488.0105,20100,88.3849
2011-12-13,481.6175,499.092,460.307,470.11,17000,85.1429
2011-12-14,483.3225,484.814,464.9955,473.7325,28300,85.799
2011-12-15,472.028,483.7485,464.569,472.028,30700,85.4903
2011-12-16,566.435,566.435,462.8645,463.93,14800,84.0236
2011-12-19,461.5855,475.4375,406.1785,415.555,18200,75.2623
2011-12-20,438.9965,498.2395,400.6375,404.8995,11900,73.3325
2011-12-21,411.293,417.686,379.7535,386.786,25400,70.0519
2011-12-22,392.1135,392.1135,379.327,384.6545,21800,69.6658
2011-12-23,379.327,404.8995,378.4745,397.654,12000,72.0202
2011-12-26,388.2775,425.997,385.081,422.3745,5800,76.4974
2011-12-27,426.21,430.4725,409.588,427.702,2500,77.4623
2011-12-28,442.6195,442.8325,417.686,428.3415,1100,77.5781
2011-12-29,437.2915,437.2915,410.6535,416.8335,12800,75.4939
2011-12-30,424.079,424.079,399.146,402.5555,5000,72.9079
2012-01-02,424.079,464.569,407.031,419.391,3100,75.9571
2012-01-03,421.948,421.948,415.768,421.309,2400,76.3044
2012-01-04,421.0955,421.948,417.26,420.03,4500,76.0728
2012-01-05,425.784,456.045,422.8005,444.9635,10900,80.5886
2012-01-06,444.9635,463.93,432.8165,450.7175,3600,81.6307
2012-01-09,447.734,489.5025,427.702,482.044,6500,87.3043
2012-01-10,493.5515,558.12,490.355,509.745,11500,92.3213
2012-01-11,515.715,540.86,498.879,509.11,4900,92.2063
2012-01-12,503.355,507.19,481.6175,501.865,1800,90.8941
2012-01-13,502.93,511.45,498.0265,503.355,8700,91.164
2012-01-16,511.24,511.45,502.93,510.815,2800,92.5151
2012-01-17,502.93,598.825,491.6335,586.89,110600,106.2933
2012-01-18,632.92,638.89,566.86,575.81,142700,104.2865
2012-01-19,575.385,575.385,537.025,541.5,21600,98.0726
2012-01-20,567.71,596.695,532.765,537.665,22500,97.378
2012-01-23,571.12,571.12,533.83,537.665,10000,97.378
2012-01-24,536.81,561.53,536.81,553.22,13300,100.1952
2012-01-25,554.5,563.025,543.42,549.385,14400,99.5006
2012-01-26,549.385,549.385,549.385,549.385,0,99.5006
2012-01-27,554.285,601.385,550.025,593.71,27900,107.5284
2012-01-30,588.17,596.48,558.55,567.71,9300,102.8195
2012-01-31,579.645,579.86,545.76,561.105,17800,101.6233
2012-02-01,560.04,581.775,560.04,573.465,4200,103.8618
2012-02-02,571.12,579.645,558.335,564.09,5500,102.1639
2012-02-03,562.6,571.12,556.205,567.71,2800,102.8195
2012-02-06,568.99,619.71,568.99,601.595,30100,108.9565
2012-02-07,597.12,600.745,577.515,585.4,29500,106.0234
2012-02-08,583.91,608.2,571.76,590.515,29700,106.9498
2012-02-09,597.335,603.725,590.09,597.335,20400,108.185
2012-02-10,605.22,613.745,577.09,592.22,9500,107.2586
2012-02-13,596.695,596.695,577.73,579.645,8500,104.9811
2012-02-14,580.07,649.545,580.07,628.445,126100,113.8194
2012-02-15,643.575,694.725,635.055,684.705,104000,124.0088
2012-02-16,720.295,808.945,650.61,772.08,258600,139.8335
2012-02-17,791.9,792.11,720.295,754.18,107200,136.5916
2012-02-20,754.18,754.18,754.18,754.18,0,136.5916
2012-02-21,788.49,788.49,716.245,725.625,66200,131.4199
2012-02-22,793.5,845.0,697.0,706.25,84300,127.9109
2012-02-23,725.0,736.5,690.0,712.25,21600,128.9975
2012-02-24,729.0,729.0,695.0,700.0,32400,126.7789
2012-02-27,719.0,725.0,644.0,655.25,7400,118.6741
2012-02-28,650.0,689.5,635.0,682.25,11000,123.5642
2012-02-29,680.0,700.0,675.75,683.75,8900,123.8358
2012-03-01,690.0,694.75,662.0,664.25,9100,120.3041
2012-03-02,670.0,680.0,652.0,666.5,6500,120.7116
