Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,319.95,329.5,319.95,328.35,392900,25.43
2002-07-02,335.0,336.95,329.5,335.05,819800,25.95
2002-07-03,330.0,336.5,330.0,335.5,477400,25.99
2002-07-04,348.0,348.0,330.25,335.15,576800,25.96
2002-07-05,325.0,337.8,325.0,331.15,518000,25.65
2002-07-08,330.25,338.0,330.25,337.1,337300,26.11
2002-07-09,335.0,349.9,335.0,339.65,783200,26.31
2002-07-10,339.0,345.9,336.15,344.85,509900,26.71
2002-07-11,342.0,343.0,338.05,340.25,350200,26.35
2002-07-12,345.0,345.0,340.05,342.0,440100,26.49
2002-07-15,340.1,342.0,332.55,340.1,371000,26.34
2002-07-16,333.0,337.5,328.1,331.55,537200,29.6
2002-07-17,325.5,333.5,325.0,332.75,250500,29.7
2002-07-18,333.1,337.9,328.55,332.25,91800,29.66
2002-07-19,331.0,337.0,322.05,329.95,124600,29.45
2002-07-22,324.1,330.0,318.0,319.6,189500,28.53
2002-07-23,314.6,327.0,314.1,326.1,550200,29.11
2002-07-24,318.25,329.8,318.0,319.8,152400,28.55
2002-07-25,323.0,327.8,320.5,325.3,452300,29.04
2002-07-26,318.25,324.0,313.0,315.7,305400,28.18
2002-07-29,320.0,320.0,301.5,315.15,1460200,28.13
2002-07-30,312.0,318.95,311.0,313.4,569100,27.98
2002-07-31,300.5,312.3,300.5,310.45,184800,27.71
2002-08-01,310.0,316.0,303.6,309.95,289600,27.67
2002-08-02,303.0,319.75,303.0,314.8,354800,28.1
2002-08-05,311.6,315.0,309.1,310.85,176200,27.75
2002-08-06,313.8,313.8,308.95,309.75,100800,27.65
2002-08-07,312.0,313.0,309.0,310.3,411500,27.7
2002-08-08,311.0,312.0,308.0,308.65,508400,27.55
2002-08-09,305.2,309.0,305.0,308.35,599500,27.52
2002-08-12,306.0,309.9,305.5,309.1,66500,27.59
2002-08-13,302.55,313.0,302.55,310.9,71300,27.75
2002-08-14,303.1,312.0,303.1,311.2,200300,27.78
2002-08-16,310.0,312.0,308.05,311.05,153100,27.77
2002-08-19,311.0,313.9,310.6,311.25,146900,27.78
