Date,Open,High,Low,Close,Volume,Adj Close
2002-07-03,3.69,3.69,3.69,3.69,0,0.003
2002-07-04,3.506,3.506,3.506,3.506,0,0.003
2002-07-10,3.33,3.33,3.33,3.33,0,0.003
2002-07-16,3.166,3.166,3.166,3.166,0,0.003
2002-07-17,3.01,3.01,3.01,3.01,0,0.003
2002-07-18,2.86,2.86,2.86,2.86,0,0.003
2002-07-19,2.72,2.72,2.72,2.72,1000,0.003
2002-07-22,2.586,2.586,2.586,2.586,0,0.002
2002-07-23,2.38,2.38,2.38,2.38,0,0.003
2002-07-24,2.266,2.266,2.266,2.266,0,0.003
2002-10-21,9.56,9.56,9.56,9.56,1000,0.013
2003-02-28,5.5,6.13,5.5,6.13,0,0.008
2003-03-03,7.25,7.25,7.25,7.25,0,0.01
2003-03-04,6.03,6.03,6.03,6.03,100,0.008
2003-03-05,4.85,4.85,4.85,4.85,800,0.007
2003-03-11,3.95,3.95,3.9,3.9,0,0.005
2003-03-12,3.5,4.0,3.15,4.0,500,0.005
2003-03-17,3.23,3.23,3.23,3.23,0,0.004
2003-04-17,3.4,3.4,3.4,3.4,115000,0.005
2003-05-16,3.4,3.4,3.4,3.4,10000,0.005
2003-07-30,13.16,13.16,13.16,13.16,1000,0.018
2003-07-31,15.7,15.7,15.7,15.7,500,0.021
2003-08-01,15.0,18.46,12.76,15.5,4500,0.021
2003-08-05,15.5,16.0,15.5,15.8,15000,0.021
2003-08-06,16.0,18.26,16.0,18.26,2000,0.025
2003-08-07,20.95,21.45,17.2,17.35,3100,0.024
2003-08-08,18.0,18.0,15.76,15.76,5500,0.021
2003-08-11,18.85,18.85,15.4,15.4,1500,0.021
2003-08-12,16.5,18.0,16.5,17.5,9000,0.024
2003-08-13,18.0,18.4,18.0,18.4,7000,0.025
2003-08-14,16.6,16.66,16.6,16.66,14500,0.023
2003-08-20,16.6,16.66,16.6,16.66,6000,0.023
2003-08-25,13.9,13.9,13.9,13.9,1000,0.019
2003-08-29,16.5,16.5,14.26,14.7,3000,0.02
2003-09-02,12.8,16.0,12.8,15.0,0,0.02
2003-09-05,16.0,16.0,16.0,16.0,200,0.022
2003-12-26,19.0,19.0,13.56,18.5,11100,0.025
2003-12-30,16.1,21.95,16.1,21.95,0,0.03
2003-12-31,18.2,23.0,17.65,17.65,14000,0.024
2004-01-01,19.9,21.0,14.7,18.26,19000,0.025
2004-01-02,18.5,21.8,18.5,21.36,41900,0.029
2004-01-05,25.2,25.2,20.3,21.96,40400,0.03
2004-01-06,22.0,26.0,22.0,23.0,42000,0.031
2004-01-07,24.8,24.8,21.8,22.16,23100,0.03
2004-01-08,22.5,22.5,22.1,22.5,23000,0.031
2004-01-09,22.46,22.46,19.76,21.1,0,0.029
2004-01-12,20.0,21.0,20.0,21.0,4000,0.029
2004-01-13,21.96,21.96,19.5,19.56,1700,0.027
2004-01-14,22.5,22.5,19.1,21.0,100,0.029
2004-01-15,21.66,21.66,18.0,19.8,0,0.027
2004-01-19,19.76,19.76,18.0,18.06,0,0.025
2004-01-20,17.16,20.76,17.1,18.16,13500,0.025
2004-01-21,18.0,18.0,18.0,18.0,500,0.025
2004-01-23,17.06,17.06,16.2,16.2,100,0.022
2004-01-28,17.0,17.0,17.0,17.0,3500,0.023
2004-01-29,17.4,19.0,15.66,19.0,11000,0.026
2004-02-04,21.95,21.95,17.5,17.5,2000,0.024
2004-02-10,17.0,19.96,17.0,19.96,500,0.027
2004-02-11,17.5,17.5,16.0,16.0,700,0.022
2004-02-16,14.0,15.4,14.0,15.4,2000,0.021
2004-02-19,18.0,18.0,18.0,18.0,0,0.025
2004-02-20,18.7,18.7,15.26,16.76,7000,0.023
2004-02-23,17.0,17.0,15.06,15.06,11000,0.021
2004-02-26,12.96,12.96,12.96,12.96,0,0.018
2004-03-03,15.5,15.5,15.5,15.5,0,0.021
2004-03-04,18.1,18.1,18.1,18.1,0,0.025
2004-03-05,21.1,21.1,14.6,17.2,4100,0.023
2004-03-08,19.0,20.0,17.5,17.5,1000,0.024
2004-03-09,16.0,16.0,14.16,14.16,3500,0.019
2004-03-11,16.9,16.9,13.26,16.16,3000,0.022
2004-03-12,16.2,16.96,16.2,16.96,1500,0.023
2004-03-16,16.85,20.35,16.85,20.35,0,0.028
2004-03-17,17.0,17.0,16.4,16.4,6000,0.022
2004-03-18,13.76,13.76,13.76,13.76,1500,0.019
2004-03-29,16.5,16.5,12.46,15.96,145500,0.022
2004-03-30,16.0,16.26,13.5,13.76,298000,0.019
2004-03-31,12.5,16.5,12.5,16.45,20000,0.022
2004-04-01,16.4,16.4,16.4,16.4,500,0.022
2004-04-12,14.36,16.26,14.36,16.26,2500,0.022
2004-04-15,16.2,16.26,15.1,15.1,10500,0.021
2004-04-21,18.1,18.1,18.1,18.1,0,0.025
2004-04-22,18.1,19.7,16.0,17.0,11000,0.023
2004-04-23,18.4,18.4,18.4,18.4,500,0.025
2004-04-29,21.76,21.76,21.76,21.76,0,0.03
2004-05-06,25.75,25.75,17.4,17.4,18900,0.024
2004-05-07,18.0,18.0,16.96,16.96,11000,0.023
2004-05-13,18.66,18.66,18.66,18.66,1000,0.025
2004-05-26,16.0,16.96,15.5,16.96,2500,0.023
2004-05-27,16.0,16.0,16.0,16.0,4400,0.022
2004-06-02,14.4,14.4,14.4,14.4,0,0.02
2004-06-03,15.26,15.8,15.0,15.8,11200,0.022
2004-06-08,16.0,16.0,16.0,16.0,1000,0.022
2004-06-10,17.96,17.96,16.8,17.5,11200,0.024
2004-06-15,17.0,18.6,17.0,18.56,6000,0.025
2004-06-16,17.0,17.4,17.0,17.0,10000,0.023
2004-06-17,17.0,17.0,17.0,17.0,2800,0.023
2004-06-18,16.5,16.5,15.76,15.96,1100,0.022
2004-06-21,15.06,15.06,15.0,15.0,3500,0.02
2004-06-23,15.5,15.7,15.5,15.7,2000,0.021
2004-06-25,15.5,16.0,15.0,15.06,9000,0.021
2004-06-28,15.06,15.06,15.06,15.06,500,0.021
2004-06-30,16.4,16.46,15.2,15.2,2000,0.021
2004-07-01,15.96,16.0,15.96,16.0,1000,0.022
2004-07-06,16.3,16.3,15.2,15.5,2000,0.021
2004-07-07,15.5,15.5,15.5,15.5,2000,0.021
2004-07-08,15.06,15.06,15.0,15.0,11000,0.02
2004-07-09,15.0,15.0,15.0,15.0,2000,0.02
2004-07-15,15.0,15.0,15.0,15.0,7000,0.02
2004-07-16,15.0,15.0,15.0,15.0,10000,0.02
2004-07-20,15.0,15.0,15.0,15.0,7200,0.02
2004-07-26,13.8,15.0,13.8,14.06,5600,0.019
2004-07-28,12.75,14.95,12.75,12.75,0,0.017
2004-07-29,15.0,15.0,14.5,15.0,3300,0.02
2004-07-30,15.0,15.0,15.0,15.0,36000,0.02
2004-08-04,14.56,15.46,14.56,14.56,3000,0.02
2004-08-05,17.36,17.36,14.6,14.6,0,0.02
2004-08-06,17.56,17.56,14.5,15.2,27000,0.021
2004-08-10,14.46,15.16,14.46,15.1,411500,0.021
2004-08-11,16.6,16.6,15.2,15.2,3000,0.021
2004-08-12,1.506,1.506,1.506,1.506,500,0.002
2004-08-13,15.36,15.36,15.36,15.36,9000,0.021
2004-08-17,15.3,15.3,15.1,15.1,2000,0.021
2004-08-18,15.1,15.1,15.1,15.1,55000,0.021
2004-08-19,15.1,15.1,15.1,15.1,5000,0.021
2004-08-20,15.76,16.5,15.36,16.0,60300,0.022
2004-08-23,16.2,16.26,16.2,16.26,12000,0.022
2004-08-24,16.8,17.76,16.8,17.76,38100,0.024
2004-08-26,17.26,17.5,17.26,17.36,3000,0.024
2004-08-27,17.4,17.4,17.4,17.4,500,0.024
2004-08-30,17.26,17.26,17.26,17.26,2000,0.024
2004-08-31,17.5,18.46,17.5,18.4,7400,0.025
2004-09-01,18.4,18.6,18.0,18.36,33600,0.025
2004-09-03,18.46,18.5,17.7,17.7,14700,0.024
2004-09-06,16.7,18.4,16.7,18.3,8200,0.025
2004-09-07,18.0,18.3,17.6,17.6,3000,0.024
2004-09-08,18.4,18.4,18.36,18.36,1000,0.025
2004-09-09,18.46,18.5,18.46,18.5,27200,0.025
2004-09-10,1.716,1.82,1.71,1.8,4500,0.002
2004-09-13,18.5,19.26,18.1,18.8,222400,0.026
2004-09-14,19.66,20.7,19.66,20.7,117100,0.028
2004-09-15,21.9,22.7,20.0,20.76,86200,0.028
2004-09-16,22.0,22.86,19.5,22.86,180800,0.031
2004-09-17,23.0,24.0,22.06,22.2,149900,0.03
2004-09-20,22.56,23.26,22.3,22.6,128300,0.031
2004-09-21,22.0,22.5,21.5,22.1,46500,0.059
2004-09-22,22.9,23.06,22.2,22.36,62800,0.059
2004-09-23,22.36,22.7,22.2,22.6,19400,0.06
2004-09-24,21.8,22.6,21.8,22.26,21400,0.059
2004-09-27,22.8,22.8,21.26,21.26,6500,0.056
2004-09-28,21.5,22.3,21.5,21.66,26900,0.057
2004-09-29,21.9,21.9,21.4,21.6,12400,0.057
2004-09-30,22.46,22.7,21.6,22.36,61300,0.059
2004-10-01,22.16,22.5,22.16,22.16,4000,0.059
2004-10-04,22.46,22.46,21.56,22.0,18500,0.058
2004-10-05,22.0,22.0,21.6,21.6,8400,0.057
2004-10-06,21.6,21.6,21.0,21.0,15500,0.056
2004-10-07,20.8,21.5,20.8,21.5,2000,0.057
2004-10-08,2.11,2.11,2.1,2.1,21000,0.006
2004-10-11,22.0,22.0,21.16,21.36,27100,0.057
2004-10-14,20.76,20.76,20.76,20.76,5000,0.055
2004-10-18,21.9,21.9,21.9,21.9,1000,0.058
2004-10-19,21.0,21.0,20.76,20.9,5500,0.055
2004-10-20,21.0,22.26,21.0,21.5,36900,0.057
2004-10-21,21.9,21.96,20.06,20.06,2300,0.053
2004-10-25,21.06,21.06,21.06,21.06,500,0.056
2004-10-27,20.3,20.3,20.3,20.3,200,0.054
2004-10-28,20.2,20.2,20.06,20.06,5000,0.053
2004-10-29,2.126,2.126,2.126,2.126,500,0.006
2004-11-01,21.16,21.16,21.16,21.16,1500,0.056
2004-11-02,22.0,23.0,22.0,22.86,52200,0.061
2004-11-03,22.06,23.0,22.0,23.0,35000,0.061
2004-11-04,23.56,24.5,23.56,24.06,104500,0.064
2004-11-05,24.5,25.46,24.3,25.1,49500,0.067
2004-11-08,25.96,25.96,24.7,25.1,20500,0.067
2004-11-09,29.6,29.6,23.66,25.46,26500,0.068
2004-11-10,25.96,25.96,24.06,24.9,35000,0.066
2004-11-11,25.26,25.5,24.6,24.76,13500,0.066
2004-11-16,24.0,25.6,23.9,25.06,4000,0.067
2004-11-17,24.56,26.5,24.56,26.0,29000,0.069
2004-11-18,26.0,28.8,25.0,26.86,47900,0.071
2004-11-19,2.7,3.2,2.7,2.8,158300,0.007
2004-11-22,25.3,29.7,25.3,28.56,48300,0.076
2004-11-23,29.5,30.56,27.5,27.6,64500,0.073
2004-11-24,28.0,28.0,26.26,26.7,42700,0.071
2004-11-25,28.0,28.0,26.0,27.36,17900,0.073
2004-11-29,27.4,28.46,27.0,27.4,26200,0.073
2004-11-30,27.36,27.36,26.0,26.2,8200,0.07
2004-12-01,26.06,27.0,25.0,26.46,32900,0.07
2004-12-02,26.5,26.5,26.4,26.4,1500,0.07
2004-12-03,25.1,26.4,25.06,26.4,10000,0.07
2004-12-06,27.26,31.7,27.26,31.7,490300,0.084
2004-12-07,33.76,33.86,29.4,30.1,601100,0.08
2004-12-08,34.8,34.8,29.16,29.56,65500,0.078
2004-12-09,3.2,3.2,2.82,3.006,44000,0.008
2004-12-10,29.6,30.6,29.0,29.4,20700,0.078
2004-12-13,2.95,3.126,2.91,3.09,49400,0.008
2004-12-14,32.66,32.66,30.96,31.56,27100,0.084
2004-12-15,31.0,31.76,31.0,31.06,38200,0.082
2004-12-16,27.4,37.3,27.4,37.3,865900,0.099
2004-12-17,40.96,44.2,38.5,39.46,1750800,0.105
2004-12-20,42.5,43.5,38.56,42.16,326600,0.112
2004-12-21,42.0,47.5,41.2,41.8,157800,0.111
2004-12-22,42.36,43.0,40.5,41.0,128900,0.109
2004-12-23,41.1,42.0,39.86,40.4,31200,0.107
2004-12-24,40.26,42.0,40.1,40.5,52600,0.107
2004-12-27,41.8,42.0,40.16,40.36,34500,0.107
2004-12-28,4.02,4.296,4.02,4.09,132000,0.011
2004-12-29,40.1,41.0,40.0,40.36,8000,0.107
2004-12-30,41.8,41.8,38.06,38.26,45700,0.102
2004-12-31,37.8,39.3,37.8,38.96,31500,0.103
2005-01-03,39.0,40.4,37.3,39.7,53500,0.105
2005-01-04,39.0,39.26,38.0,38.7,39500,0.103
2005-01-05,39.0,39.0,36.8,37.0,28000,0.098
2005-01-06,36.36,37.9,36.0,36.5,9500,0.097
2005-01-07,36.5,38.9,36.5,38.4,20100,0.102
2005-01-10,38.16,39.5,36.9,36.9,40800,0.098
2005-01-11,38.9,38.9,35.3,35.5,16500,0.094
2005-01-12,35.0,37.1,33.0,33.1,68000,0.088
2005-01-13,33.7,35.76,33.5,34.66,6000,0.092
2005-01-14,33.2,36.16,32.16,32.96,31000,0.087
2005-01-17,35.96,39.56,35.86,39.56,248500,0.105
2005-01-18,47.4,47.4,41.3,43.06,963000,0.114
2005-01-19,43.0,46.5,43.0,44.46,405700,0.118
2005-01-20,44.0,44.0,42.5,42.66,86500,0.113
2005-01-24,4.3,4.366,4.2,4.29,97900,0.011
2005-01-25,42.66,43.5,42.26,43.06,34800,0.114
2005-01-27,42.66,43.4,41.56,42.56,49600,0.113
2005-01-28,42.16,44.0,42.16,43.1,57100,0.114
2005-01-31,51.0,51.0,43.1,43.8,136800,0.116
2005-02-01,44.16,44.16,40.26,41.9,35500,0.111
2005-02-02,44.0,44.0,42.0,42.36,26700,0.112
2005-02-03,43.66,43.7,41.9,43.1,36400,0.114
2005-02-04,43.4,50.9,42.5,49.6,677200,0.132
2005-02-07,50.0,52.5,47.5,48.26,378400,0.128
2005-02-08,55.0,55.0,48.16,48.4,92000,0.128
2005-02-09,57.5,57.5,48.6,51.2,303600,0.136
2005-02-10,61.0,61.0,50.5,52.46,178900,0.139
2005-02-11,51.0,58.0,51.0,56.16,317800,0.149
2005-02-14,58.0,67.4,58.0,67.4,340500,0.179
2005-02-15,71.0,80.9,66.0,71.86,2369500,0.191
2005-02-16,71.8,78.8,71.0,72.8,1609800,0.193
2005-02-17,71.1,73.8,67.0,67.3,437200,0.179
2005-02-18,68.5,69.76,67.5,67.8,235900,0.18
2005-02-21,68.4,68.4,62.0,62.7,82100,0.166
2005-02-22,63.0,63.0,60.06,61.76,87400,0.164
2005-02-23,63.4,64.26,60.56,62.2,71400,0.165
2005-02-24,56.05,68.45,56.05,68.0,352600,0.18
2005-02-25,68.1,73.7,66.0,67.76,353400,0.18
2005-02-28,70.0,70.0,64.0,64.5,40400,0.171
2005-03-01,67.0,69.9,60.4,64.06,130600,0.17
2005-03-02,68.46,68.46,62.6,64.4,175000,0.171
2005-03-03,62.56,69.96,62.56,65.56,196700,0.174
2005-03-04,65.5,66.5,65.0,65.2,60700,0.173
2005-03-07,63.6,64.9,63.5,63.7,56300,0.169
2005-03-08,64.5,66.8,63.1,65.2,67700,0.173
2005-03-09,62.0,64.5,62.0,62.66,30300,0.166
2005-03-10,6.4,6.4,6.26,6.29,12700,0.017
2005-03-11,64.0,66.0,62.5,63.36,74700,0.168
2005-03-14,67.5,67.5,61.5,61.96,21300,0.215
2005-03-15,64.9,64.9,61.1,61.66,22400,0.214
2005-03-16,61.3,64.6,61.3,61.8,36300,0.215
2005-03-17,6.08,6.25,5.9,6.05,26100,0.021
2005-03-18,60.1,62.6,56.9,58.86,29100,0.205
2005-03-21,59.16,62.36,56.66,59.7,64600,0.208
2005-03-22,55.26,61.4,54.2,55.4,41200,0.193
2005-03-23,56.8,56.8,52.5,52.7,12900,0.183
2005-03-24,49.96,52.5,49.3,49.7,11400,0.173
2005-03-28,48.16,53.0,48.0,49.26,51800,0.171
2005-03-29,48.06,48.6,45.56,46.6,19900,0.162
2005-03-30,45.5,48.6,45.5,48.26,19000,0.168
2005-03-31,49.0,50.7,46.66,50.7,9600,0.176
2005-04-01,53.16,53.16,52.06,53.1,5500,0.185
2005-04-04,55.76,55.8,53.0,55.8,73100,0.194
2005-04-05,58.46,58.46,55.4,56.2,2500,0.195
2005-04-06,57.6,57.6,55.26,57.16,2100,0.199
2005-04-07,55.0,57.5,55.0,57.06,1500,0.198
2005-04-08,55.5,57.7,55.2,57.2,33400,0.199
2005-04-11,5.33,5.596,5.326,5.45,5200,0.019
2005-04-12,53.26,55.0,52.7,55.0,27200,0.191
2005-04-13,53.56,55.8,53.56,55.5,18200,0.193
2005-04-15,55.96,55.96,51.76,54.8,200,0.191
2005-04-18,50.8,54.6,50.8,53.2,2000,0.185
2005-04-19,54.0,56.7,52.06,52.96,8900,0.184
2005-04-20,55.9,55.9,49.3,54.06,8700,0.188
2005-04-21,51.76,54.86,51.5,54.76,9400,0.19
2005-04-22,56.4,56.4,52.3,52.36,2100,0.182
2005-04-25,53.0,55.0,52.3,54.6,12000,0.19
2005-04-26,54.8,54.8,52.2,53.8,5900,0.187
2005-04-27,55.0,57.46,53.0,56.5,87000,0.196
2005-04-28,59.0,62.16,59.0,62.16,86900,0.216
2005-04-29,66.9,68.4,64.6,67.66,403600,0.235
2005-05-02,71.0,71.0,67.0,68.0,146400,0.236
2005-05-03,68.0,69.5,65.7,66.5,26800,0.231
2005-05-04,67.76,67.76,65.06,65.8,20500,0.229
2005-05-05,65.76,67.8,63.16,64.26,42600,0.223
2005-05-06,64.46,65.0,62.0,63.86,52300,0.222
