Date,Open,High,Low,Close,Volume,Adj Close
2006-09-11,147.0,147.0,133.05,134.8,44100,38.355
2006-09-12,131.25,134.85,120.15,131.15,10300,37.317
2006-09-13,133.05,139.8,133.05,137.1,6200,39.01
2006-09-14,140.0,140.75,135.6,136.15,12800,38.739000000000004
2006-09-15,136.05,139.95,133.0,135.3,5800,38.498000000000005
2006-09-18,135.0,136.0,133.7,133.8,5300,38.071
2006-09-19,134.3,136.65,133.0,133.65,6200,38.028
2006-09-20,133.5,134.5,130.55,130.8,3000,37.217
2006-09-21,130.6,137.8,130.0,134.85,5000,38.37
2006-09-22,134.0,134.7,132.0,133.4,2400,37.957
2006-09-25,132.05,132.05,129.2,129.35,9900,36.805
2006-09-26,131.0,132.15,130.0,132.0,2900,37.559
2006-09-27,130.1,149.0,130.05,141.5,63400,40.262
2006-09-28,140.0,145.0,138.25,139.55,29400,39.707
2006-09-29,144.0,144.0,136.05,136.8,13500,38.924
2006-10-03,140.0,142.0,136.55,140.6,7900,40.006
2006-10-04,142.5,143.25,138.0,139.4,12100,39.664
2006-10-05,140.0,143.5,140.0,142.2,14900,40.461
2006-10-06,140.6,145.5,140.6,143.25,19400,40.76
2006-10-09,142.0,145.5,141.4,143.05,9300,40.703
2006-10-10,145.0,145.0,138.25,140.7,12400,40.034
2006-10-11,141.0,144.7,137.5,140.5,29400,39.977
2006-10-12,143.0,144.9,140.0,141.4,4000,40.233000000000004
2006-10-13,141.85,143.0,140.0,140.95,26000,40.105
2006-10-16,142.0,142.95,140.05,141.7,16900,40.319
2006-10-17,140.25,140.5,138.1,139.25,2000,39.622
2006-10-18,137.1,137.9,136.55,136.55,2600,38.853
2006-10-19,139.0,140.0,135.15,137.4,6200,39.095
2006-10-20,143.0,143.0,137.1,137.25,9600,39.052
2006-10-23,140.5,140.5,132.0,139.55,10500,39.707
2006-10-26,139.9,160.0,139.0,141.0,17400,40.119
2006-10-27,141.0,142.0,139.0,140.35,20200,39.935
2006-10-30,139.95,141.95,136.45,140.3,26000,39.92
2006-10-31,140.0,143.0,139.0,139.05,39500,39.565
2006-11-01,138.55,140.0,137.0,137.4,6100,39.095
2006-11-02,136.1,140.8,136.1,139.85,4800,39.792
2006-11-03,139.1,141.0,136.95,137.2,17400,39.038000000000004
2006-11-06,139.95,141.0,135.5,136.65,24700,38.882
2006-11-07,138.75,138.75,134.2,135.45,8900,38.54
2006-11-08,134.2,135.0,128.5,131.7,17900,37.473
2006-11-09,130.1,133.7,129.05,130.35,11600,37.089
2006-11-10,132.0,134.0,127.8,128.3,14900,36.506
2006-11-13,130.0,132.35,128.55,129.45,6500,36.833
2006-11-14,130.0,130.0,127.0,127.7,9400,36.335
2006-11-15,129.0,130.75,127.15,129.7,13000,36.904
2006-11-16,129.0,132.0,127.2,129.75,9400,36.918
2006-11-17,127.2,130.0,122.0,125.1,8200,35.595
2006-11-20,124.5,126.8,109.0,122.95,11300,34.984
2006-11-21,124.15,129.4,113.0,121.2,20600,34.486
2006-11-22,125.45,129.8,121.5,127.2,8100,36.193000000000005
2006-11-23,127.0,129.45,123.0,124.55,8300,35.439
2006-11-24,122.0,129.1,122.0,124.1,4200,35.311
2006-11-27,124.95,127.85,119.0,120.4,16100,34.258
2006-11-28,120.5,122.55,118.05,120.6,6500,34.315
2006-11-29,124.5,124.7,121.0,122.65,6100,34.898
2006-11-30,121.5,128.0,121.5,125.8,10900,35.795
2006-12-01,127.0,133.0,124.0,130.05,21400,37.004
2006-12-04,130.0,132.95,130.0,130.35,9000,37.089
2006-12-05,127.0,134.8,126.65,127.95,13500,36.406
2006-12-06,126.5,130.0,125.0,126.1,24500,35.88
2006-12-07,126.0,126.0,122.6,123.15,5800,35.041
2006-12-08,122.8,125.35,118.1,119.3,15100,33.945
2006-12-11,127.4,127.4,118.1,119.85,23200,34.102
2006-12-12,119.3,123.0,115.0,117.7,11400,33.49
2006-12-13,119.5,120.4,115.3,119.95,13300,34.13
2006-12-14,120.5,128.5,120.05,122.4,10500,34.827
2006-12-15,123.0,124.05,123.0,124.0,4500,35.282
2006-12-18,126.55,126.55,121.4,121.5,2300,34.571
2006-12-19,123.8,124.4,121.0,121.15,10600,34.471
2006-12-20,121.25,122.0,119.25,119.9,4600,34.116
2006-12-21,119.55,121.4,119.0,120.0,2000,34.144
2006-12-22,123.7,123.8,119.2,119.85,6100,34.102
2006-12-26,120.0,122.0,116.0,120.25,11000,34.215
2006-12-27,122.9,123.0,118.8,119.65,4300,34.045
2006-12-28,119.05,122.55,119.05,119.7,3800,34.059
2006-12-29,122.0,125.0,119.0,123.3,21800,35.083
2007-01-02,122.0,134.9,121.8,130.9,48100,37.246
2007-01-03,133.45,133.45,127.6,131.3,12700,37.359
2007-01-04,128.5,137.2,127.4,134.4,51000,38.242
2007-01-05,135.95,137.0,129.0,131.9,16900,37.53
2007-01-08,129.0,136.0,120.0,135.0,35000,38.412
2007-01-09,137.0,137.0,125.15,127.4,157300,36.25
2007-01-10,125.05,132.8,123.55,124.65,31600,35.467
2007-01-11,128.0,128.0,122.1,124.25,24900,35.354
2007-01-12,123.05,128.0,122.0,123.75,39400,35.211
2007-01-15,128.0,130.0,126.0,127.85,180600,36.378
2007-01-16,128.0,139.9,128.0,136.85,220900,38.939
2007-01-17,136.5,141.8,132.2,133.95,181600,38.114000000000004
2007-01-18,139.85,142.0,134.8,135.4,140800,38.525999999999996
2007-01-19,138.0,138.0,131.1,132.05,47100,37.573
2007-01-22,133.0,134.5,127.15,128.95,75900,36.691
2007-01-23,128.25,132.9,126.15,127.75,90600,36.349000000000004
2007-01-24,129.9,130.75,127.1,128.25,7800,36.492
2007-01-25,130.3,130.3,126.1,127.45,16400,36.264
2007-01-29,130.0,130.0,124.0,124.3,20900,35.368
2007-01-31,127.9,127.9,125.0,125.15,15100,35.61
2007-02-01,125.0,132.9,123.5,131.45,36000,37.402
2007-02-02,131.1,134.9,125.25,127.3,84300,36.221
2007-02-05,124.0,135.0,124.0,133.5,82600,37.985
2007-02-06,135.0,135.8,133.0,134.05,63300,38.141999999999996
2007-02-07,136.45,141.1,134.1,139.15,60900,39.593
2007-02-08,140.0,141.0,137.3,138.2,31200,39.323
2007-02-09,138.8,138.8,132.0,133.25,9500,37.914
2007-02-12,130.0,130.0,127.05,127.7,23200,36.335
2007-02-13,132.0,141.6,125.5,126.85,11900,36.093
2007-02-14,131.9,131.9,124.4,127.8,23300,36.364000000000004
2007-02-15,129.0,131.8,128.05,129.0,28600,36.705
2007-02-19,135.0,137.0,130.0,132.0,62300,37.559
2007-02-20,131.0,133.0,130.0,132.0,31300,37.559
2007-02-21,128.6,132.5,127.5,131.3,35700,37.359
2007-02-22,132.5,133.95,130.1,132.35,35600,37.658
2007-02-23,131.95,132.5,124.0,125.25,27400,35.638000000000005
