Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,370.15,374.0,370.0,371.5,1900,296.03
2002-07-02,365.65,379.0,365.65,370.55,3600,295.27
2002-07-03,374.5,374.5,369.6,372.05,9300,296.47
2002-07-04,370.3,372.95,370.05,371.1,1500,295.71
2002-07-05,370.3,375.0,369.7,374.2,10500,298.18
2002-07-08,373.15,375.05,370.0,370.65,3700,295.35
2002-07-09,374.9,375.0,371.5,372.05,2700,296.47
2002-07-10,370.55,374.25,370.0,370.45,6000,295.19
2002-07-11,372.8,372.8,370.0,370.25,1500,295.03
2002-07-12,369.25,373.0,369.25,370.85,1900,295.51
2002-07-15,374.65,374.65,367.5,370.0,14400,294.84
2002-07-16,368.05,372.75,368.0,369.3,18500,294.28
2002-07-17,367.3,372.95,367.3,371.2,4000,295.79
2002-07-18,366.05,374.0,366.05,371.6,2100,296.11
2002-07-19,366.3,379.85,366.3,369.95,18200,294.8
2002-07-22,379.0,379.0,367.15,372.45,5300,296.79
2002-07-23,376.9,376.9,368.8,369.4,8300,294.36
2002-07-24,365.75,374.4,365.75,372.4,2500,296.75
2002-07-25,365.25,371.9,365.25,370.45,4100,295.19
2002-07-26,365.0,378.0,362.0,368.05,27100,293.28
2002-07-29,374.95,374.95,362.0,362.0,4800,288.46
2002-07-30,362.05,369.85,362.0,362.3,9800,288.7
2002-07-31,358.9,361.0,299.95,320.6,35200,255.47
2002-08-01,325.0,338.95,321.0,330.35,10200,263.24
2002-08-02,320.05,330.0,312.1,315.85,4400,251.69
2002-08-05,320.0,326.95,316.0,322.35,1700,256.87
2002-08-06,324.0,324.0,318.4,320.05,1100,255.03
2002-08-07,320.3,324.85,315.0,315.45,4200,251.37
2002-08-08,319.95,319.95,314.0,315.0,9200,251.01
2002-08-09,311.0,327.3,311.0,321.3,5200,256.03
2002-08-12,317.6,323.4,315.0,315.05,8700,251.05
2002-08-13,315.25,320.0,310.25,314.1,4300,250.29
2002-08-14,316.0,320.0,308.55,309.6,4300,246.71
2002-08-16,311.15,313.3,305.1,307.55,5100,245.07
2002-08-19,319.8,319.8,307.0,307.3,5600,244.87
2002-08-20,324.0,324.0,301.0,302.7,9900,241.21
2002-08-21,300.05,303.0,294.0,295.4,14400,235.39
2002-08-22,295.5,297.1,289.0,294.55,13900,234.71
2002-08-23,295.05,296.85,291.05,293.8,7600,234.12
2002-08-26,295.0,300.95,291.25,295.4,11800,235.39
2002-08-27,295.0,301.9,293.0,294.6,10100,234.75
2002-08-28,298.25,298.25,293.35,295.1,6100,235.15
2002-08-29,295.0,297.9,293.35,294.8,1900,234.91
2002-08-30,297.0,297.95,292.15,293.6,3100,233.96
2002-09-02,293.05,297.0,291.0,292.15,4100,232.8
2002-09-03,295.0,295.0,290.05,292.1,2300,232.76
2002-09-04,292.0,292.0,290.0,290.9,8000,231.8
2002-09-05,290.2,294.75,285.1,289.2,9400,230.45
2002-09-06,288.1,289.5,285.1,286.5,4700,228.3
2002-09-09,281.1,287.0,280.1,284.05,4300,226.35
2002-09-11,286.0,286.0,283.0,284.0,1200,226.31
2002-09-12,283.15,289.95,283.15,286.7,2000,228.46
2002-09-13,294.0,299.95,280.2,282.05,10500,224.75
2002-09-16,276.1,285.0,276.1,280.25,4600,223.32
2002-09-17,289.95,289.95,280.0,280.6,3300,223.6
2002-09-18,279.9,281.95,276.05,278.45,8200,221.88
2002-09-19,279.0,279.0,275.0,275.0,4600,219.13
2002-09-20,286.0,288.0,257.0,278.85,2700,222.2
2002-09-23,275.3,279.05,273.0,273.9,2000,218.26
2002-09-24,271.0,272.75,270.0,271.05,11000,215.99
2002-09-25,272.0,286.5,270.0,270.4,1200,215.47
2002-09-26,274.0,274.0,270.0,271.15,1600,216.07
2002-09-27,271.0,271.5,270.0,270.65,5100,215.67
2002-09-30,289.9,289.9,265.0,269.8,6500,214.99
2002-10-01,269.0,270.0,267.0,267.5,1300,213.16
2002-10-03,270.0,276.0,267.05,271.05,3000,215.99
2002-10-04,275.0,275.0,268.5,271.3,3000,216.19
2002-10-07,270.0,286.0,266.0,282.8,3000,225.35
2002-10-08,274.05,291.5,274.05,283.5,2200,225.91
2002-10-09,295.0,295.0,271.0,271.55,4400,216.39
2002-10-10,264.1,275.75,264.1,273.8,900,218.18
2002-10-11,269.0,284.0,269.0,277.3,1900,220.97
2002-10-14,285.0,285.0,270.0,273.1,1300,217.62
2002-10-16,275.0,276.95,271.55,272.85,1000,217.42
2002-10-17,270.4,275.0,270.25,272.85,4100,217.42
2002-10-18,275.0,275.0,270.0,270.25,3600,215.35
2002-10-21,266.0,276.95,266.0,275.5,5900,219.53
2002-10-22,279.9,289.0,270.05,277.4,3300,221.05
2002-10-23,278.95,281.95,274.55,278.8,3700,222.16
2002-10-24,272.0,284.8,272.0,277.85,5700,221.41
2002-10-25,270.0,284.0,270.0,278.9,9000,222.24
2002-10-28,279.0,282.5,274.0,281.65,8400,224.43
2002-10-29,289.95,289.95,278.0,279.1,7400,222.4
2002-10-30,265.0,285.0,265.0,270.45,13500,215.51
2002-10-31,258.15,272.95,258.15,270.15,15600,215.27
2002-11-01,265.25,272.95,265.25,270.0,4200,215.15
2002-11-04,270.55,274.25,270.25,271.15,1100,216.07
2002-11-05,273.95,274.75,270.0,270.45,1500,215.51
2002-11-07,270.05,274.0,270.0,270.9,1500,215.87
2002-11-08,270.25,275.0,270.0,271.05,2400,215.99
2002-11-11,271.55,272.85,270.0,271.75,1000,216.54
2002-11-12,274.8,274.95,270.5,274.55,2200,218.78
2002-11-13,275.8,275.8,270.1,272.1,5100,216.82
2002-11-14,270.5,271.4,265.4,266.15,25400,212.08
2002-11-15,261.25,268.5,261.05,266.5,17200,212.36
2002-11-18,270.0,278.0,268.0,274.05,3200,218.38
2002-11-20,275.0,275.0,269.25,271.3,4700,216.19
2002-11-21,268.65,271.0,267.0,269.9,2700,215.07
2002-11-22,265.1,279.9,265.1,273.45,4900,217.9
2002-11-25,271.3,274.55,270.0,270.25,3000,215.35
2002-11-26,270.35,274.95,268.0,273.9,5200,218.26
2002-11-27,268.55,273.05,268.55,272.3,3400,216.98
2002-11-28,270.05,274.0,270.05,273.0,2000,217.54
2002-11-29,265.1,274.0,248.4,272.05,3200,216.78
2002-12-02,273.0,281.25,266.25,268.05,31700,213.6
2002-12-03,273.95,274.0,271.0,272.95,16800,217.5
2002-12-04,274.95,276.0,269.25,272.65,12700,217.26
2002-12-05,268.0,274.0,268.0,270.1,7700,215.23
2002-12-06,310.1,310.1,266.05,269.9,12700,215.07
2002-12-09,272.9,274.0,269.1,270.0,5600,215.15
2002-12-10,271.95,271.95,266.2,269.8,6200,214.99
2002-12-11,266.25,273.5,266.2,267.35,5600,213.04
2002-12-12,268.05,268.95,265.3,266.6,6600,212.44
2002-12-13,269.7,271.0,266.1,267.85,5900,213.44
2002-12-16,269.95,269.95,263.3,265.45,12100,211.52
2002-12-17,265.1,266.1,259.05,261.9,18600,208.7
2002-12-18,262.0,264.0,261.0,263.3,2200,209.81
2002-12-19,260.05,269.8,260.05,266.55,2600,212.4
2002-12-20,267.15,267.15,263.15,264.75,1100,210.97
2002-12-23,265.0,270.0,263.15,268.75,4000,214.15
2002-12-24,269.95,271.0,267.7,269.85,3100,215.03
2002-12-26,267.45,271.95,267.15,270.05,4600,215.19
2002-12-27,266.3,271.95,266.3,269.75,3400,214.95
2002-12-30,268.0,268.15,263.25,264.0,2100,210.37
2002-12-31,255.0,265.0,255.0,261.1,6900,208.06
2003-01-01,259.0,265.0,259.0,261.7,2100,208.54
2003-01-02,263.9,263.9,258.0,259.9,9800,207.1
2003-01-03,260.0,262.75,259.1,260.4,1800,207.5
2003-01-06,258.25,265.8,258.25,263.1,3800,209.65
2003-01-07,262.35,270.0,262.0,264.35,4200,210.65
2003-01-08,265.0,268.0,260.0,266.5,10400,212.36
2003-01-09,266.0,270.0,266.0,269.6,4100,214.83
2003-01-10,260.25,270.0,260.05,269.3,13100,214.59
2003-01-13,262.4,270.0,262.4,268.35,3900,213.84
2003-01-14,260.2,270.0,260.2,265.05,1400,211.21
2003-01-15,262.15,267.0,262.15,263.6,1300,210.05
2003-01-16,262.55,266.0,262.0,265.05,5300,211.21
2003-01-17,265.0,267.45,265.0,266.85,3800,212.64
2003-01-20,265.05,267.2,265.0,265.45,8700,211.52
2003-01-21,265.65,267.95,265.0,265.0,14500,211.17
2003-01-22,265.0,265.5,265.0,265.3,3000,211.4
2003-01-23,265.5,265.5,262.0,265.35,4400,211.44
2003-01-24,265.55,268.0,265.0,266.8,4700,212.6
2003-01-27,275.0,275.0,262.0,268.3,19100,213.8
2003-01-28,275.0,276.0,265.0,269.95,6300,215.11
2003-01-29,270.0,271.35,267.3,269.0,4400,214.35
2003-01-30,267.25,271.9,262.5,266.05,6800,212.0
2003-01-31,269.9,269.9,258.0,260.2,16800,207.34
2003-02-03,255.05,255.5,250.3,253.55,8600,202.04
2003-02-04,288.5,288.5,251.5,251.75,3700,200.61
2003-02-05,257.95,257.95,250.0,251.3,3200,200.25
2003-02-06,250.5,250.5,244.0,247.6,12000,197.3
2003-02-07,246.55,248.65,244.0,245.5,11500,195.63
2003-02-10,245.35,246.75,225.2,230.95,25400,184.03
2003-02-11,235.0,236.0,231.35,234.9,3000,187.18
2003-02-12,233.6,233.6,227.0,231.55,5700,184.51
2003-02-14,232.0,238.0,223.0,232.1,37700,184.95
2003-02-17,234.95,242.5,230.55,239.65,3500,190.97
2003-02-18,241.0,241.0,235.0,238.3,800,189.89
2003-02-19,239.0,242.25,236.1,241.35,7100,192.32
2003-02-20,237.95,241.0,232.0,238.05,7600,189.69
2003-02-21,230.05,244.9,230.05,239.95,5100,191.2
2003-02-24,225.0,241.45,222.0,238.05,23300,189.69
2003-02-25,240.95,240.95,229.0,234.4,8800,186.78
2003-02-26,231.25,236.5,231.05,232.05,4300,184.91
2003-02-27,238.9,239.85,229.0,237.15,34700,188.97
2003-02-28,241.0,241.5,236.05,236.75,9100,188.65
2003-03-03,241.0,241.4,235.0,239.4,6400,190.77
2003-03-04,239.95,242.4,236.55,237.6,5100,189.33
2003-03-05,239.25,239.25,230.0,236.9,7000,188.77
2003-03-06,238.9,238.9,230.1,232.3,12600,185.11
2003-03-07,237.75,239.9,230.0,238.65,11400,190.17
2003-03-10,238.95,240.0,235.1,237.65,9500,189.37
2003-03-11,235.9,239.6,233.0,234.35,10900,186.74
2003-03-12,233.5,235.0,231.5,232.35,4700,185.15
2003-03-13,228.5,233.0,228.5,231.1,4400,184.15
2003-03-17,237.9,237.9,224.05,230.1,12000,183.36
2003-03-19,237.9,237.9,222.0,225.6,10700,179.77
2003-03-20,228.0,230.0,223.0,226.85,49500,180.77
2003-03-21,221.3,227.7,221.3,224.7,6900,179.05
2003-03-24,223.0,224.3,219.0,219.5,13500,174.91
2003-03-25,220.0,223.8,215.0,217.5,6500,173.32
2003-03-26,211.05,224.45,201.1,221.4,4900,176.42
2003-03-27,221.0,222.0,205.1,211.25,14800,168.33
2003-03-28,210.1,213.95,207.0,210.9,9200,168.06
2003-03-31,203.25,222.95,203.25,216.85,20600,172.8
2003-04-01,222.0,222.9,210.75,220.25,5800,175.51
2003-04-02,220.0,222.0,220.0,220.35,800,175.59
2003-04-03,220.3,223.0,219.65,221.1,10100,176.18
2003-04-04,223.0,226.0,219.7,223.2,4000,177.86
2003-04-07,224.9,225.0,222.0,223.95,2300,178.46
2003-04-08,224.0,225.0,222.1,223.55,1700,178.14
2003-04-09,223.9,225.35,222.4,224.8,2600,179.13
2003-04-10,223.0,244.0,223.0,229.7,16300,183.04
2003-04-11,243.3,243.3,231.65,236.4,8600,188.38
2003-04-15,240.0,245.95,235.0,236.25,4800,188.26
2003-04-16,230.05,238.95,228.0,230.0,8800,183.28
2003-04-17,216.85,244.95,211.3,220.9,12900,176.02
2003-04-21,218.3,219.0,215.0,215.65,4200,171.84
2003-04-22,212.55,221.55,212.5,219.65,7400,175.03
2003-04-23,216.7,222.05,216.7,220.05,9700,175.35
2003-04-24,215.05,221.95,210.5,214.9,17500,171.24
2003-04-25,212.0,220.0,212.0,214.25,19500,170.73
2003-04-28,219.9,234.5,211.1,212.65,12700,169.45
2003-04-29,212.95,220.0,212.0,218.15,23400,173.83
2003-04-30,216.6,222.0,216.6,221.2,6500,176.26
2003-05-02,222.95,222.95,219.0,219.65,2700,175.03
2003-05-05,219.95,225.0,215.0,223.45,9300,178.06
2003-05-06,217.05,220.6,215.55,219.65,11600,175.03
2003-05-07,216.0,220.8,216.0,220.2,8300,175.47
2003-05-08,217.55,221.9,217.55,220.6,11900,175.79
2003-05-09,216.1,222.65,216.1,220.45,9200,175.67
2003-05-12,216.1,225.0,216.1,222.5,5800,177.3
2003-05-13,218.65,229.0,218.65,225.15,7700,179.41
2003-05-14,222.1,230.0,222.1,228.55,12000,182.12
2003-05-15,234.85,240.0,229.0,238.3,15200,189.89
2003-05-16,240.0,244.8,233.2,235.2,5900,187.42
2003-05-19,231.0,234.7,226.05,230.85,10400,183.95
2003-05-20,229.0,236.95,229.0,234.05,15300,186.5
2003-05-21,230.5,238.0,230.5,232.4,7000,185.19
2003-05-22,220.0,248.85,220.0,243.6,38700,194.11
2003-05-23,237.05,247.7,237.05,243.3,18700,193.87
2003-05-26,250.0,250.0,241.15,246.95,7000,196.78
2003-05-27,241.65,248.5,241.6,245.0,10800,195.23
2003-05-28,241.5,245.4,232.1,233.75,4600,186.26
2003-05-29,237.95,248.8,232.1,242.45,9900,193.2
2003-05-30,243.0,243.0,233.15,236.8,10100,188.69
2003-06-02,235.0,238.95,232.0,235.75,9700,187.86
2003-06-03,214.5,241.0,214.5,239.5,12300,190.85
2003-06-04,239.95,243.0,239.0,239.7,14700,191.01
2003-06-05,235.0,243.0,235.0,241.75,5600,192.64
2003-06-06,238.45,254.0,238.4,252.85,15900,201.48
2003-06-09,253.25,256.95,253.1,254.95,19200,203.16
2003-06-10,252.3,256.0,250.0,255.5,11600,203.6
2003-06-11,251.0,251.05,245.0,248.25,6300,197.82
2003-06-12,250.0,253.5,250.0,253.45,16600,201.96
2003-06-13,251.0,255.0,250.0,253.9,15700,202.32
2003-06-16,246.0,255.5,245.0,254.35,8300,202.68
2003-06-17,250.05,259.0,250.05,257.05,26200,204.83
2003-06-18,252.0,258.0,251.9,255.2,18100,203.36
2003-06-19,253.45,257.9,253.45,256.65,5100,204.51
2003-06-20,255.0,256.1,254.05,255.35,6000,203.48
2003-06-23,253.0,260.0,250.35,259.35,28500,206.66
2003-06-24,251.0,262.45,251.0,259.25,26200,206.58
2003-06-25,258.2,260.0,254.0,254.55,8400,202.84
2003-06-26,254.0,258.95,249.05,253.1,21000,201.68
2003-06-27,248.6,259.8,248.6,258.25,7300,205.79
2003-06-30,251.5,270.0,251.5,264.75,13100,210.97
2003-07-01,262.2,266.5,255.45,257.25,13000,204.99
2003-07-02,258.55,274.0,258.5,269.7,18500,214.91
2003-07-03,263.1,274.0,263.1,270.05,17200,215.19
2003-07-04,265.15,271.0,265.1,268.5,10100,213.95
2003-07-07,263.65,271.45,263.65,268.15,3900,213.68
2003-07-08,268.25,271.5,268.1,269.9,4800,215.07
2003-07-09,262.65,274.95,262.65,271.1,6700,216.03
2003-07-10,269.1,271.95,265.1,269.95,4700,215.11
2003-07-11,267.55,273.95,267.55,271.75,11900,216.54
2003-07-14,272.0,273.95,268.25,271.85,7500,216.62
2003-07-15,260.0,269.8,255.55,264.5,3600,210.77
2003-07-16,268.0,268.0,264.05,265.1,3000,211.25
2003-07-17,265.0,268.9,265.0,267.35,6500,213.04
2003-07-18,269.0,270.55,260.0,262.6,5800,209.25
2003-07-21,266.75,266.75,255.15,257.35,3800,205.07
2003-07-22,261.25,261.25,253.55,257.9,2900,205.51
2003-07-23,258.0,264.0,254.1,260.75,6700,207.78
2003-07-24,267.0,267.0,260.0,264.0,8000,210.37
2003-07-25,263.0,268.75,262.0,265.3,3800,211.4
2003-07-28,257.0,271.95,257.0,269.25,16900,214.55
2003-07-29,260.0,272.5,231.0,271.5,9600,219.03
2003-07-30,269.1,284.0,268.55,277.95,13300,224.23
2003-07-31,275.3,284.95,275.0,277.7,7000,224.03
2003-08-01,283.45,283.45,270.35,275.2,5700,222.01
2003-08-04,275.0,275.0,270.7,272.5,4400,219.84
2003-08-05,273.0,275.0,268.0,271.4,4700,218.95
2003-08-06,280.0,280.0,260.0,267.4,5000,215.72
2003-08-07,268.05,273.0,265.1,269.15,4500,217.13
2003-08-08,268.6,274.0,268.0,271.5,8700,219.03
2003-08-11,270.15,275.0,269.55,273.85,11600,220.93
2003-08-12,272.05,280.0,270.0,271.1,19500,218.71
2003-08-13,269.5,278.0,269.5,273.65,7500,220.76
2003-08-14,273.6,278.45,273.6,275.75,12700,222.46
2003-08-18,271.15,280.0,271.15,277.4,14100,223.79
2003-08-19,275.0,280.0,268.05,271.45,14700,218.99
2003-08-20,270.2,275.0,269.3,270.55,14200,218.26
2003-08-21,261.25,273.0,261.25,266.75,6000,215.2
2003-08-22,265.0,272.85,263.05,264.6,10400,213.46
2003-08-25,265.55,266.5,258.5,260.2,7700,209.91
2003-08-26,259.05,265.45,258.25,259.9,7700,209.67
2003-08-27,257.0,272.35,257.0,262.3,13000,211.61
2003-08-28,256.0,289.0,256.0,277.2,26200,223.63
2003-08-29,270.0,283.0,270.0,280.75,37800,226.49
2003-09-01,280.0,298.95,278.0,293.65,29100,236.9
2003-09-02,285.0,295.65,285.0,290.85,14500,234.64
2003-09-03,285.0,300.0,285.0,298.6,57000,240.89
2003-09-04,290.05,314.0,290.05,301.3,37300,243.07
2003-09-05,300.65,314.0,300.65,307.55,343500,248.11
2003-09-08,316.0,355.0,316.0,348.85,216300,281.43
2003-09-09,350.0,370.0,330.0,338.65,76000,273.2
2003-09-10,338.65,338.65,321.65,325.1,23500,262.27
2003-09-11,310.5,333.95,310.5,329.0,21100,265.42
2003-09-12,318.25,333.0,318.25,329.2,14900,265.58
2003-09-15,360.0,360.0,326.15,330.0,47400,266.22
2003-09-16,336.4,338.85,322.05,334.2,20400,269.61
2003-09-17,332.0,343.0,325.5,339.45,84300,273.85
2003-09-18,315.05,341.95,315.05,338.5,40800,273.08
2003-09-19,344.0,346.0,325.3,340.3,29800,274.53
2003-09-22,340.35,342.0,335.5,339.65,39200,274.01
2003-09-23,337.05,345.0,332.5,340.0,47500,274.29
2003-09-24,344.85,345.0,337.05,343.2,11900,276.87
2003-09-25,349.65,375.0,340.0,345.5,14600,278.73
2003-09-26,340.0,345.9,340.0,344.65,4400,278.04
2003-09-29,317.45,348.8,317.45,340.0,22400,274.29
2003-09-30,336.05,345.85,336.0,342.6,16900,276.39
2003-10-01,331.0,344.0,331.0,340.05,20300,274.33
2003-10-03,338.3,347.0,338.25,345.1,12100,278.41
2003-10-06,345.5,348.0,338.25,340.15,12500,274.41
2003-10-07,335.75,347.0,335.75,339.4,50400,273.81
