Date,Open,High,Low,Close,Volume,Adj Close
2014-07-31,239.0,250.95,230.0,250.95,205600,243.45
2014-08-01,255.0,263.45,250.0,263.45,183000,255.57
2014-08-04,273.7,276.6,255.0,268.65,214900,260.62
2014-08-05,269.7,272.0,255.25,265.15,116300,257.22
2014-08-06,264.85,276.0,260.5,266.75,492700,258.78
2014-08-07,266.0,268.95,261.0,264.0,205600,256.11
2014-08-08,261.0,261.0,250.8,253.9,569400,246.31
2014-08-11,261.95,263.85,256.95,258.45,296400,250.72
2014-08-12,258.5,260.0,250.6,254.55,413100,246.94
2014-08-13,253.05,267.25,251.5,266.3,402700,258.34
2014-08-14,268.0,275.0,266.0,270.35,313900,262.27
2014-08-18,274.9,287.0,267.0,279.0,335500,270.66
2014-08-19,280.0,299.75,275.0,293.7,596600,284.92
2014-08-20,294.5,297.0,284.25,290.6,350800,281.91
2014-08-21,293.0,297.3,285.0,287.25,147200,278.66
2014-08-22,287.55,288.45,271.15,276.95,43700,268.67
2014-08-25,279.65,284.0,276.0,276.9,59600,268.62
2014-08-26,272.05,279.8,261.6,267.2,42900,259.21
2014-08-27,267.0,282.0,266.3,278.55,87600,270.22
2014-08-28,286.95,293.0,280.0,288.45,93100,279.83
2014-09-01,290.95,293.0,280.1,283.65,39500,275.17
2014-09-02,284.0,294.0,280.2,286.1,133000,277.55
2014-09-03,289.35,329.0,288.4,313.8,843700,304.42
2014-09-04,315.0,316.4,301.15,308.0,202300,298.79
2014-09-05,310.3,314.0,302.8,308.75,124100,299.52
2014-09-08,310.85,320.0,308.0,312.15,116900,302.82
2014-09-09,310.75,314.55,304.25,307.95,67300,298.74
2014-09-10,307.1,316.5,305.1,309.25,54100,300.01
2014-09-11,311.7,315.9,308.0,308.95,53200,299.71
2014-09-12,308.5,318.0,307.25,315.1,105900,305.68
2014-09-15,310.05,338.0,310.05,331.9,229100,321.98
2014-09-16,333.45,341.4,309.0,311.0,170600,301.7
2014-09-17,311.5,319.0,305.1,308.05,68400,298.84
2014-09-18,309.0,319.2,308.55,312.1,56800,302.77
2014-09-19,316.0,326.0,313.3,317.4,91800,307.91
2014-09-22,317.0,321.4,310.2,316.95,22100,307.47
2014-09-23,319.1,324.05,291.1,307.1,157600,297.92
2014-09-24,306.5,306.5,291.1,296.75,93700,287.88
2014-09-25,300.0,308.0,290.1,292.8,77000,284.05
2014-09-26,291.0,296.0,284.5,293.05,33400,284.29
2014-09-29,296.85,297.0,287.8,295.0,34000,286.18
2014-09-30,292.1,303.3,292.1,297.4,38200,288.51
2014-10-01,295.0,303.75,295.0,296.25,23300,287.39
2014-10-02,296.25,296.25,296.25,296.25,0,287.39
2014-10-03,296.25,296.25,296.25,296.25,0,287.39
2014-10-06,296.25,296.25,296.25,296.25,0,287.39
2014-10-07,300.0,303.0,291.1,293.3,20900,284.53
2014-10-08,294.0,300.0,294.0,298.8,19000,289.87
2014-10-09,300.0,312.75,296.5,309.9,66900,302.66
2014-10-10,309.9,333.3,303.05,319.45,127700,311.99
2014-10-13,315.0,322.95,311.1,314.2,26400,306.86
2014-10-14,324.0,324.0,311.1,320.4,65200,312.92
2014-10-15,320.4,320.4,320.4,320.4,0,312.92
2014-10-16,320.0,320.0,306.9,309.25,47300,302.03
2014-10-17,307.0,313.0,303.0,307.1,20800,299.93
2014-10-20,305.05,315.15,305.05,308.2,60400,301.0
2014-10-21,308.8,322.4,302.05,318.9,41400,311.45
2014-10-22,327.0,327.0,318.0,325.15,38300,317.56
2014-10-23,325.15,325.15,325.15,325.15,0,317.56
2014-10-24,325.15,325.15,325.15,325.15,0,317.56
2014-10-27,323.0,323.3,311.2,312.65,12600,305.35
2014-10-28,303.1,320.0,303.1,314.95,9800,307.59
2014-10-29,318.5,328.9,313.1,324.45,38100,316.87
2014-10-30,321.0,335.75,316.3,326.1,320900,318.48
2014-10-31,333.7,333.7,325.5,330.65,22600,322.93
2014-11-03,328.0,335.5,323.05,329.2,26200,321.51
2014-11-04,329.2,329.2,329.2,329.2,0,321.51
2014-11-05,323.3,334.0,323.3,328.0,43700,320.34
2014-11-06,328.0,328.0,328.0,328.0,0,320.34
2014-11-07,329.0,332.8,321.05,326.05,45900,318.43
2014-11-10,324.0,338.9,324.0,332.25,35800,324.49
2014-11-11,332.8,342.05,331.95,339.3,49900,331.37
2014-11-12,336.25,344.7,327.2,339.55,62500,331.62
2014-11-13,343.8,355.6,338.65,353.65,224500,345.39
2014-11-14,354.0,388.85,354.0,371.5,201700,362.82
2014-11-17,372.25,396.65,372.25,383.55,104200,374.59
2014-11-18,384.0,389.95,374.6,382.85,55900,373.91
2014-11-19,380.0,392.0,372.0,378.4,64600,369.56
2014-11-20,380.05,383.85,366.0,379.9,45000,371.03
2014-11-21,377.0,384.5,370.85,380.1,32300,371.22
2014-11-24,387.95,394.0,375.0,378.85,73000,370.0
2014-11-25,379.8,379.8,367.7,376.65,37400,367.85
2014-11-26,373.05,385.4,372.65,382.35,61200,373.42
2014-11-27,390.0,416.9,383.65,411.25,161400,401.64
2014-11-28,420.0,473.7,420.0,460.05,800300,449.3
2014-12-01,469.45,500.0,458.1,495.1,627000,483.54
2014-12-02,498.0,515.0,477.65,504.95,519000,493.16
2014-12-03,506.5,506.5,484.0,487.85,145500,476.45
2014-12-04,490.05,492.75,465.5,471.35,96800,460.34
2014-12-05,477.95,488.0,468.6,477.4,53300,466.25
2014-12-08,490.0,490.0,468.3,479.2,51300,468.01
2014-12-09,485.0,519.0,485.0,491.45,226200,479.97
2014-12-10,492.0,530.0,464.7,523.25,333200,511.03
2014-12-11,533.0,548.3,516.45,521.05,304200,508.88
2014-12-12,518.1,533.5,505.0,508.2,77900,496.33
