Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,311.8,317.5,307.0,312.35,113800,193.94
2002-07-02,314.8,323.0,313.5,315.4,166000,195.84
2002-07-03,316.25,322.5,312.0,314.35,196400,195.18
2002-07-04,316.75,319.85,316.75,318.15,233900,197.54
2002-07-05,319.9,330.0,319.9,324.05,472500,201.21
2002-07-08,331.0,340.0,328.0,338.85,317100,210.4
2002-07-09,339.3,343.9,333.0,336.65,456600,209.03
2002-07-10,336.6,338.0,328.0,329.5,98800,204.59
2002-07-11,330.0,330.0,322.25,323.4,68700,200.8
2002-07-12,326.8,332.0,326.0,327.95,63100,203.63
2002-07-15,328.0,328.8,319.0,320.65,87800,199.1
2002-07-16,318.5,320.95,314.0,315.0,47100,195.59
2002-07-17,314.1,317.9,305.0,307.75,122900,191.09
2002-07-18,308.1,315.0,307.5,312.25,173000,193.88
2002-07-19,300.0,314.0,300.0,307.25,84200,190.77
2002-07-22,302.0,307.7,299.2,301.9,103200,187.45
2002-07-23,300.0,309.1,298.05,306.1,78700,190.06
2002-07-24,307.0,309.75,295.95,299.05,189900,185.68
2002-07-25,312.0,312.0,284.55,287.25,266200,178.36
2002-07-26,285.3,289.7,276.15,278.5,178500,172.92
2002-07-29,279.9,281.9,246.05,274.0,386900,170.13
2002-07-30,280.0,289.0,275.1,276.5,254100,171.68
2002-07-31,255.0,272.0,255.0,267.1,325600,165.85
2002-08-01,269.0,279.9,255.25,262.8,438400,163.18
2002-08-02,260.0,271.95,255.5,269.0,229400,167.03
2002-08-05,271.8,280.1,271.8,276.25,297400,171.53
2002-08-06,277.4,284.9,272.1,279.5,184700,173.54
2002-08-07,282.0,284.9,272.0,273.4,164000,169.76
2002-08-08,275.8,279.0,272.0,274.2,166400,170.25
2002-08-09,278.0,278.0,273.0,275.5,94300,171.06
2002-08-12,276.7,287.0,275.0,283.7,182800,176.15
2002-08-13,285.85,288.0,280.65,285.7,156700,177.39
2002-08-14,279.2,300.5,279.2,298.7,650700,185.47
2002-08-16,299.0,306.0,297.05,300.6,762200,186.65
2002-08-19,303.0,308.5,298.0,299.65,487300,186.06
2002-08-20,300.15,303.75,292.0,294.15,259300,182.64
2002-08-21,294.9,295.5,281.55,282.95,206900,175.69
2002-08-22,284.0,286.85,277.0,278.0,203500,172.61
2002-08-23,282.5,282.9,272.0,274.3,194800,170.32
2002-08-26,273.9,281.9,273.0,277.5,169200,172.3
2002-08-27,282.0,282.0,269.5,270.1,164800,167.71
2002-08-28,259.0,275.0,259.0,273.75,88600,169.97
2002-08-29,277.5,278.8,264.0,265.45,404800,164.82
2002-08-30,269.0,271.7,267.5,269.0,204800,167.03
2002-09-02,275.0,275.0,266.6,269.3,310400,167.21
2002-09-03,274.0,275.0,270.4,274.0,117600,170.13
2002-09-04,272.5,274.0,268.0,273.15,125000,169.6
2002-09-05,275.0,277.0,273.85,275.1,245700,170.81
2002-09-06,275.8,282.7,274.25,279.9,283700,173.79
2002-09-09,280.0,280.0,274.1,276.15,251900,171.46
2002-09-11,277.8,285.0,276.0,281.15,295000,174.57
2002-09-12,282.65,283.9,276.1,279.15,124500,173.33
2002-09-13,279.0,280.0,275.5,276.25,53600,171.53
