Date,Open,High,Low,Close,Volume,Adj Close
1996-01-02,196.6668,196.6668,194.6667,194.6667,2200,3.2513
1996-01-03,193.3332,193.3332,193.3332,193.3332,400,3.2291
1996-01-05,189.9999,194.6667,188.0001,194.6667,428400,3.2513
1996-01-08,194.6667,188.0001,187.3668,187.3668,900,3.1294
1996-01-09,186.6666,189.9333,186.6666,189.9333,900,3.1723
1996-01-10,184.6668,184.6668,184.6668,184.6668,400,3.0843
1996-01-11,184.6668,189.9999,185.0334,185.0334,2700,3.0905
1996-01-12,186.6666,189.3333,186.6666,188.0001,1300,3.14
1996-01-16,185.3334,186.6666,183.3999,183.4332,3100,3.0637
1996-01-18,185.4999,185.4999,185.4999,185.4999,400,3.0982
1996-01-19,183.9999,185.1666,183.9999,185.1666,1300,3.0927
1996-01-22,183.9999,184.6668,183.9999,184.6668,4500,3.0843
1996-01-23,182.6667,182.6667,182.6667,182.6667,900,3.0509
1996-01-24,182.6667,182.6667,182.6667,182.6667,400,3.0509
1996-01-25,182.6667,183.3333,180.0333,181.1334,3600,3.0253
1996-01-29,181.1334,186.6666,184.0332,184.0332,4500,3.0737
1996-01-30,184.0332,185.3334,182.6667,183.3333,9400,3.0621
1996-02-01,186.6666,186.6666,186.6666,186.6666,400,3.1177
1996-02-02,189.9999,192.0,188.6667,192.0,2700,3.2068
1996-02-05,196.6668,200.0001,196.6668,200.0001,7600,3.3404
1996-02-06,200.0001,200.6667,200.0001,200.0334,3100,3.341
1996-02-07,201.0,206.6667,200.6667,206.6667,171900,3.4518
1996-02-08,206.6667,206.6667,201.3666,206.6667,3600,3.4518
1996-02-09,206.0001,226.6668,206.0001,225.5667,12100,3.7674
1996-02-12,225.5667,230.0001,206.6667,208.5,15300,3.4824
1996-02-13,208.5,224.4999,216.6666,224.4666,59800,3.7491
1996-02-14,224.4666,234.6666,223.3332,231.6333,77800,3.8688
1996-02-15,231.6333,229.5999,224.0334,226.7001,6300,3.7864
1996-02-16,226.7001,229.5,217.3332,228.9666,13000,3.8242
1996-02-19,228.9666,228.0,219.9999,222.4668,4500,3.7157
1996-02-20,222.4668,222.6666,218.6667,222.6666,3100,3.719
1996-02-23,222.6666,226.6668,216.6999,226.5666,83700,3.7841
1996-02-26,226.5666,233.3334,226.6332,233.1999,23800,3.8949
1996-02-27,233.1999,233.3334,226.7334,230.0001,6700,3.8415
1996-02-28,230.0001,227.3334,223.4667,227.3334,3600,3.797
1996-02-29,227.3334,223.3332,218.6667,218.6667,2200,3.6522
1996-03-01,218.6667,218.6667,216.6666,217.5333,2200,3.6333
1996-03-04,217.5333,219.9999,216.8334,219.9999,4000,3.6745
1996-03-06,219.9999,221.3001,218.0001,218.0001,15300,3.6411
1996-03-07,218.0001,219.9999,218.3667,219.0,3600,3.6578
1996-03-08,219.9999,220.0332,216.6666,220.0332,4500,3.675
1996-03-11,218.6667,221.1666,216.6666,218.6001,362700,3.6511
1996-03-12,218.6001,216.0666,215.3334,215.3334,1800,3.5965
1996-03-13,215.3334,218.0001,213.3333,217.6668,5400,3.6355
1996-03-14,217.6668,219.3333,216.6666,219.3333,4900,3.6633
1996-03-15,219.3333,221.1,216.6666,219.3,228600,3.6628
1996-03-18,210.6666,216.6666,210.0,211.3668,16600,3.5303
1996-03-19,211.3668,211.6668,210.0,211.6668,4500,3.5353
1996-03-21,211.6668,213.3333,206.6667,213.3333,3600,3.5631
1996-03-22,213.3333,206.6667,204.0666,204.0666,1300,3.4083
1996-03-25,204.0666,209.3001,204.6999,209.3001,5800,3.4958
1996-03-26,209.3001,207.3333,206.1666,207.3333,3600,3.4629
1996-03-27,207.3333,207.3333,205.3332,206.6667,2200,3.4518
1996-03-28,206.6667,214.6668,206.6667,214.6668,8100,3.5854
