Date,Open,High,Low,Close,Volume,Adj Close
2005-09-01,700.0,750.0,541.25,111.36,72278500,19.891
2005-09-02,540.0,557.0,533.0,107.36,21464100,19.176
2005-09-05,544.0,545.0,496.0,100.79,12781900,18.003
2005-09-06,508.0,523.7,505.0,101.88,12794600,18.198
2005-09-08,513.0,516.7,501.25,100.66,3575500,17.98
2005-09-09,506.0,509.0,485.0,97.67,3671100,17.446
2005-09-12,488.0,494.9,478.0,96.45,2426000,17.228
2005-09-13,484.0,496.7,475.0,96.88,5024200,17.305
2005-09-14,485.0,486.0,470.1,94.62,2156700,16.901
2005-09-15,473.0,482.1,471.35,94.96,1650600,16.962
2005-09-16,474.0,477.0,470.3,94.69,974800,16.913
2005-09-19,474.5,479.7,462.3,93.07,762700,16.624
2005-09-20,465.5,465.5,452.05,90.79,1229000,16.217
2005-09-21,456.0,456.0,428.0,88.32,1498100,15.776
2005-09-22,440.0,440.0,403.0,83.09,1201700,14.841
2005-09-23,410.0,419.85,397.05,81.81,2104500,14.613
2005-09-26,413.3,422.45,412.0,83.41,961500,14.899
2005-09-27,419.05,424.9,415.0,83.38,716900,14.893
2005-09-28,419.0,421.0,415.1,83.69,443300,14.949
2005-09-29,425.0,476.0,417.0,85.0,1624100,15.183
2005-09-30,426.0,432.0,418.0,85.09,858000,15.199
2005-10-03,426.05,429.0,421.0,84.77,268200,15.141
2005-10-04,424.0,449.0,422.9,89.25,1886800,15.942
2005-10-05,452.0,452.0,440.5,88.3,747500,15.772
2005-10-06,443.4,443.4,431.0,87.21,323100,15.577
2005-10-07,442.0,464.0,436.0,92.15,2197400,16.46
2005-10-10,462.05,469.0,458.35,92.3,922100,16.486
2005-10-11,463.9,476.0,459.0,94.34,1233900,16.851
2005-10-13,471.0,482.0,462.0,95.24,2111400,17.012
2005-10-14,475.0,483.0,462.15,93.19,743200,16.645
2005-10-17,466.95,470.0,460.0,92.18,455100,16.465
2005-10-18,460.0,466.0,457.2,91.83,496800,16.402
2005-10-19,460.0,460.0,441.0,89.19,315100,15.931
2005-10-20,445.95,460.0,434.0,87.72,382200,15.668
2005-10-21,433.15,442.0,433.15,87.71,216900,15.667
2005-10-24,442.0,444.0,436.1,87.99,180100,15.717
2005-10-25,443.45,443.45,436.05,87.54,122400,15.636
2005-10-26,439.0,442.4,438.0,87.73,126300,15.67
2005-10-27,439.0,439.5,421.15,85.47,79800,15.266
2005-10-28,427.0,439.5,420.05,86.03,462900,15.367
2005-10-31,431.1,440.0,431.05,87.59,867500,15.645
2005-11-01,440.05,440.05,433.0,86.78,33600,15.5
2005-11-02,433.1,438.0,431.15,87.45,78000,15.62
2005-11-07,440.0,450.0,438.0,89.73,169100,16.027
2005-11-08,447.0,459.0,447.0,91.26,158200,16.301
2005-11-09,459.7,459.7,450.0,90.29,161100,16.127
2005-11-10,457.0,459.95,451.0,91.65,114900,16.37
2005-11-11,452.0,464.95,452.0,91.88,256700,16.411
2005-11-14,451.0,463.0,451.0,92.35,413200,16.495
2005-11-16,461.0,463.9,458.55,91.8,92900,16.397
2005-11-17,457.0,462.05,456.5,91.8,96400,16.397
2005-11-18,460.0,475.8,451.65,91.42,1054900,16.329
2005-11-21,460.0,460.0,451.15,91.01,204700,16.256
2005-11-22,451.0,454.0,445.1,90.05,132000,16.085
2005-11-23,445.25,457.0,445.25,91.19,180200,16.288
2005-11-24,459.9,459.9,456.0,91.55,120500,16.352
2005-11-25,459.8,459.8,452.0,91.36,100500,16.319
2005-11-28,459.0,460.0,455.0,91.18,179000,16.286
2005-11-29,452.0,458.0,452.0,91.36,117800,16.319
2005-11-30,458.0,465.0,456.2,92.09,208800,16.449
2005-12-01,455.0,467.65,455.0,93.12,210400,16.633
2005-12-02,467.0,473.0,465.2,94.18,263000,16.822
2005-12-05,470.0,484.3,470.0,96.02,435400,17.151
2005-12-06,479.8,482.0,477.25,96.03,256400,17.153
2005-12-07,480.0,489.8,480.0,97.13,282000,17.349
2005-12-08,486.0,487.0,472.0,95.13,215400,16.992
2005-12-09,478.9,479.25,475.05,95.53,606500,17.063
2005-12-12,480.9,480.9,470.25,94.18,187200,16.822
2005-12-13,468.5,474.9,468.5,94.63,88900,16.903
2005-12-14,476.5,476.65,459.9,93.06,637600,16.622
2005-12-15,472.3,497.9,464.0,93.95,182000,16.781
2005-12-16,473.85,480.0,470.0,95.69,144400,17.092
2005-12-19,471.05,475.5,469.1,94.68,307000,16.912
2005-12-20,467.55,473.95,467.55,94.02,59600,16.794
2005-12-21,470.05,472.0,463.0,92.9,47800,16.594
2005-12-22,473.95,473.95,455.0,91.54,72100,16.351
2005-12-23,457.15,463.9,450.5,90.53,60300,16.17
2005-12-26,452.0,460.95,441.0,88.57,69600,15.82
2005-12-27,442.05,447.6,442.05,89.14,54500,15.922
2005-12-28,445.0,448.9,441.0,88.36,56500,15.783
2005-12-29,443.0,448.0,441.25,88.57,42900,15.82
2005-12-30,438.05,445.8,435.05,88.1,222500,15.736
2006-01-02,444.0,449.45,441.0,89.35,92200,15.96
2006-01-03,445.1,449.7,445.1,89.7,102200,16.022
2006-01-04,447.0,457.0,447.0,91.18,167200,16.286
2006-01-05,456.0,462.0,451.1,91.49,124100,16.342
2006-01-06,459.9,462.7,458.0,92.23,167400,16.474
2006-01-09,470.0,473.5,463.0,94.03,261400,16.795
2006-01-10,470.0,475.0,469.0,94.77,191900,16.928
2006-01-12,474.0,475.0,465.25,94.48,148900,16.876
2006-01-13,474.5,474.9,465.0,93.3,133900,16.665
2006-01-16,470.0,476.0,468.05,94.65,471100,16.906
2006-01-17,475.0,481.0,472.8,94.79,328300,16.931
2006-01-18,475.0,475.0,469.05,94.42,151500,16.865
2006-01-19,472.1,485.0,470.0,96.33,200000,17.206
2006-01-20,484.0,489.9,481.05,97.24,325700,17.369
2006-01-23,487.0,488.35,481.3,96.75,168100,17.281
2006-01-24,486.9,488.0,482.55,97.38,210700,17.394
2006-01-25,487.0,487.95,481.15,96.45,131300,17.228
2006-01-27,481.5,484.0,472.1,94.63,174400,16.903
2006-01-30,485.0,485.0,461.2,92.48,58300,16.519
2006-01-31,470.0,470.0,460.2,92.34,47400,16.494
2006-02-01,461.0,465.65,461.0,93.01,98700,16.613
2006-02-02,464.0,466.0,462.0,92.86,93800,16.586
2006-02-03,456.55,484.0,456.05,92.83,350600,16.581
2006-02-06,464.5,473.9,461.1,94.02,232100,16.794
2006-02-07,463.75,480.0,463.75,95.52,130200,17.062
2006-02-08,467.0,475.0,467.0,94.79,59400,16.931
2006-02-10,465.05,480.0,465.05,94.64,143700,16.904
2006-02-13,471.5,475.0,469.75,94.2,52500,16.826
2006-02-14,465.25,471.8,465.25,94.07,73000,16.803
2006-02-15,478.0,478.0,464.0,93.4,78100,16.683
2006-02-16,472.0,472.0,466.55,94.18,78100,16.822
2006-02-17,470.0,484.0,470.0,95.11,250800,16.988
2006-02-20,471.3,475.0,464.05,94.63,98900,16.903
2006-02-21,472.0,473.0,466.0,94.21,75000,16.828
2006-02-22,470.0,472.7,468.0,93.97,78100,16.785
2006-02-23,466.1,470.0,465.55,93.55,71200,16.71
2006-02-24,464.1,471.6,464.05,94.08,81900,16.804
2006-02-27,470.0,471.0,468.0,93.98,44900,16.787
2006-02-28,463.0,472.5,463.0,94.28,94000,16.84
2006-03-01,464.0,472.5,464.0,93.95,105800,16.781
2006-03-02,433.3,470.5,433.3,94.0,85400,16.79
2006-03-03,466.15,470.5,466.15,93.99,123500,16.788
2006-03-06,468.0,471.5,465.5,93.9,111000,16.772
2006-03-07,465.1,470.0,460.15,92.46,107300,16.515
2006-03-08,460.25,464.5,458.05,91.98,91400,16.429
2006-03-09,454.0,461.25,454.0,91.97,87100,16.428
2006-03-10,460.0,463.0,456.1,92.01,85900,16.435
2006-03-13,456.5,460.0,452.6,91.05,50200,16.263
2006-03-14,455.5,462.8,455.0,91.68,89600,16.376
2006-03-16,458.9,459.0,454.2,91.1,76300,16.272
2006-03-17,455.1,455.25,450.15,90.61,56500,16.185
2006-03-20,454.0,454.0,449.0,90.11,60400,16.095
2006-03-21,452.0,453.5,445.6,89.91,47700,16.06
2006-03-22,446.0,453.4,445.6,90.27,73800,16.124
2006-03-23,450.1,460.0,449.1,91.29,145100,16.306
2006-03-24,456.1,457.0,453.0,91.05,89100,16.263
2006-03-27,448.05,457.75,448.0,91.08,99400,16.269
2006-03-28,451.25,457.5,445.0,89.76,195800,16.033
2006-03-29,447.0,473.9,447.0,93.24,145000,16.654
2006-03-30,465.0,470.0,465.0,93.25,54100,16.656
2006-03-31,466.25,468.0,466.0,93.23,46000,16.653
2006-04-03,450.0,478.0,450.0,94.97,123800,16.963
2006-04-04,470.0,479.0,470.0,95.6,93700,17.076
2006-04-05,478.0,487.0,472.0,96.96,170700,17.319
2006-04-07,488.0,489.7,476.0,96.97,159800,17.321
2006-04-10,476.0,487.4,476.0,97.26,62800,17.372
2006-04-12,489.4,489.4,470.0,96.66,77300,17.265
2006-04-13,475.1,487.0,475.0,97.0,123800,17.326
2006-04-17,484.9,486.8,476.1,97.09,149700,17.342
2006-04-18,485.45,519.4,485.45,103.43,528300,18.474
2006-04-19,525.0,547.7,518.0,106.25,691300,18.978
2006-04-20,502.35,535.0,502.35,106.51,251200,19.025
2006-04-21,530.0,532.0,511.0,104.12,104500,18.598
2006-04-24,510.0,523.0,510.0,103.56,55100,18.498
2006-04-25,512.0,525.0,510.0,103.6,84900,18.505
2006-04-26,511.0,523.5,510.4,103.69,67600,18.521
2006-04-27,539.9,540.0,510.0,104.91,94200,18.739
2006-04-28,518.0,518.0,480.0,103.27,62300,18.446
2006-05-02,517.0,527.0,516.4,104.64,117700,18.691
2006-05-03,518.0,526.7,516.5,104.59,134400,18.682
2006-05-04,525.0,529.0,518.05,105.28,247400,18.805
2006-05-05,523.0,529.95,522.0,105.23,46000,18.796
2006-05-08,529.0,531.0,520.6,105.98,124400,18.93
2006-05-09,520.0,533.0,514.0,106.14,233300,18.959
2006-05-10,534.9,543.0,516.25,107.6,461600,19.219
2006-05-11,519.0,534.95,519.0,106.43,67500,19.01
2006-05-12,530.0,551.0,530.0,109.7,333300,19.594
2006-05-15,532.2,548.0,528.0,106.16,113100,18.962
2006-05-16,522.0,526.0,491.1,103.47,66300,18.482
2006-05-17,515.05,535.0,515.05,106.04,46800,18.941
2006-05-18,520.0,520.0,500.0,100.13,38000,17.885
2006-05-19,505.0,520.0,500.0,102.15,130500,18.246
