Date,Open,High,Low,Close,Volume,Adj Close
2003-12-26,92.0,199.7,92.0,119.4,19844900,92.3
2003-12-29,124.35,143.3,120.1,143.0,15202500,110.55
2003-12-30,145.25,165.0,145.25,150.9,20250700,116.65
2003-12-31,152.7,159.3,145.1,148.05,13018800,114.45
2004-01-01,152.0,153.9,147.2,150.65,7461700,116.46
2004-01-02,151.9,152.4,147.05,148.15,5213000,114.53
2004-01-05,148.8,149.65,137.1,137.75,7137200,106.49
2004-01-06,138.7,138.7,122.15,123.9,8901300,95.78
2004-01-07,125.0,132.2,120.0,129.05,11126400,99.76
2004-01-08,131.7,134.35,130.5,132.7,4199000,102.58
2004-01-09,135.0,137.7,128.1,128.8,4151500,99.57
2004-01-12,129.6,129.7,125.05,126.05,3100000,97.44
2004-01-13,126.25,128.4,123.0,123.65,2640500,95.59
2004-01-14,124.1,126.35,123.1,123.6,1494800,95.55
2004-01-15,124.8,127.8,122.5,123.45,2884900,95.43
2004-01-16,123.9,124.0,114.2,114.8,2566500,88.75
2004-01-19,115.9,116.35,108.1,112.75,3025300,87.16
2004-01-20,113.8,119.0,110.5,111.45,2820000,86.16
2004-01-21,112.0,112.0,98.15,99.95,3545900,77.27
2004-01-22,100.1,103.8,96.7,98.5,3504000,76.15
2004-01-23,100.1,107.35,98.5,105.3,2832700,81.4
2004-01-27,108.0,110.0,105.2,109.4,1862000,84.57
2004-01-28,110.25,110.65,103.4,104.5,1649000,80.78
2004-01-29,105.0,105.0,102.0,102.7,1198800,79.39
2004-01-30,103.3,103.7,99.0,99.7,1055800,77.07
2004-02-03,100.7,100.7,90.75,91.7,1619500,70.89
2004-02-04,92.0,92.8,88.6,89.55,3351600,69.23
2004-02-05,90.0,95.55,89.55,90.7,3912500,70.12
2004-02-06,91.25,92.2,90.2,91.6,1639100,70.81
2004-02-09,92.4,93.0,91.5,92.5,1215200,71.51
2004-02-10,93.1,96.3,92.75,94.45,2711200,73.02
2004-02-11,95.3,95.5,93.1,94.0,1007000,72.67
