Date,Open,High,Low,Close,Volume,Adj Close
2005-05-17,16.1,17.8,15.34,15.61,74517600,1.92
2005-05-18,15.42,17.7,15.42,16.66,97440800,2.05
2005-05-19,84.6,87.75,84.1,84.75,27699500,10.42
2005-05-20,85.5,86.9,82.75,83.25,13543200,10.23
2005-05-23,85.0,86.5,80.5,81.8,6184300,10.05
2005-05-24,82.5,82.7,79.75,80.7,3624400,9.92
2005-05-25,81.1,81.2,78.55,78.95,2825800,9.7
2005-05-26,79.05,80.9,77.0,77.45,5563100,9.52
2005-05-27,15.58,16.72,15.55,16.1,10436200,1.98
2005-05-30,81.0,81.4,79.1,79.85,4402000,9.82
2005-05-31,80.4,81.35,79.2,80.7,3110800,9.92
2005-06-01,81.5,84.2,80.1,81.95,9907200,10.07
2005-06-02,82.8,82.8,80.5,80.85,2602800,9.94
2005-06-03,16.27,16.3,15.98,16.07,1953300,1.98
2005-06-06,81.45,84.3,81.15,82.75,3496200,10.17
2005-06-07,83.0,83.45,81.5,82.7,2025800,10.17
2005-06-08,82.7,91.4,82.6,89.5,25734000,11.0
2005-06-09,90.35,93.8,89.5,90.1,20866200,11.08
2005-06-10,90.75,91.05,86.45,88.95,8098200,10.93
2005-06-13,17.7,18.47,17.61,18.01,10026400,2.21
2005-06-14,90.35,93.9,88.0,91.25,8856200,11.22
2005-06-15,91.9,93.0,89.5,89.9,4040800,11.05
2005-06-16,90.15,90.4,85.5,85.7,3594400,10.53
2005-06-17,86.1,87.9,85.1,85.3,4001800,10.49
2005-06-20,86.25,89.4,86.05,88.45,4769000,10.87
2005-06-21,88.9,89.4,86.5,87.05,3370400,10.7
2005-06-22,87.95,87.95,85.75,87.35,3179000,10.74
2005-06-23,88.0,90.5,87.5,88.9,5976900,10.93
2005-06-24,88.25,90.9,86.0,89.85,3682700,11.04
2005-06-27,89.9,90.9,86.2,87.2,2801100,10.72
2005-06-28,87.5,87.75,85.9,86.35,1455500,10.61
2005-06-29,86.0,87.3,85.7,86.05,682700,10.58
2005-06-30,86.55,86.9,85.5,86.0,1317700,10.57
2005-07-01,17.4,17.4,16.8,17.0,1172400,2.09
2005-07-04,85.0,86.5,82.75,84.25,1368500,10.36
2005-07-05,84.0,86.9,84.0,84.7,2146400,10.41
2005-07-06,85.65,86.95,84.0,85.3,1879300,10.49
2005-07-07,85.75,86.65,83.1,83.55,1187700,10.27
2005-07-08,84.95,85.75,84.0,84.95,1074300,10.44
2005-07-11,86.6,91.0,86.0,86.95,6247500,10.69
2005-07-12,17.4,17.59,16.72,17.45,3103600,2.14
2005-07-13,88.0,90.3,87.3,89.1,4111900,10.95
2005-07-14,89.5,98.2,89.25,95.1,19387800,11.69
2005-07-15,96.5,98.35,94.0,94.5,7514100,11.62
2005-07-18,95.6,95.95,93.0,93.4,2587100,11.48
2005-07-19,94.3,94.75,92.0,92.65,1932100,11.39
2005-07-20,93.65,96.0,92.5,93.5,1727700,11.49
2005-07-21,95.45,95.75,90.0,91.15,2980400,11.2
2005-07-22,93.0,99.3,91.8,92.35,7373000,11.35
2005-07-25,93.0,94.25,88.0,88.3,4290400,10.85
2005-07-26,90.0,90.0,86.5,87.45,1608400,10.75
2005-07-27,88.5,88.5,87.4,87.75,813300,10.79
2005-07-29,87.95,91.0,81.0,87.85,2114400,10.8
2005-08-01,89.0,90.05,88.1,88.6,1121700,10.89
2005-08-02,89.2,89.9,85.1,87.65,977200,10.77
2005-08-03,88.35,89.0,86.0,86.2,937600,10.6
2005-08-04,87.0,87.0,84.7,85.1,986300,10.46
2005-08-05,86.9,90.55,85.25,89.15,4727300,10.96
2005-08-08,90.25,94.0,88.5,89.65,3754500,11.02
2005-08-09,90.5,92.0,88.7,91.15,2181800,11.2
2005-08-10,92.0,93.9,91.35,91.65,2076400,11.27
2005-08-11,93.4,94.95,92.1,93.0,3758200,11.43
2005-08-12,93.85,94.5,90.3,90.9,2119500,11.17
2005-08-16,90.25,93.5,88.25,91.15,2132700,11.2
2005-08-17,91.55,93.9,90.0,92.9,1913700,11.42
2005-08-18,93.4,95.0,92.0,92.55,2516500,11.38
2005-08-19,92.7,93.9,91.5,92.5,1536300,11.37
2005-08-22,95.6,111.0,94.0,110.3,29150600,13.56
2005-08-23,21.0,23.4,20.52,20.88,26573100,2.57
2005-08-24,106.0,106.8,98.6,100.3,12578400,12.33
2005-08-25,100.4,110.4,98.65,108.35,16716200,13.32
2005-08-26,108.8,112.8,106.8,108.25,10481300,13.31
2005-08-29,108.5,108.5,102.1,103.2,6472400,12.69
2005-08-30,104.0,110.5,104.0,106.05,5905000,13.04
2005-08-31,106.0,110.0,105.0,106.85,3635000,13.13
2005-09-01,108.0,115.8,107.2,112.05,12832600,13.77
2005-09-02,113.4,114.9,108.25,108.8,3761900,13.37
2005-09-05,109.6,111.25,105.05,106.35,4020200,13.07
2005-09-06,107.0,108.45,104.35,105.05,2140300,12.91
2005-09-08,106.1,110.75,105.5,107.5,3309700,13.21
2005-09-09,107.9,110.0,105.75,107.0,2988500,13.15
2005-09-12,107.05,128.4,107.05,127.75,37539100,15.7
2005-09-13,134.9,136.5,126.1,132.0,30730100,16.23
2005-09-14,131.5,131.5,120.1,122.75,9172500,15.09
2005-09-15,124.5,147.3,123.0,147.3,34213600,18.11
2005-09-16,158.0,176.8,153.0,176.8,56725600,21.73
2005-09-19,177.0,183.4,163.6,166.2,25695900,20.43
2005-09-20,165.1,180.9,160.1,177.25,37871400,21.79
2005-09-21,35.14,35.14,31.91,32.91,16197500,4.05
2005-09-22,165.0,165.0,148.1,148.6,11319400,18.27
2005-09-23,151.0,160.0,134.3,150.75,16099100,18.53
2005-09-26,153.0,165.85,151.0,163.7,14340100,20.12
2005-09-27,165.0,168.65,158.1,160.85,11212100,19.77
2005-09-28,160.0,163.45,156.0,157.55,5829400,19.37
2005-09-29,158.0,163.5,147.4,151.25,16205200,18.59
2005-09-30,153.0,153.7,138.05,142.15,12175900,17.47
2005-10-03,141.5,153.9,131.25,152.05,19101100,18.69
2005-10-04,153.0,166.5,153.0,165.15,15617500,20.3
2005-10-05,162.9,171.4,154.65,166.15,13223500,20.42
2005-10-06,160.0,164.8,155.9,158.5,5473600,19.48
2005-10-07,159.8,164.6,155.55,158.65,8636000,19.5
2005-10-10,159.0,163.5,148.55,151.2,5420700,18.59
2005-10-11,152.0,153.5,145.2,148.2,5684800,18.22
2005-10-13,148.5,148.5,127.0,131.0,6656600,16.1
2005-10-14,131.0,132.8,123.8,125.25,8149900,15.4
2005-10-17,128.25,132.4,125.4,131.15,6681800,16.12
2005-10-18,131.5,139.6,130.55,133.85,7952900,16.45
2005-10-19,133.45,133.45,122.25,124.0,3619800,15.24
2005-10-20,127.0,129.9,117.2,121.1,4194100,14.89
2005-10-21,123.0,124.85,118.1,123.75,3303900,15.21
2005-10-24,124.55,132.75,124.55,127.15,5197600,15.63
2005-10-25,128.0,129.0,122.05,125.8,2467100,15.46
2005-10-26,125.0,125.25,113.5,118.75,7642600,14.6
2005-10-27,119.7,119.7,113.3,114.3,2983600,14.05
2005-10-28,114.85,120.9,111.0,112.3,6164700,13.8
2005-10-31,112.0,118.8,112.0,117.2,3045600,14.41
2005-11-01,25.18,25.18,23.6,24.0,1084000,2.95
2005-11-02,120.05,120.5,116.1,118.05,1515200,14.51
2005-11-07,118.0,122.2,116.9,120.85,1426300,14.85
2005-11-08,121.9,128.0,120.4,123.5,2815300,15.18
2005-11-09,124.8,126.35,121.1,122.25,1487400,15.03
2005-11-10,123.0,124.95,121.8,123.4,821600,15.17
2005-11-11,125.0,128.0,124.5,126.25,1464600,15.52
2005-11-14,127.6,133.5,127.0,132.75,3138200,16.32
2005-11-16,133.9,138.75,133.55,137.65,2317000,16.92
2005-11-17,140.2,142.0,134.8,138.65,4735400,17.04
2005-11-18,140.5,142.1,133.15,134.85,1968400,16.58
2005-11-21,135.0,139.4,132.3,134.45,1614600,16.53
2005-11-22,137.9,137.9,131.9,132.7,1145100,16.31
2005-11-23,132.1,135.45,132.1,133.95,591600,16.47
2005-11-24,134.0,138.45,132.0,133.6,2759700,16.42
2005-11-25,135.0,146.0,134.5,144.3,6363100,17.74
2005-11-28,149.95,149.95,140.25,141.5,2330900,17.39
2005-11-29,141.5,144.7,137.1,141.35,2895500,17.37
2005-11-30,142.75,144.95,137.1,138.7,1600200,17.05
2005-12-01,139.0,143.0,137.75,140.65,968900,17.29
2005-12-02,141.0,144.25,140.1,143.45,2807400,17.63
2005-12-05,143.0,153.8,140.5,148.5,5951800,18.25
2005-12-06,149.7,149.7,144.6,147.15,1676900,18.09
2005-12-07,146.0,149.0,142.2,142.9,1009400,17.57
2005-12-08,144.25,147.0,143.0,144.6,924700,17.77
2005-12-09,144.5,145.9,141.95,142.85,1118200,17.56
2005-12-12,144.8,145.4,137.25,138.6,1156800,17.04
2005-12-13,139.0,140.8,137.0,137.55,677300,16.91
2005-12-14,137.65,140.5,134.0,136.35,1570700,16.76
2005-12-15,136.5,140.45,135.0,136.25,899400,16.75
2005-12-16,137.0,142.7,133.5,139.15,1729400,17.1
2005-12-19,138.0,142.2,135.5,136.3,1840900,16.75
2005-12-20,138.5,138.5,131.5,132.0,864400,16.23
2005-12-21,137.0,149.5,133.55,143.8,9231500,17.68
2005-12-22,145.6,145.6,140.9,142.1,2444200,17.47
2005-12-23,143.6,160.0,143.6,154.1,15066700,18.94
2005-12-26,155.0,161.5,151.5,153.35,13684600,18.85
2005-12-27,153.0,163.75,152.1,159.3,11992000,19.58
2005-12-28,160.0,164.95,158.1,161.05,7546700,19.8
2005-12-29,162.0,166.65,160.0,161.45,5329300,19.85
2005-12-30,165.0,176.65,159.8,160.5,8363600,19.73
2006-01-02,161.5,162.75,156.55,158.7,3493000,19.51
2006-01-03,159.7,160.45,155.1,157.85,1871600,19.4
2006-01-04,157.9,164.5,155.1,158.65,3534900,19.5
2006-01-05,159.9,160.8,155.6,156.8,1582400,19.27
2006-01-06,157.5,159.35,155.0,156.45,1459200,19.23
2006-01-09,156.5,163.5,156.5,162.1,2122800,19.93
2006-01-10,162.95,165.55,158.1,159.3,2074500,19.58
2006-01-12,157.75,160.55,156.1,158.4,1004000,19.47
2006-01-13,159.85,168.0,159.2,166.1,3314200,20.42
2006-01-16,171.0,172.45,162.05,163.4,5621100,20.09
2006-01-17,32.8,33.13,31.73,31.99,2220100,3.93
2006-01-18,160.5,160.5,154.0,155.9,1136000,19.16
2006-01-19,155.9,165.0,155.9,164.1,1677600,20.17
2006-01-20,33.0,33.2,31.8,32.07,1034300,3.94
2006-01-23,161.0,165.45,155.1,163.45,1485200,20.09
2006-01-24,165.0,167.7,162.55,164.65,1189900,21.56
2006-01-25,166.9,166.9,162.05,164.8,595000,21.58
2006-01-27,165.5,167.0,162.0,165.2,612600,21.63
2006-01-30,166.5,166.5,152.0,158.6,591000,20.77
2006-01-31,159.8,160.9,157.6,159.4,382100,20.87
2006-02-01,160.2,164.65,155.5,156.65,724500,20.51
2006-02-02,157.9,164.0,156.2,159.9,1294700,20.94
2006-02-03,158.5,160.45,154.5,155.6,702700,20.37
2006-02-06,158.65,158.65,155.3,157.05,446500,20.56
2006-02-07,157.5,157.5,152.15,153.1,461900,20.05
2006-02-08,153.0,159.5,150.6,157.85,950900,20.67
2006-02-10,159.9,161.4,157.0,160.45,607700,21.01
2006-02-13,162.3,162.3,155.0,155.65,384000,20.38
2006-02-14,157.7,157.7,152.3,153.25,357000,20.07
2006-02-15,154.1,156.1,150.2,152.15,278500,19.92
2006-02-16,153.0,157.1,152.0,152.6,315900,19.98
2006-02-17,153.9,157.0,153.0,155.95,790500,20.42
2006-02-20,157.0,162.0,150.4,158.75,897400,20.79
2006-02-21,31.96,32.7,31.02,31.97,1756500,4.19
2006-02-22,162.0,164.9,156.0,157.85,3128000,20.67
2006-02-23,159.0,162.5,158.1,159.0,582400,20.82
2006-02-24,161.0,161.3,153.5,154.55,287800,20.24
2006-02-27,154.75,158.0,153.1,153.85,175300,20.14
2006-02-28,155.0,156.0,152.1,153.2,1527900,20.06
2006-03-01,152.5,156.0,152.0,152.55,462200,19.97
2006-03-02,154.9,156.2,151.15,152.15,331000,19.92
2006-03-03,154.0,154.4,150.6,151.3,385100,19.81
2006-03-06,153.55,153.95,151.25,152.9,335800,20.02
2006-03-07,153.2,158.0,151.65,152.1,980900,19.91
2006-03-08,154.0,154.0,147.0,148.8,325700,19.48
2006-03-09,151.95,151.95,145.35,146.15,141400,19.14
2006-03-10,146.0,153.4,146.0,151.15,375000,19.79
2006-03-13,153.0,153.0,146.9,148.0,424500,19.38
2006-03-14,151.5,151.5,147.0,149.45,536300,19.57
2006-03-16,151.5,153.4,149.0,150.25,984600,19.67
2006-03-17,150.6,160.0,148.75,159.3,1728200,20.86
2006-03-20,159.65,174.4,155.5,173.0,4662000,22.65
2006-03-21,174.0,184.0,165.05,167.7,2883800,21.96
2006-03-22,168.9,176.5,164.35,174.25,1061700,22.81
2006-03-23,177.25,187.7,177.25,184.85,3195000,24.2
2006-03-24,184.05,200.7,183.0,197.6,3724700,25.87
2006-03-27,199.0,201.45,182.5,184.25,904200,24.12
2006-03-28,185.0,187.85,175.5,176.8,584800,23.15
2006-03-29,35.0,36.8,35.0,35.44,255700,4.64
2006-03-30,179.0,185.0,178.0,180.25,292800,23.6
2006-03-31,181.0,186.9,175.6,177.75,357400,23.27
2006-04-03,180.0,183.9,177.1,178.2,274700,23.33
2006-04-04,179.5,181.0,176.6,179.55,235000,23.51
2006-04-05,178.5,190.0,176.1,187.0,746100,24.48
2006-04-07,188.0,194.0,169.0,184.05,753900,24.1
2006-04-10,184.0,187.0,179.1,180.95,220200,23.69
2006-04-12,36.44,36.6,34.62,35.04,170300,4.59
2006-04-13,169.1,176.0,166.1,167.7,129500,21.96
2006-04-17,171.0,177.4,169.0,170.25,658800,22.29
2006-04-18,175.0,175.45,167.0,169.95,123000,22.25
2006-04-19,172.0,179.9,169.0,172.25,647100,22.55
2006-04-20,175.7,179.0,170.5,171.45,362300,22.45
2006-04-21,173.0,175.0,169.1,171.85,182200,22.5
2006-04-24,175.0,179.95,170.1,171.95,497800,22.51
2006-04-25,174.6,174.6,167.0,168.9,469800,22.11
2006-04-26,176.0,179.0,171.2,176.2,1875400,23.07
2006-04-27,178.0,183.9,175.0,180.8,1617900,23.67
2006-04-28,33.3,37.11,30.0,36.55,1146600,4.79
2006-05-02,185.0,189.8,182.0,182.5,267000,23.89
2006-05-03,182.5,186.9,182.0,182.25,197000,23.86
2006-05-04,184.1,189.0,179.5,182.95,560900,23.95
2006-05-05,183.1,185.5,183.0,183.2,388600,23.99
2006-05-08,184.9,186.9,146.6,181.95,504300,23.82
2006-05-09,180.25,185.5,180.0,181.15,225200,23.72
2006-05-10,182.2,184.8,182.2,183.55,109800,24.03
2006-05-11,165.15,220.3,165.15,220.3,3082400,28.84
2006-05-12,222.1,223.1,201.0,205.15,3059500,26.86
2006-05-15,203.0,204.95,184.9,186.95,1056600,24.48
2006-05-16,188.7,199.0,182.0,192.5,627900,25.2
2006-05-17,197.0,227.0,193.0,203.7,3289200,26.67
2006-05-18,198.6,207.0,166.6,177.6,2731100,23.25
2006-05-19,186.5,193.3,165.05,181.95,1493000,23.82
2006-05-22,184.4,186.25,145.7,152.25,1629200,19.93
