Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,16.6,17.0,16.3,16.34,12200,6.46
2002-07-02,16.36,16.6,16.21,16.29,14500,6.44
2002-07-03,16.7,16.7,16.25,16.32,14900,6.45
2002-07-04,16.4,16.4,16.2,16.27,38300,6.43
2002-07-05,16.23,16.59,16.23,16.3,25900,6.44
2002-07-08,16.6,16.8,16.32,16.48,15800,6.51
2002-07-09,16.6,16.74,16.43,16.48,22900,6.51
2002-07-10,16.5,16.7,16.4,16.61,7300,6.56
2002-07-11,16.54,16.75,16.29,16.68,10200,6.59
2002-07-12,16.69,16.85,16.4,16.47,20600,6.51
2002-07-15,16.49,17.0,16.49,16.77,17300,6.63
2002-07-16,16.7,16.82,16.55,16.68,26400,6.59
2002-07-17,16.55,16.87,16.5,16.81,27500,6.64
2002-07-18,16.87,17.0,16.77,17.0,34500,6.72
2002-07-19,15.98,17.29,15.9,17.12,64500,6.76
2002-07-22,16.5,16.6,16.11,16.48,36900,6.51
2002-07-23,16.6,16.7,16.25,16.39,13900,6.48
2002-07-24,16.2,16.59,16.2,16.28,16700,6.43
2002-07-25,16.3,16.5,16.03,16.09,23500,6.36
2002-07-26,16.0,16.19,15.8,15.87,22800,6.27
2002-07-29,17.5,17.5,15.5,15.55,35000,6.14
2002-07-30,15.55,15.94,15.5,15.61,12800,6.17
2002-07-31,15.5,15.8,15.0,15.62,63000,6.17
2002-08-01,17.0,17.0,15.51,15.59,10400,6.16
2002-08-02,16.5,16.5,15.12,15.62,12800,6.17
2002-08-05,15.8,15.8,15.4,15.51,19200,6.13
2002-08-06,15.44,15.69,15.41,15.49,8400,6.12
2002-08-07,15.35,15.98,15.35,15.47,12800,6.11
2002-08-08,15.47,15.6,15.03,15.14,9500,5.98
2002-08-09,15.2,15.5,15.0,15.11,18500,5.97
2002-08-12,15.31,15.45,15.1,15.19,12100,6.0
2002-08-13,15.2,15.39,15.12,15.23,12100,6.02
2002-08-14,15.03,15.27,15.03,15.16,4800,5.99
2002-08-16,15.29,15.29,15.0,15.06,14100,5.95
2002-08-19,15.1,15.5,15.1,15.3,8500,6.04
2002-08-20,15.3,15.32,15.01,15.17,8400,5.99
2002-08-21,15.1,15.25,15.03,15.13,6600,5.98
2002-08-22,16.0,16.0,15.3,15.34,12800,6.06
2002-08-23,15.01,15.4,15.01,15.21,4900,6.01
2002-08-26,15.5,15.5,15.21,15.34,12900,6.06
2002-08-27,15.4,15.4,15.13,15.14,8600,5.98
2002-08-28,15.2,15.2,14.92,15.04,6100,5.94
2002-08-29,15.15,15.2,15.01,15.17,3400,5.99
2002-08-30,15.29,15.29,15.03,15.1,5700,5.97
2002-09-02,15.98,15.98,15.17,15.23,5600,6.02
2002-09-03,15.38,15.38,15.1,15.19,4300,6.0
2002-09-04,15.28,15.28,15.05,15.1,4300,5.97
2002-09-05,15.14,15.2,14.96,15.03,7200,5.94
2002-09-06,15.06,15.17,15.01,15.1,5100,5.97
2002-09-09,15.02,15.24,15.02,15.1,4300,5.97
2002-09-11,15.24,15.4,15.15,15.34,6200,6.06
2002-09-12,15.3,15.48,15.1,15.25,15500,6.02
2002-09-13,15.42,15.45,15.06,15.12,5000,5.97
2002-09-16,14.91,15.2,14.91,15.15,4600,5.99
2002-09-17,15.14,15.23,15.0,15.01,6300,5.93
2002-09-18,15.03,15.48,15.03,15.21,3500,6.01
2002-09-19,15.11,15.32,15.09,15.18,6200,6.0
2002-09-20,14.9,15.32,14.75,15.2,8900,6.01
2002-09-23,15.4,15.4,15.13,15.18,2300,6.0
2002-09-24,15.07,15.2,14.9,15.02,7900,5.93
2002-09-25,14.9,15.09,14.8,14.84,4300,5.86
2002-09-26,14.82,15.0,14.82,14.97,1200,5.91
2002-09-27,15.0,15.19,14.8,15.18,3000,6.0
2002-09-30,15.89,15.89,14.16,14.6,10900,5.77
2002-10-01,14.62,14.85,14.5,14.64,11900,5.78
2002-10-03,14.8,14.9,14.6,14.89,6100,5.88
2002-10-04,15.0,15.0,14.62,14.8,4600,5.85
2002-10-07,14.61,14.94,14.6,14.88,2300,5.88
2002-10-08,14.9,15.65,13.54,15.02,7300,5.93
2002-10-09,14.91,15.16,14.8,14.85,5200,5.87
2002-10-10,14.55,14.87,14.55,14.73,3100,5.82
2002-10-11,14.6,15.03,14.6,14.83,6600,5.86
2002-10-14,15.49,15.49,14.87,14.9,2400,5.89
2002-10-16,15.1,15.1,14.5,14.58,4000,5.76
2002-10-17,14.5,14.86,14.5,14.71,7700,5.81
2002-10-18,14.61,14.86,14.52,14.6,4300,5.77
2002-10-21,14.06,14.93,14.06,14.67,5000,5.8
2002-10-22,14.5,15.3,14.5,14.77,13500,5.84
2002-10-23,14.92,14.92,14.61,14.71,3900,5.81
2002-10-24,14.2,15.0,14.2,14.87,5600,5.87
2002-10-25,14.9,15.0,14.41,14.54,12000,5.74
2002-10-28,14.5,14.7,14.31,14.65,7900,5.79
2002-10-29,14.46,15.19,14.46,14.88,11600,5.88
2002-10-30,14.0,15.0,14.0,14.67,8200,5.8
2002-10-31,14.62,14.72,14.21,14.58,12900,5.76
2002-11-01,14.33,14.65,12.39,14.52,10300,5.74
2002-11-04,15.0,15.0,14.43,14.47,4000,5.72
2002-11-05,14.47,14.79,14.41,14.49,7000,5.72
2002-11-07,14.4,14.7,14.31,14.37,8800,5.68
2002-11-08,14.59,14.59,14.2,14.24,8800,5.63
2002-11-11,14.48,14.48,14.01,14.17,6000,5.6
2002-11-12,14.68,14.68,13.97,14.01,13600,5.53
2002-11-13,13.26,14.2,13.11,14.14,17700,5.59
2002-11-14,14.01,14.45,14.01,14.19,13100,5.61
2002-11-15,14.13,14.39,14.13,14.31,7100,5.65
2002-11-18,14.49,14.8,14.26,14.72,25000,5.82
2002-11-20,14.75,14.79,14.41,14.7,15600,5.81
2002-11-21,14.56,14.95,14.5,14.79,18600,5.84
2002-11-22,15.0,16.2,14.93,16.08,54100,6.35
2002-11-25,16.0,17.4,15.81,16.6,94700,6.56
2002-11-26,16.99,17.2,16.31,16.41,40500,6.48
2002-11-27,16.1,16.43,16.01,16.14,21100,6.38
2002-11-28,16.25,16.5,16.05,16.35,22500,6.46
2002-11-29,16.25,16.4,16.1,16.29,18100,6.44
2002-12-02,16.2,17.19,16.2,16.89,49500,6.67
2002-12-03,17.0,17.2,16.8,17.02,42500,6.72
2002-12-04,17.0,17.29,16.61,17.2,43500,6.8
2002-12-05,16.85,17.39,16.85,17.02,34000,6.72
2002-12-06,17.83,17.83,16.88,17.23,27900,6.81
2002-12-09,17.04,18.45,17.0,17.81,54600,7.04
2002-12-10,17.8,18.18,17.61,17.94,29100,7.09
2002-12-11,18.03,18.35,17.8,18.25,42400,7.21
2002-12-12,18.2,18.6,18.1,18.34,43600,7.25
2002-12-13,18.5,18.98,18.5,18.79,62300,7.42
2002-12-16,19.01,19.2,18.61,18.77,38300,7.42
2002-12-17,18.9,18.9,18.25,18.42,17100,7.28
2002-12-18,17.9,19.0,17.9,18.86,24200,7.45
2002-12-19,19.0,19.15,18.63,19.01,65200,7.51
2002-12-20,19.1,19.99,18.81,19.0,19300,7.51
2002-12-23,19.05,19.2,18.82,19.05,14400,7.53
2002-12-24,17.4,19.3,17.4,18.97,9300,7.49
2002-12-26,18.96,19.15,18.82,18.97,11900,7.49
2002-12-27,18.93,19.05,18.75,18.97,26000,7.49
2002-12-30,18.9,19.0,18.76,18.95,23100,7.49
2002-12-31,18.51,19.1,18.51,18.99,14200,7.5
2003-01-01,18.91,19.1,18.72,18.79,15500,7.42
2003-01-02,18.9,18.95,18.75,18.78,5500,7.42
2003-01-03,18.41,18.96,18.41,18.87,5400,7.46
2003-01-06,18.61,19.1,18.61,18.89,21600,7.46
2003-01-07,19.0,19.1,18.7,18.76,15600,7.41
2003-01-08,18.7,18.84,18.48,18.56,52600,7.33
2003-01-09,18.2,18.6,18.01,18.24,21700,7.21
2003-01-10,17.9,18.3,17.87,18.11,13900,7.15
2003-01-13,18.02,18.4,18.02,18.18,5900,7.18
2003-01-14,18.28,18.42,18.15,18.21,7200,7.19
2003-01-15,18.0,18.99,17.95,18.65,16400,7.37
2003-01-16,18.89,18.89,18.2,18.43,17800,7.28
2003-01-17,18.53,18.53,18.3,18.36,9600,7.25
2003-01-20,18.6,19.0,18.33,18.4,13900,7.27
2003-01-21,18.5,18.79,18.0,18.04,18200,7.13
2003-01-22,18.5,18.6,18.1,18.18,38400,7.18
2003-01-23,18.0,18.45,18.0,18.07,8000,7.14
2003-01-24,18.4,18.41,17.8,17.89,16700,7.07
2003-01-27,18.38,18.38,17.3,17.42,15600,6.88
2003-01-28,18.0,18.0,17.13,17.42,8800,6.88
2003-01-29,17.73,18.2,17.33,17.51,14000,6.92
2003-01-30,18.39,18.79,17.52,17.95,15000,7.09
2003-01-31,18.2,18.2,17.6,17.74,7900,7.01
2003-02-03,17.85,17.85,17.52,17.54,4800,6.93
2003-02-04,17.85,18.17,17.2,18.01,17400,7.12
2003-02-05,18.09,18.09,17.6,17.95,7400,7.09
2003-02-06,17.8,18.19,17.63,18.12,9900,7.16
2003-02-07,17.71,18.15,17.71,17.79,11500,7.03
2003-02-10,17.66,17.8,17.65,17.71,4900,7.0
2003-02-11,17.8,18.0,17.72,17.81,12800,7.04
2003-02-12,17.75,18.09,17.72,18.01,22700,7.12
2003-02-14,17.91,17.91,17.6,17.72,7300,7.0
2003-02-17,17.8,18.1,17.77,18.0,12100,7.11
2003-02-18,18.0,18.24,17.81,18.1,9600,7.15
2003-02-19,17.9,18.44,17.9,18.39,7200,7.27
2003-02-20,18.4,18.7,18.16,18.6,14000,7.35
2003-02-21,17.0,18.69,17.0,18.58,17900,7.34
2003-02-24,18.51,19.1,18.5,19.03,25600,7.52
2003-02-25,18.73,19.1,18.7,18.79,9500,7.42
2003-02-26,18.23,19.1,18.23,19.0,55300,7.51
2003-02-27,19.3,19.3,18.84,19.04,13900,7.52
2003-02-28,19.25,20.94,19.0,20.59,318600,8.13
2003-03-03,21.08,22.64,21.0,21.68,313700,8.57
2003-03-04,21.9,21.9,21.01,21.26,128600,8.4
2003-03-05,21.34,21.34,20.5,20.81,124800,8.22
2003-03-06,20.65,20.87,20.33,20.48,45300,8.09
2003-03-07,20.2,20.36,19.55,19.7,110900,7.78
2003-03-10,19.99,20.0,19.53,19.6,33300,7.74
2003-03-11,19.65,19.85,19.4,19.73,22400,7.79
2003-03-12,19.7,19.8,19.2,19.31,21500,7.63
2003-03-13,19.15,19.9,19.15,19.71,13800,7.79
2003-03-17,19.61,19.7,19.1,19.39,57500,7.66
2003-03-19,19.79,19.79,18.64,19.1,38100,7.55
2003-03-20,19.35,19.5,18.3,19.35,21300,7.64
2003-03-21,18.8,19.7,17.6,19.45,21000,7.68
2003-03-24,19.4,19.49,19.1,19.14,9200,7.56
2003-03-25,19.0,19.15,18.91,19.04,8600,7.52
2003-03-26,18.3,19.84,17.6,19.03,16000,7.52
2003-03-27,19.0,19.27,18.5,18.63,36000,7.36
2003-03-28,18.55,19.25,17.4,18.74,25400,7.4
2003-03-31,18.7,18.97,18.19,18.24,27000,7.21
2003-04-01,18.99,18.99,18.15,18.56,6200,7.33
2003-04-02,19.78,19.78,18.31,19.09,8000,7.54
2003-04-03,19.2,19.3,18.65,18.79,2400,7.42
2003-04-04,20.0,20.0,18.43,18.6,19800,7.35
2003-04-07,18.61,18.83,18.6,18.71,21700,7.39
2003-04-08,18.79,18.79,18.4,18.55,10600,7.33
2003-04-09,18.59,18.78,18.5,18.64,7500,7.36
2003-04-10,18.6,19.2,18.28,18.5,25700,7.31
2003-04-11,18.79,19.1,18.21,18.34,16700,7.25
2003-04-15,18.5,18.95,18.4,18.55,31000,7.33
2003-04-16,18.36,18.85,18.36,18.7,23400,7.39
2003-04-17,18.71,19.79,17.22,17.61,37200,6.96
2003-04-21,17.73,18.17,17.7,17.96,13100,7.1
2003-04-22,17.8,18.18,17.58,17.64,11600,6.97
2003-04-23,17.7,17.92,17.53,17.65,13900,6.97
2003-04-24,17.15,17.75,17.15,17.3,22100,6.83
2003-04-25,17.19,17.45,17.15,17.23,11700,6.81
2003-04-28,17.3,18.45,17.01,17.12,14600,6.76
2003-04-29,17.21,17.34,16.93,17.1,15400,6.76
2003-04-30,17.12,17.4,17.1,17.14,17500,6.77
2003-05-02,17.7,17.7,17.28,17.37,28300,6.86
2003-05-05,17.5,18.35,17.5,18.22,29500,7.2
2003-05-06,18.4,18.87,18.2,18.5,24600,7.31
2003-05-07,18.35,19.15,18.01,18.79,48100,7.42
2003-05-08,18.8,19.25,18.36,18.7,77700,7.39
2003-05-09,18.15,19.2,18.15,19.13,30300,7.56
2003-05-12,19.0,19.29,18.65,18.84,24300,7.44
2003-05-13,18.5,19.28,18.5,19.21,27000,7.59
2003-05-14,19.2,19.49,19.2,19.41,17100,7.67
2003-05-15,19.45,20.1,19.4,19.99,68000,7.9
2003-05-16,20.1,20.5,19.4,19.62,38700,7.75
2003-05-19,19.7,19.9,19.01,19.13,36900,7.56
2003-05-20,19.14,19.5,19.04,19.38,13400,7.66
2003-05-21,19.43,19.72,19.1,19.2,21100,7.59
2003-05-22,17.6,19.48,17.6,18.74,32400,7.4
2003-05-23,19.48,19.48,18.34,18.51,18400,7.31
