Date,Open,High,Low,Close,Volume,Adj Close
1996-01-02,270.0,273.0,272.0,273.0,400,97.02
1996-01-03,273.0,265.0,265.0,265.0,100,94.17
1996-01-04,260.0,261.0,260.0,260.0,100,92.4
1996-01-05,260.0,260.0,260.0,260.0,100,92.4
1996-01-08,257.05,265.0,257.05,265.0,400,94.17
1996-01-09,259.95,265.0,259.95,261.05,200,92.77
1996-01-10,263.0,263.0,262.0,262.0,100,93.11
1996-01-11,255.0,264.0,255.0,264.0,100,93.82
1996-01-12,260.0,260.0,250.0,257.55,5800,91.52
1996-01-15,257.55,260.0,255.05,255.05,200,90.64
1996-01-16,255.0,259.0,255.0,259.0,100,92.04
1996-01-17,257.0,257.0,255.0,255.0,500,90.62
1996-01-18,253.6,253.6,253.6,253.6,0,90.12
1996-01-19,247.5,252.95,247.5,252.95,1000,89.89
1996-01-22,253.0,265.1,253.0,262.2,1000,93.18
1996-01-23,261.0,265.0,257.0,264.5,3800,93.99
1996-01-24,264.5,125.0,121.0,122.0,2400,43.35
1996-01-25,122.0,121.5,117.0,117.95,3100,41.92
1996-01-29,117.95,121.0,116.0,121.0,1100,43.0
1996-01-30,121.0,124.95,121.0,124.0,700,44.07
1996-01-31,123.95,134.0,123.5,134.0,2300,47.62
1996-02-01,125.0,132.0,124.1,130.0,2100,46.2
1996-02-02,130.0,134.95,128.0,134.95,11800,47.96
1996-02-05,134.95,139.5,135.0,138.0,3100,49.04
1996-02-06,140.0,147.45,133.0,139.65,6000,49.63
1996-02-07,139.65,138.0,135.0,137.5,900,48.86
1996-02-08,137.0,142.0,135.95,135.95,2900,48.31
1996-02-09,135.95,150.0,146.95,150.0,1800,53.31
1996-02-12,150.0,167.0,150.0,165.65,12100,58.87
1996-02-13,165.65,185.0,170.0,174.55,9100,62.03
1996-02-14,174.55,190.05,180.0,190.05,3400,67.54
1996-02-15,188.0,200.0,185.2,187.5,2700,66.63
1996-02-16,182.0,185.0,182.0,183.5,800,65.21
1996-02-19,185.0,185.0,182.0,183.0,1200,65.03
1996-02-20,183.0,183.25,174.0,179.0,3300,63.61
1996-02-22,177.0,178.5,170.0,170.0,500,60.41
1996-02-23,175.0,175.25,175.0,175.0,500,62.19
1996-02-26,175.0,179.75,175.0,175.0,1000,62.19
1996-02-27,175.0,185.0,175.0,183.35,3000,65.16
1996-02-28,176.0,185.0,175.05,179.95,2200,63.95
1996-02-29,179.9,180.0,175.0,176.2,600,62.62
1996-03-01,173.0,177.0,172.05,176.95,2300,62.88
1996-03-04,176.95,175.0,170.0,171.85,1300,61.07
1996-03-06,172.0,172.0,171.0,171.0,200,60.77
1996-03-07,170.0,172.0,166.55,167.05,300,59.36
1996-03-08,167.05,168.5,166.55,168.0,200,59.7
1996-03-11,168.0,165.0,160.5,160.5,500,57.04
1996-03-12,155.05,155.05,155.0,155.0,300,55.08
1996-03-13,155.0,157.0,153.6,155.0,500,55.08
1996-03-14,155.05,162.0,155.05,162.0,300,57.57
1996-03-15,160.95,161.9,158.0,158.0,500,56.15
1996-03-18,155.0,156.0,153.0,155.0,600,55.08
1996-03-19,155.0,155.0,143.25,147.6,600,52.45
1996-03-21,147.6,146.25,145.0,146.0,900,51.88
1996-03-22,146.0,149.45,147.0,148.0,700,52.59
