Date,Open,High,Low,Close,Volume,Adj Close
2006-02-23,172.0,194.8,167.05,175.25,26861600,171.76
2006-02-24,177.0,190.3,177.0,187.3,8792500,183.57
2006-02-27,189.0,189.0,178.55,179.55,2595700,175.98
2006-02-28,180.75,180.75,171.55,172.45,1148200,169.02
2006-03-01,172.45,177.5,164.25,167.35,1462500,164.02
2006-03-02,170.0,184.3,166.7,177.0,2908600,173.48
2006-03-03,176.7,186.0,172.15,181.05,3502500,177.45
2006-03-06,183.15,197.25,183.0,191.45,3986700,187.64
2006-03-07,192.0,196.2,186.5,192.75,2036800,188.91
2006-03-08,193.4,202.8,188.25,191.6,3278700,187.79
2006-03-09,191.0,196.5,188.9,195.7,1460600,191.8
2006-03-10,196.8,210.7,195.6,207.25,2619400,203.12
2006-03-13,208.0,213.45,207.5,211.6,1563800,207.39
2006-03-14,212.0,224.2,206.9,220.85,3065800,216.45
2006-03-16,222.0,222.4,207.15,207.9,931100,203.76
2006-03-17,207.5,211.95,198.0,199.95,605200,195.97
2006-03-20,200.4,209.7,196.5,207.1,748900,202.98
2006-03-21,208.7,208.7,199.6,200.6,262900,196.61
2006-03-22,200.95,204.0,192.5,195.95,310300,192.05
2006-03-23,198.2,204.25,194.4,195.75,291100,191.85
2006-03-24,197.0,203.4,196.0,197.6,356500,193.67
2006-03-27,199.7,203.6,198.0,199.25,338700,195.28
2006-03-28,201.0,206.5,199.0,199.55,477000,195.58
2006-03-29,202.0,210.75,201.5,208.25,622200,204.1
2006-03-30,210.0,216.8,203.1,205.65,481400,201.56
2006-03-31,208.0,214.4,205.5,211.8,353800,207.58
2006-04-03,213.65,220.75,207.05,215.5,730300,211.21
2006-04-04,216.25,216.25,209.4,210.45,222500,206.26
2006-04-05,211.9,220.7,211.1,217.65,485600,213.32
2006-04-07,218.95,234.5,218.85,221.3,936900,216.89
2006-04-10,222.8,229.5,210.25,213.3,300300,209.05
2006-04-12,215.0,253.0,213.2,219.6,1941100,215.23
2006-04-13,221.7,240.0,215.0,229.2,1356900,224.64
2006-04-17,233.0,243.4,229.5,237.8,1248200,233.07
2006-04-18,240.75,245.0,236.0,240.7,765600,235.91
2006-04-19,240.0,242.0,232.05,234.45,368500,229.78
2006-04-20,234.4,235.5,226.1,229.9,375400,225.32
2006-04-21,230.9,231.4,224.0,225.2,180500,220.72
2006-04-24,225.5,229.5,215.5,217.5,193300,213.17
2006-04-25,219.0,221.85,211.15,213.8,165700,209.54
2006-04-26,214.9,217.8,205.0,205.85,441700,201.75
2006-04-27,207.9,217.7,207.0,207.9,327900,203.76
2006-04-28,201.1,211.4,177.0,204.8,179000,200.72
2006-05-02,217.7,220.9,210.55,212.55,216600,208.32
2006-05-03,215.0,217.9,206.0,209.2,194800,205.04
2006-05-04,211.6,214.0,208.0,208.95,340500,204.79
2006-05-05,211.8,214.5,206.0,206.9,127500,202.78
2006-05-08,208.0,214.25,207.5,208.1,150600,203.96
2006-05-09,211.0,211.95,205.0,207.15,76600,203.03
2006-05-10,209.5,209.6,204.05,205.1,82000,201.02
2006-05-11,207.0,207.0,197.0,198.7,107700,194.74
2006-05-12,195.0,211.9,195.0,201.05,211900,197.05
2006-05-15,203.5,205.0,182.0,184.75,125700,181.07
2006-05-16,185.0,198.0,185.0,191.45,178800,187.64
2006-05-17,195.2,202.0,191.0,193.0,164700,189.16
2006-05-18,193.0,193.0,178.0,179.0,106000,175.44
2006-05-19,189.5,189.5,163.5,169.75,88600,166.37
2006-05-22,183.0,183.0,150.5,158.2,114200,155.05
2006-05-23,155.35,160.0,147.0,153.1,211500,150.05
2006-05-24,157.0,166.8,155.0,155.8,65400,152.7
2006-05-25,156.0,156.9,151.0,153.3,25200,150.25
2006-05-26,158.0,163.0,156.5,157.8,153900,154.66
2006-05-29,162.8,165.7,161.8,164.05,71600,160.78
2006-05-30,165.0,165.9,161.5,162.3,26600,159.07
2006-05-31,161.0,161.95,150.3,154.85,47400,151.77
2006-06-01,155.55,159.3,148.05,150.15,45300,147.16
2006-06-02,150.2,155.0,144.0,149.5,115600,146.52
2006-06-05,158.0,158.0,146.0,146.5,38300,143.58
2006-06-06,142.35,148.0,137.0,142.95,138300,140.1
2006-06-07,133.5,142.0,131.55,132.45,92000,129.81
2006-06-08,134.1,134.1,106.0,106.65,225400,104.53
2006-06-09,107.0,127.05,86.15,123.7,264000,121.24
2006-06-12,122.05,137.95,114.0,128.1,158000,125.55
2006-06-13,124.0,125.95,108.0,108.85,147700,106.68
2006-06-14,115.0,119.75,110.05,112.1,251400,109.87
2006-06-15,119.4,121.4,114.05,118.1,79100,115.75
2006-06-16,123.25,130.5,114.0,121.65,502100,119.23
2006-06-19,121.0,128.0,112.65,127.2,335600,124.67
2006-06-20,128.0,128.0,120.7,123.3,363900,120.85
2006-06-21,123.95,131.85,123.0,128.8,346900,126.24
2006-06-22,133.35,139.9,128.0,129.35,272900,126.77
2006-06-23,127.0,135.3,123.0,132.2,156400,129.57
2006-06-26,134.85,136.5,129.0,130.8,350100,128.2
2006-06-27,130.0,136.9,128.2,134.35,237400,131.68
2006-06-28,133.0,133.9,128.7,130.2,193400,127.61
2006-06-29,131.5,133.5,125.3,127.25,75800,124.72
2006-06-30,131.95,132.5,125.45,126.25,107700,123.74
2006-07-03,129.0,129.0,123.0,124.75,40800,122.27
2006-07-04,127.0,127.25,123.0,124.55,36700,122.07
2006-07-05,123.0,125.8,122.15,123.15,24400,120.7
2006-07-06,123.0,123.7,119.0,119.6,34500,117.22
