Date,Open,High,Low,Close,Volume,Adj Close
1996-01-01,18.9,18.9,18.6,18.6,3000,0.14800000000000002
1996-01-02,18.5,18.5,18.2,18.2,2000,0.145
1996-01-03,18.5,18.5,18.3,18.35,6000,0.146
1996-01-04,18.35,18.3,18.0,18.3,6000,0.146
1996-01-05,18.0,18.0,18.0,18.0,3000,0.14400000000000002
1996-01-08,17.5,17.5,17.0,17.005,6000,0.136
1996-01-09,17.0,17.0,16.625,16.725,14000,0.133
1996-01-10,16.725,16.895,16.5,16.535,6000,0.132
1996-01-11,16.2,17.3,16.2,17.095,8000,0.136
1996-01-12,16.7,16.99,16.7,16.85,5000,0.134
1996-01-15,17.475,17.5,17.4,17.4,5000,0.139
1996-01-16,17.2,17.2,17.0,17.005,5000,0.136
1996-01-17,17.2,17.2,17.2,17.2,1000,0.13699999999999998
1996-01-18,16.2,17.0,16.2,17.0,9000,0.136
1996-01-19,16.0,16.5,16.0,16.2,9000,0.129
1996-01-22,16.0,16.0,15.5,16.0,14000,0.128
1996-01-23,15.5,16.2,15.4,15.57,28000,0.124
1996-01-24,15.65,15.65,15.325,15.39,19000,0.12300000000000001
1996-01-25,15.1,15.5,15.1,15.2,5000,0.121
1996-01-29,14.8,15.2,14.75,15.085,16000,0.12
1996-01-30,14.705,15.3,14.705,15.275,7000,0.122
1996-01-31,14.905,15.5,14.905,15.31,3000,0.122
1996-02-01,15.875,15.875,15.8,15.8,2000,0.126
1996-02-02,15.8,17.3,16.51,17.025,8000,0.136
1996-02-05,17.025,18.7,17.7,18.0,10000,0.14400000000000002
1996-02-06,18.0,18.875,18.0,18.1,9000,0.14400000000000002
1996-02-07,17.0,17.3,16.9,17.0,9000,0.136
1996-02-08,17.3,17.8,17.2,17.75,7000,0.142
1996-02-09,18.5,18.9,17.9,18.76,18000,0.15
1996-02-12,18.76,19.0,18.7,18.825,20000,0.15
1996-02-13,18.7,20.0,18.15,19.08,12000,0.152
1996-02-14,19.08,19.695,19.005,19.6,11000,0.156
1996-02-15,19.6,19.9,19.2,19.8,13000,0.158
1996-02-16,19.8,19.495,18.3,18.3,8000,0.146
1996-02-19,18.3,18.5,18.2,18.5,8000,0.147
1996-02-20,18.5,18.65,18.4,18.47,17000,0.147
1996-02-22,18.1,18.3,18.1,18.2,3000,0.145
1996-02-23,18.2,18.6,18.32,18.32,10000,0.146
1996-02-26,18.45,18.495,18.45,18.495,2000,0.147
1996-02-27,18.495,18.3,16.6,17.905,9000,0.14300000000000002
1996-02-28,17.9,18.1,17.7,17.8,6000,0.142
1996-02-29,17.405,17.5,17.4,17.4,5000,0.139
1996-03-01,17.3,17.5,17.0,17.375,11000,0.139
1996-03-04,17.0,17.3,16.91,17.11,7000,0.136
1996-03-06,16.8,16.8,16.7,16.8,4000,0.134
1996-03-07,16.9,16.9,16.7,16.7,8000,0.133
1996-03-08,16.7,17.0,16.85,17.0,4000,0.136
1996-03-11,16.995,17.1,16.605,17.0,15000,0.136
1996-03-12,16.5,16.5,15.5,16.35,10000,0.13
1996-03-13,16.5,16.65,16.5,16.65,2000,0.133
1996-03-14,16.65,16.1,16.0,16.1,7000,0.128
1996-03-15,16.1,16.4,16.0,16.4,5000,0.131
1996-03-18,15.105,16.0,15.105,15.925,9000,0.127
1996-03-19,15.925,15.995,15.45,15.75,11000,0.126
1996-03-21,15.75,15.8,15.75,15.75,7000,0.126
1996-03-22,15.75,16.0,15.95,16.0,3000,0.128
1996-03-25,15.63,15.75,15.625,15.75,4000,0.126
1996-03-26,15.6,15.995,15.5,15.6,7000,0.124
1996-03-27,15.5,15.5,15.0,15.1,24000,0.12
1996-03-28,15.1,15.495,15.1,15.495,10000,0.124
1996-03-29,15.5,15.5,15.41,15.5,7000,0.124
1996-04-01,15.5,15.795,15.5,15.75,3000,0.126
1996-04-02,15.99,15.995,15.6,15.855,16000,0.126
1996-04-03,15.855,16.5,16.0,16.3,18000,0.13
1996-04-04,16.3,16.3,16.25,16.25,5000,0.13
1996-04-08,16.0,16.31,16.0,16.275,13000,0.13
1996-04-09,16.695,16.7,16.15,16.27,20000,0.13
1996-04-10,16.0,16.0,16.0,16.0,1000,0.128
1996-04-11,16.7,16.7,16.05,16.25,7000,0.13
1996-04-12,16.25,16.35,15.9,15.905,9000,0.127
1996-04-15,16.0,16.3,16.0,16.2,7000,0.129
1996-04-16,16.2,16.4,16.2,16.2,21000,0.129
1996-04-17,16.2,17.0,16.3,16.87,16000,0.134
1996-04-18,16.87,18.6,17.8,18.505,25000,0.14800000000000002
1996-04-19,18.505,19.2,18.6,18.625,27000,0.14800000000000002
1996-04-22,17.725,18.295,17.5,17.5,22000,0.14
1996-04-23,17.5,17.3,16.52,16.55,17000,0.132
1996-04-24,17.395,17.9,17.0,17.865,15000,0.142
1996-04-25,17.865,17.8,17.2,17.5,14000,0.14
1996-04-26,17.2,17.2,17.0,17.1,9000,0.136
