Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,38.75,38.8,38.3,38.54,35500,2.67
2002-07-02,38.8,39.6,38.45,39.12,49600,2.71
2002-07-03,38.63,40.68,38.63,39.74,99800,2.75
2002-07-04,40.3,41.0,39.8,40.42,395700,2.8
2002-07-05,40.4,42.0,40.4,41.14,347700,2.85
2002-07-08,41.0,41.8,40.6,40.9,125300,2.83
2002-07-09,39.8,43.49,39.8,41.6,496300,2.88
2002-07-10,42.0,43.1,41.4,42.12,366500,2.92
2002-07-11,42.4,43.68,41.11,42.09,421000,2.92
2002-07-12,42.7,43.0,42.02,42.35,209500,2.93
2002-07-15,42.4,42.74,39.9,40.1,142900,2.78
2002-07-16,40.2,40.68,39.4,39.52,76700,2.74
2002-07-17,39.93,39.93,38.31,38.62,108100,2.68
2002-07-18,39.0,40.1,39.0,40.03,93900,2.77
2002-07-19,39.7,40.8,39.04,39.49,115700,2.74
2002-07-22,39.18,39.4,37.62,38.51,79300,2.67
2002-07-23,38.0,39.3,38.0,39.0,50200,2.7
2002-07-24,38.03,38.8,38.02,38.35,19300,2.66
2002-07-25,38.98,38.98,37.0,37.17,68600,2.57
2002-07-26,37.01,37.59,35.8,35.93,82400,2.49
2002-07-29,36.08,36.08,34.4,35.41,92000,2.45
2002-07-30,36.5,37.0,35.5,36.24,176600,2.51
2002-07-31,35.5,37.58,34.72,36.09,86300,2.5
2002-08-01,37.4,37.4,36.0,36.37,41900,2.52
2002-08-02,36.01,36.58,35.46,36.35,38600,2.52
2002-08-05,36.69,36.84,35.87,35.97,64600,2.49
2002-08-06,35.8,36.6,35.8,36.19,63000,2.51
2002-08-07,36.7,37.3,36.4,37.01,54200,2.56
2002-08-08,36.8,37.1,36.6,36.91,30600,2.56
2002-08-09,36.79,37.66,36.3,37.59,30400,2.6
2002-08-12,186.0,196.0,185.0,192.5,55900,13.33
2002-08-13,199.75,199.75,189.9,190.35,34300,13.19
2002-08-14,190.0,193.85,186.7,188.2,24900,13.04
2002-08-16,190.0,191.95,186.7,187.85,30900,13.01
2002-08-19,187.0,191.0,187.0,187.5,19300,12.99
2002-08-20,189.9,191.9,187.0,187.6,18400,13.0
2002-08-21,190.45,190.45,186.75,187.45,7700,12.98
2002-08-22,191.0,191.0,185.75,186.3,13000,12.91
2002-08-23,187.0,188.7,185.0,185.7,13000,12.86
2002-08-26,185.65,185.8,184.3,184.45,12900,12.78
2002-08-27,185.1,185.9,183.15,184.45,15800,12.78
2002-08-28,184.5,187.85,184.5,184.55,13500,12.78
2002-08-29,185.0,187.0,184.0,184.85,15500,12.8
2002-08-30,184.0,186.0,183.7,185.05,23300,12.82
2002-09-02,187.75,188.4,186.5,186.85,12600,12.94
