Date,Open,High,Low,Close,Volume,Adj Close
2004-02-25,37.25,40.0,37.25,39.25,1000,25.93
2004-02-26,42.0,42.0,38.6,38.85,900,25.66
2004-02-27,40.7,40.7,38.55,38.85,3600,25.66
2004-03-01,36.0,40.3,36.0,40.1,2700,26.49
2004-03-03,41.0,43.0,40.4,40.8,1600,26.95
2004-03-04,41.75,41.75,36.75,36.75,78700,24.28
2004-03-05,36.0,36.7,35.05,36.45,13200,24.08
2004-03-08,34.0,35.0,33.05,34.25,2200,22.63
2004-03-09,32.5,32.5,32.3,32.45,400,21.44
2004-03-10,33.0,33.15,33.0,33.15,500,21.9
2004-03-12,34.0,35.0,34.0,35.0,1200,23.12
2004-03-15,34.0,36.0,34.0,34.7,400,22.92
2004-03-16,34.0,34.0,33.0,33.0,5200,21.8
2004-03-17,33.25,35.7,33.0,35.7,400,23.58
2004-03-18,33.5,35.0,33.5,33.75,500,22.3
2004-03-19,34.0,35.0,34.0,34.0,400,22.46
2004-03-22,35.25,36.7,34.9,35.55,6800,23.48
2004-03-23,35.0,36.3,35.0,35.65,300,23.55
2004-03-24,37.0,38.8,35.0,38.8,2300,25.63
2004-03-25,36.25,39.3,36.25,39.3,800,25.96
2004-03-26,38.8,39.5,37.6,38.8,3200,25.63
2004-03-29,39.5,41.9,39.0,41.9,3700,27.68
2004-03-30,44.3,44.4,43.1,43.25,1500,28.57
2004-03-31,43.15,43.25,43.0,43.0,5500,28.41
2004-04-01,39.3,43.6,39.15,43.3,3100,28.6
2004-04-02,42.55,43.4,42.35,43.0,800,28.41
2004-04-05,43.1,43.3,43.0,43.3,900,28.6
2004-04-06,43.1,44.1,43.0,43.0,6900,28.41
2004-04-07,42.2,42.25,41.85,42.05,800,27.78
2004-04-08,43.0,43.0,41.5,42.5,500,28.08
2004-04-12,41.35,44.0,41.35,42.05,1900,27.78
2004-04-13,41.05,42.0,40.5,41.2,7400,27.22
2004-04-15,41.55,42.9,41.55,41.75,1300,27.58
2004-04-16,42.1,42.5,42.1,42.35,800,27.98
2004-04-19,43.25,44.0,43.2,43.25,2200,28.57
2004-04-20,44.0,44.0,41.15,42.4,1700,28.01
2004-04-21,41.05,43.0,41.0,41.75,7500,27.58
2004-04-22,40.0,45.0,40.0,43.15,5400,28.5
2004-04-23,43.6,44.25,43.0,44.1,11000,29.13
