Date,Open,High,Low,Close,Volume,Adj Close
2005-03-14,1155.0,1338.9,1155.0,1304.2,12791600,1279.1
2005-03-15,1310.0,1311.7,1280.0,1293.35,3701500,1268.46
2005-03-16,1295.0,1300.95,1275.55,1282.6,958800,1257.91
2005-03-17,1280.0,1280.0,1246.65,1251.5,839700,1227.41
2005-03-18,1248.0,1251.5,1219.15,1229.4,1389100,1205.74
2005-03-21,1240.0,1263.5,1213.1,1222.5,1168900,1198.97
2005-03-22,1220.0,1232.95,1185.5,1194.3,884600,1171.31
2005-03-23,1200.1,1215.0,1176.6,1193.55,1036100,1170.58
2005-03-24,1195.0,1215.0,1195.0,1207.25,382000,1184.01
2005-03-28,1212.0,1226.0,1190.0,1209.6,283000,1186.32
2005-03-29,1200.0,1209.8,1170.0,1185.6,495600,1162.78
2005-03-30,1185.0,1235.0,1174.0,1210.45,382500,1187.15
2005-03-31,1221.15,1235.0,1201.2,1211.55,446000,1188.23
2005-04-01,1211.65,1274.9,1202.0,1264.3,454900,1239.97
2005-04-04,1248.0,1288.0,1245.0,1258.9,906400,1234.67
2005-04-05,1246.0,1262.95,1220.25,1227.4,241700,1203.78
2005-04-06,1227.0,1240.0,1222.2,1230.6,162700,1206.91
2005-04-07,1230.6,1259.0,1230.6,1253.9,388600,1229.77
2005-04-08,1250.1,1259.0,1237.0,1252.75,226000,1228.64
2005-04-11,1259.0,1291.0,1242.0,1254.7,214000,1230.55
2005-04-12,1260.0,1274.0,1245.05,1265.0,405000,1240.65
2005-04-13,1266.9,1280.0,1254.15,1267.55,173600,1243.15
2005-04-15,1268.0,1268.0,1235.55,1246.45,223600,1222.46
2005-04-18,1246.45,1259.0,1204.95,1252.8,118600,1228.69
2005-04-19,1255.0,1270.0,1252.25,1262.6,214900,1238.3
2005-04-20,1254.05,1264.0,1237.85,1259.1,185100,1234.87
2005-04-21,1260.0,1294.0,1159.0,1287.8,290200,1263.01
2005-04-22,1290.05,1330.0,1284.9,1320.7,502500,1295.28
2005-04-25,1285.0,1348.0,1285.0,1338.05,288900,1312.3
2005-04-26,1330.0,1382.75,1330.0,1375.1,552800,1348.63
2005-04-27,1370.0,1370.0,1316.3,1323.95,269700,1298.47
2005-04-28,1323.0,1334.6,1291.35,1303.1,266200,1278.02
2005-04-29,1309.0,1332.8,1305.5,1323.95,242000,1298.47
2005-05-02,1301.0,1341.0,1301.0,1339.2,162300,1313.42
2005-05-03,1338.9,1341.0,1321.3,1339.7,162100,1313.91
2005-05-04,1332.0,1343.6,1324.0,1334.6,104300,1308.91
2005-05-05,1335.0,1349.0,1288.2,1297.95,204800,1272.97
2005-05-06,1305.0,1340.0,1297.0,1337.05,182700,1311.32
2005-05-09,1336.0,1337.0,1316.0,1326.95,87500,1301.41
2005-05-10,1328.9,1340.0,1305.55,1310.5,101300,1285.28
2005-05-11,1305.0,1310.0,1287.0,1294.05,96800,1269.14
2005-05-12,1300.0,1310.0,1291.1,1294.4,93300,1269.49
2005-05-13,1299.0,1310.0,1291.0,1294.55,98600,1269.63
2005-05-16,1296.0,1304.5,1275.0,1289.8,262400,1264.98
2005-05-17,1295.0,1320.0,1280.3,1290.55,464200,1265.71
2005-05-18,1295.1,1315.0,1260.0,1276.4,245600,1251.83
2005-05-19,1290.0,1298.0,1275.0,1286.55,120800,1261.79
2005-05-20,1294.8,1325.0,1280.0,1315.25,170600,1289.94
2005-05-23,1322.0,1334.0,1308.0,1317.35,156800,1292.0
2005-05-24,1315.0,1343.7,1305.0,1334.0,237500,1308.32
2005-05-25,1334.0,1335.0,1315.35,1320.35,60900,1294.94
2005-05-26,1310.0,1325.0,1306.0,1311.65,58600,1286.4
2005-05-27,1311.0,1318.0,1300.0,1307.75,96400,1282.58
2005-05-30,1309.9,1319.0,1295.0,1300.55,75800,1275.52
2005-05-31,1300.0,1349.5,1300.0,1341.5,457900,1315.68
2005-06-01,1338.9,1360.0,1327.25,1345.1,225600,1319.21
2005-06-02,1345.55,1354.0,1315.0,1329.05,200200,1303.47
2005-06-03,1320.0,1332.5,1308.5,1325.95,262100,1300.43
2005-06-06,1299.0,1336.4,1299.0,1329.95,259100,1304.35
2005-06-07,1325.0,1334.65,1315.1,1329.8,130800,1304.21
2005-06-08,1317.0,1334.85,1317.0,1327.45,64300,1301.9
2005-06-09,1325.0,1329.0,1295.0,1298.95,66600,1273.95
2005-06-10,1314.8,1315.0,1288.1,1300.1,262200,1275.08
2005-06-13,1295.35,1302.0,1265.2,1297.35,60700,1272.38
2005-06-14,1295.0,1314.7,1290.0,1296.95,79200,1271.99
2005-06-15,1300.0,1310.7,1285.0,1295.95,112400,1271.01
2005-06-16,1292.0,1310.0,1282.3,1301.25,181000,1276.21
2005-06-17,1296.1,1299.0,1255.35,1280.2,224600,1255.56
2005-06-20,1270.15,1285.0,1250.0,1256.35,143800,1232.17
2005-06-21,1252.0,1264.5,1228.3,1256.65,256500,1232.46
2005-06-22,1255.2,1286.0,1255.1,1271.6,156000,1247.13
2005-06-23,1280.0,1280.0,1255.0,1260.1,48500,1235.85
2005-06-24,1260.1,1260.1,1183.9,1256.4,201900,1232.22
2005-06-27,1260.0,1288.0,1255.0,1279.95,215800,1255.31
2005-06-28,1273.0,1274.5,1254.75,1255.85,71900,1231.68
2005-06-29,1254.75,1318.35,1231.0,1289.9,402600,1265.07
2005-06-30,1282.0,1297.4,1256.0,1265.15,134300,1240.8
2005-07-01,1265.15,1274.0,1257.0,1264.05,54600,1239.72
2005-07-04,1264.05,1282.0,1258.0,1269.6,41100,1245.16
2005-07-05,1274.5,1297.7,1268.05,1289.95,174600,1265.12
2005-07-06,1241.0,1309.0,1241.0,1299.6,142100,1274.59
2005-07-07,1304.9,1304.9,1270.15,1282.5,99300,1257.82
2005-07-08,1282.5,1292.0,1210.1,1277.15,89100,1252.57
2005-07-11,1280.0,1300.0,1276.25,1295.3,43000,1270.37
2005-07-12,1290.0,1294.9,1276.0,1282.2,74700,1257.52
2005-07-13,1280.0,1287.0,1270.0,1276.55,22900,1251.98
2005-07-14,1276.0,1285.0,1268.0,1281.1,23800,1256.44
2005-07-15,1282.0,1299.9,1282.0,1294.9,55500,1269.98
2005-07-18,1282.0,1315.0,1275.8,1300.7,50900,1275.67
2005-07-19,1302.0,1308.0,1285.0,1294.45,38600,1269.54
2005-07-20,1295.0,1334.7,1295.0,1318.45,170900,1293.07
2005-07-21,1301.15,1342.0,1274.8,1309.35,120900,1284.15
2005-07-22,1310.0,1325.6,1300.0,1320.95,50600,1295.53
2005-07-25,1310.5,1318.9,1290.0,1299.1,42700,1274.1
2005-07-26,1265.0,1308.7,1265.0,1281.15,29900,1256.49
2005-07-27,1308.7,1315.0,1275.05,1278.2,8200,1253.6
2005-07-29,1280.0,1293.0,1266.05,1281.55,124300,1256.88
2005-08-01,1270.0,1275.0,1263.55,1266.55,22300,1242.17
2005-08-02,1269.0,1269.0,1242.0,1246.4,92800,1222.41
2005-08-03,1255.0,1258.5,1230.0,1235.85,70500,1212.06
2005-08-04,1248.0,1257.0,1223.2,1229.85,236000,1206.18
2005-08-05,1247.0,1247.0,1219.0,1221.75,54900,1198.24
2005-08-08,1229.0,1242.0,1201.35,1204.0,85100,1180.83
2005-08-09,1205.0,1225.0,1166.15,1183.35,184700,1160.57
2005-08-10,1190.0,1199.95,1155.05,1160.2,221800,1137.87
2005-08-11,1178.0,1200.2,1156.25,1185.45,120700,1162.63
2005-08-12,1197.0,1206.0,1163.05,1167.35,76800,1144.88
2005-08-16,1167.35,1184.9,1147.05,1150.45,146200,1128.31
2005-08-17,1150.0,1192.0,1150.0,1171.5,291700,1148.95
2005-08-18,1180.0,1190.0,1160.0,1171.8,126800,1149.25
2005-08-19,1180.0,1180.0,1170.05,1173.05,60900,1150.47
2005-08-22,1175.0,1180.0,1171.25,1175.75,40300,1153.12
2005-08-23,1171.25,1174.0,1155.0,1159.35,45100,1137.04
2005-08-24,1165.0,1170.0,1150.0,1153.65,92400,1131.45
2005-08-25,1159.9,1159.9,1130.1,1136.55,131800,1114.68
2005-08-26,1149.95,1154.0,1135.0,1138.0,79600,1116.1
2005-08-29,1149.9,1149.9,1105.95,1117.15,115300,1095.65
2005-08-30,1137.0,1137.0,1120.0,1130.95,56900,1109.18
2005-08-31,1130.0,1143.9,1122.0,1136.15,73300,1114.28
2005-09-01,1137.0,1147.0,1123.0,1129.7,67000,1107.96
2005-09-02,1140.0,1142.0,1130.0,1133.9,42800,1112.08
2005-09-05,1140.0,1140.0,1113.0,1117.55,57700,1096.04
2005-09-06,1125.0,1130.0,1120.0,1126.9,30300,1105.21
2005-09-08,1126.9,1130.0,1113.5,1116.0,47300,1094.52
2005-09-09,1115.4,1128.0,1106.0,1110.2,50400,1088.83
2005-09-12,1110.5,1125.0,1110.0,1111.9,25000,1090.5
2005-09-13,1125.0,1145.75,1115.05,1131.0,50200,1109.23
2005-09-14,1128.0,1162.45,1126.2,1156.8,598400,1137.55
2005-09-15,1165.0,1175.8,1142.15,1149.6,84700,1130.47
2005-09-16,1150.0,1155.0,1118.25,1123.05,307000,1104.36
2005-09-19,1130.0,1137.0,1123.5,1134.65,63400,1115.77
2005-09-20,1123.5,1132.05,1108.5,1111.65,184500,1093.15
2005-09-21,1120.0,1125.0,1080.0,1101.6,100800,1083.27
2005-09-22,1102.0,1102.0,1055.0,1059.75,261700,1042.12
2005-09-23,1070.0,1078.0,1056.0,1059.95,112100,1042.31
2005-09-26,1077.0,1127.0,1062.0,1115.65,90100,1097.09
2005-09-27,1108.0,1155.0,1107.0,1137.3,131200,1118.38
2005-09-28,1140.0,1150.0,1112.05,1136.9,88600,1117.98
2005-09-29,1148.05,1148.05,1115.0,1122.85,170600,1104.17
2005-09-30,1120.0,1130.0,1115.0,1116.55,469100,1097.97
2005-10-03,1125.0,1128.9,1114.9,1115.9,65700,1097.33
2005-10-04,1134.0,1154.95,1117.0,1149.4,209200,1130.28
2005-10-05,1147.0,1162.0,1131.55,1144.55,209600,1125.51
2005-10-06,1126.0,1173.0,1122.0,1166.0,362200,1146.6
2005-10-07,1166.0,1250.0,1165.0,1235.15,665100,1214.6
2005-10-10,1240.0,1247.9,1195.8,1201.5,145300,1181.51
2005-10-11,1195.8,1249.0,1160.0,1226.5,190000,1206.09
