Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,11.63001,11.88002,11.55998,11.88002,11800,0.65108
2002-07-02,11.88002,11.90002,11.88002,11.88002,2800,0.65108
2002-07-03,11.67999,11.99,11.67999,11.80998,4400,0.64724
2002-07-04,11.61001,11.88002,11.55998,11.63001,6700,0.63737
2002-07-05,11.75003,12.09002,11.75003,11.99998,12200,0.65765
2002-07-08,12.13002,13.94001,12.13002,13.81002,27900,0.75685
2002-07-09,14.06003,14.68,14.06003,14.27003,34600,0.78206
2002-07-10,14.99999,14.99999,13.56999,13.64002,16100,0.74753
2002-07-11,13.44,13.94001,12.97002,12.97999,13800,0.71136
2002-07-12,13.23,13.73001,13.21,13.64002,9500,0.74753
2002-07-15,13.25,13.81002,13.25,13.48998,4400,0.73931
2002-07-16,13.25998,13.64002,13.25998,13.46,7200,0.73767
2002-07-17,13.37999,13.88,13.37999,13.64002,17500,0.74753
2002-07-18,13.88998,14.99999,13.88998,14.70997,45900,0.80617
2002-07-19,14.69002,14.99001,14.25002,14.40002,20200,0.78918
2002-07-22,13.50001,14.3,13.50001,13.88,23400,0.76068
2002-07-23,13.83002,14.11998,13.83002,13.88,1000,0.76068
2002-07-24,13.85002,14.02999,13.75001,13.75999,5700,0.75411
2002-07-25,14.06003,14.06003,13.75001,13.77001,2900,0.75466
2002-07-26,13.92998,13.92998,13.56001,13.75999,17700,0.75411
2002-07-29,13.50001,13.50001,13.31001,13.4,26500,0.73438
2002-07-30,13.12999,14.06003,13.12999,13.44,8300,0.73657
2002-07-31,13.12999,13.44,12.81998,13.27001,6700,0.72725
2002-08-01,13.31001,13.31001,13.12999,13.12999,18300,0.71958
2002-08-02,13.12999,13.12999,13.0,13.02997,18900,0.7141
2002-08-05,13.16002,13.16002,13.0,13.01003,1800,0.71301
2002-08-06,13.0,13.06001,13.0,13.06001,1900,0.71574
2002-08-07,13.31001,13.31001,13.12999,13.16999,2800,0.72177
2002-08-08,13.18999,13.18999,13.0,13.01003,2600,0.71301
2002-08-09,13.06001,13.06001,13.0,13.0,4700,0.71246
2002-08-12,13.44,13.44,13.06998,13.23997,1800,0.72561
2002-08-13,13.50001,13.50001,13.18999,13.25,2100,0.72616
2002-08-14,13.37999,13.37999,13.0,13.06001,4100,0.71574
2002-08-16,13.14002,13.33999,13.12999,13.12999,3100,0.71958
2002-08-19,13.44,13.44,13.06001,13.06001,2300,0.71574
2002-08-20,13.0,13.18999,13.0,13.08001,3000,0.71684
2002-08-21,13.35999,13.42,13.06998,13.06998,1800,0.71629
2002-08-22,13.12999,13.25,13.06001,13.06001,900,0.71574
2002-08-23,13.0,13.12999,13.0,13.01003,4900,0.71301
2002-08-26,13.21,13.21,13.0,13.0,3200,0.71246
2002-08-27,13.0,13.12999,13.0,13.01003,5200,0.71301
2002-08-28,13.12999,13.63,13.12999,13.54999,18800,0.7426
2002-08-29,13.46998,13.46998,13.31001,13.31001,3800,0.72945
2002-08-30,13.0,13.18999,13.0,13.06998,4400,0.71629
2002-09-02,13.12999,13.44,13.12999,13.20002,3100,0.72342
2002-09-03,13.43002,13.63,13.21,13.52999,14000,0.7415
2002-09-04,12.62998,13.52999,12.55999,13.50001,13600,0.73986
