Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,0.20025,0.201,0.198,0.20025,538300,0.00026
2002-07-02,0.201,0.20385,0.20025,0.201,208500,0.00026
2002-07-03,0.20244,0.207,0.20244,0.2049,179200,0.00027
2002-07-04,0.2055,0.24594,0.2055,0.23235,1662400,0.0003
2002-07-05,0.2325,0.24225,0.2295,0.23994,2638400,0.00031
2002-07-08,0.2427,0.24414,0.234,0.23565,1012000,0.00031
2002-07-09,0.2355,0.24435,0.2355,0.24225,1282900,0.00031
2002-07-10,0.243,0.24414,0.237,0.23994,604800,0.00031
2002-07-11,0.2475,0.2505,0.2355,0.23754,223700,0.00031
2002-07-12,0.237,0.23844,0.23445,0.23625,101900,0.00031
2002-07-15,0.23415,0.237,0.23385,0.23574,266200,0.00031
2002-07-16,0.23274,0.2355,0.2292,0.2352,169100,0.00031
2002-07-17,0.2355,0.2361,0.23289,0.23514,193700,0.00031
2002-07-18,0.234,0.2361,0.234,0.2355,171900,0.00031
2002-07-19,0.2367,0.24024,0.2355,0.2361,195900,0.00031
2002-07-22,0.231,0.234,0.219,0.21945,168500,0.00028
2002-07-23,0.219,0.2235,0.219,0.22074,39700,0.00029
2002-07-24,0.21975,0.22314,0.21165,0.21264,68000,0.00028
2002-07-25,0.2175,0.22035,0.204,0.20754,177200,0.00027
2002-07-26,0.204,0.2085,0.198,0.20769,358300,0.00027
2002-07-29,0.207,0.21,0.204,0.207,157500,0.00027
2002-07-30,0.20439,0.20994,0.20439,0.20454,20700,0.00027
2002-07-31,0.204,0.204,0.198,0.1995,86300,0.00026
2002-08-01,0.198,0.201,0.192,0.19434,57800,0.00025
2002-08-02,0.192,0.19794,0.192,0.19485,18800,0.00025
2002-08-05,0.19785,0.20235,0.19785,0.20229,59100,0.00026
2002-08-06,0.2025,0.20715,0.201,0.20415,110400,0.00026
2002-08-07,0.20415,0.21,0.20415,0.2085,25500,0.00027
2002-08-08,0.204,0.204,0.2013,0.204,13000,0.00026
2002-08-09,0.201,0.204,0.201,0.2034,39400,0.00026
2002-08-12,6.74999,6.79999,6.69999,6.70299,16400,0.0087
2002-08-13,6.74999,6.89999,6.74999,6.89799,15800,0.00895
2002-08-14,6.89799,7.03799,6.79999,6.97499,112800,0.00905
2002-08-16,6.99499,7.24999,6.94999,7.06999,169000,0.00917
2002-08-19,7.00499,7.04999,6.99999,7.04999,17600,0.00915
2002-08-20,7.00999,7.10299,7.00999,7.09999,23500,0.00921
2002-08-21,7.12499,7.16999,7.04999,7.04999,50600,0.00915
2002-08-22,7.19499,7.19499,7.02499,7.02499,24000,0.00911
2002-08-23,7.05799,7.09999,6.99999,7.00799,457400,0.00909
2002-08-26,6.99999,7.09999,6.99999,7.09999,380200,0.00921
2002-08-27,7.02499,7.09999,6.99999,7.09999,130200,0.00921
2002-08-28,6.42499,7.19999,6.42499,7.05299,71000,0.00915
2002-08-29,7.00999,7.04999,6.99999,7.00499,13700,0.00909
2002-08-30,7.09499,7.14999,7.09499,7.10299,22900,0.00921
2002-09-02,7.06299,7.12299,6.99999,7.06299,66000,0.00916
2002-09-03,7.00499,7.00499,6.99999,6.99999,5000,0.00908
2002-09-04,7.08999,7.11299,7.00299,7.08499,65600,0.00919
2002-09-05,7.14999,7.38799,7.13999,7.23799,126200,0.00939
2002-09-06,7.19999,7.19999,6.99999,7.02799,39800,0.00912
2002-09-09,7.00299,7.06299,6.99999,7.06299,13500,0.00916
2002-09-11,6.99999,7.04999,6.94999,6.95799,23000,0.00903
2002-09-12,7.00999,7.01999,6.94999,6.94999,19200,0.00902
2002-09-13,7.07299,7.07299,6.99999,6.99999,19200,0.00908
2002-09-16,6.99999,7.02299,6.90499,6.90799,12300,0.00896
2002-09-17,6.90799,6.94499,6.90799,6.90799,9100,0.00896
2002-09-18,6.94999,6.94999,6.81999,6.90799,38300,0.00896
2002-09-19,6.80499,6.91999,6.79999,6.88499,55200,0.00893
2002-09-20,6.84999,6.85299,6.84999,6.85299,14600,0.00889
2002-09-23,6.87499,6.87499,6.51299,6.69999,123600,0.00869
2002-09-24,6.69999,6.77499,6.69999,6.69999,5500,0.00869
2002-09-25,6.64499,6.70299,6.61499,6.69999,5000,0.00869
2002-09-26,6.74999,6.74999,6.59999,6.73799,134300,0.00874
2002-09-27,6.69499,6.79999,6.69499,6.74999,31200,0.00876
2002-09-30,6.70299,6.77499,6.59999,6.62999,58700,0.0086
2002-10-01,6.60299,6.64999,6.60299,6.64999,24000,0.00863
2002-10-03,6.64999,6.69999,6.59999,6.63799,109100,0.00861
2002-10-04,6.69999,6.73999,6.64499,6.66299,57100,0.00864
2002-10-07,6.67499,6.67499,6.67499,6.67499,26000,0.00866
2002-10-08,6.69999,6.69999,6.68999,6.68999,4200,0.00868
2002-10-09,6.67499,6.84799,6.59999,6.83799,89600,0.00887
2002-10-10,6.84999,6.89999,6.80499,6.80499,35500,0.00883
2002-10-11,6.79999,6.89799,6.79999,6.81299,2500,0.00884
2002-10-14,6.80799,6.89999,6.74999,6.79999,33700,0.00882
2002-10-16,6.89799,6.89999,6.75999,6.86799,244000,0.00891
2002-10-17,6.76299,6.79999,6.75499,6.76299,92100,0.00877
2002-10-18,6.72999,6.77999,6.72999,6.77999,2000,0.00879
2002-10-21,6.74999,7.09999,6.74999,6.82499,144700,0.00885
2002-10-22,6.85499,6.99999,6.74999,6.78799,159900,0.00881
2002-10-23,6.77499,6.82299,6.77499,6.77499,70400,0.00879
2002-10-24,6.79999,6.99999,6.70499,6.79999,59800,0.00882
2002-10-25,6.74999,6.74999,6.52999,6.52999,60200,0.00847
2002-10-28,6.49999,6.69499,6.49999,6.56299,9200,0.00851
2002-10-29,6.67499,6.67499,6.24999,6.25299,716800,0.00811
2002-10-30,6.49999,6.57299,6.15999,6.25799,446300,0.00812
2002-10-31,6.27499,6.33799,6.16799,6.23799,650900,0.00809
2002-11-01,6.53799,6.53799,6.25299,6.28299,22800,0.00815
2002-11-04,6.49999,6.82499,6.39999,6.48999,63000,0.00842
2002-11-05,6.57499,6.67499,6.57499,6.67499,39000,0.00866
2002-11-07,6.71299,6.71299,6.55499,6.60799,113400,0.00857
2002-11-08,6.60499,6.69999,6.60499,6.66999,23000,0.00865
2002-11-11,6.73999,6.73999,6.61299,6.69999,18000,0.00869
2002-11-12,6.74999,6.74999,6.68499,6.72799,61300,0.00873
2002-11-13,6.69999,6.81499,6.69999,6.73499,33300,0.00874
2002-11-14,6.73499,6.77499,6.70299,6.77499,10200,0.00879
2002-11-15,6.89999,6.89999,6.64999,6.71299,14000,0.00871
2002-11-18,6.60499,6.79999,6.60499,6.76499,29300,0.00878
2002-11-20,6.84999,6.84999,6.72999,6.78799,20900,0.00881
2002-11-21,6.52499,6.84999,6.52499,6.84999,7000,0.00889
2002-11-22,6.84999,6.84999,6.73299,6.73499,6000,0.00874
2002-11-25,6.74999,6.74999,6.66299,6.74999,21000,0.00876
2002-11-26,6.79999,6.94999,6.79999,6.90499,36500,0.00896
2002-11-27,6.83799,6.93499,6.83799,6.86299,150000,0.0089
2002-11-28,6.74999,6.96299,6.74999,6.81799,19700,0.00884
2002-11-29,0.20274,0.2052,0.20175,0.20274,45900,0.00026
2002-12-02,6.82499,6.94999,6.82499,6.84299,37100,0.00888
2002-12-03,6.70499,6.97299,6.70499,6.91499,11900,0.00897
2002-12-04,6.73299,6.89999,6.69999,6.73999,33000,0.00874
2002-12-05,6.75299,6.92999,6.75299,6.92999,3400,0.00899
2002-12-06,6.89999,6.89999,6.77499,6.82499,67500,0.00885
2002-12-09,6.87499,6.99999,6.79999,6.91499,89000,0.00897
2002-12-10,6.84999,7.23999,6.84999,7.19999,98700,0.00934
2002-12-11,7.19999,7.19999,6.99999,7.19999,88300,0.00934
2002-12-12,7.19799,7.24999,6.94999,7.24299,147300,0.0094
2002-12-13,7.25299,7.25299,7.14499,7.16999,23700,0.0093
2002-12-16,7.12499,7.12499,6.99999,6.99999,23900,0.00908
2002-12-17,7.09999,7.09999,6.89999,7.03299,7200,0.00912
2002-12-18,7.09799,7.09999,6.89999,6.96799,118000,0.00904
2002-12-19,6.85999,7.04999,6.85999,7.00799,29100,0.00909
2002-12-20,7.02499,7.02499,7.02499,7.02499,4000,0.00911
2002-12-23,6.99999,6.99999,6.89999,6.89999,268000,0.00895
2002-12-24,6.88799,6.92499,6.82799,6.84999,112600,0.00889
2002-12-26,6.84999,6.84999,6.74999,6.74999,126200,0.00876
2002-12-27,6.73799,6.79999,6.69999,6.77299,27900,0.00879
2002-12-30,6.79999,6.99999,6.79999,6.89999,72000,0.00895
2002-12-31,7.01299,7.06999,6.98999,7.00299,61000,0.00908
2003-01-01,7.04999,7.09999,6.98499,7.06499,172300,0.00916
2003-01-02,7.07499,7.12499,6.95999,7.00999,40700,0.00909
2003-01-03,6.99999,7.14999,6.89999,7.00799,195800,0.00909
2003-01-06,7.04999,7.19999,7.04999,7.12299,170700,0.00924
2003-01-07,7.04999,7.19999,7.04999,7.18299,22900,0.00932
2003-01-08,7.19999,7.49999,7.09999,7.43999,466800,0.00965
2003-01-09,7.48299,7.79999,7.34999,7.75799,1130900,0.01006
2003-01-10,7.94999,8.04999,7.55499,7.75999,1069500,0.01007
2003-01-13,7.99499,8.09999,7.84999,7.93299,480900,0.01029
