Date,Open,High,Low,Close,Volume,Adj Close
2012-09-25,62.8,67.0,62.0,62.65,59600,61.06
2012-09-26,70.0,70.0,60.0,62.25,36600,60.67
2012-09-27,63.7,63.8,60.5,61.2,25100,59.64
2012-09-28,60.0,61.8,58.25,59.8,11300,58.28
2012-10-01,60.8,64.4,55.0,58.7,21100,57.21
2012-10-02,58.7,58.7,58.7,58.7,0,57.21
2012-10-03,61.0,61.0,57.25,58.95,15000,57.45
2012-10-04,57.05,62.0,57.0,61.25,63700,59.69
2012-10-05,64.0,66.0,61.4,64.9,73000,63.25
2012-10-08,64.5,65.25,64.5,64.95,16300,63.3
2012-10-09,63.5,70.0,63.5,67.95,101100,66.22
2012-10-10,68.85,69.0,66.15,66.95,5600,65.25
2012-10-11,64.6,67.4,64.0,64.95,6600,63.3
2012-10-12,65.0,67.0,63.65,63.95,9300,62.32
2012-10-15,64.1,64.5,62.05,62.25,10400,60.67
2012-10-16,64.95,64.95,62.0,62.9,7500,61.3
2012-10-17,63.8,63.8,61.05,61.7,3600,60.13
2012-10-18,60.15,62.6,60.15,61.3,2200,59.74
2012-10-19,61.35,63.85,60.0,63.0,4400,61.4
2012-10-22,60.65,63.75,60.15,62.75,10500,61.15
2012-10-23,61.25,64.0,61.25,62.65,11600,61.06
2012-10-24,62.65,62.65,62.65,62.65,0,61.06
2012-10-25,62.15,63.45,61.2,61.35,22800,59.79
2012-10-26,61.35,61.35,61.35,61.35,0,59.79
2012-10-29,64.0,64.0,61.6,61.9,14100,60.32
2012-10-30,61.65,63.0,59.3,61.25,11800,59.69
2012-10-31,61.5,61.5,58.8,59.15,4700,57.64
2012-11-01,62.85,62.85,57.15,58.15,5100,56.67
2012-11-02,59.9,64.5,59.05,64.5,16900,62.86
2012-11-05,60.25,68.0,60.25,64.95,9500,63.3
2012-11-06,65.0,65.0,62.25,62.8,3200,61.2
2012-11-07,62.85,64.0,62.5,62.5,900,60.91
2012-11-08,65.0,65.0,60.4,62.5,6500,60.91
2012-11-09,61.5,63.0,61.15,61.9,1200,60.32
2012-11-12,63.9,64.0,61.8,62.75,2500,61.15
2012-11-13,62.75,62.75,62.75,62.75,0,61.15
2012-11-14,62.75,62.75,62.75,62.75,0,61.15
2012-11-15,60.55,63.9,60.55,62.2,1500,60.62
2012-11-16,63.7,64.5,61.5,61.55,4000,59.98
2012-11-19,61.15,61.2,50.0,59.55,53100,58.03
2012-11-20,61.5,62.1,59.6,59.6,3900,58.08
2012-11-21,59.6,61.8,59.55,60.15,3400,58.62
2012-11-22,61.0,61.0,59.85,59.85,1000,58.33
2012-11-23,59.6,61.0,59.6,60.05,1700,58.52
2012-11-26,60.9,61.0,59.5,61.0,4000,59.45
2012-11-27,63.5,63.75,60.0,61.9,3500,60.32
2012-11-28,61.9,61.9,61.9,61.9,0,60.32
2012-11-29,63.8,63.8,56.9,61.05,6100,59.5
2012-11-30,60.65,62.4,60.65,62.3,1600,60.71
2012-12-03,59.0,62.7,58.35,61.0,6600,59.45
2012-12-04,59.6,64.0,59.5,64.0,6900,62.37
2012-12-05,62.0,63.5,61.15,62.5,5800,60.91
2012-12-06,63.9,63.9,61.6,62.7,5000,61.1
2012-12-07,63.9,63.9,61.5,62.0,3800,60.42
2012-12-10,63.4,64.4,62.0,63.75,2300,62.13
2012-12-11,63.1,66.0,62.3,65.05,17600,63.39
2012-12-12,66.0,68.0,65.0,66.9,49300,65.2
2012-12-13,65.0,67.95,63.0,65.95,9600,64.27
2012-12-14,66.0,68.0,64.9,65.0,22700,63.35
2012-12-17,67.95,67.95,63.5,65.9,19400,64.22
2012-12-18,65.1,68.5,65.0,67.65,16600,65.93
2012-12-19,67.95,69.0,66.5,68.7,16900,66.95
2012-12-20,70.0,70.0,65.5,67.3,5900,65.59
2012-12-21,67.95,67.95,65.1,66.0,4600,64.32
2012-12-24,65.0,67.5,64.3,66.8,5100,65.1
2012-12-25,66.8,66.8,66.8,66.8,0,65.1
2012-12-26,67.0,67.8,63.95,65.25,7400,63.59
2012-12-27,65.1,67.0,64.3,66.45,3100,64.76
2012-12-28,65.0,66.95,64.1,65.55,152400,63.88
2012-12-31,65.0,66.95,63.5,64.2,1800,62.57
2013-01-01,67.0,67.0,64.35,65.2,3500,63.54
2013-01-02,67.75,67.8,65.0,66.95,13400,65.25
2013-01-03,67.0,67.8,65.6,67.0,4100,65.29
2013-01-04,67.9,68.7,65.5,67.35,12600,65.64
2013-01-07,67.9,67.9,64.5,66.0,2100,64.32
2013-01-08,65.0,67.85,65.0,67.05,10400,65.34
2013-01-09,69.0,69.0,66.1,66.35,3000,64.66
2013-01-10,68.9,72.05,66.1,67.1,56000,65.39
2013-01-11,67.85,68.4,64.55,64.9,32500,63.25
2013-01-14,67.9,67.9,66.25,66.95,9700,65.25
2013-01-15,66.8,67.7,66.0,66.55,2500,64.86
2013-01-16,66.5,66.5,63.05,65.35,8200,63.69
2013-01-17,66.5,66.5,63.4,66.15,7000,64.47
2013-01-18,66.0,68.0,64.2,65.55,2700,63.88
2013-01-21,66.5,66.5,64.35,64.6,2900,62.96
2013-01-22,66.0,66.0,65.0,65.3,6000,63.64
2013-01-23,65.5,66.0,64.0,65.05,7300,63.39
2013-01-24,67.4,67.4,62.2,64.4,5600,62.76
2013-01-25,63.5,65.45,63.05,64.85,2300,63.2
2013-01-28,64.25,65.65,63.2,63.65,4000,62.03
2013-01-29,65.9,65.9,62.8,63.7,6600,62.08
2013-01-30,64.0,64.7,63.55,64.0,2600,62.37
2013-01-31,64.5,66.4,64.2,65.9,1200,64.22
2013-02-01,66.25,66.25,64.0,64.3,2700,62.66
2013-02-04,64.5,66.0,63.5,65.0,2900,63.35
2013-02-05,65.0,65.65,63.35,63.75,2500,62.13
2013-02-06,63.85,64.45,62.55,64.0,3200,62.37
2013-02-07,64.0,64.0,62.7,63.3,1400,61.69
2013-02-08,62.6,63.6,62.55,63.0,2000,61.4
2013-02-11,63.0,63.0,62.1,62.95,2800,61.35
2013-02-12,62.1,62.3,58.2,58.55,13300,57.06
2013-02-13,59.8,60.05,58.1,58.5,11600,57.01
2013-02-14,59.0,59.0,54.45,58.35,10500,56.87
2013-02-15,57.1,57.1,54.45,56.65,7700,55.21
2013-02-18,56.0,56.9,52.55,55.5,8600,54.09
2013-02-19,56.0,58.8,55.15,58.05,2600,56.57
2013-02-20,59.75,59.75,55.4,57.1,6000,55.65
2013-02-21,57.0,57.7,54.8,55.2,1300,53.8
2013-02-22,54.0,56.65,52.15,56.45,1100,55.01
2013-02-25,55.5,56.5,54.0,54.5,1600,53.11
2013-02-26,52.65,55.6,52.2,54.5,1600,53.11
2013-02-27,53.0,56.9,53.0,55.1,900,53.7
2013-02-28,56.75,59.8,55.0,56.5,18900,55.06
2013-03-01,54.0,57.9,54.0,55.85,800,54.43
2013-03-04,54.95,56.8,54.1,54.6,6700,53.21
2013-03-05,55.9,55.9,55.0,55.7,1600,54.28
2013-03-06,55.95,56.0,54.3,54.75,1200,53.36
2013-03-07,58.5,58.5,54.25,54.6,4000,53.21
2013-03-08,54.55,55.5,54.15,54.25,4100,52.87
2013-03-11,54.25,54.75,53.1,54.0,2600,52.63
2013-03-12,54.75,54.75,54.0,54.05,300,52.67
2013-03-13,53.3,55.5,52.4,52.45,8300,51.12
2013-03-14,54.0,54.0,52.2,52.55,2200,51.21
2013-03-15,52.0,53.0,51.0,52.3,4100,50.97
2013-03-18,50.2,52.85,50.2,52.7,4100,51.36
2013-03-19,52.0,52.2,50.2,52.15,600,50.82
2013-03-20,50.05,52.5,49.0,49.1,4200,47.85
2013-03-21,49.1,52.0,49.0,51.45,4200,50.14
2013-03-22,51.25,51.25,49.0,50.7,2100,49.41
2013-03-25,49.9,51.45,49.05,49.05,2200,47.8
2013-03-26,47.6,48.9,47.5,48.3,1900,47.07
2013-03-27,48.3,48.3,48.3,48.3,0,47.07
2013-03-28,50.75,50.75,47.3,49.3,600,48.05
2013-03-29,49.3,49.3,49.3,49.3,0,48.05
2013-04-01,51.0,53.0,50.1,52.75,6900,51.41
2013-04-02,56.6,56.6,53.05,55.0,25600,53.6
2013-04-03,55.5,59.0,55.0,58.55,11300,57.06
2013-04-04,58.7,59.0,54.1,56.5,16600,55.06
2013-04-05,56.25,58.0,53.3,56.45,10600,55.01
2013-04-08,56.1,58.75,54.7,55.7,7200,54.28
2013-04-09,55.8,56.0,54.2,55.9,9300,54.48
2013-04-10,53.0,56.5,53.0,55.95,9200,54.53
