Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,97.0,97.1,94.0,94.0,0,25.88
2002-07-02,94.0,97.5,94.0,96.5,0,26.57
2002-07-03,94.0,94.0,93.0,93.29,0,25.69
2002-07-04,89.5,94.4,89.0,89.0,0,24.51
2002-07-05,92.4,92.5,91.9,92.01,0,25.34
2002-07-08,94.9,96.62,94.9,96.62,0,26.61
2002-07-09,101.45,101.45,101.45,101.45,0,27.94
2002-07-10,111.6,111.6,106.4,111.54,300,30.71
2002-07-11,110.5,118.0,110.5,116.02,100,31.95
2002-07-12,116.9,117.0,111.5,112.31,0,30.93
2002-07-15,112.4,112.4,111.4,111.5,100,30.7
2002-07-16,106.0,106.0,103.5,103.54,0,28.51
2002-07-17,97.0,97.0,96.0,96.0,0,26.43
2002-07-18,96.4,102.4,96.4,99.3,0,27.34
2002-07-19,107.0,108.0,107.0,107.98,0,29.73
2002-07-22,113.4,114.0,104.4,104.91,0,28.89
2002-07-23,104.0,107.8,104.0,105.07,0,28.93
2002-07-24,101.0,101.0,100.0,100.0,0,27.54
2002-07-25,101.5,110.0,100.3,108.89,400,29.98
2002-07-26,107.0,107.5,100.1,100.17,0,27.58
2002-07-29,90.1,99.9,90.1,99.9,0,39.27
2002-07-30,98.1,100.0,98.1,98.5,0,38.72
2002-08-01,101.0,101.0,95.5,95.5,0,37.54
2002-08-02,95.0,97.0,95.0,95.5,0,37.54
2002-08-05,91.7,91.7,91.7,91.7,0,36.05
2002-08-06,98.9,98.9,98.9,98.9,0,38.88
2002-08-07,97.2,100.0,97.1,100.0,0,39.31
2002-08-08,96.0,102.0,95.5,100.05,0,39.33
2002-08-12,100.5,104.5,100.5,104.41,0,41.04
2002-08-13,104.0,105.5,104.0,105.04,0,41.29
2002-08-14,105.0,114.5,105.0,111.09,100,43.67
2002-08-16,102.6,105.0,102.6,105.0,0,41.27
2002-08-19,109.0,109.0,109.0,109.0,0,42.85
2002-08-20,105.0,107.0,105.0,106.06,0,41.69
2002-08-21,109.0,109.5,109.0,109.5,0,43.04
2002-08-22,114.0,114.0,100.5,105.0,0,41.27
2002-08-26,103.2,103.2,102.8,102.8,0,40.41
2002-08-27,102.6,103.5,102.5,102.65,0,40.35
2002-08-28,102.0,102.0,102.0,102.0,0,40.09
2002-08-29,107.5,107.5,107.5,107.5,0,42.26
2002-09-02,100.0,108.4,100.0,108.4,100,42.61
2002-09-03,108.9,109.0,105.0,105.1,0,41.31
