Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,30.0833,30.5434,30.0833,30.3267,2472700,10.8944
2002-07-02,30.4167,30.7,30.3333,30.4,1666600,10.9207
2002-07-03,30.5166,30.5667,30.0166,30.06,1273800,10.7986
2002-07-04,30.1833,30.2833,29.8766,29.9433,1010600,10.7567
2002-07-05,29.85,30.1667,29.85,30.0166,692600,10.783
2002-07-08,30.4834,30.65,30.0,30.5933,1181400,10.9902
2002-07-09,30.6667,30.9167,30.3766,30.46,1928600,10.9423
2002-07-10,30.0833,30.5333,30.0,30.3766,709200,10.9123
2002-07-11,30.3167,30.5,30.0767,30.1166,942200,10.8189
2002-07-12,30.3333,30.4167,30.06,30.2666,990600,10.8728
2002-07-15,30.2833,30.2833,29.8,30.1667,1439400,10.8369
2002-07-16,29.6667,30.25,29.6667,30.0434,1101400,10.7926
2002-07-17,29.8333,30.0,29.61,29.8267,872600,10.7148
2002-07-18,29.9167,30.1,29.7766,30.0166,1089400,10.783
2002-07-19,29.8333,30.2833,29.8333,30.1766,2953400,10.8405
2002-07-22,28.95,28.95,28.01,28.1166,1706300,11.4257
2002-07-23,28.1334,28.41,27.7666,28.0767,1029100,11.4094
2002-07-24,27.8666,28.1266,27.8333,27.8766,1226400,11.3281
2002-07-25,28.4167,28.4167,27.1,27.3267,6465300,11.1046
2002-07-26,27.2334,27.5333,27.0833,27.2,1721500,11.0532
2002-07-29,27.3167,27.4933,26.6833,26.9,1072100,10.9313
2002-07-30,27.3333,27.3333,26.3333,26.5266,1021500,10.7795
2002-07-31,26.1833,26.6667,26.0434,26.46,1059300,10.7524
2002-08-01,26.1667,26.6166,26.1667,26.2167,626000,10.6536
2002-08-02,26.0833,26.45,25.8333,26.3666,747300,10.7145
2002-08-05,26.5,27.4834,26.5,27.3333,1192500,11.1073
2002-08-06,27.15,27.3167,26.6833,27.1933,645600,11.0505
2002-08-07,27.4834,27.4834,27.2,27.2666,589500,11.0802
2002-08-08,27.3333,28.1,27.25,27.3267,1454700,11.1046
2002-08-09,27.3333,28.2833,27.3167,27.65,2413900,11.235999999999999
2002-08-12,27.7833,28.2334,27.56,27.8,1453600,11.297
2002-08-13,27.8167,28.05,27.6266,27.8267,563100,11.3078
2002-08-14,27.8333,28.0833,27.71,27.95,595800,11.3579
2002-08-16,28.0767,28.6667,28.0,28.4333,1938700,11.5544
2002-08-19,28.8766,28.9667,28.4333,28.5833,2920500,11.6153
2002-08-20,28.6667,28.8167,28.55,28.76,1256000,11.6871
2002-08-21,28.5,29.1833,28.35,29.0767,2197500,11.8158
2002-08-22,29.3,29.4167,29.1166,29.35,2670500,11.9268
2002-08-23,29.66,30.0833,29.2766,29.95,4556500,12.1707
2002-08-26,30.0933,31.0767,30.0933,30.7934,7499200,12.5134
2002-08-27,30.9834,31.1266,30.1833,30.95,5765100,12.577
2002-08-28,30.3766,30.9333,30.3766,30.85,3164100,12.5364
2002-08-29,31.1667,31.3333,30.91,31.1766,3974700,12.6691
2002-08-30,30.5833,30.8333,30.36,30.61,3217000,12.4389
2002-09-02,30.8167,31.1667,27.85,30.4834,1376400,12.3874
2002-09-03,30.0,30.3666,29.9167,29.9933,2169000,12.1883
2002-09-04,29.8333,30.1266,29.5,30.0,1995800,12.190999999999999
2002-09-05,30.0166,30.5166,29.96,30.3333,1645800,12.3264
2002-09-06,30.4167,30.5333,29.96,30.01,1241600,12.195
2002-09-09,29.9167,30.16,29.76,29.9933,614500,12.1883
2002-09-11,30.1434,30.1667,29.9667,30.0166,533200,12.1978
2002-09-12,30.0,30.4933,29.9667,30.2833,1059400,12.3061
2002-09-13,30.6833,31.2833,30.1334,30.1933,1542700,12.2696
2002-09-16,30.3333,30.4,30.1334,30.1766,636600,12.2628
2002-09-17,30.2934,30.4667,30.1766,30.3666,511800,12.34
2002-09-18,30.0,30.6334,30.0,30.3433,1044700,12.3305
2002-09-19,30.0,30.4433,30.0,30.2833,1015100,12.3061
2002-09-20,30.0,30.4333,30.0,30.3267,774400,12.3237
2002-09-23,30.35,30.3766,30.2334,30.2766,595400,12.3034
2002-09-24,30.15,30.3167,29.5434,29.8,976700,12.1097
2002-09-25,29.66,29.6667,29.05,29.1434,1380000,11.8429
2002-09-26,29.1667,29.5,28.6266,28.7,1496700,11.6627
2002-09-27,28.8333,28.8766,28.25,28.3167,3490500,11.5069
2002-09-30,28.0833,28.4667,27.8433,27.9433,1847100,11.3552
2002-10-01,27.5434,28.0333,27.5434,27.8333,637400,11.3105
2002-10-03,28.0833,28.2833,27.8666,27.9667,838700,11.3647
2002-10-04,28.15,28.2167,27.9167,28.0434,634200,11.3959
2002-10-07,28.3267,28.5333,28.05,28.4266,918400,11.5516
2002-10-08,28.6434,28.6434,28.4266,28.5166,1561100,11.5882
2002-10-09,28.66,28.8666,28.51,28.6766,1308400,11.6532
2002-10-10,28.9167,29.0,28.3934,28.6833,565900,11.6559
2002-10-11,29.0767,29.0767,28.5833,28.6833,926400,11.6559
2002-10-14,29.8766,30.2833,29.71,30.1766,5876200,12.2628
2002-10-16,30.4767,30.4767,30.1766,30.41,1606500,12.3576
2002-10-17,30.4,31.61,30.2934,31.5166,3266300,12.8073
2002-10-18,31.6667,31.8333,30.75,31.4266,2001000,12.7707
