Date,Open,High,Low,Close,Volume,Adj Close
2012-09-25,389.9,389.9,381.0,382.0,0,84.0414
2012-09-26,382.5,384.0,382.5,384.0,100,84.4814
2012-09-27,380.25,395.0,380.25,395.0,2800,86.9015
2012-09-28,390.0,405.0,390.0,392.35,13700,86.3185
2012-10-01,390.3,407.0,390.2,401.548,2000,88.3421
2012-10-02,401.548,401.548,401.548,401.548,0,88.3421
2012-10-03,450.0,450.0,400.0,402.8,11800,88.6175
2012-10-04,403.0,409.9,401.0,403.0,3500,88.6615
2012-10-05,400.048,410.0,400.048,407.0,2400,89.5415
2012-10-08,407.048,410.0,403.1,410.0,6700,90.2015
2012-10-09,415.0,415.0,403.0,409.048,9200,89.9921
2012-10-10,409.952,409.952,404.0,405.0,1900,89.1015
2012-10-11,405.0,405.0,398.0,402.0,6300,88.4415
2012-10-12,400.0,406.0,396.0,396.95,1300,87.3305
2012-10-15,379.0,400.0,379.0,389.95,2600,85.7905
2012-10-16,392.0,395.0,385.1,387.6,2100,85.2735
2012-10-17,388.0,388.0,376.0,378.1,5400,83.1834
2012-10-18,378.0,390.1,370.0,389.45,6700,85.6805
2012-10-19,385.0,387.95,384.1,384.5,4500,84.5914
2012-10-22,382.0,409.9,382.0,402.548,8300,88.5621
2012-10-23,395.1,409.952,385.2,399.0,3000,87.7815
2012-10-24,399.0,399.0,399.0,399.0,0,87.7815
2012-10-25,395.1,409.952,390.05,400.9,10700,88.1995
2012-10-26,400.9,400.9,400.9,400.9,0,88.1995
2012-10-29,426.0,444.0,426.0,436.9,29400,96.1196
2012-10-30,440.0,455.0,432.0,450.952,48000,99.2111
2012-10-31,454.0,460.0,440.1,458.3,50400,100.8277
2012-11-01,459.0,474.9,459.0,468.952,46200,103.1712
2012-11-02,472.952,479.9,462.048,462.048,35700,101.6523
2012-11-05,467.0,475.0,453.0,456.4,21500,100.4097
2012-11-06,456.548,456.548,420.0,445.24800000000005,38800,97.9562
2012-11-07,444.0,460.0,444.0,452.0,22300,99.4417
2012-11-08,450.0,465.0,450.0,460.0,41600,101.2017
2012-11-09,467.0,475.6,443.0,448.6,44400,98.6937
2012-11-12,451.2,465.7,451.1,457.8,38100,100.7177
2012-11-13,457.8,457.8,457.8,457.8,0,100.7177
2012-11-14,457.8,457.8,457.8,457.8,0,100.7177
2012-11-15,466.1,468.048,460.75199999999995,464.7,23500,104.2859
2012-11-16,460.0,469.9,460.0,465.0,19100,104.3533
2012-11-19,464.0,475.0,464.0,465.75199999999995,40200,104.522
2012-11-20,459.0,481.352,457.452,469.852,30300,105.4421
2012-11-21,467.0,469.852,450.0,461.8,20200,103.6351
2012-11-22,461.9,467.0,456.1,462.5,7600,103.7922
2012-11-23,469.0,469.0,451.952,457.048,14700,102.5687
2012-11-26,459.852,472.4,458.548,468.048,8100,105.0373
2012-11-27,468.0,468.048,458.0,461.852,8500,103.6468
2012-11-28,461.852,461.852,461.852,461.852,0,103.6468
2012-11-29,457.352,470.0,457.352,460.952,11400,103.4448
2012-11-30,465.0,472.452,458.1,463.7,11500,104.0615
2012-12-03,465.0,470.0,460.048,462.1,5300,103.7025
2012-12-04,460.548,487.952,457.0,480.6,88000,107.8541
2012-12-05,480.0,507.0,478.2,487.3,50100,109.3577
2012-12-06,497.952,505.0,488.0,490.352,27800,110.0426
2012-12-07,495.1,499.0,482.1,486.148,17500,109.0992
2012-12-10,485.0,488.952,474.0,482.5,9400,108.2805
2012-12-11,485.0,487.852,471.2,473.24800000000005,6500,106.2042
2012-12-12,470.5,480.0,470.5,472.75199999999995,4400,106.0929
2012-12-13,472.75199999999995,478.6,462.2,466.2,13600,104.6226
2012-12-14,473.048,478.0,462.0,463.4,6400,103.9942
2012-12-17,467.048,469.6,460.4,465.4,13500,104.443
2012-12-18,469.0,474.7,463.0,471.648,4400,105.8452
2012-12-19,460.0,478.0,460.0,472.148,8400,105.9574
2012-12-20,470.24800000000005,478.952,470.24800000000005,472.852,5300,106.1154
2012-12-21,471.5,474.9,470.148,470.952,9500,105.689
2012-12-24,473.5,473.5,465.548,467.4,8400,104.8919
2012-12-25,467.4,467.4,467.4,467.4,0,104.8919
2012-12-26,464.0,468.852,462.0,465.048,7300,104.36399999999999
2012-12-27,460.0,479.0,460.0,473.648,7200,106.294
2012-12-28,474.7,483.0,468.5,476.5,6300,106.934
2012-12-31,474.952,482.0,472.3,479.9,16800,107.697
2013-01-01,482.0,482.0,475.148,479.852,13300,107.6863
2013-01-02,480.0,491.2,477.048,484.9,27000,108.8191
