Date,Open,High,Low,Close,Volume,Adj Close
2005-07-29,50.0,69.9,49.5,50.5,4724000,42.47
2005-08-01,50.1,59.8,47.55,58.9,4393000,49.53
2005-08-02,59.7,68.4,59.55,65.2,5739800,54.83
2005-08-03,65.75,66.0,61.25,61.8,2725500,51.97
2005-08-04,62.5,64.0,62.4,62.85,893100,52.85
2005-08-05,62.15,65.35,62.15,63.45,1015100,53.36
2005-08-08,64.0,64.3,61.1,61.7,345700,51.89
2005-08-09,61.9,62.75,60.0,60.35,339300,50.75
2005-08-10,60.5,63.3,60.2,62.4,417700,52.48
2005-08-11,62.95,65.7,62.0,63.65,646000,53.53
2005-08-12,63.4,63.9,61.75,62.5,222300,52.56
2005-08-16,63.45,64.45,62.25,62.55,209500,52.6
2005-08-17,62.55,63.8,62.1,63.45,315100,53.36
2005-08-18,64.2,65.9,63.3,63.65,583300,53.53
2005-08-19,64.5,65.5,63.55,64.45,277100,54.2
2005-08-22,65.0,65.0,62.3,63.6,216500,53.49
2005-08-23,62.7,64.0,60.1,60.8,213900,51.13
2005-08-24,60.9,62.45,58.15,59.05,172700,49.66
2005-08-25,59.0,60.9,59.0,60.6,94100,50.96
2005-08-26,61.95,62.2,60.6,60.8,126100,51.13
2005-08-29,60.9,61.75,59.5,59.85,126200,50.33
2005-08-30,61.45,62.45,60.5,61.4,199600,51.64
2005-08-31,61.0,62.5,60.8,61.5,190300,51.72
2005-09-01,67.0,67.95,63.6,65.4,1362700,55.0
2005-09-02,63.8,66.8,62.85,65.15,1006400,54.79
2005-09-05,65.5,77.4,65.5,75.75,6094400,63.7
2005-09-06,76.85,78.6,72.5,74.25,4603000,62.44
2005-09-08,75.3,87.8,73.7,85.95,7363300,72.28
2005-09-09,85.1,88.25,82.5,83.9,4129800,70.56
2005-09-12,85.0,89.7,84.2,85.35,3070600,71.78
2005-09-13,85.4,87.35,84.5,85.35,1196500,71.78
2005-09-14,85.5,86.25,82.5,84.05,884700,70.68
2005-09-15,84.6,85.9,84.1,85.2,537300,71.65
2005-09-16,85.85,92.45,85.0,89.25,4342700,75.06
2005-09-19,90.5,91.45,86.5,87.45,1811500,73.54
2005-09-20,88.0,88.0,84.4,84.7,520300,71.23
2005-09-21,84.75,84.75,72.0,80.25,723300,67.49
2005-09-22,80.0,80.9,68.65,69.7,680700,58.62
2005-09-23,71.7,75.4,64.0,74.3,908100,62.48
2005-09-26,74.95,79.7,74.95,77.0,621500,64.75
2005-09-27,78.0,79.2,73.05,75.3,1078500,63.32
2005-09-28,76.0,76.4,74.1,74.65,247300,62.78
2005-09-29,75.0,75.5,72.55,73.45,218300,61.77
2005-09-30,72.55,72.55,69.0,70.7,309700,59.46
2005-10-03,71.6,74.35,70.75,73.85,315800,62.11
2005-10-04,75.0,83.0,73.5,73.8,285200,62.06
2005-10-05,74.3,74.4,71.65,72.1,129800,60.63
2005-10-06,70.1,72.25,68.15,71.25,137700,59.92
2005-10-07,71.0,72.5,68.9,70.05,189000,58.91
2005-10-10,70.7,70.7,68.15,69.45,145200,58.4
2005-10-11,69.8,70.0,66.0,66.45,187300,55.88
2005-10-13,67.1,67.95,64.6,65.1,169100,54.75
2005-10-14,66.0,66.0,62.0,62.35,167300,52.43
2005-10-17,63.45,63.45,59.25,60.1,265300,50.54
2005-10-18,60.25,61.9,59.1,60.35,285100,50.75
2005-10-19,60.1,60.1,57.0,57.5,243600,48.36
2005-10-20,58.0,59.3,54.0,54.85,131900,46.13
2005-10-21,54.85,56.0,51.6,55.3,168400,46.51
2005-10-24,56.0,57.95,55.4,56.0,129400,47.09
2005-10-25,56.7,57.2,55.55,56.5,53800,47.51
2005-10-26,57.0,58.8,55.5,55.95,104400,47.05
2005-10-27,56.9,57.2,55.25,55.5,59900,46.67
2005-10-28,56.0,59.9,54.6,56.0,312900,47.09
2005-10-31,59.8,59.85,56.05,58.65,177300,49.32
2005-11-01,61.0,62.7,58.0,61.8,201000,51.97
2005-11-02,61.7,62.0,59.25,60.95,103300,51.26
2005-11-07,61.0,62.45,60.1,61.5,110100,51.72
2005-11-08,62.15,64.85,62.0,63.8,215100,53.65
2005-11-09,62.9,64.5,60.0,61.0,395800,51.3
2005-11-10,60.1,60.95,58.0,60.15,254000,50.58
2005-11-11,60.7,60.75,59.5,59.65,119200,50.16
2005-11-14,60.25,61.85,58.8,59.0,136600,49.62
2005-11-16,58.8,59.55,58.55,58.75,63300,49.41
2005-11-17,62.0,62.0,58.5,60.2,136700,50.63
2005-11-18,60.4,61.0,59.5,59.8,80500,50.29
2005-11-21,61.5,63.5,60.0,60.45,232300,50.84
2005-11-22,60.0,60.3,59.1,59.45,94000,50.0
2005-11-23,60.0,60.75,59.2,60.0,53400,50.46
2005-11-24,60.05,60.45,59.1,59.3,35100,49.87
2005-11-25,59.65,61.4,59.4,60.1,90300,50.54
2005-11-28,60.75,62.8,60.3,61.85,315300,52.01
2005-11-29,61.15,61.2,59.3,60.15,86600,50.58
2005-11-30,59.7,61.2,59.0,59.1,169700,49.7
2005-12-01,59.25,61.0,58.3,59.65,47400,50.16
2005-12-02,58.75,60.0,58.75,59.15,40300,49.74
2005-12-05,59.5,59.55,58.5,58.6,44300,49.28
2005-12-06,58.65,59.6,58.1,58.4,47500,49.11
2005-12-07,58.75,60.5,58.25,58.6,95600,49.28
2005-12-08,58.5,59.3,58.1,58.5,45700,49.2
2005-12-09,58.8,63.25,58.7,61.7,433000,51.89
2005-12-12,62.15,62.4,60.2,60.7,115800,51.05
2005-12-13,62.0,66.9,61.9,65.1,1326200,54.75
2005-12-14,66.0,69.75,65.7,67.75,946900,56.98
2005-12-15,69.5,71.0,65.0,66.3,432700,55.76
2005-12-16,67.25,67.3,65.55,66.5,187600,55.92
2005-12-19,66.9,68.5,66.5,67.05,206200,56.39
2005-12-20,67.0,67.4,65.3,65.65,86700,55.21
2005-12-21,65.95,66.75,64.8,65.85,92600,55.38
2005-12-22,66.5,66.5,65.2,65.85,71900,55.38
2005-12-23,66.0,66.55,64.2,64.75,80500,54.45
2005-12-26,65.05,68.0,62.0,62.4,112900,52.48
2005-12-27,61.55,65.7,61.35,64.65,134100,54.37
2005-12-28,65.45,66.45,63.6,63.95,83700,53.78
2005-12-29,65.9,72.0,64.1,71.0,1275800,59.71
2005-12-30,74.0,75.4,71.0,71.85,699600,60.42
2006-01-02,72.4,82.4,70.6,79.25,2859400,66.65
2006-01-03,79.5,82.9,78.35,80.1,1986900,67.36
2006-01-04,80.95,80.95,75.7,76.3,729200,64.17
2006-01-05,77.0,77.25,73.5,74.55,528900,62.69
2006-01-06,75.0,77.7,74.4,75.85,544200,63.79
2006-01-09,76.0,77.1,74.7,74.95,149000,63.03
2006-01-10,75.4,75.4,73.0,73.5,175800,61.81
2006-01-12,73.9,78.4,72.25,76.45,600000,64.29
2006-01-13,77.2,78.55,74.55,75.1,456200,63.16
2006-01-16,75.1,77.7,73.5,74.05,201800,62.27
2006-01-17,74.8,75.75,71.5,71.75,211300,60.34
2006-01-18,71.1,73.35,69.5,70.3,210900,59.12
2006-01-19,71.1,74.0,71.1,73.3,236800,61.64
2006-01-20,73.5,74.75,71.7,72.0,225200,60.55
2006-01-23,71.95,73.6,70.7,71.15,195900,59.83
2006-01-24,72.7,73.0,71.15,71.5,209300,60.13
2006-01-25,72.9,76.7,71.35,73.7,500400,61.98
2006-01-27,74.5,77.4,72.6,76.05,515800,63.96
2006-01-30,76.45,77.85,75.5,76.1,200500,64.0
2006-01-31,77.1,82.9,76.0,81.55,1361800,68.58
2006-02-01,83.25,83.4,75.05,75.6,994700,63.58
2006-02-02,77.2,81.9,76.2,78.6,705200,66.1
2006-02-03,78.2,87.8,78.0,85.0,3315000,71.48
2006-02-06,87.0,99.5,86.0,93.5,7101100,78.63
2006-02-07,95.0,97.7,88.65,89.7,3444500,75.43
2006-02-08,90.45,105.8,87.25,103.75,8783300,87.25
2006-02-10,104.4,113.65,104.4,108.0,7029600,90.82
2006-02-13,109.1,129.6,109.05,129.6,10941100,108.99
2006-02-14,130.5,142.6,130.5,134.3,7931400,112.94
2006-02-15,137.3,147.75,131.55,145.75,9287300,122.57
2006-02-16,159.8,160.35,147.75,152.2,11181000,127.99
2006-02-17,154.3,154.3,137.0,137.35,7738300,115.51
2006-02-20,136.0,145.85,132.65,142.95,9341100,120.22
2006-02-21,145.6,147.9,141.5,142.05,5392600,119.46
2006-02-22,142.15,143.6,131.15,134.05,3691400,112.73
2006-02-23,135.4,137.9,128.65,133.75,5254700,112.48
2006-02-24,135.0,135.5,128.7,129.85,2633900,109.2
2006-02-27,130.0,133.15,126.6,127.75,2661600,107.43
2006-02-28,128.8,134.15,127.6,134.15,3790800,112.82
2006-03-01,135.0,140.9,135.0,140.9,1311400,118.49
2006-03-02,146.9,147.95,136.5,141.75,4307900,119.21
2006-03-03,143.0,148.5,140.5,147.45,2679400,124.0
2006-03-06,145.0,150.9,140.1,140.3,1267100,117.99
2006-03-07,142.0,143.8,138.0,138.7,1221700,116.64
2006-03-08,140.0,143.5,132.0,133.05,987400,111.89
2006-03-09,134.0,136.7,132.0,134.05,841800,112.73
2006-03-10,135.25,140.75,134.6,140.75,1054000,118.37
2006-03-13,143.0,144.7,136.05,137.25,803200,115.42
2006-03-14,139.5,141.3,135.35,136.9,955700,115.13
2006-03-16,137.8,139.45,134.2,135.15,512800,113.66
2006-03-17,135.7,140.9,132.7,133.15,908200,111.97
2006-03-20,135.0,136.55,132.05,132.7,483800,111.6
2006-03-21,133.75,133.75,126.1,126.55,353600,106.42
2006-03-22,125.0,130.9,125.0,127.9,671200,107.56
2006-03-23,129.8,134.3,127.0,132.2,589300,111.18
2006-03-24,133.75,137.9,130.2,136.1,1425700,114.45
2006-03-27,136.0,139.5,136.0,137.85,612900,115.93
2006-03-28,139.0,144.0,133.1,140.9,1189500,118.49
2006-03-29,141.0,146.0,137.0,140.45,772100,118.11
2006-03-30,141.4,143.3,137.8,141.8,601100,119.25
2006-03-31,143.5,145.45,137.1,138.75,583400,116.68
2006-04-03,139.9,144.5,138.0,143.05,610700,120.3
2006-04-04,144.0,145.55,139.2,140.45,415400,118.11
2006-04-05,141.0,145.5,138.5,143.2,1224500,120.43
2006-04-07,143.85,143.85,136.3,137.5,502400,115.63
2006-04-10,137.1,138.8,135.55,137.0,215300,115.21
2006-04-12,136.85,139.2,130.15,130.9,300900,110.08
2006-04-13,131.4,131.4,124.35,125.25,231800,105.33
2006-04-17,125.0,131.0,125.0,127.55,222900,107.26
2006-04-18,128.9,131.75,128.0,128.8,239400,108.32
2006-04-19,130.0,135.25,129.2,135.25,543100,113.74
2006-04-20,138.4,142.05,133.2,139.75,616300,117.52
2006-04-21,140.0,140.5,133.15,133.8,265300,112.52
2006-04-24,133.8,135.9,131.55,132.25,157400,111.22
2006-04-25,132.8,135.4,130.1,130.6,192500,109.83
2006-04-26,131.0,132.5,128.75,130.5,174500,109.75
2006-04-27,131.4,131.5,126.0,127.05,146300,106.84
2006-04-28,124.55,127.4,117.0,124.95,136500,105.08
2006-05-02,127.0,132.5,126.85,129.0,278700,108.48
2006-05-03,131.4,131.4,125.6,126.4,118100,106.3
2006-05-04,127.4,127.4,119.0,119.7,313100,100.66
2006-05-05,120.6,125.0,119.7,120.45,196400,101.29
2006-05-08,121.8,125.75,120.0,121.5,120800,102.18
2006-05-09,123.8,133.65,121.0,133.65,955000,112.39
2006-05-10,137.0,145.0,135.05,142.25,2229200,119.63
2006-05-11,142.25,143.8,131.55,132.65,493600,111.55
2006-05-12,132.0,139.8,128.1,133.65,699200,112.39
2006-05-15,134.4,134.4,123.15,124.4,360500,104.62
2006-05-16,125.35,125.35,112.0,124.5,376600,104.7
2006-05-17,126.45,133.7,125.05,132.35,296300,111.3
2006-05-18,126.0,129.65,119.15,119.35,196000,100.37
2006-05-19,117.0,124.15,107.45,110.15,228700,92.63
2006-05-22,112.25,116.0,99.15,112.0,306600,94.19
2006-05-23,112.0,116.0,103.6,115.1,180400,96.79
2006-05-24,115.0,119.0,110.6,113.95,124200,95.83
2006-05-25,108.3,113.65,108.0,111.75,107300,93.98
2006-05-26,112.75,122.8,112.75,119.65,233300,100.62
2006-05-29,115.0,124.8,114.0,117.15,240300,98.52
2006-05-30,120.0,122.9,116.5,118.65,420300,99.78
2006-05-31,110.1,115.95,108.0,112.15,149800,94.31
2006-06-01,115.8,116.0,106.1,107.85,142200,90.7
2006-06-02,110.8,110.8,97.15,104.3,202500,87.71
2006-06-05,102.0,108.7,102.0,103.5,129800,87.04
2006-06-06,96.1,102.0,95.5,100.55,144400,84.56
2006-06-07,94.0,101.0,93.0,98.05,210200,82.46
2006-06-08,92.5,97.5,88.25,88.25,117300,74.21
2006-06-09,84.25,92.8,80.0,90.3,186900,75.94
2006-06-12,91.0,91.0,85.15,87.2,74900,73.33
2006-06-13,79.0,85.6,78.5,79.35,73400,66.73
2006-06-14,82.9,82.9,75.4,75.4,52800,63.41
2006-06-15,78.8,79.2,76.5,79.2,48000,66.6
2006-06-16,82.9,83.2,81.05,83.2,23500,69.97
2006-06-19,85.9,87.4,81.05,87.1,73800,73.25
2006-06-20,87.0,91.5,84.3,89.7,49800,75.43
2006-06-21,89.0,94.2,89.0,94.2,37400,79.22
2006-06-22,97.0,98.95,97.0,98.9,52800,83.17
2006-06-23,96.0,103.85,95.55,103.05,142000,86.66
2006-06-26,106.25,106.5,99.75,99.75,65500,83.89
2006-06-27,100.0,100.0,95.0,96.25,45100,80.94
2006-06-28,96.0,96.75,91.45,93.35,29400,78.5
2006-06-29,93.2,98.05,93.2,97.15,46200,81.7
2006-06-30,101.0,102.05,100.0,102.05,33200,85.82
2006-07-03,107.15,107.15,107.15,107.15,16600,90.11
2006-07-04,112.0,112.5,105.0,105.7,199500,88.89
2006-07-05,105.0,109.0,103.6,107.2,85100,90.15
2006-07-06,107.0,107.5,102.05,102.7,47700,86.37
2006-07-07,106.0,106.0,97.6,98.35,64700,82.71
2006-07-10,98.6,103.3,96.25,103.25,87000,86.83
2006-07-11,104.7,104.8,101.0,103.2,73100,86.79
2006-07-12,100.1,105.0,100.0,103.2,65200,86.79
2006-07-13,100.6,105.25,100.15,104.5,68300,87.88
2006-07-14,101.1,106.7,100.6,104.5,64600,87.88
2006-07-17,101.25,105.45,99.3,99.95,52200,84.05
2006-07-18,102.0,102.8,98.25,98.85,41700,83.13
2006-07-19,100.8,103.0,93.95,94.95,87500,79.85
2006-07-20,98.0,99.0,92.6,94.55,96600,79.51
2006-07-21,94.5,94.5,90.3,93.05,44400,78.25
2006-07-24,91.6,95.8,88.4,93.1,90300,78.29
2006-07-25,94.8,96.8,93.0,94.85,68900,79.77
2006-07-26,93.5,98.7,93.1,97.2,71800,81.74
2006-07-27,99.5,100.5,92.6,99.25,421000,83.47
2006-07-28,101.8,103.9,98.45,99.85,187600,83.97
2006-07-31,100.05,101.5,98.0,99.15,98300,83.38
2006-08-01,98.05,99.0,96.8,97.95,44100,82.37
2006-08-02,97.4,99.0,97.2,98.25,48500,82.62
2006-08-03,98.0,102.5,98.0,99.35,143500,83.55
2006-08-04,99.0,100.0,95.55,96.05,59000,80.77
2006-08-07,96.8,99.5,93.8,96.2,59200,80.9
