Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,301.8,305.0,300.0,302.95,1400,198.9
2002-07-02,303.0,303.0,300.0,301.9,1300,198.21
2002-07-03,305.0,305.0,302.15,303.5,900,199.26
2002-07-04,306.0,309.0,304.35,306.55,6000,201.27
2002-07-05,299.1,309.0,299.1,299.85,7600,196.87
2002-07-08,296.0,312.0,293.0,300.2,44000,197.1
2002-07-09,289.0,303.9,289.0,300.8,31800,197.49
2002-07-10,295.1,310.7,295.05,310.25,25300,203.69
2002-07-11,314.0,314.0,300.0,301.65,7200,198.05
2002-07-12,305.0,310.95,303.1,303.9,5800,199.53
2002-07-15,300.0,300.0,289.25,292.45,9200,192.01
2002-07-16,293.0,293.0,290.0,292.0,8400,191.71
2002-07-17,293.0,293.5,290.35,293.2,2000,192.5
2002-07-18,295.9,296.0,291.5,294.4,2000,193.29
2002-07-19,290.6,296.1,290.6,294.65,3400,193.45
2002-07-22,294.9,295.0,291.1,293.4,4300,192.63
2002-07-23,286.0,295.95,286.0,292.15,1300,191.81
2002-07-24,295.0,295.0,291.2,291.3,1100,191.25
2002-07-25,295.1,295.1,290.0,292.25,2200,191.88
2002-07-26,290.0,291.0,287.0,288.35,2000,189.32
2002-07-29,287.1,288.1,282.15,285.3,3000,187.31
2002-07-30,287.05,290.0,284.25,284.9,2900,187.05
2002-07-31,290.0,290.0,278.05,284.85,3600,187.02
2002-08-01,285.0,287.0,281.0,284.5,1000,186.79
2002-08-02,281.1,286.0,281.05,284.85,700,187.02
2002-08-05,284.45,286.95,284.45,286.9,400,188.36
2002-08-06,285.0,287.0,284.1,286.95,1800,188.4
2002-08-07,284.75,293.0,284.75,293.0,1300,192.37
2002-08-08,293.0,293.0,290.0,290.0,1200,190.4
2002-08-09,289.5,290.0,287.0,288.0,11300,189.09
2002-08-12,292.9,292.95,287.0,287.5,800,188.76
2002-08-13,290.0,290.0,287.0,287.0,2900,188.43
2002-08-14,285.0,289.4,284.1,285.0,4600,187.12
2002-08-16,286.0,286.0,284.5,284.65,100,186.89
2002-08-19,285.0,288.5,285.0,288.4,3100,189.35
2002-08-20,285.25,288.5,285.15,287.0,200,188.43
2002-08-21,285.25,291.95,285.25,286.0,5200,187.77
2002-08-22,288.0,288.0,285.1,285.1,5200,187.18
2002-08-23,289.9,289.9,285.1,285.85,200,187.67
2002-08-26,289.0,289.0,286.1,286.15,400,187.87
2002-08-27,286.0,288.7,284.0,284.1,800,186.53
2002-08-28,284.05,284.35,281.2,281.7,600,184.95
2002-08-29,282.95,282.95,278.0,279.2,1000,183.31
2002-08-30,280.0,280.9,278.6,279.2,200,183.31
2002-09-02,281.0,283.9,278.0,278.25,1500,182.68
2002-09-03,279.0,280.9,275.0,280.3,800,184.03
2002-09-04,280.0,280.0,278.0,279.0,300,183.18
2002-09-05,277.5,279.9,275.1,275.35,500,180.78
2002-09-06,275.7,276.05,273.0,273.85,800,179.8
2002-09-09,275.0,275.0,272.1,272.5,400,178.91
2002-09-11,273.05,275.0,270.0,274.95,400,180.52
2002-09-12,273.0,274.0,269.5,269.95,200,177.24
2002-09-13,269.0,271.25,267.0,267.15,1100,175.4
2002-09-16,268.0,268.0,258.05,260.0,3400,170.7
2002-09-17,263.0,266.0,263.0,263.05,900,172.71
2002-09-18,260.0,263.7,260.0,261.1,300,171.43
2002-09-19,261.25,262.5,259.0,260.1,1700,170.77
2002-09-20,258.0,262.0,257.0,257.2,2200,168.86
2002-09-23,257.65,257.65,255.0,255.45,400,167.72
2002-09-24,256.0,260.0,255.0,257.0,900,168.73
2002-09-25,257.0,257.0,253.5,254.45,1400,167.06
2002-09-26,259.5,260.0,256.0,256.6,800,168.47
2002-09-27,256.0,259.0,253.1,254.4,1400,167.03
2002-09-30,255.0,255.0,250.0,250.9,2000,164.73
2002-10-01,250.0,251.0,246.25,247.25,7600,162.33
2002-10-03,247.25,248.75,245.15,247.25,800,162.33
2002-10-04,245.0,248.0,242.5,243.1,2000,159.61
2002-10-07,248.0,248.0,245.0,245.6,1800,161.25
2002-10-08,248.0,248.0,242.45,243.95,1600,160.17
2002-10-09,250.0,250.0,243.2,245.4,3800,161.12
2002-10-10,246.35,246.9,245.05,246.9,400,162.1
2002-10-11,248.0,248.0,246.0,248.0,400,162.82
2002-10-14,248.0,248.0,245.0,246.4,600,161.77
2002-10-16,247.5,248.0,241.8,242.8,4900,159.41
2002-10-17,245.0,245.0,242.2,243.15,700,159.64
2002-10-18,244.95,244.95,242.0,242.7,1200,159.34
2002-10-21,241.8,244.8,241.0,241.85,2300,158.79
2002-10-22,242.0,243.5,241.5,242.9,500,159.48
2002-10-23,242.2,243.45,240.0,240.3,1100,157.77
2002-10-24,242.5,242.5,236.15,237.95,2600,156.23
2002-10-25,237.0,238.0,236.3,237.5,1100,155.93
2002-10-28,240.0,240.5,234.5,235.1,2000,154.35
2002-10-29,240.0,240.0,224.0,225.75,4400,148.22
2002-10-30,230.0,230.0,221.35,227.9,1400,149.63
2002-10-31,229.0,229.0,225.25,226.35,2000,148.61
2002-11-01,227.0,229.0,225.0,225.6,8700,148.12
2002-11-04,225.0,233.0,225.0,230.05,800,151.04
2002-11-05,232.0,232.5,229.5,230.0,1400,151.01
2002-11-07,248.0,248.0,227.0,227.85,2700,149.59
2002-11-08,232.6,232.6,228.1,229.95,7200,150.97
2002-11-11,230.0,230.95,228.25,229.0,8900,150.35
2002-11-12,225.0,231.8,225.0,229.85,600,150.91
2002-11-13,230.0,240.0,229.25,237.85,3400,156.16
2002-11-14,237.05,240.0,236.05,237.0,2900,155.6
2002-11-15,241.85,242.0,240.05,241.55,900,158.59
2002-11-18,228.05,245.0,228.05,244.3,2900,160.39
