Date,Open,High,Low,Close,Volume,Adj Close
2007-03-07,156.75,168.438,144.0,155.3,50376700,29.4334
2007-03-08,625.0,641.9,601.0,633.2,13405900,120.0081
2007-03-09,634.0,668.8,613.1,652.548,10120000,123.675
2007-03-12,651.3,783.1,645.3,780.8,32432100,147.9822
2007-03-13,799.0,914.0,799.0,879.048,38461400,166.6028
2007-03-14,830.1,1003.5,802.0,947.4,50340500,179.5573
2007-03-15,919.0,1023.2,917.248,930.152,29973000,176.2883
2007-03-16,942.0,980.0,878.1,897.3,23828800,170.062
2007-03-19,910.152,940.0,892.1,900.652,13522000,170.6973
2007-03-20,913.5,932.0,885.548,893.048,8381900,169.2561
2007-03-21,895.2,906.0,854.0,862.7,11704500,163.5044
2007-03-22,882.0,900.0,867.152,873.1,8250800,165.4755
2007-03-23,878.0,886.0,850.3,862.248,6580800,163.4187
2007-03-26,866.348,880.0,847.0,854.048,4769000,161.8646
2007-03-28,843.1,857.4,820.0,830.752,3852800,157.4494
2007-03-29,830.1,843.0,820.0,825.4,3357800,156.4351
2007-03-30,835.0,848.0,825.6,830.8,3937500,157.4585
2007-04-02,809.652,827.7,803.652,811.652,1893000,153.8294
2007-04-03,821.0,825.0,786.548,793.2,2412300,150.3323
2007-04-04,796.0,823.0,777.6,808.452,4888500,153.223
2007-04-05,818.0,841.7,797.0,832.548,8941100,157.7898
2007-04-09,838.0,861.6,821.348,851.1,4672600,161.3059
2007-04-10,850.0,890.0,842.0,866.6,7480300,164.2435
2007-04-11,870.0,875.0,796.1,802.0,7043900,152.0001
2007-04-12,793.0,817.0,789.9,804.752,4859000,152.5217
2007-04-13,815.0,838.7,803.548,831.3,4175200,157.5533
2007-04-16,837.0,862.0,835.0,841.1,3522100,159.4106
2007-04-17,842.7,848.4,806.5,811.952,1868500,153.8863
2007-04-18,814.0,824.9,803.3,808.248,1307200,153.1843
2007-04-19,801.952,815.0,788.5,809.1,1109700,153.3458
2007-04-20,823.0,829.9,806.7,809.848,1103800,153.4875
2007-04-23,816.0,823.0,800.0,804.0,730700,152.3792
