Date,Open,High,Low,Close,Volume,Adj Close
2010-12-15,565.0,590.0,456.65,464.2,65132400,396.05
2010-12-16,465.0,479.4,450.35,461.5,19177600,393.75
2010-12-20,460.05,460.05,440.35,441.8,5924400,376.94
2010-12-21,444.95,450.85,433.25,435.6,4233600,371.65
2010-12-22,436.5,470.6,431.4,461.1,20777800,393.41
2010-12-23,462.0,465.4,447.05,449.05,5168900,383.13
2010-12-24,450.95,457.8,447.0,448.85,3320300,382.96
2010-12-27,451.95,454.4,438.05,440.25,1779200,375.62
2010-12-28,441.0,444.7,436.0,439.65,1744800,375.11
2010-12-29,439.65,448.7,438.5,440.6,1658100,375.92
2010-12-30,442.0,453.7,441.0,451.35,3403200,385.09
2010-12-31,449.8,457.35,448.15,449.7,1629300,383.68
2011-01-03,454.0,460.5,450.8,453.95,1777900,387.31
2011-01-04,456.7,458.0,452.75,455.05,1025700,388.25
2011-01-05,454.0,456.0,447.0,448.35,937600,382.53
2011-01-06,449.5,452.0,445.2,448.35,595300,382.53
2011-01-07,449.1,449.8,433.5,435.3,707100,371.4
2011-01-10,436.0,438.95,428.2,431.8,948600,368.41
2011-01-11,430.0,439.7,430.0,433.0,744400,369.43
2011-01-12,435.1,437.6,428.0,435.15,510500,371.27
2011-01-13,436.1,445.5,432.0,442.15,863200,377.24
2011-01-14,440.0,441.95,433.8,435.65,897700,371.7
2011-01-17,434.0,438.0,430.2,435.05,367000,371.18
2011-01-18,437.0,438.7,430.5,434.7,303400,370.89
2011-01-19,438.0,438.0,432.0,434.8,243700,370.97
2011-01-20,433.0,442.7,431.1,435.0,471500,371.14
2011-01-21,435.25,439.6,432.0,432.8,313900,369.26
2011-01-24,434.85,436.0,430.25,430.85,194300,367.6
2011-01-25,431.95,434.5,427.15,428.2,195700,365.34
2011-01-27,430.2,432.75,423.5,424.7,227000,362.35
2011-01-28,424.0,426.0,411.75,412.4,502200,351.86
2011-01-31,410.0,412.0,394.2,408.95,1332000,348.92
2011-02-01,413.5,417.0,406.05,410.25,472100,350.02
2011-02-02,411.5,414.85,409.2,409.95,291200,349.77
2011-02-03,411.15,418.55,410.0,416.95,273000,355.74
2011-02-04,415.0,424.25,415.0,419.0,261400,357.49
2011-02-07,419.8,422.5,410.2,419.75,314200,358.13
2011-02-08,419.0,421.0,412.75,414.4,244000,353.57
2011-02-09,412.65,418.9,405.25,408.0,455100,348.1
2011-02-10,408.0,408.0,386.0,392.25,613100,334.67
2011-02-11,395.0,406.6,377.0,405.05,463900,345.59
2011-02-14,408.0,415.9,400.1,413.6,224900,352.88
2011-02-15,415.0,417.0,409.0,409.95,366900,349.77
2011-02-16,410.05,422.4,409.0,421.0,285300,359.2
2011-02-17,419.0,419.0,413.8,414.5,121600,355.76
2011-02-18,417.9,420.0,407.05,408.3,197300,350.44
2011-02-21,409.0,414.0,406.0,412.3,111300,353.88
2011-02-22,411.0,412.95,403.35,405.9,163300,348.38
2011-02-23,401.2,410.45,401.2,408.15,121600,350.31
2011-02-24,407.9,409.0,395.05,402.25,514500,345.25
2011-02-25,403.5,407.1,394.95,396.8,149800,340.57
2011-02-28,398.0,409.0,392.45,394.25,363400,338.38
2011-03-01,396.0,403.25,395.05,401.8,164400,344.86
2011-03-03,401.0,403.9,397.6,398.85,150500,342.33
2011-03-04,400.0,404.0,400.0,401.65,148500,344.73
2011-03-07,400.0,401.0,395.25,397.35,95400,341.04
2011-03-08,417.0,417.0,396.5,397.35,123800,341.04
2011-03-09,399.9,401.4,395.05,395.95,181000,339.84
