Date,Open,High,Low,Close,Volume,Adj Close
1996-01-01,29.85,29.95,29.5,29.6,16300,25.97
1996-01-02,29.6,30.0,29.25,29.95,38700,26.28
1996-01-03,29.95,29.95,29.55,29.7,21700,26.06
1996-01-04,29.7,29.85,29.5,29.85,20700,26.19
1996-01-05,29.85,30.45,29.5,29.75,42300,26.11
1996-01-08,29.75,29.8,29.4,29.55,34800,25.93
1996-01-09,29.55,29.6,29.1,29.35,31600,25.75
1996-01-10,29.35,29.6,29.05,29.3,27900,25.71
1996-01-11,29.3,29.5,28.85,29.3,21500,25.71
1996-01-12,29.3,29.7,29.3,29.55,19500,25.93
1996-01-15,29.55,29.6,29.3,29.45,17700,25.84
1996-01-16,29.45,29.7,29.1,29.1,45900,25.54
1996-01-17,29.1,29.5,28.5,28.7,59700,25.18
1996-01-18,28.7,28.75,27.9,28.0,39700,24.57
1996-01-19,28.0,28.05,27.05,27.35,28000,24.0
1996-01-22,27.35,27.75,27.0,27.15,19700,23.82
1996-01-23,27.15,27.5,27.0,27.05,30600,23.74
1996-01-24,27.0,27.0,25.55,26.0,20900,22.81
1996-01-25,25.5,26.5,25.35,25.65,23100,22.51
1996-01-29,27.0,27.0,25.0,25.7,29700,22.55
1996-01-30,25.7,27.05,25.75,26.1,31700,22.9
1996-01-31,26.1,27.25,26.25,26.35,25200,23.12
1996-02-01,26.35,27.0,26.35,26.6,50400,23.34
1996-02-02,27.0,28.3,27.0,28.05,37800,24.61
1996-02-05,28.05,30.9,28.25,29.15,59900,25.58
1996-02-06,29.15,29.8,28.25,28.6,50600,25.1
1996-02-07,28.55,29.0,27.5,27.7,32600,24.31
1996-02-08,27.7,28.35,27.6,27.85,64000,24.44
1996-02-09,27.85,29.0,28.0,28.65,82100,25.14
1996-02-12,28.65,31.7,28.5,30.75,85300,26.98
1996-02-13,30.75,31.0,30.0,30.6,58000,26.85
1996-02-14,30.6,33.65,32.1,32.5,100900,28.52
1996-02-15,32.5,33.25,31.5,32.35,117300,28.39
1996-02-16,32.35,32.3,31.35,31.6,63700,27.73
1996-02-19,31.6,31.75,31.0,31.2,66000,27.38
1996-02-20,31.2,31.0,30.0,30.2,61900,26.5
1996-02-22,30.2,31.0,29.9,30.7,56500,26.94
1996-02-23,30.7,31.5,29.85,30.0,62800,26.32
1996-02-26,30.0,30.5,29.5,30.0,36900,26.32
1996-02-27,30.0,30.2,29.5,29.65,46700,26.02
1996-02-28,29.65,30.7,29.75,29.85,41800,26.19
1996-02-29,29.8,29.8,27.75,27.9,81900,24.48
1996-03-01,27.9,28.75,28.0,28.25,60400,24.79
1996-03-04,28.25,28.75,28.05,28.35,47600,24.88
1996-03-06,28.35,28.45,27.7,27.8,46400,24.39
1996-03-07,27.8,28.4,27.6,27.7,49700,24.31
1996-03-08,27.7,28.0,27.0,27.6,80500,24.22
1996-03-11,27.6,27.75,27.15,27.5,32400,24.13
1996-03-12,27.5,27.7,27.05,27.2,56400,23.87
1996-03-13,27.2,27.75,27.25,27.65,45500,24.26
1996-03-14,27.65,28.0,27.35,27.5,35600,24.13
1996-03-15,27.5,27.9,27.35,27.45,36600,24.09
1996-03-18,27.45,27.6,27.1,27.2,45000,23.87
1996-03-19,27.2,27.25,26.75,27.05,49700,23.74
1996-03-21,27.25,27.65,27.1,27.25,42200,23.91
1996-03-22,27.25,27.5,27.0,27.25,20800,23.91
1996-03-25,27.1,27.5,27.0,27.15,40600,23.82
1996-03-26,27.15,27.5,27.0,27.25,67200,23.91
1996-03-27,27.25,27.6,27.2,27.35,18500,24.0
1996-03-28,27.35,27.75,27.25,27.55,20500,24.18
1996-03-29,27.55,27.95,27.35,27.5,31900,24.13
1996-04-01,27.5,30.4,27.95,30.4,73000,26.68
1996-04-02,30.4,32.75,31.0,31.9,95800,27.99
1996-04-03,31.9,34.9,32.5,32.6,134500,28.61
1996-04-04,32.6,32.0,31.0,31.95,71600,28.04
1996-04-08,31.95,32.9,32.0,32.25,85500,28.3
1996-04-09,32.25,32.6,31.55,31.9,97400,27.99
1996-04-10,31.9,32.85,32.0,32.15,49100,28.21
1996-04-11,32.15,32.0,31.1,31.75,41200,27.86
1996-04-12,31.75,32.25,31.55,32.0,38100,28.08
1996-04-15,32.0,32.75,32.0,32.1,29000,28.17
1996-04-16,32.1,32.5,31.75,31.85,52200,27.95
1996-04-17,32.25,32.6,32.05,32.35,64200,28.39
1996-04-18,32.35,35.0,32.6,33.3,123800,29.22
1996-04-19,33.3,34.7,33.55,33.8,116700,29.66
1996-04-22,34.0,34.5,32.5,33.05,90800,29.0
1996-04-23,33.05,33.0,32.25,32.5,63500,28.52
