Date,Open,High,Low,Close,Volume,Adj Close
2009-07-28,620.0,639.7,610.1,621.6,3600,559.52
2009-07-29,630.0,630.0,616.05,617.6,900,555.92
2009-07-30,616.0,620.0,615.0,616.4,1100,554.84
2009-07-31,623.0,624.9,615.0,620.95,1000,558.93
2009-08-03,628.9,630.0,602.0,615.0,400,553.58
2009-08-04,603.0,624.9,603.0,619.35,200,557.49
2009-08-05,608.0,619.0,585.0,605.8,600,545.3
2009-08-06,604.0,605.0,595.0,596.65,200,537.06
2009-08-07,592.0,602.95,585.0,595.5,100,536.03
2009-08-10,590.0,599.0,580.0,583.5,200,525.22
2009-08-11,572.0,600.0,560.0,593.0,200,533.78
2009-08-12,590.0,590.0,572.1,580.3,100,522.34
2009-08-13,585.5,600.0,585.5,595.0,0,535.58
2009-08-14,600.5,610.0,586.2,599.95,0,540.03
2009-08-17,600.0,600.0,580.0,583.6,100,525.31
2009-08-18,590.0,590.0,581.0,587.0,200,528.37
2009-08-19,580.0,590.0,572.1,586.0,200,527.47
2009-08-20,600.0,600.0,580.0,582.2,100,524.05
2009-08-21,580.0,584.0,570.0,580.5,200,522.52
2009-08-24,599.9,599.9,576.0,582.55,1300,524.37
2009-08-25,582.0,588.0,575.0,582.35,3300,524.19
2009-08-26,585.0,585.0,579.0,581.15,600,523.11
2009-08-27,582.0,588.0,577.0,583.8,400,525.49
2009-08-28,585.0,585.0,570.0,579.9,800,521.98
2009-08-31,580.0,585.0,576.5,580.15,1400,522.21
2009-09-01,585.0,585.0,575.0,576.95,3500,519.33
2009-09-02,590.0,590.0,575.0,578.6,300,520.81
2009-09-03,586.9,586.9,573.0,583.0,0,524.77
2009-09-04,575.25,585.0,575.05,579.95,300,522.03
2009-09-07,575.0,583.5,575.0,577.0,600,519.37
2009-09-08,578.0,583.95,575.0,579.95,700,522.03
2009-09-09,650.0,650.0,575.05,577.25,1000,519.6
2009-09-10,585.0,599.0,575.0,576.75,700,519.15
2009-09-11,571.0,595.0,571.0,581.7,1500,523.6
2009-09-14,586.0,694.0,586.0,652.45,15700,587.29
2009-09-15,652.45,692.0,642.3,654.35,8500,589.0
2009-09-16,664.0,673.0,650.0,654.2,2100,588.86
2009-09-17,665.0,665.0,631.0,638.2,1200,574.46
2009-09-18,649.65,649.65,620.0,625.05,1900,562.62
2009-09-22,644.0,674.0,630.0,643.25,4100,579.01
2009-09-23,654.9,654.9,630.0,632.9,700,569.69
2009-09-24,616.0,625.8,605.0,622.75,1100,560.55
2009-09-25,625.0,628.9,610.0,613.6,1600,552.32
2009-09-29,617.0,639.75,614.5,615.2,800,553.76
2009-09-30,620.0,620.0,614.5,614.9,800,553.49
2009-10-01,610.0,629.0,606.0,619.05,1400,557.22
2009-10-05,627.0,627.0,606.0,611.35,1500,550.29
2009-10-06,620.0,620.0,590.1,600.0,1300,540.08
2009-10-07,601.15,610.0,597.0,600.0,1300,540.08
2009-10-08,601.0,604.0,591.1,602.9,1500,542.69
2009-10-09,608.8,608.8,585.3,595.0,700,535.58
2009-10-12,588.0,610.0,587.3,599.7,5400,539.81
2009-10-14,605.0,614.0,585.0,594.2,3700,534.86
2009-10-15,609.3,610.0,592.0,594.15,5000,534.81
2009-10-16,607.95,634.0,598.0,623.7,6200,561.41
2009-10-20,655.0,655.0,626.0,629.15,4200,566.31
2009-10-21,644.0,644.0,615.0,617.15,4100,555.51
2009-10-22,619.3,622.0,605.0,607.25,700,546.6
2009-10-23,601.0,619.8,601.0,606.4,800,545.84
2009-10-26,612.0,612.0,557.9,585.8,1600,527.29
2009-10-27,592.5,593.0,550.0,571.85,2900,514.74
2009-10-28,590.0,599.0,559.5,574.8,1300,517.39
2009-10-29,572.0,603.5,572.0,587.7,2800,529.0
2009-10-30,593.0,619.0,590.0,599.1,4900,539.27
2009-11-03,601.0,601.0,575.0,582.6,2900,524.41
2009-11-04,577.0,599.0,577.0,593.15,1200,533.91
2009-11-05,599.0,599.95,586.05,591.15,1200,532.11
2009-11-06,594.0,596.0,582.1,587.0,1700,528.37
2009-11-09,598.0,598.0,578.15,592.75,3800,533.55
2009-11-10,617.85,618.0,596.0,597.65,4100,537.96
2009-11-11,609.75,609.75,595.0,597.35,1700,537.69
2009-11-12,591.0,604.0,591.0,596.9,1600,537.29
2009-11-13,603.0,603.0,589.05,591.3,3200,532.24
2009-11-16,585.0,614.0,585.0,596.1,4700,536.57
2009-11-17,601.0,602.3,594.0,600.55,1000,540.57
2009-11-18,604.95,605.0,595.0,600.55,700,540.57
2009-11-19,593.55,605.0,593.55,600.2,1800,540.26
2009-11-20,602.0,610.0,596.2,607.0,1200,546.38
2009-11-23,611.0,624.0,603.05,620.8,3500,558.8
2009-11-24,624.0,669.0,616.2,631.4,4300,568.34
2009-11-25,633.0,640.0,615.1,623.9,2100,561.59
2009-11-26,625.0,631.0,617.0,619.3,800,557.45
2009-11-27,580.05,613.0,580.0,607.6,1600,546.92
2009-11-30,644.0,644.0,610.0,616.85,700,555.24
2009-12-01,616.5,666.0,616.0,633.8,9800,570.5
