Date,Open,High,Low,Close,Volume,Adj Close
2006-11-21,451.048,623.8,451.048,592.548,11598900,142.5926
2006-11-22,615.0,615.0,550.0,586.548,20159400,141.1487
2006-11-23,594.0,628.0,592.1,614.1,18610100,147.7789
2006-11-24,620.0,620.248,575.248,583.7,8397400,140.4634
2006-11-27,584.8,613.752,565.0,602.348,11426700,144.9509
2006-11-28,590.0,602.0,580.0,596.6,5777800,143.5676
2006-11-29,605.0,633.0,604.3,619.152,13767600,148.9946
2006-11-30,622.0,643.5,612.0,630.952,9492500,151.8342
2006-12-01,633.0,647.0,629.0,634.2,4314200,152.6158
2006-12-04,630.0,638.0,598.0,602.652,2501600,145.024
2006-12-05,605.0,615.9,592.3,598.248,3782700,143.9642
2006-12-06,602.452,614.848,586.248,591.8,3137300,142.4126
2006-12-07,595.0,606.952,586.048,599.9,3308700,144.3618
2006-12-08,604.4,604.752,578.152,583.048,1753600,140.3065
2006-12-11,586.548,586.548,531.348,560.848,2114700,134.9642
2006-12-12,560.048,567.848,505.048,535.4,2344800,128.8403
2006-12-13,544.0,549.9,508.0,531.6,1640900,127.9258
2006-12-14,541.3,549.4,535.0,542.752,880800,130.6095
2006-12-15,549.0,583.0,546.5,577.7,2671300,139.0195
2006-12-18,584.0,584.0,547.0,565.548,2607200,136.0952
2006-12-19,560.0,567.752,550.248,561.752,1109100,135.1817
2006-12-20,566.752,591.9,557.048,577.7,2084100,139.0195
2006-12-21,573.0,604.5,561.548,588.752,2867200,141.6791
2006-12-22,588.0,618.0,588.0,595.652,2556300,143.3395
2006-12-26,599.752,612.752,590.7,593.4,1065500,142.7976
2006-12-27,599.0,605.0,585.048,588.4,700200,141.5944
2006-12-28,594.3,594.4,566.5,572.048,771900,137.6594
2006-12-29,583.3,586.7,574.8,580.348,663700,139.6567
2007-01-02,582.1,595.0,577.0,589.8,500200,141.9313
2007-01-03,592.8,629.8,592.8,616.048,5253900,148.2477
2007-01-04,620.0,681.8,618.3,659.6,12037300,158.7282
2007-01-05,661.5,701.7,658.7,687.752,7486000,165.5028
2007-01-08,700.1,734.9,685.0,723.6,7027900,174.1293
2007-01-09,736.0,750.0,675.0,682.3,5143300,164.1908
2007-01-10,678.0,689.048,658.5,679.3,2896300,163.4688
2007-01-11,684.0,700.0,672.6,698.348,1971500,168.0526
2007-01-12,700.0,700.0,671.3,676.9,959600,162.8913
2007-01-15,682.8,687.0,672.1,676.1,736700,162.6988
2007-01-16,680.0,722.0,673.452,695.848,2030100,167.451
2007-01-17,700.0,703.7,687.1,691.2,1118200,166.3325
2007-01-18,697.0,719.8,692.0,696.5,1627500,167.6079
2007-01-19,703.9,704.0,677.0,685.4,872100,164.9368
2007-01-22,689.952,711.0,677.0,701.652,637500,168.8477
2007-01-23,707.7,724.952,705.0,710.548,1315900,170.9884
2007-01-24,716.9,734.0,708.5,727.2,1040700,174.9956
2007-01-25,734.5,755.0,724.248,733.2,1620600,176.4395
2007-01-29,736.7,755.0,715.0,742.1,837000,178.5812
2007-01-31,758.0,760.0,688.0,696.1,734800,167.5116
2007-02-01,704.248,704.248,682.0,684.152,395800,164.6364
2007-02-02,692.0,739.0,686.0,731.048,1293600,175.9216
2007-02-05,730.0,732.0,716.0,720.848,460200,173.4671
2007-02-06,722.0,738.0,720.0,723.5,561000,174.1053
2007-02-07,736.0,736.0,695.152,702.6,184300,169.0758
2007-02-08,708.0,744.9,704.3,739.9,858800,178.0518
2007-02-09,746.0,747.4,691.0,702.152,341700,168.968
2007-02-12,705.0,705.0,635.0,652.3,296800,156.9715
2007-02-13,655.0,678.0,636.152,644.752,298200,155.1551
2007-02-14,622.8,646.0,610.6,635.248,164900,152.868
2007-02-15,644.4,668.0,644.4,655.5,327100,157.7415
2007-02-19,680.0,680.0,654.0,664.0,190300,159.787
2007-02-20,661.0,669.0,650.0,653.2,254700,157.1881
2007-02-21,658.7,674.952,655.1,660.952,141600,159.0535
2007-02-22,670.0,673.7,636.1,642.652,405300,154.6497
2007-02-23,645.0,658.0,596.0,609.452,170700,146.6604
2007-02-26,609.0,658.8,602.0,649.3,232200,156.2495
2007-02-27,654.0,672.0,635.2,667.652,184800,160.6658
2007-02-28,630.0,685.9,585.0,660.652,317700,158.9813
2007-03-01,660.0,680.0,650.0,669.652,252600,161.1471
2007-03-02,665.0,682.0,649.0,657.452,217500,158.2113
2007-03-05,653.0,672.9,634.0,644.9,447800,155.1907
2007-03-06,658.0,668.0,624.0,644.452,391900,155.0829
2007-03-07,656.7,666.952,630.0,638.048,574700,153.5418
2007-03-08,640.0,649.0,605.0,621.348,329800,149.5231
2007-03-09,632.0,649.9,626.0,636.3,111000,153.1212
2007-03-12,640.0,655.0,635.0,651.248,65100,156.7183
2007-03-13,650.0,675.0,644.0,669.348,85000,161.074
2007-03-14,651.1,655.0,610.0,651.3,26900,156.7308
2007-03-15,667.0,755.0,645.0,673.0,1578600,161.9528
2007-03-16,688.4,717.0,678.0,705.6,703300,169.7977
2007-03-19,710.0,749.0,699.0,737.4,936500,177.4502
2007-03-20,737.952,776.848,725.3,730.452,1353800,175.7782
2007-03-21,735.0,746.0,691.1,696.3,739100,167.5598
2007-03-22,710.0,716.6,692.1,695.7,315200,167.4154
2007-03-23,700.0,711.952,678.0,685.8,301200,165.033
2007-03-26,690.0,697.0,678.0,686.8,435300,165.2737
2007-03-28,684.8,688.0,661.0,675.452,204100,162.5428
2007-03-29,672.0,685.0,672.0,680.452,97100,163.7461
2007-03-30,683.0,705.0,672.0,677.2,267300,162.9635
2007-04-02,670.0,700.0,670.0,677.348,292200,162.9991
2007-04-03,677.348,689.0,666.0,679.3,171800,163.4688
2007-04-04,687.7,693.0,670.652,676.0,81100,162.6747
2007-04-05,673.5,679.348,666.752,668.452,34600,160.8583
2007-04-09,676.4,695.0,672.0,675.6,217900,162.5785
2007-04-10,679.7,710.0,676.5,685.652,476600,164.9974
2007-04-11,689.8,732.0,685.0,723.952,845900,174.214
2007-04-12,719.0,738.652,708.1,729.5,284700,175.5491
2007-04-13,731.7,772.0,710.0,755.9,1112200,181.9021
2007-04-16,761.7,825.0,761.7,802.0,955100,192.9957
2007-04-17,805.7,809.8,773.248,779.452,256000,187.5697
2007-04-18,786.848,786.848,763.0,768.152,218300,184.8504
2007-04-19,753.048,763.0,740.0,746.452,73700,179.6285
2007-04-20,758.7,776.0,730.248,733.752,210100,176.5723
2007-04-23,745.752,745.752,715.4,719.348,95700,173.1061
2007-04-24,719.8,749.9,710.0,736.7,213000,177.2818
2007-04-25,735.0,735.0,717.0,719.652,80600,173.1793
2007-04-26,742.0,744.0,719.0,733.848,285100,176.5954
2007-04-27,730.0,735.0,715.248,717.848,52100,172.7452
2007-04-30,712.7,789.7,710.1,778.652,409000,187.3772
2007-05-03,798.8,810.0,746.0,765.1,465900,184.116
2007-05-04,772.0,773.0,745.548,751.752,130500,180.9039
2007-05-07,759.0,774.0,745.0,750.652,62500,180.6392
2007-05-08,751.0,880.0,751.0,824.4,4772300,198.3862
2007-05-09,820.2,832.3,781.2,789.9,1441000,190.084
2007-05-10,796.0,843.9,795.248,814.548,2268900,196.0153
2007-05-11,800.0,823.0,765.0,804.752,733400,193.658
2007-05-14,825.0,825.0,802.0,808.7,328900,194.6081
2007-05-15,812.0,813.0,795.048,799.848,195200,192.4779
2007-05-16,805.0,818.8,800.0,802.5,132500,193.1161
2007-05-17,810.0,836.3,800.0,804.1,433400,193.5011
2007-05-18,780.5,819.0,780.5,800.848,144800,192.7185
2007-05-21,812.0,820.0,800.348,805.452,85800,193.8264
2007-05-22,810.0,828.0,800.0,809.848,183400,194.8843
2007-05-23,815.0,823.0,776.152,791.248,192800,190.4083
2007-05-24,794.0,815.0,790.0,801.548,217500,192.887
2007-05-25,783.048,816.0,783.048,798.548,135200,192.165
2007-05-28,810.0,822.952,790.0,791.6,82000,190.493
2007-05-29,800.0,830.0,788.0,824.6,547700,198.4343
2007-05-30,820.0,835.4,800.0,804.048,444300,193.4886
2007-05-31,815.0,822.9,805.048,809.848,102700,194.8843
2007-06-01,205.0,207.0,203.038,206.087,179500,49.5934
2007-06-04,828.952,875.0,818.0,862.2,1206700,207.4825
2007-06-05,858.0,884.0,832.2,840.848,1109500,202.3442
2007-06-06,848.0,848.048,815.048,821.152,208400,197.6045
2007-06-07,815.0,833.5,808.0,811.1,458300,195.1856
2007-06-08,830.0,830.0,796.0,810.5,270300,195.0412
2007-06-11,818.9,826.0,810.548,814.4,37100,195.9797
2007-06-12,816.0,816.0,778.0,806.6,110800,194.1027
2007-06-13,811.0,811.0,790.0,794.452,31000,191.1794
2007-06-14,807.0,818.0,796.0,800.152,39700,192.551
2007-06-15,809.9,830.0,802.0,816.452,221100,196.4735
2007-06-18,816.0,824.848,780.248,784.9,92500,188.8808
2007-06-19,784.9,794.0,675.5,777.2,117500,187.0278
2007-06-20,788.7,822.0,782.1,807.652,158400,194.3559
2007-06-21,810.0,814.9,790.1,794.952,38100,191.2997
2007-06-22,799.5,804.7,745.0,782.0,54800,188.1829
2007-06-25,786.0,800.0,775.0,781.452,36400,188.051
2007-06-26,789.0,799.9,775.0,781.848,124900,188.1463
2007-06-27,784.0,795.0,777.0,780.348,108100,187.7853
2007-06-28,791.0,791.0,775.0,778.152,87200,187.2569
2007-06-29,788.0,788.0,775.5,779.8,67000,187.6535
2007-07-02,794.0,794.0,775.0,778.152,30000,187.2569
2007-07-03,788.0,825.0,787.0,805.248,221000,193.7773
2007-07-04,810.0,810.0,790.0,798.548,41300,192.165
