Date,Open,High,Low,Close,Volume,Adj Close
2004-08-30,162.0,199.3995,150.2505,194.5995,5247200,81.6998
2004-08-31,192.0,192.8505,185.2005,186.9,1026200,78.4673
2004-09-01,187.35,190.0005,181.35,182.25,598100,76.5151
2004-09-02,184.0005,186.75,176.1495,177.3,523100,74.4369
2004-09-03,178.0005,181.9995,176.55,177.2505,415400,74.4161
2004-09-06,178.95,180.1005,171.6495,172.2,415300,72.2957
2004-09-07,173.7495,175.9005,172.0005,173.2995,294700,72.7573
2004-09-08,174.0,174.7005,170.3505,171.0495,197500,71.8127
2004-09-09,172.3995,172.8,166.2495,166.95,222300,70.0916
2004-09-10,112.267,113.933,110.0,112.633,274600,47.2874
2004-09-13,169.0005,183.75,169.0005,179.2005,895500,75.2348
2004-09-14,180.0,183.9495,177.0,180.15,470700,75.6334
2004-09-15,181.3995,181.8,175.0005,176.25,273700,73.9961
2004-09-16,170.1,176.5005,170.1,171.7995,241100,72.1276
2004-09-17,173.9505,173.9505,172.0005,172.3995,143000,72.3795
2004-09-20,175.0005,175.0005,171.0,171.2505,86500,71.8971
2004-09-21,171.9,174.9,171.3,173.2995,154900,72.7573
2004-09-22,172.9995,175.5,172.0005,172.5,154500,72.4217
2004-09-23,171.0,172.3005,168.3495,168.7995,129000,70.8681
2004-09-24,166.5,169.6995,166.2495,166.9995,110200,70.1124
2004-09-27,168.4995,169.0005,166.2,167.0505,57100,70.1338
2004-09-28,169.0005,169.0005,163.9995,164.25,83600,68.958
2004-09-29,166.0005,167.5995,163.5495,165.0495,75800,69.2937
2004-09-30,169.0005,169.0005,166.0005,166.65,107200,69.9656
2004-10-01,166.5,168.75,165.0,167.7495,95600,70.4272
2004-10-04,169.9005,173.8995,168.0,168.3,122500,70.6584
2004-10-05,169.0995,172.35,168.6495,169.3995,131600,71.12
2004-10-06,168.0,175.0005,168.0,169.3005,254600,71.0784
2004-10-07,171.0,171.0,168.1995,168.9495,75000,70.9311
2004-10-08,112.333,115.533,112.333,113.3,178400,47.5674
2004-10-11,180.0,180.0,168.1995,168.6495,116600,70.8051
2004-10-12,171.7995,172.0005,166.0995,166.7505,79700,70.0078
2004-10-14,166.9995,171.0,166.3995,169.5495,128500,71.1829
2004-10-15,113.667,115.333,110.767,111.1,118600,46.6438
2004-10-18,169.9995,169.9995,164.5005,165.0,62500,69.2729
2004-10-19,167.9505,167.9505,162.6,163.0005,82200,68.4334
