Date,Open,High,Low,Close,Volume,Adj Close
2002-06-28,275.0,275.0,247.525,250.525,1447200,99.683
2002-07-01,250.55,260.95,246.83,258.13,1611800,102.709
2002-07-02,255.0,259.9,252.58,256.93,379000,102.231
2002-07-03,259.45,273.0,257.05,271.5,1710000,108.029
2002-07-04,275.0,277.9,261.5,266.28,1151100,105.952
2002-07-05,267.5,269.0,262.6,266.65,428100,106.099
2002-07-08,271.0,271.5,266.38,268.35,203600,106.775
2002-07-09,268.38,269.0,265.0,266.65,83400,106.099
2002-07-10,265.0,268.0,256.63,257.93,85000,102.629
2002-07-11,256.0,258.0,251.15,252.98,110200,100.66
2002-07-12,257.5,258.95,251.55,255.73,124300,101.754
2002-07-15,257.5,257.5,248.0,254.1,72700,101.105
2002-07-16,256.25,257.2,250.53,255.0,52600,101.463
2002-07-17,252.5,255.0,250.5,251.35,37500,100.011
2002-07-18,253.0,257.5,252.5,255.3,34400,101.583
2002-07-19,247.5,254.4,247.5,251.95,30900,100.25
2002-07-22,237.5,249.0,237.5,242.3,22600,96.41
2002-07-23,239.0,244.8,235.5,242.58,77800,96.521
2002-07-24,239.0,240.8,225.5,229.03,69600,91.13
2002-07-25,236.5,250.0,232.5,235.65,109400,93.764
2002-07-26,235.63,235.63,225.0,226.3,216600,90.044
2002-07-29,228.0,232.0,217.63,227.28,41700,90.434
2002-07-30,270.1,270.1,228.05,232.6,199500,92.55
2002-07-31,232.5,234.5,200.5,231.48,147100,92.105
2002-08-01,235.0,244.4,230.58,242.1,143000,96.33
2002-08-02,236.0,249.5,232.5,247.8,142700,98.599
2002-08-05,248.08,258.98,243.55,246.55,55300,98.101
2002-08-06,247.5,249.5,240.5,246.6,26500,98.121
2002-08-07,250.5,251.83,244.35,246.95,47800,98.26
2002-08-08,248.5,249.0,242.5,242.85,21200,96.629
2002-08-09,247.5,254.5,245.03,247.05,59600,98.3
2002-08-12,495.56,503.4,495.56,499.1,24700,198.59
