Date,Open,High,Low,Close,Volume,Adj Close
2007-08-09,395.0002,399.0999,341.6003,349.3498,36993300,265.4059
2007-08-10,339.9996,359.0996,327.3501,345.7502,9334300,262.6712
2007-08-13,348.0005,355.9498,343.9498,344.8493,4148300,261.9868
2007-08-14,344.8493,351.2495,339.4996,341.4495,2120100,259.4039
2007-08-16,324.7996,324.9993,309.5003,311.5495,2623400,236.6885
2007-08-17,308.0001,317.6996,295.5001,307.7501,2436600,233.80200000000002
2007-08-20,320.0001,327.9997,311.2002,313.3499,1838400,238.0563
2007-08-21,314.9996,316.3,267.9998,274.5005,3758000,208.5418
2007-08-22,270.0,282.0,263.2003,274.2994,2071300,208.3891
2007-08-23,283.0001,310.0003,278.4494,299.2002,8624900,227.3066
2007-08-24,315.9997,324.9993,295.1006,322.2503,7440300,244.81799999999998
2007-08-27,328.9997,335.0004,324.15,327.0498,2019600,248.4643
2007-08-28,329.9999,329.9999,319.5,320.9499,1568500,243.8301
2007-08-29,310.0003,325.4994,307.0,323.7002,1535100,245.9196
2007-08-30,329.9999,329.9999,316.4997,319.6006,1040300,242.805
2007-08-31,317.9999,325.4994,315.1001,319.3505,1235600,242.615
2007-09-03,320.5001,323.5495,318.2499,319.6006,343900,242.805
2007-09-04,320.0001,336.2995,320.0001,332.9499,1957100,252.9467
2007-09-05,336.0005,342.4999,332.5001,336.9993,1887400,256.0231
2007-09-06,327.9997,337.9994,327.9997,332.1496,1230400,252.3387
2007-09-07,332.3996,342.7499,332.0993,333.3004,1352100,253.213
2007-09-10,327.9997,337.4994,324.0005,332.6496,556900,252.7185
2007-09-11,332.1998,335.9,321.5002,322.8999,487000,245.3115
2007-09-12,326.6503,326.9003,318.2499,320.7502,612200,243.6784
2007-09-13,328.9997,335.6499,323.7505,332.5001,1145900,252.605
2007-09-14,336.9503,344.1496,328.9997,330.4999,1522200,251.0854
2007-09-17,332.9499,337.4994,328.4495,336.15,646400,255.3778
2007-09-18,336.0005,347.6499,334.2503,344.1006,1473800,261.418
2007-09-19,349.9994,362.7004,346.5003,358.0002,2362000,271.9777
2007-09-20,361.0005,369.5504,357.0001,360.8497,2259200,274.1426
2007-09-21,351.0498,367.4999,351.0498,357.5001,1436800,271.5978
2007-09-24,361.9994,362.9002,342.4999,344.5504,1235200,261.7597
2007-09-25,348.5005,348.5005,328.9005,335.1499,715700,254.618
2007-09-26,336.9503,341.7498,335.9,337.9504,451200,256.7456
2007-09-27,341.9998,344.6998,329.9999,331.4498,1180000,251.80700000000002
2007-09-28,334.0003,339.9996,328.9997,333.3494,449800,253.2502
2007-10-01,339.9996,340.0499,331.1997,334.3998,503800,254.0482
2007-10-03,310.0003,340.9005,310.0003,328.6995,775600,249.7176
2007-10-04,324.9993,337.4001,320.0993,330.7499,1329200,251.2753
2007-10-05,331.5,336.9,314.9996,317.3993,1067600,241.1327
2007-10-08,317.9999,324.2995,296.0001,300.9001,809000,228.59799999999998
2007-10-09,295.0,322.7001,293.8994,320.0001,869300,243.1085
2007-10-10,324.3498,326.85,301.7495,318.75,756300,242.1588
2007-10-11,319.0,323.5005,317.9999,322.0995,321700,244.7035
2007-10-12,319.8003,334.7001,317.1505,324.2505,960200,246.3376
2007-10-15,329.8001,337.4001,326.6503,328.8502,1091600,249.8321
2007-10-16,328.9005,353.9998,322.5003,350.9002,2536100,266.5838
2007-10-17,324.9993,331.0,311.2504,324.0495,1906500,246.1849
2007-10-18,329.8503,344.7501,299.5005,308.5504,3114100,234.41
2007-10-19,311.0004,317.5501,298.5004,301.0999,867800,228.7498
2007-10-22,294.8505,306.1004,294.8505,300.7996,346000,228.5217
2007-10-23,304.9998,318.2499,304.9998,316.4005,634700,240.3738
2007-10-24,322.0003,323.5005,312.4993,318.4497,768500,241.9306
2007-10-25,318.75,324.5496,312.3498,316.0499,889000,240.1075
2007-10-26,320.0001,326.9996,315.0498,320.6999,643700,243.6402
2007-10-29,327.6504,328.8502,316.9998,318.2499,541900,241.7789
2007-10-30,317.2498,321.5002,310.0493,311.4,453200,236.5749
2007-10-31,308.0504,318.4999,308.0504,309.8006,793000,235.3598
2007-11-01,317.9999,317.9999,297.0002,298.3496,560600,226.6604
2007-11-02,301.2494,307.0,295.0,304.9998,517500,231.7126
2007-11-05,308.1999,317.9999,303.1504,304.6995,568800,231.4845
2007-11-06,310.0493,310.0493,302.4996,303.6994,325000,230.7247
2007-11-07,310.0003,310.0003,296.0001,297.5506,254200,226.0533
2007-11-08,295.0,298.4502,289.0497,290.2496,257800,220.5066
2007-11-09,298.7504,298.7504,292.2498,294.75,58400,223.9257
2007-11-12,293.2499,294.75,289.9995,292.4998,161800,222.2161
2007-11-13,295.0,317.1505,293.1996,310.5004,736900,235.8914
2007-11-14,315.9997,326.0497,314.4995,324.4001,1069700,246.4512
2007-11-15,329.9999,349.0005,328.4997,344.6998,1607900,261.8733
2007-11-16,344.0,363.6,339.9996,350.9995,2917200,266.6592
