Date,Open,High,Low,Close,Volume,Adj Close
1996-01-01,28.3334,28.4583,28.1667,28.2,10800,0.0109
1996-01-02,28.2,28.9167,28.2666,28.6333,27000,0.011
1996-01-03,28.9999,28.9999,28.3334,28.3334,10800,0.0109
1996-01-04,28.3334,28.35,27.75,28.3416,41400,0.0109
1996-01-05,28.3416,28.3584,28.0001,28.35,46800,0.0109
1996-01-08,28.0001,28.5,28.0001,28.3,54000,0.0109
1996-01-09,28.3,28.3334,27.85,28.3334,41400,0.0109
1996-01-10,28.3334,28.3334,28.0167,28.1667,18900,0.0108
1996-01-11,28.1667,28.4916,28.0001,28.1667,38700,0.0108
1996-01-12,28.1667,28.2916,28.0001,28.0001,1800,0.0108
1996-01-15,28.0001,28.2916,28.175,28.175,9900,0.0108
1996-01-16,28.175,28.3334,28.0001,28.0833,41400,0.0108
1996-01-17,27.7667,28.9083,27.7667,28.3334,21600,0.0109
1996-01-18,28.3334,28.3334,28.0083,28.025,32400,0.0108
1996-01-19,28.0001,28.35,28.0001,28.3334,35100,0.0109
1996-01-22,28.0999,28.2084,28.0999,28.2,42300,0.0109
1996-01-23,28.2,28.2499,28.0001,28.0001,54900,0.0108
1996-01-24,27.4999,28.2499,26.9833,28.1501,49500,0.0108
1996-01-25,28.1501,27.6666,27.4999,27.6666,28800,0.0106
1996-01-29,27.6666,27.8667,27.0834,27.8667,28800,0.0107
1996-01-30,27.8667,28.2084,27.4999,28.1834,78300,0.0108
1996-01-31,27.6666,28.2,27.6666,28.175,30600,0.0108
1996-02-01,28.175,28.2916,27.8334,28.2834,25200,0.0109
1996-02-02,28.2834,28.4166,28.0083,28.1916,49500,0.0108
1996-02-05,28.0001,28.1916,27.7083,28.1916,30600,0.0108
1996-02-06,28.1916,28.9584,28.0001,28.6917,67500,0.011
1996-02-07,28.6917,28.6666,28.0001,28.6666,15300,0.011
1996-02-08,28.5,30.8334,28.3334,29.1417,76500,0.0112
1996-02-09,29.1417,31.9999,30.8334,31.9999,64800,0.0123
1996-02-12,32.3334,34.9999,32.3334,34.6,70200,0.0133
1996-02-13,34.6,35.3334,34.4166,35.175,38700,0.0135
1996-02-14,36.6666,38.6667,36.0084,36.0251,81900,0.0139
1996-02-15,36.0251,37.325,34.9999,36.0917,36900,0.0139
1996-02-16,36.0917,35.3334,33.0417,33.4999,33300,0.0129
1996-02-19,33.4999,33.6666,32.5416,33.6167,45900,0.0129
1996-02-20,34.0001,34.8333,33.3333,34.1667,103500,0.0131
1996-02-22,34.1667,34.3334,34.1667,34.1667,50400,0.0131
1996-02-23,34.1667,35.8334,34.3334,35.4834,101700,0.0137
1996-02-26,35.4834,37.9999,35.8334,37.6833,135000,0.0145
1996-02-27,37.6833,41.3334,37.0833,40.0833,112500,0.0154
1996-02-28,40.0833,40.6666,39.6666,39.9,168300,0.0154
1996-02-29,39.9,39.8334,39.3333,39.3666,182700,0.0152
1996-03-01,39.3666,39.4999,38.3334,39.4416,131400,0.0152
1996-03-04,39.4416,40.0001,39.4999,39.7,126000,0.0153
1996-03-06,39.175,40.0001,39.175,39.8334,87300,0.0153
1996-03-07,39.8334,39.75,39.3417,39.6666,141300,0.0153
1996-03-08,39.6666,40.0001,39.4999,39.9834,416700,0.0154
1996-03-11,39.1666,39.7083,39.1666,39.6666,75600,0.0153
1996-03-12,39.6666,40.0001,39.2084,39.65,311400,0.0153
1996-03-13,39.3333,39.4167,38.5083,39.3499,53100,0.0151
1996-03-14,39.3499,39.3417,38.8416,39.3333,90900,0.0151
1996-03-15,39.3333,40.0001,38.8334,39.525,486900,0.0152
1996-03-18,39.525,39.3333,38.8334,39.3333,88200,0.0151
1996-03-19,39.3333,39.1666,38.3334,38.6083,83700,0.0149
1996-03-21,38.6083,38.7499,37.5,38.6667,132300,0.0149
1996-03-22,38.6667,38.8334,38.5001,38.6916,91800,0.0149
1996-03-25,38.6916,38.8584,38.6667,38.8334,59400,0.0149
1996-03-26,38.8334,38.8667,38.6667,38.7,98100,0.0149
1996-03-27,38.7,38.8334,38.1666,38.3334,43200,0.0148
1996-03-28,38.3334,38.1666,37.6666,37.8333,13500,0.0146
1996-03-29,37.8333,37.8333,35.5001,35.5001,21600,0.0137
1996-04-01,35.5001,35.4166,34.8333,35.3749,69300,0.0136
1996-04-02,35.3749,35.9166,35.5001,35.8416,90000,0.0138
1996-04-03,35.8416,36.3333,35.8416,36.0,36000,0.0139
1996-04-04,35.7499,36.0,35.7499,35.8334,56700,0.0138
1996-04-08,35.8334,36.65,36.0,36.55,112500,0.0141
1996-04-09,36.55,36.8334,36.1666,36.75,76500,0.0141
1996-04-10,36.75,36.75,35.8334,36.6666,85500,0.0141
1996-04-11,36.6666,36.8334,36.0834,36.6916,70200,0.0141
1996-04-12,36.6916,37.2499,36.4167,37.1334,87300,0.0143
1996-04-15,37.1334,37.4916,37.0001,37.225,66600,0.0143
1996-04-16,37.225,37.7084,37.0001,37.6,75600,0.0145
1996-04-17,37.6,38.1666,37.6666,37.9999,57600,0.0146
1996-04-18,37.9999,39.9917,37.6666,39.15,97200,0.0151
1996-04-19,39.15,39.8334,39.1666,39.5834,97200,0.0152
1996-04-22,39.5834,40.0001,39.5834,39.8833,120600,0.0153
1996-04-23,39.8833,40.2499,39.4999,40.125,90900,0.0154
1996-04-24,40.125,41.6667,40.5084,41.025,82800,0.0158
1996-04-25,41.025,42.4999,40.6666,40.725,49500,0.0157
1996-04-26,40.725,41.3334,40.2167,41.325,149400,0.0159
1996-04-29,41.325,40.6666,40.0001,40.5666,36900,0.0156
1996-04-30,40.5666,41.5833,39.5083,41.3334,176400,0.0159
