Date,Open,High,Low,Close,Volume,Adj Close
2007-03-16,329.0,339.0,261.1,271.8,5111100,227.1
2007-03-19,281.7,282.8,264.2,268.5,1768300,224.34
2007-03-20,272.0,276.0,256.9,259.25,636600,216.61
2007-03-21,260.1,262.0,245.8,248.45,469100,207.59
2007-03-22,251.6,254.0,242.15,244.8,427500,204.54
2007-03-23,244.1,293.8,240.0,293.8,1516700,245.48
2007-03-26,310.0,338.0,296.5,300.4,3240900,250.99
2007-03-28,298.9,311.95,273.1,298.2,2079400,249.16
2007-03-29,295.1,314.8,295.0,302.4,1716200,252.67
2007-03-30,308.0,309.3,294.05,296.6,578000,247.82
2007-04-02,290.0,292.0,275.0,284.85,266900,238.0
2007-04-03,289.0,300.0,286.55,290.0,435100,242.31
2007-04-04,293.5,297.8,283.0,284.35,163900,237.58
2007-04-05,280.0,296.65,279.1,282.05,238800,235.66
2007-04-09,284.5,338.5,283.2,338.5,867900,282.83
2007-04-10,350.0,390.0,327.4,331.5,2676400,276.98
2007-04-11,333.4,347.4,322.05,333.45,1002400,278.61
2007-04-12,330.0,339.0,322.1,326.55,607100,272.84
2007-04-13,330.0,342.5,325.35,328.4,434000,274.39
2007-04-16,332.1,389.9,331.15,365.0,2064200,304.97
2007-04-17,362.0,368.0,335.1,339.55,1085700,283.71
2007-04-18,343.5,392.9,340.05,366.05,2491600,305.85
2007-04-19,355.0,370.9,345.0,361.05,960300,301.67
2007-04-20,365.9,377.8,357.35,361.8,718100,302.3
2007-04-23,369.0,374.3,353.0,356.35,434100,297.74
2007-04-24,352.0,362.0,347.1,349.65,271600,292.14
2007-04-25,350.0,364.0,350.0,354.5,285400,296.2
2007-04-26,361.0,363.9,345.0,349.0,196100,291.6
2007-04-27,354.75,354.75,332.0,334.45,181600,279.44
2007-04-30,339.75,343.0,330.1,336.95,118200,281.53
2007-05-03,342.0,355.6,341.25,344.45,190300,287.8
2007-05-04,345.0,349.85,334.5,340.1,108100,284.17
2007-05-07,347.5,361.0,345.05,346.95,290300,289.89
2007-05-08,353.8,355.4,345.0,346.3,123200,289.35
2007-05-09,349.9,384.0,346.0,367.7,1747800,307.23
2007-05-10,371.0,441.25,362.1,422.95,3303100,353.39
2007-05-11,400.0,488.9,400.0,468.0,7354000,391.03
2007-05-14,432.25,477.4,385.0,461.5,1983000,385.6
2007-05-15,462.0,462.0,428.5,434.65,1034300,363.17
2007-05-16,421.25,447.4,421.25,431.95,376900,360.91
2007-05-17,449.9,457.0,428.15,434.5,407500,363.04
2007-05-18,420.1,424.0,412.8,412.8,40200,344.91
2007-05-21,412.0,412.0,392.2,392.2,16600,327.7
2007-05-22,377.0,411.3,372.6,408.85,41300,341.61
2007-05-23,392.15,404.8,388.45,399.4,22200,333.71
2007-05-24,380.0,404.0,380.0,382.45,8200,319.55
2007-05-25,367.0,387.0,365.35,378.85,14600,316.54
2007-05-28,383.95,383.95,365.1,372.25,9100,311.03
2007-05-29,375.0,375.0,366.0,373.05,9300,311.7
2007-05-30,371.0,383.0,367.0,380.1,15700,317.59
