Date,Open,High,Low,Close,Volume,Adj Close
2011-03-30,26.75,27.0,23.5,24.9,36735800,20.14
2011-03-31,24.95,25.45,24.45,24.65,3261400,19.94
2011-04-01,24.5,24.8,23.85,24.1,1403300,19.49
2011-04-04,24.2,24.25,23.55,23.75,1156800,19.21
2011-04-05,23.9,23.9,23.2,23.5,1190100,19.01
2011-04-06,23.6,23.6,22.8,22.9,1557200,18.52
2011-04-07,23.0,23.0,22.4,22.5,1891100,18.2
2011-04-08,22.5,24.1,22.5,23.4,1720700,18.93
2011-04-11,23.95,25.0,22.9,23.0,815200,18.6
2011-04-13,23.1,23.35,22.6,22.7,981200,18.36
2011-04-15,22.85,22.85,22.15,22.3,1201100,18.04
2011-04-18,22.4,22.5,22.0,22.05,758300,17.84
2011-04-19,21.95,22.15,21.45,21.5,824300,17.39
2011-04-20,21.65,22.8,21.6,22.65,753800,18.32
2011-04-21,22.85,23.2,22.0,22.2,294400,17.96
2011-04-25,22.2,22.2,21.65,21.75,180700,17.59
2011-04-26,21.7,21.8,21.4,21.65,305400,17.51
2011-04-27,21.8,22.25,21.6,22.0,299600,17.8
2011-04-28,22.05,22.45,21.9,22.2,359000,17.96
2011-04-29,22.2,22.2,21.6,21.65,206500,17.51
2011-05-02,21.75,21.85,21.2,21.25,163800,17.19
2011-05-03,21.55,21.6,20.55,20.6,312900,16.66
2011-05-04,20.85,20.85,19.65,19.9,396500,16.1
2011-05-05,20.0,20.3,19.75,19.8,256000,16.02
2011-05-06,20.0,20.0,19.5,19.6,215200,15.85
2011-05-09,19.95,19.95,19.1,19.1,230900,15.45
2011-05-10,19.25,19.4,18.8,18.9,279700,15.29
2011-05-11,19.0,19.5,18.8,19.35,287900,15.65
2011-05-12,19.3,19.4,19.0,19.2,182600,15.53
2011-05-13,19.2,19.2,18.9,19.1,102000,15.45
2011-05-16,19.1,19.15,18.7,18.7,117500,15.13
2011-05-17,18.4,18.8,17.8,17.95,358700,14.52
2011-05-18,18.05,18.2,17.6,17.8,186200,14.4
