Date,Open,High,Low,Close,Volume,Adj Close
2002-08-12,429.1,441.9,425.15,426.15,1600,331.53
2002-08-13,425.05,436.0,424.0,431.0,1500,335.31
2002-08-14,430.05,439.9,422.05,433.0,2300,336.86
2002-08-16,440.9,440.9,430.0,432.65,800,336.59
2002-08-19,403.0,445.85,403.0,429.15,400,333.87
2002-08-20,434.9,435.0,426.55,428.6,2000,333.44
2002-08-21,422.0,431.0,422.0,426.55,2300,331.84
2002-08-22,425.3,434.35,425.0,428.45,1800,333.32
2002-08-23,420.05,434.95,420.05,432.55,1200,336.51
2002-08-26,425.2,433.9,425.05,428.8,1900,333.6
2002-08-27,426.25,436.0,426.25,428.8,1100,333.6
2002-08-28,433.45,434.95,429.5,434.35,1300,337.91
2002-08-29,439.55,442.0,433.0,438.0,2400,340.75
2002-08-30,437.05,439.85,432.15,437.2,1900,340.13
2002-09-02,430.0,438.15,428.75,436.6,3000,339.66
2002-09-03,447.9,447.9,430.4,437.6,1700,340.44
2002-09-04,437.95,442.0,434.05,440.05,2200,342.35
2002-09-05,436.35,440.9,430.0,432.05,2900,336.12
2002-09-06,438.0,439.95,436.0,438.3,800,340.99
2002-09-09,440.0,440.0,432.05,435.7,3300,338.96
2002-09-11,412.0,420.0,412.0,414.55,5000,322.51
2002-09-12,418.0,419.9,415.1,416.25,900,323.83
2002-09-13,415.5,419.75,415.0,416.85,500,324.3
2002-09-16,410.0,420.8,402.15,405.4,3000,315.39
2002-09-17,408.0,410.0,400.0,402.3,1800,312.98
2002-09-18,403.5,408.6,402.15,404.1,1000,314.38
2002-09-19,404.0,404.0,394.1,396.55,2600,308.51
2002-09-20,425.8,425.8,391.0,400.85,1300,311.85
2002-09-23,400.0,405.0,395.25,396.1,900,308.16
2002-09-24,396.05,398.5,390.0,394.85,1700,307.18
2002-09-25,393.55,399.7,393.5,397.65,900,309.36
2002-09-26,397.0,399.65,392.0,394.9,800,307.22
2002-09-27,395.05,400.0,395.05,399.9,400,311.11
2002-09-30,425.0,425.0,400.05,415.45,6800,323.21
2002-10-01,411.2,417.8,411.0,411.35,3900,320.02
2002-10-03,418.85,418.85,398.0,401.65,5200,312.47
2002-10-04,419.8,419.8,404.15,412.8,1600,321.15
2002-10-07,400.25,417.85,400.25,416.1,1000,323.71
2002-10-08,428.95,428.95,405.05,416.95,1200,324.38
2002-10-09,408.05,414.55,406.25,408.25,3400,317.61
2002-10-10,402.65,414.95,402.65,408.7,700,317.96
2002-10-11,429.95,429.95,406.05,417.7,4800,324.96
2002-10-14,430.0,430.0,412.4,416.4,300,323.95
2002-10-16,417.0,425.0,413.05,417.95,5700,325.15
2002-10-17,414.0,418.5,410.0,413.2,1700,321.46
2002-10-18,416.8,418.7,396.0,398.25,4800,309.83
2002-10-21,400.1,404.9,381.0,382.7,8800,297.73
2002-10-22,399.0,399.0,383.05,389.45,5400,302.98
2002-10-23,394.0,394.8,386.1,391.65,3100,304.69
2002-10-24,385.0,398.4,385.0,394.95,2700,307.26
2002-10-25,400.0,405.0,380.0,382.45,5700,297.54
2002-10-28,378.0,384.95,363.0,366.05,12300,284.78
2002-10-29,370.1,370.1,364.1,365.15,4100,284.08
2002-10-30,373.0,373.0,364.0,365.7,3100,284.51
2002-10-31,372.25,372.3,368.0,370.0,2400,287.85
2002-11-01,378.4,378.45,355.0,362.9,2300,282.33
2002-11-04,369.95,373.0,368.05,372.55,700,289.83
2002-11-05,375.0,375.0,370.15,373.75,700,290.77
2002-11-07,376.45,379.75,371.3,375.1,1700,291.82
2002-11-08,378.0,378.0,370.0,372.0,1200,289.41
2002-11-11,372.0,372.0,365.0,366.1,1000,284.82
2002-11-12,370.0,374.0,366.0,367.95,500,286.26
2002-11-13,374.85,374.85,368.2,369.3,700,287.31
2002-11-14,370.0,372.95,367.0,368.0,1100,286.29
2002-11-15,373.95,374.0,368.15,370.6,1800,288.32
2002-11-18,369.0,370.9,368.0,368.3,600,286.53
2002-11-20,377.85,377.85,368.05,369.65,1100,287.58
2002-11-21,371.0,371.0,366.0,367.75,1800,286.1
2002-11-22,367.75,367.9,366.2,366.95,1100,285.48
2002-11-25,367.0,373.95,365.0,366.45,3300,285.09
2002-11-26,367.5,380.0,367.0,374.75,9400,291.55
2002-11-27,372.0,377.0,372.0,374.8,1400,291.58
2002-11-28,379.6,379.6,372.05,373.8,4300,290.81
2002-12-02,376.5,378.0,372.55,375.0,1800,291.74
2002-12-03,378.0,378.0,371.15,371.45,1400,288.98
2002-12-04,372.55,374.0,372.55,373.6,500,290.65
2002-12-05,375.0,375.0,368.75,369.7,4100,287.62
2002-12-06,373.0,378.0,371.15,374.2,1500,291.12
2002-12-09,375.0,377.0,371.0,372.8,3700,290.03
2002-12-10,371.1,373.45,365.1,366.65,5400,285.24
2002-12-11,367.55,377.7,367.55,375.6,3200,292.21
2002-12-12,371.0,379.0,371.0,376.55,2500,292.95
2002-12-13,377.9,393.0,377.6,389.7,5200,303.18
2002-12-16,390.1,396.0,376.05,384.55,2600,299.17
2002-12-17,387.0,387.1,379.0,380.4,1200,295.94
2002-12-18,380.4,382.7,378.4,379.95,1500,295.59
2002-12-19,378.75,385.0,378.75,383.05,1500,298.0
2002-12-20,384.9,386.15,381.85,385.45,2000,299.87
2002-12-23,387.0,395.0,385.0,390.05,5900,303.45
2002-12-24,390.1,392.0,388.1,389.1,1500,302.71
2002-12-26,386.55,394.0,386.5,392.7,1500,305.51
2002-12-27,390.0,393.0,387.75,391.95,3800,304.93
2002-12-30,390.25,405.1,390.0,403.65,3200,314.03
2002-12-31,403.0,403.8,396.55,400.8,1800,311.81
2003-01-01,401.0,401.0,395.8,400.4,1400,311.5
2003-01-02,400.05,402.5,400.0,400.5,900,311.58
2003-01-03,400.0,400.0,397.1,398.8,600,310.26
2003-01-06,390.0,453.0,390.0,396.2,1500,308.23
2003-01-07,393.0,399.7,393.0,395.65,1300,307.81
2003-01-08,390.0,403.75,390.0,396.85,500,308.74
2003-01-09,391.0,399.5,391.0,395.35,700,307.57
2003-01-10,398.0,398.0,389.1,389.4,1700,302.94
2003-01-13,390.05,393.35,388.25,392.8,1200,305.59
2003-01-14,390.0,400.0,390.0,399.45,1900,310.76
