Date,Open,High,Low,Close,Volume,Adj Close
2011-06-15,74.9,77.5,72.0,72.185,97600,6.369
2011-06-16,72.8,74.48,72.5,74.36,10500,6.561
2011-06-17,74.4,75.05,73.25,73.6,33200,6.494
2011-06-20,70.295,72.0,70.2,71.255,5300,6.287000000000001
2011-06-21,68.0,73.0,68.0,71.0,300,6.265
2011-06-22,74.49,74.49,70.3,70.3,200,6.202999999999999
2011-06-23,70.0,72.0,68.0,69.625,0,6.144
2011-06-24,72.05,72.05,72.05,72.05,0,6.358
2011-06-27,73.395,73.395,70.6,72.39,7100,6.388
2011-06-28,72.0,72.0,72.0,72.0,200,6.353
2011-06-29,70.265,71.995,70.265,70.705,100,6.239
2011-07-04,71.5,71.5,71.5,71.5,3100,6.309
2011-07-05,72.775,77.5,72.775,74.875,35600,6.607
2011-07-06,77.0,81.0,75.52,79.085,198900,6.978
2011-07-07,79.4,80.29,75.805,79.93,113500,7.053
2011-07-08,79.0,80.0,77.0,77.82,22300,7.228
2011-07-11,79.975,79.975,76.5,76.5,600,7.106
2011-07-12,77.5,80.0,77.0,77.335,21600,7.183
2011-07-13,76.9,79.96,76.9,79.7,500900,7.403
2011-07-14,79.0,79.895,78.11,78.785,1200,7.318
2011-07-15,78.1,78.1,78.1,78.1,200,7.254
2011-07-18,79.5,80.5,79.4,79.4,29500,7.375
2011-07-19,79.4,82.9,79.3,80.735,13200,7.499
2011-07-20,85.395,90.5,81.7,88.235,334100,8.196
2011-07-21,88.0,91.4,88.0,90.045,80900,8.363999999999999
2011-07-22,92.295,96.3,89.7,91.53,144700,8.502
2011-07-25,93.0,95.9,89.6,93.135,116800,8.651
2011-07-26,93.0,94.0,91.5,93.055,12400,8.642999999999999
2011-07-27,100.0,111.67,100.0,111.67,333200,10.373
2011-07-28,117.4,129.0,106.67,110.8,404600,10.292
2011-07-29,117.0,117.0,102.55,108.63,102100,10.09
2011-08-01,106.7,108.9,100.3,104.375,52200,9.695
2011-08-02,103.0,107.8,100.0,100.69,17500,9.353
2011-08-03,99.0,101.995,92.66,100.82,16600,9.365
2011-08-04,97.505,107.4,97.505,100.64,36500,9.347999999999999
2011-08-05,99.6,99.6,90.13,96.4,79200,8.954
2011-08-08,94.93,97.5,93.5,95.175,25800,8.84
2011-08-09,93.5,96.7,92.495,93.8,99500,8.713
2011-08-10,95.505,101.895,94.515,99.82,69000,9.272
2011-08-11,98.0,104.99,98.0,102.435,1031200,9.515
2011-08-12,104.0,109.99,103.6,108.17,1834600,10.047
2011-08-16,111.02,111.6,105.0,106.215,53500,9.866
2011-08-17,120.0,120.0,104.0,108.51,821000,20.158
2011-08-19,107.0,109.4,100.58,108.55,83200,20.166
2011-08-22,111.0,116.4,109.68,113.12,114700,21.014
2011-08-23,113.95,115.97,113.0,114.41,34700,21.254
2011-08-24,114.6,122.0,114.6,119.01,363700,22.109
2011-08-25,121.2,124.7,120.24,123.93,140700,23.023000000000003
2011-08-26,124.2,125.79,112.2,115.68,96500,21.49
2011-08-29,116.2,117.2,113.4,116.03,28700,21.555
2011-08-30,116.2,118.42,114.02,114.66,13100,21.301
2011-09-02,117.64,118.4,115.02,116.56,13200,21.654
2011-09-05,119.4,121.0,107.33,119.69,27500,22.235
2011-09-06,120.19,122.0,118.01,120.35,11000,22.358
2011-09-07,120.2,125.7,120.0,123.26,64400,22.898000000000003
2011-09-08,123.0,124.53,120.99,122.69,16000,22.791999999999998
2011-09-09,123.6,123.6,119.4,119.99,24000,22.291
2011-09-12,118.81,122.4,118.44,120.04,53600,22.3
2011-09-13,123.99,123.99,118.0,118.06,4900,21.932
2011-09-14,120.99,120.99,115.6,118.06,9000,21.932
2011-09-15,119.98,119.98,117.01,117.83,4000,21.889
2011-09-16,119.4,121.4,119.1,120.79,12800,22.439
2011-09-19,118.23,120.59,118.23,119.44,8500,22.189
2011-09-20,121.0,121.0,118.21,120.06,4400,22.304000000000002
2011-09-21,118.46,121.2,118.42,120.02,2800,22.296
2011-09-22,122.4,122.4,111.27,113.86,36900,21.151999999999997
2011-09-23,110.04,119.58,110.04,116.29,20900,21.603
2011-09-26,120.0,120.0,108.99,113.72,37400,21.125999999999998
2011-09-27,113.2,117.2,112.42,115.94,13200,21.538
2011-09-28,115.06,116.37,114.0,114.22,3500,21.219
2011-09-29,117.99,117.99,114.3,115.46,1900,21.449
2011-09-30,113.2,117.0,113.2,115.95,6200,21.54
2011-10-03,115.2,115.6,113.6,114.56,3400,21.281999999999996
2011-10-04,113.2,114.6,113.0,113.01,4300,20.994
2011-10-05,115.93,115.93,113.0,113.52,3600,21.089000000000002
2011-10-07,117.72,117.8,113.0,113.19,20700,21.026999999999997
2011-10-10,114.41,115.99,114.4,115.2,3200,21.401
2011-10-11,116.0,117.0,115.01,115.16,4700,21.393
2011-10-12,115.21,121.6,115.21,120.5,11400,22.385
2011-10-13,116.8,125.0,116.8,123.17,62100,22.881
2011-10-14,124.0,124.68,122.0,123.98,30400,23.031999999999996
2011-10-17,125.0,125.6,121.0,121.93,28700,22.651
2011-10-18,124.0,124.0,121.0,122.26,3300,22.712
2011-10-19,122.4,123.49,121.28,122.8,9800,22.813000000000002
2011-10-20,122.8,122.8,120.99,121.16,153500,22.508000000000003
2011-10-21,123.49,123.49,115.08,116.64,25800,21.668000000000003
2011-10-24,119.99,120.0,118.05,118.28,1600,21.973000000000003
2011-10-25,123.59,123.59,118.0,119.6,1300,22.218000000000004
2011-10-26,121.0,122.4,120.0,120.23,3500,22.335
2011-10-28,121.01,123.59,115.2,116.06,12200,21.561
2011-10-31,119.8,119.8,115.0,115.95,5500,21.54
2011-11-01,116.0,118.39,111.46,113.78,17900,21.136999999999997
2011-11-02,119.69,119.69,110.26,112.2,42200,20.844
2011-11-03,117.94,117.94,113.0,115.71,68700,21.496
2011-11-04,587.0,597.8,573.1,581.25,87100,107.98
2011-11-08,578.0,578.0,533.0,542.8,217800,100.837
2011-11-09,543.05,543.25,519.95,522.0,39600,96.973
2011-11-11,525.0,534.9,509.9,525.0,41500,97.53
2011-11-14,529.0,529.95,522.1,524.95,7900,97.521
2011-11-15,525.0,544.0,522.0,526.9,16900,97.883
2011-11-16,520.25,529.5,520.0,525.65,21900,97.65100000000001
2011-11-17,535.95,537.9,494.0,508.6,28400,96.316
2011-11-18,505.0,516.65,460.5,483.15,28300,91.49600000000001
2011-11-21,490.0,502.15,486.0,494.45,198800,93.63600000000001
2011-11-22,495.0,495.0,480.0,482.15,2700,91.307
2011-11-23,492.0,492.0,453.15,455.65,11800,86.288
2011-11-24,476.95,476.95,455.1,456.15,4400,86.383
2011-11-25,469.95,488.7,456.5,481.5,3100,91.184
2011-11-28,481.0,495.1,481.0,495.0,700,93.74
2011-11-29,480.45,515.05,480.45,514.1,24000,97.35700000000001
2011-11-30,503.5,517.0,501.0,515.55,26200,97.632
2011-12-01,501.0,540.0,501.0,527.35,85900,99.867
2011-12-02,530.0,535.0,529.0,530.1,11000,100.387
2011-12-05,530.0,531.0,530.0,530.1,4400,100.387
2011-12-06,530.1,530.1,530.1,530.1,0,100.387
2011-12-07,544.55,545.0,532.0,543.9,58900,103.001
2011-12-08,553.6,560.0,530.0,548.4,54600,103.853
2011-12-09,551.0,555.0,532.15,550.2,20500,104.194
2011-12-12,563.0,563.0,519.9,533.0,24700,100.936
2011-12-13,525.0,540.95,519.0,523.0,18900,99.04299999999999
2011-12-14,520.0,527.0,507.0,510.45,1600,96.666
2011-12-15,500.1,500.1,478.0,485.85,36800,92.007
2011-12-16,495.0,514.8,450.0,461.65,22900,87.425
2011-12-19,455.0,464.8,436.5,462.6,7800,87.605
2011-12-20,465.0,509.9,465.0,496.35,339800,93.99600000000001
2011-12-21,496.35,515.0,496.15,509.6,15900,96.505
2011-12-22,516.0,524.0,486.1,489.9,3100,92.774
2011-12-23,510.9,510.9,486.5,500.05,242600,94.697
2011-12-26,485.0,510.0,471.25,500.2,76400,94.725
2011-12-27,500.0,508.7,495.15,502.55,62600,95.17
2011-12-28,510.0,519.9,497.8,506.6,39700,95.93700000000001
2011-12-29,500.0,506.0,485.0,491.6,2100,93.096
2011-12-30,502.1,510.05,484.9,509.0,28500,96.39200000000001
2012-01-02,496.0,499.95,492.7,495.1,0,93.759
2012-01-03,507.9,508.0,500.0,506.55,100,95.928
2012-01-04,495.0,499.95,490.0,490.65,2400,92.916
2012-01-05,498.0,505.0,480.25,500.0,19700,94.68700000000001
2012-01-06,504.0,505.05,490.25,500.05,2500,94.697
2012-01-09,495.0,495.0,481.0,487.1,4100,92.244
2012-01-10,495.0,495.0,482.05,485.3,2400,91.90299999999999
2012-01-11,529.0,529.0,468.0,469.65,11100,88.94
2012-01-12,470.0,478.0,470.0,475.0,100,89.95299999999999
2012-01-13,480.0,480.0,468.0,473.95,5200,89.75399999999999
2012-01-16,467.0,472.0,456.1,459.95,3400,87.103
2012-01-17,452.35,478.0,452.35,477.0,8900,90.33200000000001
2012-01-18,477.0,486.4,465.0,469.45,3800,88.902
2012-01-19,488.9,488.9,470.05,472.3,2400,89.441
2012-01-20,481.5,488.95,432.0,444.55,39000,84.186
2012-01-23,466.8,470.0,448.05,469.95,8000,88.99600000000001
2012-01-24,470.0,470.0,449.95,460.0,48500,87.11200000000001
2012-01-25,455.65,465.0,420.0,434.95,53700,82.368
2012-01-26,434.95,434.95,434.95,434.95,0,82.368
2012-01-27,456.0,456.0,440.0,449.35,6600,85.095
2012-01-30,460.0,460.0,442.0,453.8,16300,85.93799999999999
2012-01-31,460.0,468.75,450.05,458.6,13600,86.84700000000001
2012-02-01,458.6,458.6,446.0,448.75,1200,84.98200000000001
2012-02-02,451.0,475.0,448.75,467.9,18700,88.60799999999999
2012-02-03,462.35,469.9,460.0,460.65,2100,87.235
2012-02-06,479.8,540.0,465.0,506.7,69400,95.956
2012-02-07,511.0,519.0,496.05,501.0,12000,94.87700000000001
2012-02-08,490.1,563.95,490.1,533.05,82000,100.946
2012-02-09,530.0,549.9,525.0,533.7,10800,101.069
2012-02-10,540.0,540.0,522.0,531.2,170900,100.596
2012-02-13,519.0,533.75,500.0,504.45,71300,95.53
2012-02-14,505.0,510.0,490.25,506.0,173100,95.823
2012-02-15,529.9,564.0,525.0,549.65,154000,104.09
2012-02-16,530.0,580.0,530.0,557.2,54700,105.51899999999999
2012-02-17,560.0,575.0,540.1,547.6,86300,103.70100000000001
2012-02-20,547.6,547.6,547.6,547.6,0,103.70100000000001
2012-02-21,510.25,554.8,510.1,548.3,22200,103.834
2012-02-22,540.35,548.95,525.0,530.0,1500,100.368
2012-02-23,520.0,530.0,515.2,520.0,54400,98.475
2012-02-24,521.15,530.0,517.45,520.0,5500,98.475
2012-02-27,507.35,516.8,500.0,503.3,5200,95.31200000000001
2012-02-28,512.0,534.95,510.0,520.0,7300,98.475
2012-02-29,529.0,529.0,506.0,511.15,3700,96.79899999999999
2012-03-01,510.0,530.0,510.0,512.0,1000,96.96
2012-03-02,512.5,524.9,512.5,515.05,1600,97.537
2012-03-05,506.0,522.0,506.0,520.7,6400,98.60700000000001
2012-03-06,510.0,525.0,506.3,523.2,11200,99.081
2012-03-07,515.0,515.0,510.0,510.0,2100,96.581
2012-03-08,510.0,510.0,510.0,510.0,0,96.581
2012-03-09,512.0,521.0,511.0,511.0,13800,96.77
2012-03-12,514.0,519.95,507.0,508.75,3300,96.344
2012-03-13,520.0,528.8,512.1,514.65,7300,97.461
2012-03-14,520.0,522.8,512.0,519.65,6500,98.40799999999999
2012-03-15,515.35,534.8,511.0,524.8,14000,99.384
2012-03-16,520.0,524.9,517.0,519.15,1800,98.314
2012-03-19,515.0,520.0,510.0,518.15,12900,98.124
2012-03-20,523.0,534.95,517.0,528.1,12800,100.009
2012-03-21,529.0,550.0,525.0,547.0,10800,103.588
2012-03-22,549.9,549.95,540.0,542.25,4200,102.68799999999999
2012-03-23,541.0,541.0,525.5,527.55,4500,99.904
2012-03-26,524.95,530.0,516.5,519.3,900,98.34200000000001
2012-03-27,520.0,521.2,516.05,520.0,6300,98.475
2012-03-28,501.15,528.0,501.15,520.0,13000,98.475
2012-03-29,520.0,520.0,502.0,504.9,2600,95.615
2012-03-30,506.0,569.5,504.95,528.4,52800,100.065
2012-04-02,530.05,535.0,525.0,525.5,4700,99.516
2012-04-03,530.0,577.5,530.0,560.9,32400,106.22
2012-04-04,555.1,563.0,555.1,559.45,21600,105.945
2012-04-05,559.45,559.45,559.45,559.45,0,105.945
2012-04-06,559.45,559.45,559.45,559.45,0,105.945
