Date,Open,High,Low,Close,Volume,Adj Close
2015-05-26,1935.0,1935.0,1732.0,1802.5,3467500,357.87
2015-05-27,1789.0,2099.25,1750.0,2014.0,1470400,399.86
2015-05-28,1992.5,2069.5,1949.25,2027.0,323100,402.44
2015-05-29,2020.0,2041.5,1928.0,1998.75,136300,396.83
2015-06-01,1927.5,2055.0,1927.5,2018.0,290300,400.65
2015-06-02,2034.5,2045.0,1915.25,1974.25,478100,391.97
2015-06-03,1989.0,2000.0,1757.5,1927.5,104600,382.69
2015-06-04,1950.25,1969.0,1911.5,1924.0,31400,381.99
2015-06-05,1924.0,1925.5,1836.25,1897.25,73400,376.68
2015-06-08,1850.0,1919.75,1800.75,1892.75,44600,375.79
2015-06-09,1867.75,1909.75,1848.0,1896.75,19900,376.58
2015-06-10,1924.75,1924.75,1875.0,1906.0,48000,378.42
2015-06-11,1919.75,1935.0,1810.0,1873.0,23600,371.87
2015-06-12,1875.0,1897.5,1858.0,1880.25,90000,373.3
2015-06-15,1871.5,1912.5,1862.75,1899.5,13500,377.13
2015-06-16,1881.25,1901.75,1867.5,1897.25,16500,376.68
2015-06-17,1875.75,1920.0,1867.75,1899.75,9800,377.18
2015-06-18,1880.0,1963.75,1880.0,1940.25,14500,385.22
2015-06-19,1875.0,1943.5,1875.0,1890.25,5300,375.29
2015-06-22,1904.25,1904.25,1850.5,1894.25,70200,376.08
2015-06-23,1890.0,1935.25,1875.0,1902.25,21000,377.67
2015-06-24,1919.5,1919.5,1855.25,1896.0,15300,376.43
2015-06-25,1875.0,1985.0,1875.0,1951.75,15700,387.5
2015-06-26,1965.0,2045.0,1931.5,1998.0,93900,396.68
2015-06-29,1985.0,1985.0,1875.0,1924.25,82500,382.04
2015-06-30,1948.75,1973.0,1931.5,1947.0,5000,386.56
2015-07-01,1989.5,2005.0,1915.0,1997.0,11600,396.48
2015-07-02,1960.0,2005.0,1950.0,1974.75,8800,392.07
2015-07-03,2019.75,2215.0,1982.5,2051.0,330800,407.21
2015-07-06,2054.5,2120.5,2010.75,2036.0,166300,404.23
2015-07-07,2055.0,2110.0,2040.75,2069.75,430900,410.93
2015-07-08,2073.5,2073.5,1956.25,2006.75,156200,398.42
2015-07-09,1980.0,2050.0,1980.0,2026.5,125800,402.34
2015-07-10,2030.0,2047.25,1990.0,2032.75,24600,403.58
2015-07-13,2025.75,2049.75,2015.75,2041.5,25000,405.32
2015-07-14,2025.25,2050.0,2014.0,2041.5,42800,405.32
2015-07-15,2025.0,2117.0,2005.0,2076.5,251800,412.27
2015-07-16,2040.25,2099.5,2040.25,2089.0,30900,414.75
2015-07-17,2070.0,2127.5,2070.0,2114.0,37700,419.71
2015-07-20,2081.25,2143.5,2075.5,2124.5,27000,421.8
2015-07-21,2115.5,2145.0,2060.0,2097.0,29000,416.34
2015-07-22,2090.0,2108.75,2015.0,2043.0,45200,405.62
2015-07-23,2109.0,2115.0,2040.0,2087.5,34000,414.45
2015-07-24,2111.0,2200.0,2062.5,2155.25,68900,427.9
2015-07-27,2063.0,2169.5,2063.0,2140.0,26800,424.88
2015-07-28,2120.0,2200.0,2090.0,2180.5,82600,432.92
2015-07-29,2205.0,2400.0,2205.0,2379.5,283500,472.43
2015-07-30,2375.0,2385.0,2302.5,2328.0,59000,462.2
2015-07-31,2399.75,2399.75,2327.5,2350.0,102100,466.57
2015-08-03,2373.5,2420.0,2306.0,2345.25,19600,465.63
2015-08-04,2352.5,2375.0,2280.0,2319.75,15400,460.56
2015-08-05,2275.0,2330.0,2250.5,2284.5,36700,453.56
2015-08-06,2265.0,2374.75,2265.0,2321.0,13900,460.81
2015-08-07,2300.0,2430.0,2257.75,2407.0,32700,477.89
2015-08-10,2300.0,2415.0,2300.0,2347.25,101400,466.02
2015-08-11,2405.0,2405.0,2275.0,2330.25,13400,462.65
2015-08-12,2300.0,2300.0,2175.75,2232.5,25400,443.24
2015-08-13,2271.0,2271.0,2170.0,2226.0,19400,441.95
2015-08-14,2200.0,2450.0,2185.5,2384.5,216600,473.42
2015-08-17,2417.5,2450.0,2356.5,2394.75,21400,475.45
2015-08-18,2410.0,2668.5,2410.0,2627.75,180200,521.71
2015-08-19,2600.0,2620.0,2550.5,2589.75,126300,514.17
2015-08-20,2536.25,2600.0,2425.75,2546.5,91500,505.58
2015-08-21,2443.0,2488.5,2413.0,2442.75,43600,484.98
2015-08-24,2225.5,2390.0,2140.0,2167.0,68500,430.24
2015-08-25,2225.0,2265.0,2040.0,2204.75,93400,437.73
2015-08-26,2242.75,2297.0,2147.5,2276.25,69200,451.93
2015-08-27,2295.0,2439.75,2225.5,2416.75,44600,479.82
2015-08-28,2475.0,2494.75,2401.5,2451.5,32000,486.72
2015-08-31,2474.75,2519.75,2375.0,2500.25,11800,496.4
2015-09-01,2425.25,2437.5,2330.0,2400.75,17200,476.64
2015-09-02,2424.75,2430.25,2355.0,2408.25,6200,478.13
2015-09-03,2408.25,2425.0,2350.5,2369.5,7100,470.44
2015-09-04,2353.0,2475.0,2225.0,2387.25,12800,473.96
2015-09-07,2376.5,2426.5,2256.25,2343.5,10900,465.28
2015-09-08,2325.0,2350.0,2300.0,2347.75,9000,466.12
2015-09-09,2374.25,2420.0,2291.0,2405.5,33100,477.59
2015-09-10,2340.25,2370.0,2328.0,2350.5,12500,466.67
2015-09-11,2385.0,2390.0,2345.5,2361.25,5600,468.8
2015-09-14,2339.75,2344.25,2275.5,2292.25,46300,455.1
2015-09-15,2278.0,2297.0,2250.0,2283.0,8500,453.27
2015-09-16,2292.25,2355.0,2270.75,2336.0,33300,463.79
2015-09-17,2336.0,2336.0,2336.0,2336.0,0,463.79
2015-09-18,2275.25,2424.25,2227.75,2400.5,15800,478.13
2015-09-21,2400.5,2417.25,2355.0,2398.25,5800,477.68
2015-09-22,2425.0,2450.0,2354.75,2370.25,7500,472.1
2015-09-23,2408.25,2408.25,2300.0,2360.75,8200,470.21
2015-09-24,2350.0,2490.0,2313.5,2432.25,9000,484.45
2015-09-25,2432.25,2432.25,2432.25,2432.25,0,484.45
2015-09-28,2425.25,2460.0,2357.5,2433.25,6400,484.65
2015-09-29,2433.25,2492.5,2375.25,2435.0,9000,485.0
2015-09-30,2464.75,2500.0,2426.0,2493.25,8200,496.6
2015-10-01,2521.0,2530.0,2460.0,2504.0,6400,498.74
2015-10-02,2504.0,2504.0,2504.0,2504.0,0,498.74
2015-10-05,2715.0,2715.0,2505.0,2577.25,7600,513.33
2015-10-06,2610.0,2610.0,2502.75,2576.75,56800,513.24
2015-10-07,2550.0,2650.0,2550.0,2606.75,85000,519.21
2015-10-08,2575.5,2605.0,2530.0,2595.25,8000,516.92
2015-10-09,2690.0,2690.0,2580.25,2600.5,109900,517.97
2015-10-12,2602.5,2650.0,2550.0,2605.25,6500,518.91
2015-10-13,2574.5,2644.75,2574.5,2613.75,2800,520.6
2015-10-14,2587.75,2619.25,2563.25,2597.5,2100,517.37
2015-10-15,2599.75,2619.75,2525.5,2574.75,9500,512.84
2015-10-16,2535.25,2645.0,2500.0,2620.0,11600,521.85
2015-10-19,2580.0,2650.0,2538.0,2585.0,12300,514.88
2015-10-20,2530.75,2587.25,2515.0,2563.25,11500,510.55
2015-10-21,2560.0,2595.0,2470.0,2543.25,14700,506.56
2015-10-22,2543.25,2543.25,2543.25,2543.25,0,506.56
2015-10-23,2609.0,2640.0,2550.0,2586.5,26200,515.18
2015-10-26,2530.0,2600.0,2530.0,2578.75,12100,513.63
2015-10-27,2575.0,2589.5,2485.0,2572.5,18100,512.39
2015-10-28,2574.75,2574.75,2501.5,2542.25,11500,506.36
2015-10-29,2529.75,2585.0,2507.75,2542.5,15300,506.41
2015-10-30,2567.5,2572.5,2507.0,2550.75,14700,508.06
2015-11-02,2550.75,2584.5,2525.0,2569.75,9100,511.84
2015-11-03,2585.0,2640.0,2552.25,2629.25,54700,523.69
2015-11-04,2690.0,2700.0,2600.5,2648.75,21900,527.58
2015-11-05,2597.75,2645.0,2518.75,2585.75,376100,515.03
