Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,250.1,251.0,244.1,247.15,1154800,169.69
2002-07-02,237.9,247.0,237.9,244.15,958500,167.63
2002-07-03,243.0,260.2,242.6,257.95,3505700,177.1
2002-07-04,258.7,264.0,252.05,254.95,2435100,175.04
2002-07-05,256.0,259.0,250.0,255.8,1647000,175.63
2002-07-08,260.15,262.0,247.0,250.2,1957400,171.78
2002-07-09,249.0,255.9,247.0,252.05,2341700,173.05
2002-07-10,249.9,256.4,244.25,245.95,1827800,168.86
2002-07-11,244.9,244.9,231.5,238.95,2509100,164.06
2002-07-12,247.9,247.9,231.65,243.1,3746300,166.91
2002-07-15,245.0,245.0,231.5,237.85,2578600,163.3
2002-07-16,237.0,243.4,226.15,240.6,3649900,165.19
2002-07-17,236.4,241.5,233.5,239.2,2515200,164.23
2002-07-18,243.2,251.5,241.5,249.35,2131900,171.2
2002-07-19,245.9,246.05,239.1,241.7,1807900,165.95
2002-07-22,237.4,237.4,228.35,232.65,1765900,159.73
2002-07-23,229.5,249.4,226.65,246.05,3006400,168.93
2002-07-24,241.0,243.0,234.25,238.05,2793900,163.44
2002-07-25,247.0,252.65,234.75,240.3,2966900,164.98
2002-07-26,234.8,236.8,228.0,233.9,3042600,160.59
2002-07-29,235.0,237.0,216.5,218.75,4813500,150.19
2002-07-30,224.0,224.0,175.0,176.15,8707000,120.94
2002-07-31,171.7,187.7,161.7,183.2,10064700,125.78
2002-08-01,184.9,184.9,166.8,172.65,6701100,118.54
2002-08-02,168.9,175.95,163.8,173.45,5036300,119.09
2002-08-05,174.9,178.5,169.3,171.55,4367500,117.78
2002-08-06,168.5,176.0,163.0,174.85,3997300,120.05
2002-08-07,179.9,179.9,170.9,172.9,4785100,118.71
2002-08-08,172.5,179.7,170.05,171.2,6404500,117.54
2002-08-09,171.25,176.75,166.65,172.9,6333100,118.71
2002-08-12,174.7,178.9,172.0,176.35,3014900,121.08
2002-08-13,176.55,178.8,174.0,175.25,2077100,120.32
2002-08-14,173.7,173.7,167.45,169.4,2825300,116.31
2002-08-16,171.9,173.4,169.4,170.6,2107300,117.13
2002-08-19,172.8,172.8,168.35,170.15,1413000,116.82
2002-08-20,172.5,204.2,171.1,203.2,14579500,139.51
2002-08-21,204.5,210.7,198.1,204.3,15305300,140.27
2002-08-22,205.1,209.65,201.15,203.5,7029300,139.72
2002-08-23,205.8,212.25,202.6,204.4,9620700,140.34
2002-08-26,204.45,205.9,198.0,199.65,7445100,137.08
2002-08-27,200.0,202.8,191.5,192.55,5496200,132.2
2002-08-28,190.7,195.4,187.1,193.2,6321500,132.65
2002-08-29,189.55,192.75,186.2,187.85,4427600,130.15
2002-08-30,189.1,197.75,189.1,196.4,4864000,136.08
2002-09-02,200.55,205.8,195.4,196.8,6478000,136.35
2002-09-03,196.1,206.7,195.05,198.15,10547000,137.29
2002-09-04,195.0,202.8,192.6,201.2,5464500,139.4
2002-09-05,204.15,206.85,197.3,199.65,6011300,138.33
2002-09-06,197.0,199.8,191.85,193.1,4519300,133.79
2002-09-09,192.8,206.0,191.05,204.65,6567000,141.79
2002-09-11,210.0,214.5,208.55,211.9,5778500,146.82
2002-09-12,213.75,215.0,207.25,208.45,3949700,144.43
2002-09-13,206.0,206.9,200.35,201.3,3171100,139.47
2002-09-16,203.1,206.4,200.1,203.2,3846000,140.79
2002-09-17,207.0,220.4,205.2,218.8,11547700,151.6
2002-09-18,215.0,215.9,204.1,205.55,8204700,142.42
2002-09-19,206.3,211.0,201.3,206.65,10619900,143.18
2002-09-20,197.9,207.5,195.65,206.0,6252700,142.73
2002-09-23,207.1,210.4,203.7,206.2,5631600,142.87
2002-09-24,200.2,204.25,198.7,200.55,6507000,138.95
2002-09-25,198.0,206.85,195.6,205.1,5386100,142.1
2002-09-26,208.0,209.25,206.1,207.1,2651900,143.49
2002-09-27,208.55,210.6,206.75,207.7,3080500,143.91
2002-09-30,204.95,206.9,199.25,201.45,2519800,139.58
2002-10-01,197.0,203.7,195.2,199.45,5491200,138.19
2002-10-03,200.45,202.35,196.3,198.6,4821400,137.6
2002-10-04,199.85,201.0,196.3,199.5,3498200,138.22
2002-10-07,202.0,204.5,197.2,203.35,3236300,140.89
2002-10-08,202.8,210.35,201.25,208.3,5227900,144.32
2002-10-09,210.75,216.5,197.5,200.0,7839900,138.57
