Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,3.3,3.3,3.26833,3.26833,3600,0.0181
2002-07-02,3.26667,3.26667,3.25167,3.25167,2100,0.01801
2002-07-03,3.23333,3.23333,3.17,3.17,5200,0.01756
2002-07-04,2.66667,2.66667,2.66667,2.66667,1200,0.01477
2002-07-09,2.99333,2.99333,2.99333,2.99333,0,0.01658
2002-07-10,3.13333,3.13333,3.0,3.00167,26400,0.01663
2002-07-11,3.33333,3.33333,3.04,3.13333,25800,0.01736
2002-07-12,3.31667,3.31667,3.175,3.225,28500,0.01786
2002-07-15,3.36667,3.36667,3.23667,3.28167,21000,0.01818
2002-07-16,3.26667,3.26667,3.1,3.18667,27600,0.01765
2002-07-17,3.2,3.2,3.18333,3.18333,12000,0.01763
2002-07-18,3.26667,3.26667,2.94167,2.955,17200,0.01637
2002-07-19,3.3,3.33333,3.05,3.05833,16500,0.01694
2002-07-22,3.13333,3.13333,3.06667,3.06667,7400,0.01699
2002-07-23,3.16667,3.16667,3.13333,3.13333,8400,0.01736
2002-07-24,3.13333,3.13333,2.93333,2.93333,3900,0.01625
2002-07-25,3.16667,3.16667,2.95,2.975,3000,0.01648
2002-07-26,3.2,3.21667,2.95167,3.21667,2400,0.01782
2002-07-29,2.93333,2.93333,2.86667,2.86667,3300,0.01588
2002-07-30,3.03333,3.1,2.685,3.1,3600,0.01717
2002-07-31,3.03333,3.05,2.71833,3.05,2400,0.01689
2002-08-01,3.1,3.1,2.71667,3.06667,4800,0.01699
2002-08-05,3.06667,3.08333,3.06667,3.08333,2400,0.01708
2002-08-06,3.06667,3.06667,3.05833,3.05833,2400,0.01694
2002-08-07,2.9,2.9,2.9,2.9,3600,0.01606
2002-08-08,3.06667,3.1,3.06667,3.06667,3000,0.01699
2002-08-09,2.73333,2.73333,2.73333,2.73333,0,0.01514
2002-08-13,2.73333,3.00667,2.73333,2.73333,1100,0.01514
2002-08-14,2.96667,2.96667,2.96667,2.96667,1800,0.01643
2002-08-16,3.0,3.0,2.96667,2.96667,3600,0.01643
2002-08-22,2.83333,2.9,2.83333,2.9,3600,0.01606
2002-08-23,2.8,2.81667,2.8,2.81667,2400,0.0156
2002-08-26,2.76667,2.76667,2.75,2.75,3600,0.01523
2002-08-27,2.83333,2.85,2.83333,2.85,2400,0.01579
2002-08-28,2.86667,2.86667,2.76667,2.83333,2400,0.01569
2002-08-29,2.85,2.85,2.8,2.8,2400,0.01551
2002-08-30,2.96667,2.96667,2.9,2.9,3600,0.01606
2002-09-02,2.96667,2.96667,2.825,2.825,7200,0.01565
2002-09-03,2.93333,2.93333,2.89667,2.89667,3600,0.01604
2002-09-04,2.88333,2.88333,2.73333,2.73333,6600,0.01514
2002-09-05,2.81667,2.81667,2.7,2.71167,4500,0.01502
2002-09-06,2.8,2.81667,2.65,2.65833,4200,0.01472
2002-09-09,2.73333,2.73333,2.66667,2.66667,3700,0.01477
2002-09-11,2.66667,2.70333,2.66667,2.70333,1200,0.01497
2002-09-12,2.92333,2.92667,2.92333,2.925,0,0.0162
2002-09-13,2.65833,2.65833,2.65,2.65,600,0.01468
2002-09-16,2.43333,2.43333,2.425,2.425,300,0.02157
2002-09-18,2.66667,2.66667,2.66667,2.66667,600,0.02372
2002-09-19,2.93333,2.93333,2.66667,2.92333,1200,0.02601
2002-09-20,2.73333,2.9,2.73333,2.75,1200,0.02446
2002-09-23,2.73333,2.8,2.73333,2.8,4800,0.02491
2002-09-24,2.83333,2.83333,2.6,2.76667,7200,0.02461
2002-09-25,2.76667,2.8,2.76667,2.8,8600,0.02491
2002-09-26,2.9,2.9,2.83333,2.83333,3600,0.02521
2002-09-27,2.9,2.93333,2.86667,2.86667,11400,0.0255
2002-09-30,2.93333,2.93333,2.7,2.9,13300,0.0258
2002-10-01,2.88333,2.88333,2.7,2.83333,5400,0.02521
2002-10-03,2.93,2.93,2.76667,2.76667,300,0.02461
2002-10-04,2.83333,2.9,2.83333,2.9,4800,0.0258
2002-10-07,2.93333,2.96667,2.83333,2.83333,7200,0.02521
2002-10-08,2.83333,2.86667,2.83333,2.86667,3600,0.0255
2002-10-09,2.83333,2.86667,2.83333,2.86667,3600,0.0255
2002-10-10,2.86667,2.96667,2.86667,2.95,9600,0.02624
2002-10-11,2.93333,3.0,2.93333,2.95833,13200,0.02632
2002-10-14,2.96667,2.96667,2.76667,2.79,7500,0.02482
2002-10-16,3.0,3.0,2.96667,2.96667,4800,0.02639
2002-10-17,2.86667,3.05,2.83333,2.83333,39400,0.02521
2002-10-18,2.93333,2.93333,2.8,2.83333,6000,0.02521
2002-10-21,2.86667,2.88333,2.81667,2.81667,12000,0.02506
2002-10-22,2.9,2.9,2.81667,2.81667,6000,0.02506
2002-10-23,2.83333,2.83333,2.81667,2.81667,4800,0.02506
2002-10-24,2.9,2.9,2.73333,2.83333,7500,0.02521
2002-10-25,2.9,2.9,2.83333,2.83333,7200,0.02521
2002-10-29,2.83333,2.86667,2.83333,2.86667,3600,0.0255
2002-10-30,2.86667,2.86667,2.83333,2.83333,3600,0.02521
2002-11-11,2.6,2.6,2.56667,2.56667,1200,0.02283
2002-11-14,2.6,2.6,2.6,2.6,300,0.02313
2002-11-21,2.66667,2.76667,2.63333,2.7,0,0.02402
2002-12-12,2.59167,2.59167,2.59167,2.59167,300,0.02306
2002-12-26,2.40333,2.63,2.40333,2.51667,240000,0.02239
2003-01-16,2.43333,2.45,2.43333,2.45,3600,0.0218
2003-01-17,2.44167,2.57333,2.44167,2.57333,8700,0.02289
2003-01-20,2.70333,2.70333,2.70333,2.70333,600,0.02405
2003-01-21,2.83833,2.83833,2.83833,2.83833,4800,0.02525
2003-01-22,2.98167,2.98167,2.925,2.98167,34600,0.02652
2003-01-23,3.13167,3.13167,3.13167,3.13167,22200,0.02786
2003-01-24,3.28833,3.28833,3.13333,3.28833,80100,0.02925
2003-01-27,3.4,3.45333,3.39167,3.45333,46900,0.03072
2003-01-28,3.52333,3.52333,3.43333,3.435,34300,0.03056
2003-01-29,3.505,3.505,3.5,3.50333,19200,0.03117
2003-01-30,3.53333,3.55833,3.53,3.55833,31300,0.03165
2003-01-31,3.55833,3.55833,3.51667,3.55333,30900,0.03161
2003-02-03,3.535,3.59833,3.48333,3.48333,1200,0.03099
2003-02-04,3.415,3.415,3.415,3.415,300,0.03038
2003-02-05,3.34667,3.34667,3.34667,3.34667,0,0.02977
2003-02-06,3.28,3.28,3.28,3.28,0,0.02918
2003-02-10,3.215,3.215,3.215,3.215,600,0.0286
2003-02-11,3.15167,3.15167,3.15167,3.15167,0,0.02804
2003-02-12,3.09,3.09,3.09,3.09,0,0.02749
2003-02-17,3.02833,3.02833,3.02833,3.02833,0,0.02694
2003-02-18,2.96833,2.96833,2.96833,2.96833,0,0.02641
2003-02-21,2.91,2.91,2.91,2.91,0,0.02589
2003-02-24,2.85167,2.85167,2.85167,2.85167,0,0.02537
2003-02-25,2.795,2.795,2.795,2.795,0,0.02486
2003-02-26,2.74,2.74,2.74,2.74,0,0.02437
2003-02-27,2.68667,2.68667,2.68667,2.68667,100,0.0239
2003-02-28,2.63333,2.63333,2.63333,2.63333,400,0.02343
2003-03-03,2.58167,2.58167,2.58167,2.58167,100,0.02297
2003-03-05,2.53,2.53,2.53,2.53,0,0.02251
2003-03-07,2.53,2.53,2.53,2.53,0,0.02251
2003-03-11,2.48,2.48,2.48,2.48,0,0.02206
2003-03-12,2.43167,2.43167,2.43167,2.43167,300,0.02163
2003-03-19,2.38333,2.38333,2.38333,2.38333,0,0.0212
2003-03-20,2.33667,2.33667,2.33667,2.33667,0,0.02079
2003-03-21,2.29,2.29,2.29,2.29,100,0.02037
2003-03-28,2.245,2.245,2.245,2.245,0,0.01997
2003-03-31,2.2,2.2,2.2,2.2,0,0.01957
2003-04-01,2.15667,2.15667,2.15667,2.15667,0,0.01919
2003-04-02,2.115,2.115,2.115,2.115,0,0.01881
2003-04-04,2.01,2.01,2.01,2.01,0,0.01788
2003-04-07,1.91,1.91,1.91,1.91,300,0.01699
2003-04-08,1.93333,1.94333,1.93333,1.94333,3600,0.01729
2003-04-09,2.03,2.03333,2.03,2.03333,6400,0.01809
2003-04-10,2.135,2.135,2.135,2.135,400,0.01899
2003-04-11,2.13333,2.21667,2.03667,2.09,400,0.01859
2003-04-15,2.08333,2.08333,2.0,2.0,4200,0.01779
2003-04-23,1.9,1.9,1.9,1.9,0,0.0169
2003-04-24,1.98833,1.98833,1.98833,1.98833,6000,0.01769
2003-04-28,2.01667,2.01667,1.96667,1.99167,2500,0.01772
2003-05-05,2.06333,2.06333,2.06333,2.06333,900,0.01836
2003-05-06,2.06667,2.06667,2.0,2.0,8100,0.01779
2003-05-07,2.02333,2.07333,2.02333,2.05,6400,0.01824
2003-05-08,2.075,2.075,2.075,2.075,3000,0.01846
2003-05-09,2.04,2.13333,2.04,2.13333,1900,0.01898
2003-05-13,2.16667,2.16667,2.12333,2.12333,2400,0.01889
2003-05-14,2.15,2.15667,2.15,2.15333,1200,0.01916
2003-05-15,2.16667,2.16667,2.16667,2.16667,0,0.01927
2003-05-16,2.225,2.22833,2.225,2.22833,3600,0.01982
2003-05-19,2.26667,2.33333,2.26667,2.33333,23100,0.02076
2003-05-20,2.33333,2.33667,2.325,2.32667,16900,0.0207
2003-05-21,2.33333,2.33667,2.31,2.31167,4200,0.02056
2003-05-22,2.28333,2.32,2.28333,2.315,9600,0.02059
2003-05-23,2.27,2.27,2.27,2.27,100,0.02019
2003-05-26,2.23333,2.23333,2.23333,2.23333,100,0.01987
2003-05-27,2.33333,2.33333,2.3,2.33333,3500,0.02076
2003-05-28,2.28667,2.28833,2.28667,2.28667,0,0.02034
2003-05-29,2.36333,2.36333,2.28667,2.34167,7800,0.02083
2003-05-30,2.30333,2.30333,2.3,2.3,700,0.02046
2003-06-02,2.34167,2.34167,2.34167,2.34167,9000,0.02083
2003-06-03,2.35,2.35,2.34667,2.34667,9000,0.02088
2003-06-04,2.36667,2.41667,2.36667,2.38667,34800,0.02123
2003-06-05,2.42667,2.42667,2.42667,2.42667,3000,0.02159
2003-06-06,2.45667,2.47333,2.33667,2.33667,25800,0.02079
2003-06-09,2.4,2.455,2.4,2.455,87000,0.02184
2003-06-10,2.48333,2.57833,2.48,2.515,94100,0.02237
2003-06-11,2.56667,2.6,2.56667,2.59,63000,0.02304
2003-06-12,2.58167,2.63,2.58167,2.63,67200,0.0234
2003-06-13,2.66333,2.66333,2.625,2.625,63500,0.02335
2003-06-16,2.66667,2.75667,2.66667,2.71667,71100,0.02417
2003-06-17,2.79167,2.795,2.76833,2.78833,62700,0.0248
2003-06-18,2.79167,2.79167,2.73333,2.73667,99800,0.02435
2003-06-19,2.62833,2.795,2.62833,2.775,129600,0.02469
2003-06-20,2.79167,2.8,2.775,2.775,63600,0.02469
2003-06-23,2.80167,2.80167,2.755,2.755,91800,0.02451
2003-06-24,2.81667,2.89333,2.775,2.89167,107400,0.02572
2003-06-25,2.96667,2.96667,2.75,2.75,58800,0.02446
2003-06-26,2.775,2.82,2.61333,2.64833,66600,0.02356
2003-06-27,2.65,2.75,2.575,2.57833,94700,0.02294
2003-06-30,2.66,2.66333,2.585,2.65667,129700,0.02363
2003-07-01,2.665,2.67,2.63333,2.65333,148500,0.0236
2003-07-02,2.68333,2.68833,2.605,2.68333,59700,0.02387
2003-07-03,2.69167,2.7,2.55,2.665,80600,0.02371
2003-07-04,2.675,2.675,2.65,2.66,55200,0.02366
2003-07-07,2.73333,2.74667,2.71333,2.73167,69400,0.0243
2003-07-08,2.75,2.76667,2.73333,2.73333,55200,0.02432
2003-07-09,2.76667,2.83,2.76667,2.79833,63100,0.02489
2003-07-10,2.8,2.83333,2.79833,2.83333,62300,0.02521
2003-07-11,2.83333,2.94,2.81833,2.94,64300,0.02615
2003-07-14,2.99667,3.08833,2.99667,3.08833,63000,0.02747
2003-07-15,3.08333,3.21,3.08333,3.08667,36600,0.02746
2003-07-16,3.19667,3.21667,3.15,3.2,96100,0.02847
2003-07-17,3.20833,3.24833,3.20833,3.22667,97300,0.0287
2003-07-18,3.25833,3.25833,3.17,3.17,64800,0.0282
2003-07-21,3.10333,3.17,3.10333,3.135,102900,0.02789
2003-07-22,3.17167,3.19167,3.16667,3.18,76900,0.02829
2003-07-23,3.3,3.3,3.21333,3.25,117700,0.02891
2003-07-24,3.31333,3.39167,3.27,3.39167,97300,0.03017
2003-07-25,3.36667,3.45833,3.36667,3.42,98700,0.03042
2003-07-28,3.46667,3.48333,3.41333,3.42,110400,0.03042
2003-07-29,3.48,3.50833,3.43833,3.47833,111000,0.03094
2003-07-30,3.48333,3.5,3.46333,3.49167,99600,0.03106
2003-07-31,3.48333,3.5,3.395,3.395,109200,0.0302
2003-08-01,3.43333,3.43667,3.4,3.4,96900,0.03025
2003-08-04,3.43333,3.45833,3.325,3.33,95300,0.02962
2003-08-05,3.35,3.37167,3.34167,3.37167,94600,0.02999
2003-08-06,3.33,3.34167,3.33,3.34167,94200,0.02973
2003-08-07,3.33333,3.33333,3.30833,3.33333,128200,0.02965
2003-08-08,3.36667,3.5,3.36667,3.49833,133000,0.03112
2003-08-11,3.55,3.6,3.53333,3.57333,186800,0.03179
2003-08-12,3.56667,3.63333,3.56667,3.58333,129400,0.03188
2003-08-13,3.63333,3.66667,3.625,3.65833,110700,0.03254
2003-08-14,3.76667,3.78833,3.58333,3.59167,145900,0.03195
2003-08-18,3.63333,3.64167,3.59167,3.62833,153200,0.03228
2003-08-19,3.665,3.81,3.64167,3.80333,234500,0.03383
2003-08-20,3.9,3.93333,3.69833,3.70833,368900,0.03299
2003-08-21,3.75167,3.79,3.73333,3.74833,219000,0.03334
2003-08-22,3.775,3.83333,3.775,3.805,221500,0.03385
2003-08-25,3.83333,3.83333,3.8,3.82167,149100,0.034
2003-08-26,3.84167,3.9,3.84167,3.85,158800,0.03425
2003-08-27,3.83333,3.84167,3.81333,3.83667,178200,0.03413
2003-08-28,3.925,3.94167,3.91,3.92333,209100,0.0349
2003-08-29,3.83333,3.86667,3.83,3.84667,228900,0.03422
2003-09-01,3.875,4.04,3.875,4.03,223400,0.03585
2003-09-02,3.93333,4.0,3.89667,3.91167,267200,0.0348
2003-09-03,3.8,3.815,3.79333,3.795,223800,0.03376
2003-09-04,3.85833,3.875,3.83333,3.87333,259200,0.03446
2003-09-05,3.93333,3.94167,3.86833,3.905,207000,0.03474
