Date,Open,High,Low,Close,Volume,Adj Close
2006-03-06,307.0,307.0,276.15,291.5,40557700,284.69
2006-03-07,294.0,317.0,293.2,307.0,19837800,299.83
2006-03-08,309.0,321.9,295.3,297.45,17371400,290.5
2006-03-09,300.0,305.9,285.7,290.85,15411800,284.06
2006-03-10,292.65,305.0,292.65,300.55,10873100,293.53
2006-03-13,328.0,328.0,311.5,318.25,13290500,310.82
2006-03-14,324.4,324.8,311.55,316.8,10235100,309.4
2006-03-16,320.0,337.75,320.0,326.95,11851800,319.31
2006-03-17,330.0,330.0,321.6,322.7,5103000,315.16
2006-03-20,324.45,326.85,319.0,320.0,4827700,312.53
2006-03-21,322.0,333.9,314.5,320.25,12268600,312.77
2006-03-22,322.0,322.9,298.0,300.3,12912000,293.29
2006-03-23,304.0,307.85,288.0,290.55,11210800,283.76
2006-03-24,290.5,294.75,285.65,289.85,8319300,283.08
2006-03-27,292.35,300.0,292.0,295.0,5017800,288.11
2006-03-28,297.2,298.85,289.0,292.45,4828600,285.62
2006-03-29,295.25,305.0,295.25,299.85,8763700,292.85
2006-03-30,301.55,305.0,296.6,300.25,6554600,293.24
2006-03-31,310.0,313.5,304.1,308.7,7086200,301.49
2006-04-03,311.25,322.7,309.0,320.45,8106000,312.97
2006-04-04,323.45,324.7,315.05,319.2,7739900,311.74
2006-04-05,320.5,320.5,310.0,313.1,5207400,305.79
2006-04-07,314.0,318.6,302.0,306.4,6193400,299.24
2006-04-10,307.0,311.55,298.0,299.8,4039700,292.8
2006-04-12,304.0,304.0,288.1,290.4,5845700,283.62
2006-04-13,290.4,291.5,269.05,272.3,9479900,265.94
2006-04-17,275.05,289.8,275.05,281.35,4385900,274.78
2006-04-18,290.3,290.3,277.0,278.0,3873500,271.51
2006-04-19,281.0,291.7,280.0,287.35,11710900,280.64
2006-04-20,290.0,305.5,290.0,304.0,10080400,296.9
2006-04-21,307.0,313.0,301.0,309.0,7835500,301.78
2006-04-24,310.0,310.4,299.3,301.75,2572100,294.7
2006-04-25,302.6,310.9,297.55,304.75,6347400,297.63
2006-04-26,305.1,314.5,304.8,312.8,3538600,305.49
2006-04-27,313.0,316.0,296.55,299.3,3626800,292.31
2006-04-28,280.0,309.7,275.0,302.85,4761100,295.78
2006-05-02,328.8,338.0,314.8,320.9,9109200,313.41
2006-05-03,324.0,341.0,321.0,338.8,12305200,330.89
2006-05-04,341.1,345.4,329.6,333.75,6899900,325.95
2006-05-05,340.0,347.9,336.25,339.9,7356500,331.96
2006-05-08,343.35,344.8,335.15,340.6,4167400,332.64
2006-05-09,341.0,343.55,330.6,340.95,4154100,332.99
2006-05-10,342.25,342.9,334.0,335.85,3529200,328.01
2006-05-11,335.8,336.5,316.1,320.0,5717500,312.53
2006-05-12,317.0,324.8,310.0,320.4,6681300,312.92
2006-05-15,317.8,318.0,302.0,306.6,6738200,299.44
2006-05-16,305.15,308.5,288.0,305.6,5533500,298.46
2006-05-17,310.0,314.2,306.25,311.5,2883500,304.22
2006-05-18,301.25,305.0,280.1,284.35,8302000,277.71
2006-05-19,293.6,298.8,273.0,285.3,6396800,278.64
2006-05-22,285.55,291.7,228.25,286.2,6335800,279.52
2006-05-23,282.0,286.7,265.0,283.2,3965800,276.59
2006-05-24,286.9,286.9,267.2,269.5,3127500,263.21
2006-05-25,270.1,272.9,258.2,266.65,5428800,260.42
2006-05-26,270.0,289.75,269.8,285.15,5291800,278.49
2006-05-29,286.1,288.95,275.0,276.15,1607600,269.7
2006-05-30,277.2,285.5,273.65,278.85,3581100,272.34
2006-05-31,275.0,275.0,261.8,268.3,3021100,262.03
2006-06-01,294.0,299.0,256.25,260.6,3407900,254.51
2006-06-02,259.9,263.0,249.2,259.45,4668000,253.39
2006-06-05,262.25,267.0,247.05,250.05,5321300,244.21
2006-06-06,245.0,251.35,236.2,241.9,6150900,236.25
2006-06-07,237.05,239.8,224.5,232.6,6755600,227.17
2006-06-08,232.9,232.9,186.1,195.75,11836300,191.18
2006-06-09,198.0,228.0,198.0,220.3,8786700,215.15
2006-06-12,222.25,229.0,203.05,205.7,5655100,200.9
2006-06-13,200.0,206.5,190.5,202.8,7618900,198.06
2006-06-14,206.0,214.0,199.25,203.3,6036100,198.55
2006-06-15,211.0,218.3,204.25,213.85,5515700,208.86
2006-06-16,217.0,232.0,216.5,221.3,7996200,216.13
2006-06-19,221.3,230.9,216.05,228.7,2968200,223.36
2006-06-20,224.8,247.5,218.1,236.35,5612500,230.83
2006-06-21,236.0,245.45,232.1,240.65,4357400,235.03
2006-06-22,244.0,253.8,244.0,247.5,3137900,241.72
2006-06-23,240.0,257.85,239.0,252.1,4373000,246.21
2006-06-26,254.0,254.95,234.0,240.0,2860400,234.39
2006-06-27,245.0,245.0,224.15,228.8,6420000,223.46
2006-06-28,224.0,224.45,215.25,217.8,7048200,212.71
2006-06-29,222.0,226.5,218.25,223.1,6018900,217.89
2006-06-30,230.0,253.0,230.0,249.05,6041800,243.23
2006-07-03,250.1,257.0,237.6,253.55,8823900,247.63
2006-07-04,254.9,256.0,245.6,246.9,3992800,241.13
2006-07-05,246.5,259.95,242.55,258.4,4801500,252.36
2006-07-06,256.8,263.4,251.6,257.1,4748200,251.1
2006-07-07,259.0,262.8,243.65,247.6,3561400,241.82
2006-07-10,245.0,257.9,245.0,253.65,3094700,247.73
2006-07-11,256.95,257.0,248.25,252.05,2421900,246.16
2006-07-12,250.0,271.4,245.0,267.85,5269000,261.59
2006-07-13,256.0,274.0,256.0,268.5,5292700,262.23
2006-07-14,264.55,274.0,254.5,269.3,5011900,263.01
2006-07-17,269.9,272.7,246.1,248.2,3681600,242.4
2006-07-18,245.85,253.95,239.0,247.1,4641900,241.33
2006-07-19,250.0,252.25,234.3,238.1,4134900,232.54
2006-07-20,249.0,255.3,248.0,248.55,3261000,242.74
2006-07-21,246.9,246.9,232.5,238.4,3711500,232.83
2006-07-24,236.0,243.75,231.05,239.9,2522100,234.3
2006-07-25,245.05,251.0,245.05,248.15,2428100,242.35
2006-07-26,248.45,259.95,245.75,257.9,2471800,251.88
2006-07-27,259.9,262.8,249.5,256.6,3046100,250.61
2006-07-28,258.5,262.4,254.2,258.2,3050500,252.17
2006-07-31,260.5,267.6,257.55,263.25,5257200,257.1
2006-08-01,259.0,264.0,253.5,259.4,2407600,253.34
2006-08-02,259.95,269.0,256.2,266.55,3456000,260.32
2006-08-03,268.0,276.8,266.6,270.8,5419100,264.48
2006-08-04,272.6,274.5,267.8,269.55,2640800,263.25
2006-08-07,269.0,273.25,264.1,269.5,2688500,263.21
2006-08-08,270.85,279.45,268.5,277.4,2799600,270.92
2006-08-09,275.0,289.0,275.0,286.6,3226100,279.91
2006-08-10,287.0,289.25,277.4,283.55,3460000,276.93
2006-08-11,285.0,285.0,278.25,279.95,3563000,273.41
2006-08-14,283.6,283.6,278.25,279.75,1602900,273.22
2006-08-16,283.0,288.4,279.15,285.1,3935500,278.44
2006-08-17,285.8,298.0,281.5,293.7,4836400,286.84
2006-08-18,295.5,297.5,288.4,290.7,1853100,283.91
