Date,Open,High,Low,Close,Volume,Adj Close
2007-02-15,130.0,174.4,113.0,163.7,37494200,22.5
2007-02-19,170.0,191.3,163.6,166.55,61599400,22.89
2007-02-20,169.0,175.5,159.1,162.4,33845300,22.32
2007-02-21,165.0,171.9,162.1,167.2,24497700,22.98
2007-02-22,170.0,170.35,163.1,164.05,10245300,22.55
2007-02-23,165.0,165.0,134.2,144.15,17013900,19.81
2007-02-26,142.0,150.9,138.25,145.2,8484600,19.96
2007-02-27,146.0,169.3,141.1,162.25,33390500,22.3
2007-02-28,153.7,158.8,138.3,149.75,8314400,20.58
2007-03-01,150.9,161.4,147.3,150.2,9531900,20.64
2007-03-02,151.85,156.9,144.25,147.4,5580000,20.26
2007-03-05,137.0,144.9,125.25,131.65,5086100,18.09
2007-03-06,137.7,142.0,123.05,126.9,9210700,17.44
2007-03-07,127.05,134.5,118.65,126.65,6945900,17.41
2007-03-08,131.2,134.25,118.65,132.3,7177000,18.18
2007-03-09,134.0,134.8,125.6,129.55,2995400,17.8
2007-03-12,129.0,147.7,127.5,142.2,7777200,19.54
2007-03-13,141.0,148.4,138.75,144.1,4747900,19.8
2007-03-14,130.5,136.5,128.9,133.6,2197600,18.36
2007-03-15,134.0,144.5,134.0,136.7,2583600,18.79
2007-03-16,138.8,147.9,137.9,140.65,5333700,19.33
2007-03-19,142.9,145.5,139.5,140.7,1068600,19.34
2007-03-20,141.5,150.5,139.0,141.0,6315600,19.38
2007-03-21,142.05,143.5,139.55,140.45,1178700,19.3
2007-03-22,141.6,145.0,141.05,141.5,1447100,19.45
2007-03-23,144.0,144.0,130.3,137.5,1496400,18.9
2007-03-26,138.95,140.7,134.2,134.65,766300,18.51
2007-03-28,130.0,137.0,130.0,135.4,1015000,18.61
2007-03-29,137.0,138.75,132.0,135.2,562200,18.58
2007-03-30,135.2,139.9,135.1,137.0,1032000,18.83
2007-04-02,128.0,135.0,128.0,131.65,291300,18.09
2007-04-03,132.5,137.5,132.0,135.25,1360200,18.59
2007-04-04,137.0,138.45,135.0,135.05,269600,18.56
2007-04-05,131.0,141.9,131.0,139.25,983900,19.14
2007-04-09,139.25,143.0,139.25,140.0,364900,19.24
2007-04-10,140.15,141.8,136.1,137.65,274900,18.92
2007-04-11,138.2,143.4,137.1,137.75,667700,18.93
2007-04-12,141.0,141.75,136.5,139.9,374500,19.23
2007-04-13,140.0,151.25,125.0,146.75,2974400,20.17
2007-04-16,149.7,149.7,142.1,143.7,1260000,19.75
2007-04-17,144.6,155.5,143.6,147.25,4400200,20.24
2007-04-18,148.0,150.5,142.55,143.9,776800,19.78
2007-04-19,143.5,143.7,140.2,141.2,337100,19.41
2007-04-20,146.0,146.0,141.0,141.65,376600,19.47
2007-04-23,142.0,146.5,137.5,138.9,411200,19.09
2007-04-24,160.0,160.0,137.0,140.75,683500,19.34
2007-04-25,141.5,145.85,141.0,143.95,499200,19.78
2007-04-26,165.0,165.0,140.0,144.75,914600,19.89
2007-04-27,147.4,148.9,142.2,146.1,874700,20.08
2007-04-30,146.0,152.45,144.15,146.65,2298600,20.15
2007-05-03,149.9,152.5,139.0,145.55,762600,20.0
2007-05-04,145.55,153.0,142.0,147.2,1721300,20.23
2007-05-07,147.9,152.2,146.6,150.65,833300,20.7
2007-05-08,152.0,178.0,151.0,168.75,21115500,23.19
2007-05-09,169.0,175.9,166.05,168.75,17564900,23.19
2007-05-10,172.0,172.65,157.3,160.75,3922200,22.09
2007-05-11,157.0,181.9,155.3,172.95,17709600,23.77
2007-05-14,174.2,187.0,173.15,179.3,12456900,24.64
2007-05-15,178.5,186.9,175.25,177.55,7130700,24.4
2007-05-16,179.0,192.6,178.4,183.35,12671700,25.2
2007-05-17,184.1,188.0,176.0,177.05,3764300,24.33
2007-05-18,186.0,186.0,171.2,173.15,4425000,23.8
2007-05-21,175.0,180.8,174.0,175.55,2017100,24.13
2007-05-22,176.5,177.5,172.15,173.1,1566400,23.79
2007-05-23,174.95,191.5,173.5,182.65,11216900,25.1
2007-05-24,175.0,186.3,175.0,182.9,4528400,25.14
2007-05-25,181.1,201.3,177.3,195.1,19058700,26.81
2007-05-28,199.0,203.4,191.25,194.35,7438800,26.71
2007-05-29,195.85,213.8,192.0,213.8,14128300,29.38
2007-05-30,217.0,235.2,208.0,234.95,28618600,32.29
2007-05-31,239.9,256.9,239.9,245.35,15561200,33.72
2007-06-01,49.34,49.66,45.8,46.44,5981100,6.38
2007-06-04,233.0,238.25,221.2,222.2,3559700,30.54
2007-06-05,229.0,230.45,221.0,226.15,3283300,31.08
2007-06-06,213.4,243.8,213.4,227.7,9537600,31.29
2007-06-07,226.0,234.7,225.0,227.25,3946600,31.23
2007-06-08,226.65,226.65,213.0,217.9,1906000,29.95
2007-06-11,219.9,232.6,219.9,224.9,5151500,30.91
2007-06-12,224.0,226.5,205.55,213.0,3016000,29.27
2007-06-13,216.3,220.85,210.6,214.35,3621000,29.46
2007-06-14,218.4,223.0,217.0,219.9,2666100,30.22
2007-06-15,223.75,232.4,220.6,225.1,5883200,30.94
2007-06-18,226.1,227.9,217.5,218.9,1724500,30.08
2007-06-19,220.1,225.0,214.15,222.25,1668900,30.54
2007-06-20,228.0,235.85,222.0,230.7,4990300,31.71
2007-06-21,232.6,234.25,224.35,228.75,2182400,31.44
2007-06-22,227.0,230.2,221.5,223.45,856600,30.71
2007-06-25,225.0,225.85,218.15,221.45,1033500,30.43
2007-06-26,222.0,234.0,220.0,227.15,3754400,31.22
2007-06-27,226.7,230.4,222.35,224.25,1580700,30.82
2007-06-28,226.0,228.3,222.0,224.05,809600,30.79
2007-06-29,226.3,242.5,225.0,238.2,7703900,32.74
2007-07-02,239.0,248.45,237.0,243.2,6647600,33.42
2007-07-03,235.55,249.0,235.55,241.5,4541900,33.19
2007-07-04,243.95,244.4,236.0,240.9,1503100,33.11
2007-07-05,243.0,265.0,233.0,263.15,9698000,36.17
2007-07-06,270.0,272.8,252.75,254.75,7644200,35.01
2007-07-09,256.0,265.4,253.1,257.25,3587300,35.35
2007-07-10,259.0,263.4,251.1,253.05,2162400,34.78
2007-07-11,252.0,274.9,250.0,263.7,6846300,36.24
2007-07-12,266.0,278.3,264.0,270.15,5500100,37.13
2007-07-13,275.1,277.0,261.25,264.8,2219100,36.39
2007-07-16,265.5,271.8,263.25,268.7,1638900,36.93
2007-07-17,269.2,271.5,253.5,255.45,1344700,35.11
2007-07-18,255.0,258.65,247.5,252.2,1053900,36.44
2007-07-19,251.0,259.75,251.0,253.95,1216000,36.7
2007-07-20,256.4,289.0,250.4,277.5,13476200,40.1
2007-07-23,279.0,292.9,273.0,285.95,11759700,41.32
2007-07-24,286.5,300.0,281.1,292.85,11775700,42.32
2007-07-25,276.15,303.0,276.15,285.95,15121000,41.32
2007-07-26,288.35,289.8,278.5,281.5,3404800,40.68
2007-07-27,274.7,277.0,260.1,267.85,2053000,38.71
2007-07-30,265.05,280.5,256.55,267.45,2853800,38.65
2007-07-31,270.15,285.9,269.4,279.2,5006000,40.35
2007-08-01,276.9,276.9,259.7,262.45,2203800,37.92
2007-08-02,265.0,281.0,262.4,277.45,1652100,40.09
2007-08-03,280.0,293.95,280.0,285.1,4669100,41.2
2007-08-06,276.0,287.0,270.0,284.8,2071900,41.15
2007-08-07,291.0,303.3,286.15,288.9,4415800,41.75
2007-08-08,287.0,300.45,287.0,291.2,2555100,42.08
2007-08-09,292.6,306.5,285.1,287.65,4979200,41.57
2007-08-10,268.25,283.0,267.0,280.15,1260000,40.48
2007-08-13,285.0,295.0,285.0,289.8,1657100,41.88
2007-08-14,292.0,294.0,284.0,285.5,1065500,41.26
2007-08-16,272.7,280.95,265.0,271.7,651300,39.26
2007-08-17,274.0,276.9,257.0,264.6,993500,38.24
2007-08-20,281.0,282.0,249.85,253.75,2179600,36.67
2007-08-21,256.0,264.85,237.55,242.35,1432000,35.02
2007-08-22,243.0,263.9,240.55,255.25,2450600,36.88
2007-08-23,257.8,264.7,243.1,245.75,1053100,35.51
2007-08-24,248.4,261.0,248.4,258.25,959300,37.32
2007-08-27,263.0,267.8,261.0,265.55,499700,38.37
2007-08-28,260.0,270.5,260.0,266.3,574600,38.48
2007-08-29,250.25,264.9,250.25,263.15,338300,38.03
2007-08-30,267.85,274.0,262.0,263.05,615200,38.01
2007-08-31,260.1,269.5,260.1,266.85,346900,38.56
2007-09-03,269.0,278.5,265.2,274.95,540800,39.73
2007-09-04,275.1,285.5,275.1,282.2,710000,40.78
2007-09-05,286.1,294.0,286.0,290.1,595000,41.92
2007-09-06,290.45,303.8,286.25,296.0,1908000,42.77
2007-09-07,297.5,313.5,296.5,302.4,4294100,43.7
2007-09-10,295.2,303.7,294.6,301.85,902700,43.62
2007-09-11,307.0,312.0,301.1,302.65,1469600,43.73
2007-09-12,303.5,306.5,297.0,298.2,412100,43.09
2007-09-13,302.0,302.0,291.7,296.5,409400,42.85
2007-09-14,296.6,310.0,295.0,299.35,1052500,43.26
2007-09-17,292.0,320.0,292.0,309.2,2782600,44.68
2007-09-18,308.0,317.0,303.75,306.35,991300,44.27
2007-09-19,310.0,312.0,305.0,307.9,659400,44.49
2007-09-20,300.0,323.0,300.0,315.2,2063200,45.55
2007-09-21,315.0,319.0,307.0,315.05,700300,45.53
2007-09-24,320.9,331.0,309.2,312.55,869700,45.16
2007-09-25,322.4,322.4,306.0,309.15,509800,44.67
