Date,Open,High,Low,Close,Volume,Adj Close
2007-11-21,323.749,600.004,323.749,522.003,16840900,517.62
2007-11-22,514.796,531.765,492.774,525.282,4610900,520.871
2007-11-23,529.096,536.722,502.212,504.5,1456400,500.264
2007-11-26,513.556,517.656,496.682,499.542,960100,495.347
2007-11-27,497.731,500.496,472.849,477.616,923500,473.605
2007-11-28,486.196,515.749,480.762,480.953,1161600,476.914
2007-11-29,490.39,497.636,471.991,476.567,506800,472.565
2007-11-30,471.896,490.819,471.896,483.336,332700,479.277
2007-12-03,484.194,494.776,480.476,482.478,282200,478.427
2007-12-04,486.196,493.632,482.383,484.337,337100,480.27
2007-12-05,488.103,503.117,487.149,493.489,485700,489.345
2007-12-06,500.496,511.936,495.777,500.305,571600,496.104
2007-12-07,505.31,525.95,501.449,516.273,815000,511.938
2007-12-10,519.467,533.862,512.889,523.423,863300,519.028
2007-12-11,529.096,531.86,510.029,513.127,399100,508.818
2007-12-12,510.029,514.605,504.309,506.359,345700,502.107
2007-12-13,510.029,512.412,500.496,505.262,195000,501.019
2007-12-14,506.216,510.982,498.637,500.829,140900,496.623
2007-12-17,496.968,512.794,486.768,490.724,230500,486.603
2007-12-18,488.103,494.68,476.663,478.331,254000,474.314
2007-12-19,488.579,499.447,486.196,488.579,181200,484.476
2007-12-20,489.056,496.682,475.709,488.293,252700,484.193
2007-12-24,487.149,500.4,480.476,492.392,244800,488.257
2007-12-26,494.776,501.926,489.151,494.68,150200,490.526
2007-12-27,493.822,533.576,493.822,516.607,780300,512.269
2007-12-28,515.654,545.636,507.169,526.093,908900,521.675
2007-12-31,529.096,604.789,529.096,581.957,2823900,577.07
2008-01-01,585.342,609.175,585.342,590.394,1299900,585.436
2008-01-02,591.824,694.974,591.824,661.703,5603100,656.147
2008-01-03,653.028,693.83,653.028,665.23,1750800,659.644
2008-01-04,672.094,683.344,648.261,651.836,878400,646.362
2008-01-07,653.028,688.301,631.244,663.896,1084600,658.321
2008-01-08,671.046,680.627,612.511,630.386,769600,625.093
2008-01-09,591.062,654.934,591.062,631.006,1337900,625.707
2008-01-10,643.495,657.413,602.502,616.706,719800,611.527
2008-01-11,621.568,625.858,601.691,613.274,457500,608.124
2008-01-14,614.895,621.091,605.362,608.889,247400,603.776
2008-01-15,612.035,617.755,602.502,605.981,308400,600.893
2008-01-16,600.595,647.022,586.295,616.563,716300,611.386
2008-01-17,619.661,637.489,614.895,618.422,401100,613.229
2008-01-18,572.948,621.759,572.948,603.884,298100,598.813
2008-01-21,646.211,646.354,643.495,643.495,607600,638.092
2008-01-22,455.146,533.996,407.404,407.404,322600,403.983
2008-01-23,438.53,466.081,409.93,466.081,342500,462.167
2008-01-24,467.129,551.975,467.129,509.076,498600,504.801
2008-01-25,524.329,549.115,517.703,539.725,203700,535.193
2008-01-28,514.796,522.422,453.068,508.837,96900,504.564
2008-01-29,514.51,528.142,492.869,496.253,222500,492.086
2008-01-30,513.842,513.842,472.849,477.854,129700,473.841
2008-01-31,481.429,510.029,467.129,498.208,157400,494.025
2008-02-01,505.262,510.029,478.569,494.585,127600,490.432
2008-02-04,506.216,514.51,491.773,497.159,99000,492.984
2008-02-05,500.496,507.169,486.196,500.877,76000,496.671
2008-02-06,477.759,502.307,476.663,491.105,92500,486.981
2008-02-07,495.729,501.449,481.429,481.811,105900,477.765
2008-02-08,482.478,489.533,467.129,475.614,106200,471.62
2008-02-11,481.239,481.239,380.52,423.515,178900,419.959
2008-02-12,409.93,443.296,395.63,410.693,85800,407.244
