Date,Open,High,Low,Close,Volume,Adj Close
2005-10-31,15.75,15.75,12.85,13.015,99633000,0.4784
2005-11-01,13.35,13.75,12.805,13.4975,16112300,0.4962
2005-11-02,265.0,273.0,260.1,264.0,21941400,9.7049
2005-11-07,266.0,269.8,261.25,263.1,3553300,9.6718
2005-11-08,264.7,269.0,261.5,267.0,3854500,9.8152
2005-11-09,267.0,272.0,263.5,266.4,2450000,9.7931
2005-11-10,268.5,315.5,265.15,302.05,52918300,11.1036
2005-11-11,304.9,319.0,290.65,296.5,34986400,10.8996
2005-11-14,295.0,298.8,271.0,281.4,4740000,10.3445
2005-11-16,281.4,296.7,277.65,288.0,6808400,10.5871
2005-11-17,290.0,303.5,287.0,294.3,10805200,10.8187
2005-11-18,297.0,300.0,290.1,292.15,3248400,10.7397
2005-11-21,293.5,295.85,282.2,285.6,1422800,10.4989
2005-11-22,288.6,312.5,286.25,308.2,13465800,11.3297
2005-11-23,305.0,325.0,305.0,321.0,27118100,11.8003
2005-11-24,323.0,324.0,302.1,304.85,9734500,11.2066
2005-11-25,305.0,330.0,303.85,325.2,10138200,11.9547
2005-11-28,329.9,329.9,312.5,316.15,4166700,11.622
2005-11-29,317.8,346.4,311.0,340.65,22789800,12.5226
2005-11-30,339.6,378.85,339.6,373.0,30326200,13.7118
2005-12-01,371.9,395.0,370.05,391.0,39023500,14.3735
2005-12-02,396.0,401.9,370.25,372.6,13546100,13.6971
2005-12-05,373.35,375.9,358.6,366.75,8525500,13.4821
2005-12-06,367.0,377.8,362.0,367.95,6925600,13.5262
2005-12-07,369.0,376.0,366.15,370.8,2605600,13.631
2005-12-08,373.0,379.4,372.55,374.05,3517800,13.7504
2005-12-09,376.0,404.2,375.0,388.25,8086300,14.2724
2005-12-12,389.0,394.6,380.2,385.8,3964800,14.1824
2005-12-13,388.65,434.9,386.05,430.3,18567700,15.8182
2005-12-14,430.05,435.0,412.0,413.9,6697300,15.2154
2005-12-15,416.0,467.7,415.0,454.35,25067900,16.7023
2005-12-16,460.0,480.0,450.05,476.1,23920500,17.5019
2005-12-19,480.0,567.7,475.0,545.0,59029900,20.0347
2005-12-20,544.0,570.0,528.1,534.7,31275300,19.6561
2005-12-21,537.8,540.5,512.0,519.3,13049800,20.6335
2005-12-22,518.0,526.0,495.0,505.45,13623700,20.0832
2005-12-23,512.0,522.0,490.1,496.45,17421200,19.7256
2005-12-26,496.0,496.45,460.0,469.4,8929700,18.6508
2005-12-27,471.0,516.35,454.0,514.45,18618900,20.4408
2005-12-28,525.15,550.0,525.15,533.05,21323200,21.1798
2005-12-29,533.0,539.75,521.2,522.75,7130500,20.7706
2005-12-30,524.7,550.0,515.1,533.85,12714400,21.2116
2006-01-02,537.3,547.7,528.0,534.65,5836400,21.2434
2006-01-03,538.6,556.0,528.0,532.3,13976200,21.15
2006-01-04,537.95,541.7,524.3,528.0,3355400,20.9792
2006-01-05,529.0,535.8,522.0,527.65,4568600,20.9653
2006-01-06,535.1,580.45,528.5,580.45,18341500,23.0632
2006-01-09,591.3,638.5,591.3,638.5,21402600,25.3697
2006-01-10,642.0,702.35,642.0,702.35,28040600,27.9067
2006-01-12,706.0,737.5,667.5,684.05,63455700,27.1796
2006-01-13,678.8,718.25,674.0,707.6,26390700,28.1153
2006-01-16,721.5,743.0,718.75,742.2,15872000,29.4901
2006-01-17,37.2,38.185,36.6,36.8875,20335000,1.4657
2006-01-18,736.0,739.4,700.9,704.45,11077700,27.9901
2006-01-19,701.0,739.7,699.9,736.3,11228600,29.2556
2006-01-20,37.25,38.6575,37.25,38.5325,12458500,1.531
2006-01-23,760.0,809.2,750.1,800.3,12659300,31.7986
2006-01-24,815.1,840.35,810.0,835.6,7427200,33.2012
2006-01-25,850.55,871.9,793.85,800.05,17282900,31.7886
2006-01-27,812.7,840.0,774.1,790.2,8487900,31.3973
2006-01-30,802.0,825.0,781.55,802.25,8801800,31.8761
2006-01-31,819.7,819.7,795.0,799.5,4849200,31.7668
2006-02-01,810.0,810.0,778.7,787.7,4462400,31.2979
2006-02-02,798.9,827.1,781.1,819.45,6913300,32.5595
2006-02-03,830.0,860.45,826.0,860.45,7968300,34.1885
2006-02-06,874.0,903.5,870.0,903.5,8125200,35.8991
2006-02-07,904.0,948.7,904.0,947.4,14422900,37.6433
2006-02-08,959.0,988.7,942.1,957.7,17638900,38.0526
2006-02-10,967.0,1005.6,931.0,1005.6,17455200,39.9558
2006-02-13,1015.0,1055.9,1015.0,1055.9,11851200,41.9544
2006-02-14,1070.0,1098.0,1052.35,1063.05,11766300,42.2385
2006-02-15,1065.0,1083.3,1009.9,1015.5,10253600,40.3492
2006-02-16,1024.4,1055.0,995.0,1016.05,8389200,40.371
2006-02-17,1024.7,1048.0,1012.25,1029.95,5633300,40.9233
2006-02-20,1048.0,1048.0,1002.3,1010.45,2944500,40.1485
2006-02-21,51.095,52.2,50.755,51.4575,4484600,2.0446
2006-02-22,1035.0,1039.9,1010.0,1017.5,2740500,40.4287
