Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,159.95,175.9,158.0,161.8,7902100,159.91
2013-04-02,164.0,176.4,163.15,174.25,786400,172.21
2013-04-03,179.0,179.0,170.5,171.55,347400,169.54
2013-04-04,172.0,173.45,169.15,170.85,72800,168.85
2013-04-05,170.85,173.85,169.6,172.45,46500,170.43
2013-04-08,175.0,175.0,170.0,173.9,216800,171.86
2013-04-09,173.3,174.75,171.0,171.35,13700,169.34
2013-04-10,171.2,173.9,169.0,171.65,58000,169.64
2013-04-11,173.0,173.0,167.0,168.3,21000,166.33
2013-04-12,168.0,172.0,166.1,170.55,15500,168.55
2013-04-15,170.25,172.0,167.8,171.85,188500,169.84
2013-04-16,171.4,172.0,169.1,171.15,35200,169.15
2013-04-17,171.55,172.3,168.0,169.75,312000,167.76
2013-04-18,169.95,171.8,169.0,170.65,17400,168.65
2013-04-19,170.65,170.65,170.65,170.65,0,168.65
2013-04-22,172.4,173.3,168.3,168.75,17100,166.77
2013-04-23,171.95,173.0,168.65,169.45,16200,167.47
2013-04-24,169.45,169.45,169.45,169.45,0,167.47
2013-04-25,169.85,171.0,168.0,168.1,16500,166.13
2013-04-26,166.0,171.0,165.15,170.7,287700,168.7
2013-04-29,169.0,176.0,169.0,173.05,26200,171.02
2013-04-30,171.05,174.0,170.0,170.9,4600,168.9
2013-05-01,170.9,170.9,170.9,170.9,0,168.9
2013-05-02,172.0,174.0,170.8,172.75,69400,170.73
2013-05-03,173.95,173.95,170.2,171.95,23500,169.94
2013-05-06,174.0,175.0,172.55,174.3,18600,172.26
2013-05-07,174.95,176.0,173.1,175.3,35100,173.25
2013-05-08,175.0,179.4,174.0,177.1,19300,175.03
2013-05-09,177.95,184.0,177.5,181.25,63400,179.13
2013-05-10,182.0,198.4,182.0,187.35,136700,185.16
2013-05-13,199.9,199.9,192.5,194.25,62400,191.98
2013-05-14,196.8,198.0,195.0,195.95,21300,193.66
2013-05-15,198.45,203.8,185.0,202.05,459600,199.68
2013-05-16,201.0,224.0,201.0,205.65,113500,203.24
2013-05-17,207.9,210.4,204.95,209.7,37100,207.24
2013-05-20,213.85,215.0,209.05,211.35,79900,208.87
2013-05-21,216.9,217.95,200.0,208.9,30800,206.45
2013-05-22,203.5,213.0,203.5,207.95,69500,205.51
2013-05-23,209.5,209.5,203.0,206.3,18900,203.88
2013-05-24,206.6,227.0,206.0,214.55,42700,212.04
2013-05-27,215.0,219.8,207.0,213.45,13300,210.95
2013-05-28,213.4,221.95,213.4,218.35,119300,215.79
2013-05-29,225.0,225.0,218.1,219.8,30400,217.23
2013-05-30,217.0,225.35,213.15,219.55,23200,216.98
2013-05-31,217.55,220.0,214.95,215.35,74600,212.83
2013-06-03,216.15,225.0,215.1,216.95,16100,214.41
2013-06-04,219.35,220.05,216.55,218.65,26300,216.09
2013-06-05,218.5,223.9,218.5,219.25,38700,216.68
2013-06-06,221.0,221.7,214.0,214.95,56100,212.43
2013-06-07,216.95,217.9,208.65,210.3,19300,207.84
2013-06-10,212.05,216.6,210.0,214.75,3600,212.23
2013-06-11,214.5,214.5,202.95,205.7,64100,203.29
2013-06-12,206.0,218.95,203.5,211.75,21800,209.27
2013-06-13,213.75,214.75,207.3,209.65,17200,207.19
2013-06-14,212.95,215.5,209.95,215.15,9500,212.63
2013-06-17,209.3,222.75,209.3,220.15,23600,217.57
2013-06-18,221.0,221.0,210.0,211.6,36400,209.12
2013-06-19,212.0,218.05,209.0,211.2,21100,208.73
2013-06-20,210.15,215.0,209.6,211.8,340800,209.32
2013-06-21,209.65,213.7,205.0,213.15,291700,210.65
2013-06-24,216.0,216.0,209.0,210.35,15900,207.89
2013-06-25,217.0,217.0,207.95,211.75,8900,209.27
2013-06-26,212.0,216.9,210.0,212.8,6400,210.31
2013-06-27,215.95,220.4,212.5,219.25,11900,216.68
2013-06-28,219.95,234.0,219.0,229.95,61300,227.26
2013-07-01,235.9,268.9,235.9,248.1,163200,245.19
2013-07-02,250.0,251.85,247.15,248.9,145400,245.99
2013-07-03,249.0,278.6,248.0,255.4,126300,252.41
2013-07-04,259.85,264.0,254.0,254.75,26400,251.77
2013-07-05,257.0,270.4,257.0,259.6,51500,256.56
2013-07-08,263.0,270.0,256.0,264.15,80800,261.06
2013-07-09,269.6,286.4,267.8,278.85,107200,275.58
2013-07-10,285.85,295.0,270.0,277.35,115300,274.1
2013-07-11,285.4,286.65,271.75,274.7,29700,271.48
2013-07-12,275.85,280.8,273.0,277.3,35700,274.05
2013-07-15,280.0,288.0,277.1,278.95,90500,275.68
2013-07-16,278.7,285.0,276.0,277.5,68500,274.25
2013-07-17,278.15,281.45,272.5,274.3,113000,271.09
2013-07-18,277.85,288.0,276.15,282.65,204600,279.34
2013-07-19,285.0,292.9,278.1,279.25,41500,275.98
2013-07-22,284.0,284.0,278.75,280.45,27600,277.17
2013-07-23,284.55,298.8,282.05,291.25,56700,287.84
2013-07-24,295.0,296.0,281.8,286.0,34600,282.65
2013-07-25,282.5,286.85,272.0,273.6,34400,270.4
2013-07-26,276.65,281.0,260.55,269.9,35000,266.74
2013-07-29,272.75,275.8,258.15,267.2,26700,264.07
2013-07-30,277.85,277.85,261.0,261.6,12500,258.54
2013-07-31,259.95,260.0,252.1,253.0,90700,250.04
2013-08-01,258.7,260.0,250.5,253.7,23200,250.73
2013-08-02,254.0,256.55,243.0,244.95,26300,242.08
2013-08-05,247.0,259.85,237.3,257.15,48300,254.14
2013-08-06,259.0,280.0,256.0,258.9,68500,255.87
2013-08-07,260.05,268.05,250.0,259.1,34500,256.07
2013-08-08,261.0,263.95,253.1,255.3,31400,252.31
2013-08-09,255.3,255.3,255.3,255.3,0,252.31
2013-08-12,255.0,260.95,245.25,252.95,13700,249.99
2013-08-13,252.15,258.0,250.75,251.2,10700,248.26
2013-08-14,253.05,257.0,252.2,255.25,2600,252.26
2013-08-15,255.25,255.25,255.25,255.25,0,252.26
2013-08-16,256.45,258.0,250.0,251.05,8700,248.11
2013-08-19,252.05,252.05,201.0,236.5,200400,233.73
2013-08-20,236.95,238.0,231.55,236.9,34000,234.13
2013-08-21,243.95,252.65,231.9,234.55,13300,231.8
2013-08-22,243.0,243.0,227.5,236.35,11900,233.58
2013-08-23,235.1,237.9,232.0,233.75,9900,231.01
2013-08-26,236.95,244.35,230.0,234.05,12900,231.31
2013-08-27,236.05,238.35,225.0,228.5,34600,225.82
2013-08-28,226.0,238.5,221.1,231.0,47500,228.29
2013-08-29,229.0,233.7,222.1,228.2,4500,225.53
2013-08-30,230.15,230.15,224.0,228.45,3400,225.77
