Date,Open,High,Low,Close,Volume,Adj Close
1996-01-01,45.0,46.0,45.9,46.0,500,21.92
1996-01-02,45.0,45.5,45.0,45.0,800,21.44
1996-01-03,42.5,48.0,42.5,48.0,200,22.87
1996-01-04,45.25,45.25,45.25,45.25,100,21.56
1996-01-05,42.55,43.05,42.55,43.05,800,20.51
1996-01-08,43.05,46.0,42.5,43.5,1200,20.73
1996-01-09,43.5,43.5,42.5,43.0,1000,20.49
1996-01-10,41.5,41.5,41.0,41.0,500,19.54
1996-01-11,41.0,41.75,41.0,41.75,1200,19.89
1996-01-15,41.75,41.75,41.0,41.5,1200,19.78
1996-01-16,41.5,40.95,39.5,40.1,900,19.11
1996-01-17,39.75,39.75,39.75,39.75,100,18.94
1996-01-18,39.0,39.5,39.0,39.5,200,18.82
1996-01-22,37.5,37.5,37.0,37.0,600,17.63
1996-01-23,40.0,40.0,36.0,36.0,1400,17.15
1996-01-24,36.5,36.5,36.5,36.5,200,17.39
1996-01-25,36.5,37.0,36.05,36.05,700,17.18
1996-01-29,35.5,35.5,35.1,35.1,200,16.73
1996-01-30,36.0,37.0,36.0,37.0,400,17.63
1996-01-31,38.0,40.7,37.2,39.2,1500,18.68
1996-02-01,39.2,43.35,43.35,43.35,400,20.66
1996-02-02,43.35,48.0,47.9,48.0,300,22.87
1996-02-05,50.0,50.05,49.5,50.05,3500,23.85
1996-02-06,52.0,52.5,50.75,50.75,4300,24.18
1996-02-07,47.5,47.5,46.0,46.0,1200,21.92
1996-02-08,46.0,50.0,46.0,48.2,1400,22.97
1996-02-09,49.0,53.05,49.0,53.0,2500,25.25
1996-02-12,56.0,56.0,53.0,54.0,2700,25.73
1996-02-13,54.0,54.05,52.5,52.85,2700,25.18
1996-02-14,52.5,54.75,52.5,54.75,2200,26.09
1996-02-15,52.0,54.0,51.5,53.95,900,25.71
1996-02-16,53.95,53.0,51.5,51.5,1400,24.54
1996-02-19,52.0,52.0,49.0,50.5,800,24.06
1996-02-20,47.5,48.95,47.0,47.05,800,22.42
1996-02-22,47.05,49.5,42.5,49.5,1600,23.59
1996-02-23,49.5,50.0,49.0,49.0,1300,23.35
1996-02-26,50.0,50.25,47.0,49.4,2100,23.54
1996-02-27,48.0,50.0,48.0,49.0,800,23.35
1996-02-28,48.0,48.1,48.0,48.1,500,22.92
1996-02-29,48.1,48.25,44.3,46.0,1000,21.92
1996-03-01,44.0,45.95,44.0,44.55,900,21.23
1996-03-04,45.5,46.0,44.0,44.4,1700,21.16
1996-03-06,44.4,44.5,44.25,44.5,500,21.2
1996-03-07,44.5,44.75,44.25,44.75,1100,21.32
1996-03-08,44.75,43.75,40.5,43.5,3200,20.73
1996-03-11,43.5,42.5,41.0,42.5,1400,20.25
1996-03-12,43.0,43.95,43.0,43.85,2300,20.89
1996-03-13,43.0,45.6,43.0,45.6,1100,21.73
1996-03-14,45.6,46.0,41.7,41.7,1500,19.87
1996-03-15,43.0,43.5,43.0,43.5,1000,20.73
1996-03-18,40.0,43.0,40.0,42.0,3400,20.01
1996-03-19,41.0,42.5,40.6,40.6,3200,19.35
1996-03-21,40.6,43.5,41.0,42.0,1100,20.01
1996-03-22,41.5,42.25,41.5,42.25,500,20.13
1996-03-25,42.25,42.25,41.3,41.5,800,19.78
1996-03-26,41.05,41.5,41.05,41.45,700,19.75
1996-03-27,41.0,43.0,41.0,43.0,300,20.49
1996-03-28,45.0,45.0,43.5,43.5,800,20.73
1996-03-29,43.5,43.5,43.0,43.5,900,20.73
1996-04-01,42.0,46.0,42.0,46.0,1500,21.92
1996-04-02,45.0,46.95,45.0,46.5,2100,22.16
1996-04-03,46.5,47.75,46.25,46.5,800,22.16
1996-04-08,43.5,45.0,43.5,44.55,800,21.23
1996-04-09,44.55,46.5,45.5,46.25,2600,22.04
1996-04-10,46.25,47.0,45.8,46.75,2100,22.28
1996-04-11,46.75,46.95,45.0,45.2,1400,21.54
1996-04-12,45.2,46.5,45.7,46.35,1000,22.09
1996-04-15,46.35,47.5,46.8,46.9,1200,22.35
1996-04-16,46.9,48.5,47.6,48.05,2200,22.9
1996-04-17,48.25,51.5,48.25,51.05,3100,24.33
1996-04-18,52.0,56.0,52.0,53.6,6700,25.54
1996-04-19,53.5,55.0,52.0,54.5,5300,25.97
1996-04-22,54.0,55.25,50.05,50.6,3400,24.11
1996-04-23,50.6,50.0,48.0,48.7,3200,23.21
1996-04-24,48.7,52.0,50.0,51.05,1600,24.33
1996-04-25,51.05,53.0,51.15,51.4,1300,24.49
1996-04-26,51.0,52.0,50.0,50.9,1200,24.25
1996-04-29,50.0,50.2,49.1,49.2,1300,23.44
