Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,71.85,72.2,70.275,70.975,4185500,22.171999999999997
2002-07-02,70.4,70.75,69.125,69.875,4741400,21.828000000000003
2002-07-03,69.45,74.425,69.25,73.175,13663300,22.859
2002-07-04,74.275,76.15,72.7,73.15,10882700,22.851999999999997
2002-07-05,74.0,74.5,71.625,73.325,6333800,22.906
2002-07-08,75.025,75.875,73.075,73.55,8353300,22.976999999999997
2002-07-09,74.0,74.0,72.1,72.525,3688900,22.656
2002-07-10,73.0,75.9,72.675,73.4,12761400,22.93
2002-07-11,72.5,73.0,59.175,60.375,41189500,18.861
2002-07-12,62.75,63.95,56.0,58.225,47080200,18.189
2002-07-15,59.8,59.8,51.85,53.15,39674600,16.604
2002-07-16,52.5,54.075,50.125,52.675,30213100,16.455
2002-07-17,51.95,55.4,51.5,54.1,25513000,16.9
2002-07-18,55.9,56.7,55.075,56.25,16239900,17.572
2002-07-19,48.0,55.5,48.0,53.575,9929400,16.736
2002-07-22,50.25,51.3,49.125,50.1,13794000,15.651
2002-07-23,50.0,52.5,48.05,52.075,13085500,16.268
2002-07-24,51.0,51.325,49.5,50.225,12628500,15.69
2002-07-25,52.0,53.4,50.175,50.975,8680600,15.924000000000001
2002-07-26,49.5,49.95,47.6,47.975,7601800,14.987
2002-07-29,48.85,48.85,45.625,46.525,6927600,14.534
2002-07-30,47.85,48.7,43.325,44.25,5798600,13.823
2002-07-31,42.5,43.925,39.15,41.775,8838800,13.05
2002-08-01,41.525,43.5,40.9,41.975,11288100,13.113
2002-08-02,40.75,41.1,38.825,40.475,7357800,12.644
2002-08-05,40.525,44.2,40.525,43.7,12835600,13.652000000000001
2002-08-06,42.775,46.9,42.4,46.025,13030200,14.378
2002-08-07,47.45,48.35,46.575,47.125,14118000,14.722000000000001
2002-08-08,47.05,47.425,43.4,44.075,11281600,13.769
2002-08-09,43.775,45.7,43.15,45.25,10932400,14.136
2002-08-12,91.1,91.5,88.6,90.0,6579600,28.115
2002-08-13,91.05,91.9,89.6,90.0,4103500,28.115
2002-08-14,89.15,90.5,87.7,88.3,5175800,27.584
2002-08-16,90.2,90.8,88.15,88.85,5225500,27.756
2002-08-19,90.1,90.4,87.25,88.05,4361000,27.506
2002-08-20,89.2,96.75,87.15,94.7,13956500,29.584
2002-08-21,93.0,99.7,92.75,96.25,19793600,30.068
2002-08-22,97.25,97.8,93.55,94.15,8370100,29.412
2002-08-23,94.5,96.9,93.6,94.65,8195200,29.568
2002-08-26,94.15,96.5,93.65,94.25,6330600,29.443
2002-08-27,95.0,95.65,87.75,88.2,11558500,27.553
2002-08-28,87.25,90.2,86.55,89.45,9807300,27.944000000000003
2002-08-29,88.75,89.6,86.7,87.7,6628800,27.397
2002-08-30,88.7,91.9,88.05,91.35,7262100,28.537
2002-09-02,92.4,97.4,92.4,94.35,11457500,29.474
2002-09-03,94.4,97.15,91.35,92.05,18157700,28.756
2002-09-04,90.0,93.4,89.3,92.55,8181900,28.912
2002-09-05,94.05,97.3,92.1,93.55,16040000,29.224
2002-09-06,91.7,93.35,89.1,89.95,8012100,28.1
2002-09-09,90.75,91.6,88.85,89.5,6179800,27.959
2002-09-11,91.2,93.35,90.35,91.35,7833800,28.537
2002-09-12,92.2,93.0,91.55,92.05,5543200,28.756
2002-09-13,91.0,92.35,89.5,90.05,4970600,28.131
2002-09-16,90.6,91.25,88.7,89.55,3229400,27.975
2002-09-17,90.5,91.8,89.2,91.15,4695300,28.475
2002-09-18,90.95,91.0,87.65,88.15,4030600,27.537
2002-09-19,88.55,88.55,83.85,85.65,5363200,26.756
2002-09-20,83.0,85.25,82.05,84.6,3203100,26.428
2002-09-23,85.0,85.4,82.85,83.2,2553300,25.991
2002-09-24,81.9,81.9,79.3,80.2,3303600,25.054000000000002
2002-09-25,78.3,81.8,78.0,81.4,4489100,25.429000000000002
2002-09-26,83.0,83.25,81.4,81.8,2261500,25.554000000000002
2002-09-27,82.35,83.7,81.6,82.4,2947400,25.741
2002-09-30,81.4,81.65,79.5,79.8,2556400,24.929000000000002
2002-10-01,79.45,80.45,77.25,78.4,2745200,24.491999999999997
2002-10-03,79.0,79.95,77.0,77.7,1830300,24.273000000000003
2002-10-04,77.0,77.8,75.1,76.4,2759900,23.866999999999997
2002-10-07,77.2,77.5,75.8,76.4,1460800,23.866999999999997
2002-10-08,76.2,82.3,75.15,80.9,5737300,25.273000000000003
2002-10-09,81.7,83.3,77.45,77.8,4674100,24.304000000000002
2002-10-10,77.15,79.2,76.1,78.7,3155500,24.585
2002-10-11,81.3,81.9,79.35,79.85,3174700,24.945
2002-10-14,81.9,81.9,77.25,77.8,2994200,24.304000000000002
2002-10-16,80.0,80.45,77.45,78.05,2616100,24.381999999999998
2002-10-17,78.55,81.6,78.2,80.9,4156600,25.273000000000003
2002-10-18,82.05,83.75,79.2,80.0,6338500,24.991
2002-10-21,81.05,82.8,80.75,81.6,5019100,25.491
2002-10-22,82.4,84.2,79.5,80.45,7812800,25.131999999999998
2002-10-23,78.8,81.5,78.6,79.05,4085700,24.695
2002-10-24,80.0,80.3,77.3,77.9,4117600,24.335
2002-10-25,77.7,77.75,75.05,75.65,2781700,23.633000000000003
2002-10-28,72.9,72.9,66.1,67.3,4900000,21.024
2002-10-29,67.0,69.5,65.0,68.85,3554500,21.508000000000003
2002-10-30,69.0,71.1,67.8,69.8,3518700,21.805
2002-10-31,70.0,71.25,68.75,69.7,2603900,21.774
2002-11-01,69.5,70.5,68.2,69.0,1707300,21.555
2002-11-04,71.0,71.4,69.65,70.0,595200,21.868000000000002
2002-11-05,70.35,70.4,68.85,69.6,819500,21.743000000000002
2002-11-07,70.0,71.25,68.9,69.7,1536600,21.774
2002-11-08,69.2,69.25,68.55,69.0,850600,21.555
2002-11-11,69.1,69.7,68.4,69.0,1028000,21.555
2002-11-12,68.9,69.4,68.3,69.1,794400,21.586
2002-11-13,69.4,69.6,68.5,68.95,611900,21.54
2002-11-14,68.9,71.4,68.65,70.55,2469100,22.039
2002-11-15,71.6,72.9,71.6,72.2,2439900,22.555
2002-11-18,72.9,74.2,72.4,73.55,2381200,22.976999999999997
2002-11-20,73.75,74.9,73.15,74.15,1625300,23.164
2002-11-21,75.0,76.9,75.0,76.15,2121800,23.789
2002-11-22,77.05,80.2,77.05,78.35,3733200,24.476
2002-11-25,77.0,79.2,77.0,78.4,2190800,24.491999999999997
2002-11-26,79.0,79.95,78.8,79.2,1764800,24.741999999999997
2002-11-27,78.95,79.6,76.55,77.05,2150100,24.07
2002-11-28,79.2,79.45,77.8,78.5,1677500,24.523000000000003
2002-11-29,39.925,43.25,39.15,42.35,6534600,13.23
2002-12-02,86.8,99.55,86.8,97.7,14450300,30.521
2002-12-03,98.1,98.75,91.4,92.85,8970700,29.006
2002-12-04,90.05,92.0,88.0,88.55,4776800,27.662
2002-12-05,88.75,92.5,88.75,91.85,4127400,28.693
2002-12-06,92.85,94.75,92.25,93.55,3704000,29.224
2002-12-09,94.1,101.0,93.7,98.15,12156000,30.660999999999998
2002-12-10,95.0,99.7,94.75,99.1,8800900,30.958000000000002
2002-12-11,101.0,103.25,96.3,98.0,13103500,30.615
2002-12-12,97.9,97.9,94.3,94.8,5624200,29.615
2002-12-13,95.25,97.25,95.0,95.75,3392500,29.912
2002-12-16,97.25,98.0,91.2,92.3,3568000,28.834
2002-12-17,93.0,93.35,89.0,90.0,3857100,28.115
2002-12-18,88.25,90.8,88.25,89.35,1866100,27.912
2002-12-19,88.5,93.4,87.25,92.0,4169600,28.74
2002-12-20,94.45,94.45,90.55,92.45,3990800,28.881
2002-12-23,93.05,93.4,88.9,89.6,2945600,27.99
2002-12-24,89.95,92.7,88.35,92.15,3918000,28.787
2002-12-26,92.25,94.6,91.55,92.05,4604700,28.756
2002-12-27,92.45,93.8,90.6,91.1,3535400,28.459
2002-12-30,90.95,91.65,89.1,91.25,2596200,28.506
2002-12-31,91.25,93.0,91.0,91.4,3505700,28.553
2003-01-01,91.75,92.45,90.65,91.25,1970900,28.506
2003-01-02,91.65,91.85,88.45,88.85,3800600,27.756
2003-01-03,90.0,91.25,88.6,88.95,2726500,27.787
2003-01-06,90.0,90.0,87.05,87.5,2518900,27.334
2003-01-07,89.0,89.0,87.1,87.8,2635100,27.428
2003-01-08,88.75,89.9,88.0,89.6,2549100,27.99
2003-01-09,88.9,90.8,88.2,88.4,3012800,27.616
2003-01-10,92.15,92.15,88.3,88.8,4202200,27.741
2003-01-13,89.05,89.1,87.0,87.6,1956400,27.366
2003-01-14,88.05,88.8,87.8,88.15,1580000,27.537
