Date,Open,High,Low,Close,Volume,Adj Close
2005-04-04,38.0,39.8,35.05,35.65,55100,30.51
2005-04-05,38.0,38.0,34.6,35.15,14800,30.09
2005-04-06,35.0,35.35,34.65,35.0,8000,29.96
2005-04-07,34.35,35.85,34.3,34.55,4900,29.57
2005-04-08,34.15,34.5,33.6,33.65,2400,28.8
2005-04-11,33.3,34.45,33.15,33.35,9400,28.54
2005-04-12,33.5,33.5,32.9,33.15,1900,28.37
2005-04-13,33.95,35.4,33.5,34.45,7800,29.49
2005-04-15,34.7,34.75,33.4,34.05,1700,29.14
2005-04-18,34.0,34.4,34.0,34.2,900,29.27
2005-04-19,35.4,36.75,34.5,35.3,27900,30.21
2005-04-20,34.9,36.65,34.3,35.4,16800,30.3
2005-04-21,35.7,35.7,35.3,35.5,3900,30.38
2005-04-22,34.6,36.45,34.6,35.1,2000,30.04
2005-04-25,35.95,36.15,35.1,35.85,5900,30.68
2005-04-26,35.0,36.0,35.0,35.25,5300,30.17
2005-04-27,35.0,36.0,35.0,36.0,3400,30.81
2005-04-28,35.5,36.4,35.3,35.75,5900,30.6
2005-04-29,35.5,35.95,35.05,35.15,1800,30.09
2005-05-02,35.5,35.9,35.45,35.7,2800,30.56
2005-05-03,35.5,36.0,35.45,35.5,3200,30.38
2005-05-04,35.95,35.95,35.25,35.25,1900,30.17
2005-05-05,35.3,36.15,35.3,35.75,11500,30.6
2005-05-06,35.9,35.95,35.5,35.5,1400,30.38
2005-05-09,35.25,36.5,35.25,36.1,2300,30.9
2005-05-10,35.4,35.65,35.4,35.65,4000,30.51
2005-05-11,35.9,35.9,35.65,35.7,11100,30.56
2005-05-12,36.35,36.5,35.5,35.5,4100,30.38
2005-05-13,36.2,36.5,35.6,36.4,7900,31.15
2005-05-16,37.0,37.0,36.4,36.8,3400,31.5
2005-05-17,36.2,36.9,36.2,36.25,3700,31.03
2005-05-18,36.05,36.4,36.0,36.35,1600,31.11
2005-05-19,35.0,36.9,35.0,36.5,2100,31.24
2005-05-20,37.1,39.7,37.0,37.9,11300,32.44
2005-05-23,38.75,38.8,38.0,38.7,6200,33.12
2005-05-24,38.25,38.75,37.5,38.15,5200,32.65
2005-05-25,37.9,38.55,37.9,38.1,900,32.61
2005-05-26,39.0,39.0,38.0,38.3,2600,32.78
2005-05-27,38.4,39.0,38.4,38.65,4400,33.08
2005-05-30,38.85,38.85,37.25,38.0,700,32.52
2005-05-31,38.0,38.65,38.0,38.4,1300,32.87
2005-06-01,38.4,38.4,37.0,38.3,3000,32.78
2005-06-02,38.05,38.8,38.05,38.8,1200,33.21
2005-06-03,38.6,44.9,38.5,43.35,75800,37.1
2005-06-06,50.45,52.0,46.15,46.65,75800,39.93
2005-06-07,47.8,48.45,46.2,47.05,22300,40.27
2005-06-08,46.7,46.7,45.05,45.75,15500,39.16
2005-06-09,45.05,45.05,43.1,43.75,5600,37.45
2005-06-10,44.5,46.5,44.5,45.6,14100,39.03
2005-06-13,47.0,51.5,44.25,50.15,50500,42.92
2005-06-14,51.9,53.3,48.0,49.4,21200,42.28
2005-06-15,48.0,50.75,48.0,49.0,24000,41.94
2005-06-16,48.75,48.75,47.0,47.25,9800,40.44
2005-06-17,47.0,47.45,46.0,46.2,11000,39.54
2005-06-20,46.5,46.75,45.0,46.1,11800,39.46
2005-06-21,45.7,46.5,45.5,46.05,3200,39.41
2005-06-22,45.5,46.5,45.5,45.85,6500,39.24
2005-06-23,45.85,45.85,44.5,45.05,11700,38.56
2005-06-24,44.0,46.45,44.0,45.55,3600,38.99
2005-06-27,45.8,47.0,45.3,46.1,5300,39.46
2005-06-28,45.25,46.0,45.0,45.0,4600,38.52
2005-06-29,45.5,48.5,45.25,47.05,6600,40.27
2005-06-30,47.5,49.0,46.65,46.75,16900,40.01
2005-07-01,48.0,48.0,46.0,47.65,13300,40.78
2005-07-04,48.9,51.25,48.5,50.8,40800,43.48
2005-07-05,51.25,52.5,48.8,50.05,24000,42.84
2005-07-06,45.4,52.0,45.4,51.4,21800,43.99
2005-07-07,51.9,52.0,49.55,49.7,4900,42.54
2005-07-08,50.0,50.9,49.5,50.7,11400,43.39
2005-07-11,51.15,53.15,51.15,52.6,20800,45.02
2005-07-12,51.1,59.45,51.1,58.55,43700,50.11
2005-07-13,64.5,64.5,58.05,61.9,50200,52.98
2005-07-14,64.0,64.95,58.0,59.35,20200,50.8
2005-07-15,59.0,61.5,58.25,58.7,18400,50.24
2005-07-18,63.1,63.5,59.5,62.85,20500,53.79
2005-07-19,60.5,62.25,60.1,60.8,4700,52.04
2005-07-20,65.0,65.0,55.25,57.55,22700,49.26
2005-07-21,57.0,61.0,57.0,58.9,16500,50.41
2005-07-22,61.45,61.45,60.0,61.05,13600,52.25
2005-07-25,61.0,61.0,58.05,59.05,7200,50.54
2005-07-26,60.0,60.0,57.1,59.2,10500,50.67
2005-07-27,58.15,59.0,58.15,59.0,3600,50.5
2005-07-29,59.0,65.0,59.0,64.2,60000,54.95
2005-08-01,65.0,65.0,60.65,61.15,9000,52.34
2005-08-02,60.75,62.7,60.0,61.4,5900,52.55
2005-08-03,61.5,63.0,60.05,61.65,12100,52.77
2005-08-04,62.75,63.4,61.55,62.6,13300,53.58
2005-08-05,61.0,62.95,61.0,62.0,4200,53.07
2005-08-08,62.0,63.45,61.4,63.25,7600,54.14
2005-08-09,62.5,64.5,62.0,63.4,12900,54.26
2005-08-10,64.0,65.5,63.0,65.1,10400,55.72
2005-08-11,65.1,70.35,65.1,69.95,54000,59.87
2005-08-12,69.9,73.7,69.0,72.8,21200,62.31
2005-08-16,73.8,74.9,71.0,71.95,15800,61.58
2005-08-17,74.6,74.6,71.0,72.15,7600,61.75
2005-08-18,73.0,73.5,63.5,68.45,22200,58.59
2005-08-19,69.5,71.1,69.0,70.6,10700,60.43
2005-08-22,70.1,72.0,70.1,70.6,5800,60.43
2005-08-23,70.0,70.7,68.5,69.65,12100,59.61
2005-08-24,69.0,70.0,67.5,69.4,10900,59.4
2005-08-25,79.0,79.0,68.1,70.15,10600,60.04
2005-08-26,70.8,70.8,69.35,69.75,1500,59.7
2005-08-29,70.0,71.25,69.4,70.95,3300,60.73
2005-08-30,70.9,70.9,69.6,69.9,1700,61.12
2005-08-31,69.15,77.5,69.15,74.4,15900,65.05
2005-09-01,77.5,81.45,77.5,78.8,32500,68.9
2005-09-02,80.5,80.5,72.55,77.05,11500,67.37
2005-09-05,80.3,82.0,76.7,76.85,9100,67.2
2005-09-06,77.0,79.0,74.6,76.4,4400,66.8
2005-09-08,77.0,77.9,75.55,76.5,3200,66.89
2005-09-09,74.1,76.8,74.0,75.8,7500,66.28
