Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,26.5,27.5,26.05,26.6,174400,14.59
2002-07-02,26.5,28.2,26.5,27.5,275000,15.08
2002-07-03,29.5,29.5,27.5,27.65,356500,15.16
2002-07-04,30.4,30.4,27.6,27.75,243100,15.22
2002-07-05,33.3,33.3,27.95,29.55,462000,16.2
2002-07-08,30.35,31.5,30.05,30.35,359600,16.64
2002-07-09,30.85,30.85,29.0,29.35,199300,16.09
2002-07-10,29.5,29.5,28.0,28.3,135700,15.52
2002-07-11,28.0,28.6,27.3,27.75,78100,15.22
2002-07-12,28.05,28.4,27.3,27.85,59900,15.27
2002-07-15,27.5,27.75,25.75,26.3,75700,14.42
2002-07-16,25.25,26.9,25.25,26.4,35700,14.48
2002-07-17,26.85,26.85,25.0,25.45,60200,13.96
2002-07-18,25.65,27.0,25.65,26.7,51700,14.64
2002-07-19,27.15,27.15,26.05,26.4,50900,14.48
2002-07-22,26.15,26.15,24.3,24.75,70900,13.57
2002-07-23,24.45,25.7,24.05,25.3,60800,13.87
2002-07-24,25.0,25.1,23.6,23.85,68600,13.08
2002-07-25,25.75,26.0,25.0,25.15,98100,13.79
2002-07-26,25.0,25.0,23.5,23.9,101100,13.11
2002-07-29,22.5,22.95,21.0,21.75,83900,11.93
2002-07-30,22.5,22.5,20.6,20.95,107100,11.49
2002-07-31,19.1,20.85,19.0,19.85,127100,10.88
2002-08-01,20.9,21.3,20.15,20.55,68100,11.27
2002-08-02,20.75,20.75,19.65,20.15,88400,11.05
2002-08-05,20.9,21.0,20.0,20.4,83000,11.19
2002-08-06,21.2,21.9,20.6,21.45,27500,11.76
2002-08-07,22.95,22.95,21.35,21.75,61000,11.93
2002-08-08,23.75,23.75,21.15,21.3,32000,11.68
2002-08-09,23.75,23.75,20.9,21.3,36000,11.68
2002-08-12,21.0,22.8,21.0,21.1,24000,11.57
2002-08-13,23.35,23.35,21.05,21.15,14900,11.6
2002-08-14,22.5,22.5,21.05,21.15,60700,11.6
2002-08-16,22.0,22.0,20.55,20.8,62400,11.41
2002-08-19,21.9,21.9,20.6,20.8,26500,11.41
2002-08-20,22.0,22.0,20.65,20.95,25100,11.49
2002-08-21,21.0,21.0,19.1,20.65,66900,11.32
2002-08-22,23.95,23.95,20.2,20.65,25700,11.32
2002-08-23,20.85,20.85,20.55,20.65,30900,11.32
2002-08-26,20.8,20.9,20.6,20.75,28000,11.38
2002-08-27,20.8,21.2,20.7,20.8,18300,11.41
2002-08-28,20.65,23.0,20.6,22.45,63700,12.31
2002-08-29,23.0,23.2,22.4,22.6,126400,12.39
2002-08-30,23.25,23.4,22.55,22.95,51200,12.58
2002-09-02,23.75,24.15,22.1,22.6,124100,12.39
2002-09-03,22.0,22.0,21.2,21.35,45000,11.71
2002-09-04,21.35,21.75,21.35,21.55,35300,11.82
2002-09-05,21.85,21.95,21.1,21.25,33000,11.65
2002-09-06,21.2,21.75,21.15,21.5,41400,11.79
2002-09-09,21.85,22.0,21.35,21.9,34900,12.01
2002-09-11,21.6,22.75,21.6,22.1,33400,12.12
2002-09-12,23.0,23.5,22.1,23.4,111500,12.83
2002-09-13,23.15,23.75,23.1,23.25,659100,12.75
2002-09-16,23.05,23.85,23.05,23.55,567800,12.91
2002-09-17,23.05,23.8,23.05,23.55,35700,12.91
2002-09-18,23.05,23.5,23.05,23.25,568200,12.75
2002-09-19,22.55,23.8,22.55,22.7,739300,12.45
2002-09-20,22.0,23.1,22.0,22.75,122600,12.47
2002-09-23,22.1,23.75,22.1,23.0,35600,12.61
2002-09-24,22.2,23.25,22.2,22.65,43800,12.42
2002-09-25,22.7,22.75,22.45,22.5,21000,12.34
2002-09-26,22.75,22.95,22.4,22.7,21000,12.45
2002-09-27,23.4,23.5,22.8,23.2,52800,12.72
2002-09-30,22.9,23.3,22.9,23.0,24100,12.61
2002-10-01,22.75,23.1,22.2,22.6,51500,12.39
2002-10-03,22.6,23.0,22.35,22.55,28100,12.37
2002-10-04,22.4,22.85,22.4,22.6,23000,12.39
2002-10-07,22.3,23.05,22.3,23.0,27300,12.61
2002-10-08,22.9,23.05,22.8,23.0,23500,12.61
2002-10-09,23.2,23.25,22.9,22.95,32400,12.58
2002-10-10,22.0,23.0,22.0,22.85,7500,12.53
2002-10-11,23.25,23.25,22.8,22.95,17500,12.58
2002-10-14,23.0,23.0,22.75,22.75,16900,12.47
2002-10-16,23.5,23.5,22.6,22.65,12600,12.42
2002-10-17,22.5,23.0,22.5,22.7,21400,12.45
2002-10-18,22.7,23.2,22.7,23.0,34400,12.61
2002-10-21,27.0,27.0,22.7,23.0,18000,12.61
2002-10-22,23.25,23.25,22.55,22.6,11200,12.39
2002-10-23,22.75,22.8,22.6,22.65,8500,12.42
2002-10-24,22.65,22.75,22.45,22.45,17900,12.31
2002-10-25,22.6,22.8,22.5,22.5,14800,12.34
2002-10-28,22.45,22.8,22.35,22.4,9900,12.28
2002-10-29,22.35,22.5,20.05,22.3,13400,12.23
2002-10-30,22.5,22.85,22.0,22.25,25700,12.2
2002-10-31,21.75,22.75,21.7,22.2,6300,12.17
2002-11-01,23.3,24.5,22.0,23.0,44200,12.61
2002-11-04,23.5,23.5,23.0,23.1,12600,12.67
2002-11-05,22.6,23.25,22.6,23.0,10100,12.61
2002-11-07,23.25,23.45,23.1,23.35,15200,12.8
2002-11-08,23.5,23.5,22.75,23.05,10800,12.64
2002-11-11,23.15,23.25,22.85,23.0,19300,12.61
2002-11-12,22.75,22.85,22.25,22.65,11500,12.42
2002-11-13,23.0,23.0,22.6,22.7,5300,12.45
2002-11-14,22.75,22.9,22.6,22.65,8400,12.42
2002-11-15,22.8,22.9,22.5,22.75,18500,12.47
2002-11-18,22.1,23.05,22.1,23.0,32100,12.61
2002-11-20,22.95,22.95,22.6,22.65,10500,12.42
2002-11-21,22.9,22.9,22.05,22.6,52600,12.39
2002-11-22,22.65,22.95,22.5,22.85,13700,12.53
2002-11-25,23.0,23.1,22.75,22.95,21400,12.58
2002-11-26,23.0,23.05,22.55,22.85,25700,12.53
2002-11-27,22.95,23.1,22.6,22.7,20100,12.45
2002-11-28,22.7,22.85,22.5,22.65,16300,12.42
2002-11-29,22.6,23.0,22.6,22.95,18200,12.58
2002-12-02,22.85,24.0,22.8,23.65,44900,12.97
2002-12-03,23.3,23.8,22.75,22.8,21200,12.5
2002-12-04,22.6,22.9,22.5,22.5,11200,12.34
2002-12-05,22.85,22.85,22.5,22.7,12600,12.45
2002-12-06,22.8,23.0,22.8,22.95,35900,12.58
2002-12-09,23.0,23.1,22.55,22.7,28800,12.45
2002-12-10,22.55,22.9,22.55,22.75,5400,12.47
2002-12-11,22.9,23.0,22.5,22.55,37800,12.37
2002-12-12,22.85,22.9,22.05,22.35,16800,12.26
2002-12-13,22.35,22.7,22.35,22.55,16500,12.37
