Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,12.0,12.0,11.5,11.55,12500,7.09
2002-07-02,11.6,12.0,11.55,11.9,13200,7.31
2002-07-03,11.5,11.9,11.35,11.5,68300,7.06
2002-07-04,11.55,11.85,11.5,11.55,13900,7.09
2002-07-05,12.1,12.1,11.45,11.75,21300,7.21
2002-07-08,11.7,11.85,11.55,11.65,9300,7.15
2002-07-09,12.45,12.45,11.65,11.9,11500,7.31
2002-07-10,12.05,12.15,11.7,11.75,17200,7.21
2002-07-11,11.8,12.0,11.6,11.8,7800,7.24
2002-07-12,11.6,11.8,11.4,11.45,8300,7.03
2002-07-15,11.7,11.7,11.2,11.4,9400,7.0
2002-07-16,11.6,11.6,11.2,11.55,6200,7.09
2002-07-17,11.25,11.45,11.05,11.3,7200,6.94
2002-07-18,11.2,13.6,11.2,13.6,48400,8.35
2002-07-19,14.0,16.35,13.1,16.35,354800,10.04
2002-07-22,16.35,18.0,15.05,16.0,252600,9.82
2002-07-23,15.35,16.55,13.0,13.9,176400,8.53
2002-07-24,13.75,13.75,12.75,12.95,17800,7.95
2002-07-25,13.5,14.4,12.85,13.0,22700,7.98
2002-07-26,13.0,13.3,11.6,12.0,28500,7.37
2002-07-29,12.0,13.5,11.75,12.15,11600,7.46
2002-07-30,12.2,12.2,11.8,11.85,7400,7.28
2002-07-31,11.4,12.0,11.4,11.95,20000,7.34
2002-08-01,11.8,12.1,11.75,11.8,9700,7.24
2002-08-02,12.1,12.1,11.75,11.9,2400,7.31
2002-08-05,11.9,12.1,11.8,11.95,3200,7.34
2002-08-06,12.0,12.75,12.0,12.75,4800,7.83
2002-08-07,12.5,12.9,12.5,12.6,11600,7.74
2002-08-08,12.5,12.5,11.8,12.0,5200,7.37
2002-08-09,12.15,12.15,11.9,12.0,13400,7.37
2002-08-12,11.9,12.2,11.9,12.15,1800,7.46
2002-08-13,12.0,12.25,12.0,12.1,2800,7.43
2002-08-14,12.0,12.25,11.9,12.05,2500,7.4
2002-08-16,13.7,13.7,11.8,12.2,3500,7.49
2002-08-19,12.25,12.25,11.9,12.15,3100,7.46
2002-08-20,12.0,12.1,12.0,12.1,4000,7.43
2002-08-21,12.0,12.15,11.9,12.05,5700,7.4
2002-08-22,12.25,12.25,12.0,12.0,3700,7.37
2002-08-23,12.0,12.25,11.25,11.45,28800,7.03
2002-08-26,11.3,11.3,10.35,10.75,100500,6.6
2002-08-27,11.45,11.45,10.8,10.9,59200,6.69
2002-08-28,11.2,11.2,10.7,10.75,29600,6.6
2002-08-29,11.2,11.2,10.4,10.6,33500,6.51
2002-08-30,10.8,10.9,10.5,10.5,18400,6.45
2002-09-02,11.25,11.45,10.75,11.0,22500,6.75
2002-09-03,10.65,11.45,10.65,11.25,16800,6.91
2002-09-04,11.5,11.65,10.95,11.0,18200,6.75
2002-09-05,11.35,11.4,10.95,10.95,6600,6.72
2002-09-06,11.6,11.6,11.0,11.15,6200,6.85
2002-09-09,11.3,11.55,11.1,11.45,8900,7.03
2002-09-11,11.4,11.6,11.4,11.55,6500,7.09
2002-09-12,10.8,11.1,10.7,10.85,7900,7.16
2002-09-13,10.8,11.7,10.8,11.65,39100,7.68
2002-09-16,11.3,11.5,10.95,11.35,17700,7.49
2002-09-17,11.3,11.5,11.0,11.05,4600,7.29
2002-09-18,11.1,11.45,11.0,11.2,5200,7.39
2002-09-19,11.05,11.4,11.0,11.0,10600,7.26
2002-09-20,11.3,11.7,11.3,11.5,16800,7.59
2002-09-23,11.25,12.0,11.25,11.85,38500,7.82
2002-09-24,11.5,12.35,11.5,12.1,13400,7.98
2002-09-25,11.75,12.1,11.75,12.0,11800,7.92
2002-09-26,12.0,12.0,11.9,11.9,4800,7.85
2002-09-27,11.55,12.1,11.55,11.95,3600,7.88
2002-09-30,11.5,12.0,11.5,11.65,22100,7.68
2002-10-01,11.55,12.0,11.5,11.5,3400,7.59
2002-10-03,12.0,12.65,11.95,11.95,6400,7.88
2002-10-04,11.15,11.75,11.15,11.75,800,7.75
2002-10-07,11.9,12.0,11.85,11.9,4900,7.85
2002-10-08,11.75,11.95,11.75,11.75,2100,7.75
2002-10-09,11.75,11.75,11.6,11.6,1300,7.65
2002-10-10,11.6,11.65,11.5,11.5,1900,7.59
2002-10-11,11.55,11.9,11.55,11.9,2600,7.85
2002-10-14,11.5,11.6,11.5,11.6,1400,7.65
2002-10-16,11.5,11.6,11.5,11.55,3500,7.62
2002-10-17,11.45,11.65,11.45,11.45,2400,7.55
2002-10-18,11.4,11.5,11.3,11.35,6000,7.49
2002-10-21,11.5,11.7,11.5,11.55,1600,7.62
2002-10-22,11.5,11.6,11.45,11.45,2300,7.55
2002-10-23,11.95,11.95,11.2,11.3,5100,7.45
2002-10-24,11.75,11.75,11.15,11.25,5300,7.42
2002-10-25,11.1,11.5,11.1,11.4,2300,7.52
2002-10-28,11.15,11.15,11.0,11.0,900,7.26
2002-10-29,11.15,11.5,11.05,11.45,2300,7.55
2002-10-30,11.45,11.45,11.2,11.25,2000,7.42
2002-10-31,11.25,11.25,11.2,11.2,4200,7.39
2002-11-01,11.25,11.5,11.15,11.3,2600,7.45
2002-11-04,11.1,11.55,11.0,11.5,4700,7.59
2002-11-05,11.2,11.45,11.15,11.15,1900,7.36
2002-11-07,11.1,11.35,11.1,11.2,10700,7.39
2002-11-08,11.25,11.25,11.1,11.1,5500,7.32
2002-11-11,11.1,11.3,10.95,11.15,24500,7.36
2002-11-12,11.15,11.2,10.95,11.0,13600,7.26
2002-11-13,11.0,11.3,11.0,11.15,7000,7.36
2002-11-14,11.4,11.5,11.2,11.5,2800,7.59
2002-11-15,11.35,11.35,11.35,11.35,500,7.49
2002-11-18,11.35,11.9,11.35,11.55,14000,7.62
2002-11-20,11.3,11.9,11.3,11.85,18000,7.82
2002-11-21,11.9,12.75,11.75,12.75,19900,8.41
2002-11-22,13.0,13.45,12.5,12.6,22100,8.31
2002-11-25,12.75,12.75,12.4,12.45,5000,8.21
2002-11-26,11.65,12.75,11.65,12.6,13400,8.31
2002-11-27,12.75,12.85,12.4,12.7,9400,8.38
2002-11-28,13.0,13.0,12.65,12.85,13000,8.48
2002-11-29,13.0,13.5,12.7,13.2,17400,8.71
2002-12-02,13.55,13.7,13.0,13.55,9800,8.94
2002-12-03,13.5,13.7,12.5,13.15,10200,8.67
2002-12-04,12.9,13.15,12.9,12.95,4400,8.54
2002-12-05,13.0,13.0,12.85,12.95,4800,8.54
2002-12-06,13.0,13.0,12.75,12.8,7100,8.44
2002-12-09,12.9,13.2,12.85,12.9,5900,8.51
2002-12-10,12.75,13.1,12.75,12.9,6400,8.51
2002-12-11,13.1,13.1,12.75,12.95,9500,8.54
2002-12-12,13.05,13.1,12.9,13.0,9500,8.58
2002-12-13,15.5,15.5,10.5,13.15,12800,8.67
2002-12-16,13.75,13.75,13.1,13.1,10900,8.64
2002-12-17,13.05,13.15,12.95,13.1,9800,8.64
2002-12-18,12.65,12.75,12.05,12.35,15300,8.82
2002-12-19,12.4,12.5,12.2,12.2,5200,8.71
2002-12-20,12.1,12.1,11.75,11.9,4500,8.5
2002-12-23,11.9,12.0,11.35,12.0,5000,8.57
2002-12-24,11.6,12.15,11.55,11.85,5700,8.46
2002-12-26,12.2,12.2,11.9,11.95,4400,8.53
2002-12-27,12.0,12.2,11.8,11.8,3200,8.43
2002-12-30,12.15,12.15,11.8,11.95,4300,8.53
2002-12-31,11.7,11.95,11.5,11.8,5000,8.43
2003-01-01,11.6,12.0,11.6,11.9,3000,8.5
2003-01-02,12.0,12.1,12.0,12.0,2600,8.57
2003-01-03,11.85,12.2,11.8,12.0,7900,8.57
2003-01-06,12.05,12.1,11.85,11.85,3500,8.46
2003-01-07,11.85,12.0,11.8,12.0,2600,8.57
2003-01-08,12.05,12.1,11.9,12.0,4700,8.57
2003-01-09,12.0,12.1,11.95,12.0,7200,8.57
2003-01-10,11.95,12.05,11.8,11.8,6300,8.43
2003-01-13,12.05,12.2,11.8,11.95,13500,8.53
2003-01-14,11.75,12.1,11.75,12.0,5100,8.57
2003-01-15,11.9,12.2,11.8,12.2,4000,8.71
2003-01-16,12.0,12.15,11.95,12.05,8800,8.61
2003-01-17,12.1,12.35,12.1,12.3,8500,8.78
2003-01-20,12.1,12.4,12.0,12.05,12700,8.61
2003-01-21,12.1,12.1,11.85,11.9,11700,8.5
2003-01-22,11.95,12.05,11.9,12.0,18200,8.57
2003-01-23,12.25,12.25,12.0,12.05,8300,8.61
2003-01-24,12.2,12.2,11.9,11.95,5500,8.53
2003-01-27,11.85,12.0,11.7,11.75,9600,8.39
2003-01-28,12.0,12.2,11.75,11.9,6400,8.5
2003-01-29,12.05,12.05,11.8,11.8,1400,8.43
2003-01-30,12.0,12.0,11.8,11.8,600,8.43
2003-01-31,11.7,11.95,11.5,11.55,12400,8.25
2003-02-03,11.7,11.8,11.6,11.65,8900,8.32
2003-02-04,11.75,11.8,11.55,11.55,10100,8.25
2003-02-05,11.8,12.1,11.7,12.05,11700,8.61
2003-02-06,12.0,12.0,11.85,11.9,4400,8.5
2003-02-07,11.9,11.9,11.8,11.8,3200,8.43
2003-02-10,11.8,11.9,11.8,11.9,4900,8.5
2003-02-11,11.8,11.8,11.75,11.75,1900,8.39
2003-02-12,11.75,12.05,11.75,11.95,3100,8.53
2003-02-14,11.8,11.8,11.5,11.7,50000,8.36
2003-02-17,11.8,11.8,11.4,11.8,9200,8.43
2003-02-18,12.0,12.5,11.8,12.35,26900,8.82
2003-02-19,12.3,13.0,12.3,12.95,24500,9.25
2003-02-20,12.05,13.7,12.05,12.8,25300,9.14
2003-02-21,13.0,13.5,12.95,13.0,17300,9.28
2003-02-24,12.7,13.2,12.7,12.85,6700,9.18
2003-02-25,12.95,13.25,12.95,13.1,7300,9.36
2003-02-26,13.05,13.05,12.6,12.65,4200,9.03
2003-02-27,12.55,12.95,12.55,12.8,1700,9.14
2003-02-28,12.95,13.2,12.5,12.75,8000,9.11
2003-03-03,12.5,13.05,12.5,13.0,5800,9.28
2003-03-04,13.0,13.45,13.0,13.1,17100,9.36
2003-03-05,13.05,14.0,13.05,13.65,25800,9.75
2003-03-06,13.35,13.75,13.3,13.5,6600,9.64
2003-03-07,13.3,13.65,13.25,13.65,25200,9.75
2003-03-10,13.45,13.75,13.45,13.6,16200,9.71
2003-03-11,13.6,13.9,13.45,13.75,27100,9.82
2003-03-12,13.75,13.95,13.5,13.7,22300,9.78
2003-03-13,13.8,14.2,13.8,13.95,12700,9.96
2003-03-17,14.0,14.05,13.8,13.9,9000,9.93
2003-03-19,13.8,14.75,13.8,14.1,20000,10.07
2003-03-20,14.0,14.25,13.75,14.05,5300,10.03
2003-03-21,14.0,14.25,13.8,13.85,7300,9.89
2003-03-24,14.0,14.9,14.0,14.15,13100,10.11
2003-03-25,14.1,14.4,14.1,14.2,6900,10.14
2003-03-26,14.1,14.35,14.1,14.3,4400,10.21
2003-03-27,14.5,14.75,14.2,14.6,8600,10.43
2003-03-28,14.25,14.4,14.2,14.2,5000,10.14
2003-03-31,13.7,14.5,13.7,14.05,8500,10.03
2003-04-01,14.1,14.2,14.0,14.05,3000,10.03
2003-04-02,14.2,14.2,14.0,14.1,9000,10.07
2003-04-03,14.15,14.2,14.0,14.15,8500,10.11
2003-04-04,14.35,14.5,14.1,14.3,3300,10.21
2003-04-07,14.3,14.95,14.0,14.5,12200,10.36
2003-04-08,14.2,14.6,14.2,14.4,5900,10.28
2003-04-09,14.3,14.45,14.1,14.4,1300,10.28
2003-04-10,14.05,14.45,14.0,14.1,6600,10.07
2003-04-11,14.0,14.4,14.0,14.05,8400,10.03
2003-04-15,14.4,14.45,14.0,14.15,4500,10.11
2003-04-16,14.4,14.45,14.15,14.45,2000,10.32
2003-04-17,14.1,14.35,14.1,14.3,4200,10.21
2003-04-21,14.5,14.5,14.1,14.25,3200,10.18
2003-04-22,14.5,14.55,14.2,14.25,7700,10.18
2003-04-23,14.25,14.4,14.25,14.25,2800,10.18
2003-04-24,14.35,14.4,14.25,14.25,3800,10.18
2003-04-25,14.25,14.4,14.25,14.25,9500,10.18
2003-04-28,14.25,14.25,14.05,14.25,7100,10.18
2003-04-29,14.1,14.25,14.1,14.2,2800,10.14
2003-04-30,14.15,14.15,14.1,14.15,1400,10.11
2003-05-02,14.05,14.3,14.05,14.25,5300,10.18
2003-05-05,14.3,14.45,14.3,14.4,7200,10.28
2003-05-06,14.25,14.65,14.25,14.3,5800,10.21
2003-05-07,14.25,14.65,14.25,14.55,9500,10.39
2003-05-08,14.45,14.45,14.4,14.4,700,10.28
2003-05-09,14.5,14.6,14.35,14.45,6100,10.32
2003-05-12,14.65,14.65,14.25,14.5,3900,10.36
2003-05-13,14.5,15.0,14.45,14.95,5000,10.68
2003-05-14,15.5,15.5,14.75,14.8,3900,10.57
2003-05-15,15.0,15.2,14.8,15.05,13000,10.75
2003-05-16,17.5,17.5,15.0,15.1,10400,10.78
2003-05-19,15.2,15.5,15.05,15.05,6000,10.75
2003-05-20,15.0,15.35,15.0,15.15,3100,10.82
2003-05-21,17.25,17.25,15.05,15.05,2700,10.75
2003-05-22,15.0,15.35,15.0,15.2,4600,10.86
2003-05-23,15.1,15.15,15.0,15.0,7100,10.71
