Date,Open,High,Low,Close,Volume,Adj Close
2003-04-01,75.4,75.4,72.6,72.6,600,25.353
2003-04-02,72.2,72.2,72.2,72.2,800,25.214
2003-04-03,79.2,79.2,75.65,76.3,100,26.646
2003-04-04,80.0,87.0,80.0,84.85,3100,29.631
2003-04-07,92.25,97.2,91.05,96.55,3800,33.717
2003-04-08,96.95,100.0,92.6,97.7,8900,34.119
2003-04-09,99.0,99.0,93.15,94.9,3400,33.141
2003-04-10,93.4,93.4,88.2,90.5,7300,31.605
2003-04-11,83.55,93.05,83.55,91.25,7900,31.866
2003-04-15,93.5,95.45,90.55,91.05,4300,31.797
2003-04-16,91.0,91.0,87.0,87.0,2100,30.382
2003-04-17,88.0,88.75,86.0,86.0,600,30.033
2003-04-21,88.85,93.0,88.85,90.6,1400,31.639
2003-04-22,91.65,91.65,89.5,89.6,2300,31.29
2003-04-23,88.15,89.75,87.25,87.5,800,30.557
2003-04-24,86.0,86.0,80.05,82.9,3700,28.95
2003-04-25,81.55,84.0,81.25,83.55,1300,29.177
2003-04-28,87.75,88.0,84.0,88.0,300,30.731
2003-04-29,88.25,89.0,85.15,86.55,1700,30.225
2003-04-30,86.35,86.35,78.3,81.45,3900,28.444
2003-05-02,80.6,84.6,80.6,81.8,1900,28.566
2003-05-05,85.4,88.75,83.05,85.6,5500,29.893
2003-05-06,86.95,88.0,85.3,87.25,3800,30.47
2003-05-07,88.85,88.9,87.0,87.75,1400,30.644
2003-05-08,88.0,88.6,87.0,87.9,1200,30.697
2003-05-09,87.75,87.75,86.75,87.5,700,30.557
2003-05-12,88.5,88.5,85.75,85.75,200,29.946
2003-05-13,87.8,87.8,85.1,85.9,1100,29.998
2003-05-14,88.0,88.0,85.55,87.35,3800,30.504
2003-05-15,89.85,89.85,87.1,89.2,4200,31.151
2003-05-16,88.0,88.95,86.4,86.7,2200,30.277
2003-05-19,87.0,87.5,85.5,86.25,2600,30.12
2003-05-20,78.55,88.0,78.55,86.1,2600,30.068
2003-05-21,86.0,88.0,86.0,86.6,1900,30.243
2003-05-22,87.0,89.9,87.0,88.75,3000,30.993
2003-05-23,87.0,92.0,87.0,89.65,2700,31.308
2003-05-26,83.25,103.9,83.25,100.6,14800,35.132
2003-05-27,105.0,105.0,98.0,101.05,25500,35.289
2003-05-28,101.05,101.8,98.05,99.15,7300,34.625
2003-05-29,102.0,102.0,99.0,100.1,5600,34.957
2003-05-30,100.05,104.35,100.0,103.75,15700,36.232
2003-06-02,105.0,119.9,104.0,112.55,21900,39.305
2003-06-03,114.95,115.45,105.5,108.0,19100,37.716
2003-06-04,106.0,114.0,106.0,112.2,22800,39.183
2003-06-05,111.15,111.85,108.0,108.65,7900,37.943
2003-06-06,116.5,116.5,102.65,103.6,7900,36.179
2003-06-09,101.5,113.0,101.5,108.7,7900,37.96
2003-06-10,110.0,110.7,106.8,108.4,4000,37.856
2003-06-11,108.5,110.0,108.5,108.95,9000,38.048
2003-06-12,109.0,110.0,108.0,109.95,13200,38.397
2003-06-13,110.0,110.45,107.5,107.5,5100,37.541
2003-06-16,114.9,118.0,107.5,115.55,16200,40.352
2003-06-17,115.25,118.0,115.25,116.9,20100,40.824
2003-06-18,117.0,117.45,115.1,115.3,13000,40.265
2003-06-19,115.0,115.0,113.25,113.25,8300,39.549
2003-06-20,111.3,111.3,103.0,104.95,22200,36.651
2003-06-23,109.0,109.0,104.0,104.0,4900,36.319
2003-06-24,108.25,109.0,106.6,107.2,3500,37.436
2003-06-25,109.0,110.0,106.2,109.0,6200,38.065
2003-06-26,108.1,114.9,108.1,112.95,17000,39.445
2003-06-27,111.0,112.0,110.0,110.1,4300,38.449
2003-06-30,113.25,114.9,112.25,113.0,7400,39.462
2003-07-01,108.1,112.0,108.0,108.45,2000,37.873
2003-07-02,110.0,111.5,109.05,109.25,3900,38.152
2003-07-03,108.05,111.0,108.0,108.9,3900,38.03
2003-07-04,112.0,122.0,112.0,119.15,28800,41.61
2003-07-07,123.45,123.45,118.1,119.3,14700,41.662
2003-07-08,119.9,122.0,118.5,119.15,9800,41.61
2003-07-09,119.15,119.15,110.0,112.15,10300,39.165
2003-07-10,111.95,113.0,109.0,110.6,5300,38.624
2003-07-11,109.05,113.0,109.05,109.3,3600,38.17
2003-07-14,110.0,111.85,109.1,110.35,14600,38.537
2003-07-15,110.0,110.0,107.0,107.1,5000,37.402
2003-07-16,107.0,108.0,105.5,106.15,3700,37.07
2003-07-17,105.65,109.0,105.1,107.5,2100,37.541
2003-07-18,108.0,108.75,101.2,105.15,4200,36.721
2003-07-21,104.0,107.75,101.0,101.0,3000,35.271
2003-07-22,107.0,112.0,101.2,104.45,7400,36.476
2003-07-23,105.0,108.65,103.55,105.2,6600,36.738
2003-07-24,105.6,105.6,103.35,103.8,1500,36.249
2003-07-25,104.5,105.6,104.5,105.6,200,36.878
2003-07-28,105.3,105.35,97.1,99.65,9500,34.8
2003-07-29,98.1,116.95,98.0,99.9,4400,34.887
2003-07-30,101.0,101.9,97.9,100.2,12500,34.992
2003-07-31,100.4,102.0,99.05,100.05,14100,34.94
2003-08-01,100.0,101.0,98.3,98.4,2400,34.363
2003-08-04,100.0,100.0,98.3,98.8,2400,34.503
2003-08-05,98.5,101.5,98.0,99.9,3800,34.887
2003-08-06,97.5,100.0,97.5,97.5,2000,34.049
2003-08-07,98.1,98.5,97.5,97.55,2000,34.067
2003-08-08,98.65,101.0,98.65,101.0,5500,35.271
2003-08-11,102.0,102.0,99.15,99.35,5800,34.695
2003-08-12,98.25,100.9,98.25,98.5,3200,34.398
2003-08-13,99.0,100.0,98.65,100.0,2100,34.922
2003-08-14,98.65,100.0,98.25,98.5,4300,34.398
2003-08-18,100.0,100.0,98.0,99.65,5200,34.8
2003-08-19,99.05,101.0,99.0,99.0,6100,34.573
2003-08-20,101.0,101.0,99.0,99.65,2700,34.8
