Date,Open,High,Low,Close,Volume,Adj Close
2003-10-24,16.95,17.4,16.95,17.4,100,13.73
2003-10-27,18.25,18.6,17.53,18.6,400,14.68
2003-10-28,17.75,17.75,17.66,17.66,100,13.94
2003-10-29,17.55,17.65,17.0,17.38,400,13.72
2003-10-30,18.1,18.1,17.78,17.96,1100,14.18
2003-10-31,19.25,19.25,17.9,18.03,2000,14.23
2003-11-03,18.45,18.5,17.85,18.3,6300,14.44
2003-11-04,17.83,18.05,17.83,17.91,1200,14.14
2003-11-05,17.8,18.05,17.68,17.82,1500,14.07
2003-11-06,18.01,18.25,17.95,18.03,3400,14.23
2003-11-07,18.05,18.19,18.0,18.0,3100,14.21
2003-11-10,18.25,18.28,18.25,18.25,300,14.41
2003-11-11,18.0,18.45,18.0,18.41,700,14.53
2003-11-12,18.95,20.0,18.5,19.6,5200,15.47
2003-11-13,19.55,19.55,19.0,19.36,300,15.28
2003-11-14,18.6,20.75,16.25,19.27,4500,15.21
2003-11-17,19.95,20.0,19.41,19.52,2500,15.41
2003-11-18,19.8,19.8,19.25,19.45,900,15.35
2003-11-19,19.0,19.49,19.0,19.47,1100,15.37
2003-11-20,19.72,19.72,19.0,19.3,1100,15.23
2003-11-21,19.25,19.35,19.01,19.25,300,15.19
2003-11-24,19.5,20.05,19.3,20.0,3100,15.79
2003-11-25,19.98,20.25,19.82,20.06,3100,15.83
2003-11-27,20.0,20.45,20.0,20.43,2300,16.13
2003-11-28,21.0,23.05,21.0,22.75,5900,17.96
2003-12-01,24.75,26.18,24.46,24.77,6500,19.55
2003-12-02,25.95,25.95,23.55,24.25,2400,19.14
2003-12-03,24.5,25.25,24.5,24.85,1200,19.62
2003-12-04,25.44,25.48,23.75,24.47,4200,19.32
2003-12-05,25.95,26.4,24.31,24.69,9800,19.49
2003-12-08,23.0,26.05,23.0,25.24,2800,19.92
2003-12-09,25.45,25.5,24.6,25.48,4700,20.11
2003-12-10,25.05,25.5,23.76,24.86,2000,19.62
2003-12-11,24.98,25.0,24.0,24.35,2400,19.22
2003-12-12,24.26,25.0,21.28,22.48,6200,17.74
2003-12-15,22.5,24.69,22.5,23.74,13300,18.74
2003-12-16,24.5,25.5,20.52,21.92,27700,17.3
2003-12-17,22.85,25.25,21.26,24.57,106400,19.39
2003-12-18,25.9,25.9,25.0,25.3,35300,19.97
2003-12-19,25.13,25.75,23.45,24.23,26500,19.13
2003-12-22,23.26,25.1,23.26,24.92,7700,19.67
2003-12-23,25.0,25.0,23.76,24.0,9000,18.94
2003-12-24,24.25,24.35,23.35,23.52,4800,18.57
2003-12-26,23.99,24.05,23.5,23.59,5400,18.62
2003-12-29,23.51,25.34,23.51,24.69,13900,19.49
2003-12-30,25.45,25.5,22.2,24.58,21100,19.4
2003-12-31,24.75,26.25,24.15,25.47,35600,20.1
2004-01-01,25.55,26.25,25.55,25.73,16500,20.31
2004-01-02,25.95,26.25,25.7,25.78,21300,20.35
2004-01-05,25.95,26.1,24.5,24.76,14900,19.54
2004-01-06,24.8,25.25,23.45,23.56,15900,18.6
2004-01-07,23.91,24.5,23.76,24.24,7100,19.13
2004-01-08,28.5,28.5,24.5,25.64,11100,20.24
2004-01-09,26.0,27.0,25.15,25.35,17300,20.01
2004-01-12,25.25,25.7,24.65,24.93,4300,19.68
2004-01-13,25.0,25.5,24.51,25.27,5000,19.95
2004-01-14,25.5,30.33,25.45,30.29,62900,23.91
2004-01-15,31.48,32.25,29.01,30.09,51100,23.75
2004-01-16,30.75,31.73,29.75,30.61,117000,24.16
2004-01-19,30.5,32.1,30.5,31.41,110200,24.79
2004-01-20,31.5,31.75,30.15,30.36,32300,23.96
2004-01-21,30.38,30.38,25.75,26.14,64900,20.63
2004-01-22,27.0,27.1,21.53,22.44,84000,17.71
2004-01-23,22.81,26.93,22.81,26.8,93000,21.15
2004-01-27,27.95,28.69,27.0,27.15,53400,21.43
2004-01-28,27.0,28.21,24.76,25.26,65400,19.94
2004-01-29,25.75,26.24,24.88,25.19,28800,19.88
2004-01-30,24.5,25.09,23.75,23.94,37400,18.9
2004-02-03,23.75,23.75,21.5,21.55,100200,17.01
2004-02-04,21.75,23.48,21.28,22.03,44400,17.39
2004-02-05,21.55,22.06,20.5,20.51,95700,16.19
2004-02-06,21.05,21.36,20.5,21.04,36500,16.61
2004-02-09,21.25,21.83,20.85,21.53,23900,16.99
2004-02-10,21.56,22.66,21.38,21.48,23500,16.96
2004-02-11,21.71,21.99,20.53,20.81,18600,16.43
2004-02-12,21.25,21.5,20.78,21.1,16100,16.66
2004-02-13,20.25,24.21,20.25,23.04,113000,18.19
2004-02-16,23.56,24.6,23.56,23.88,60300,18.85
2004-02-17,24.36,24.36,22.53,22.73,33700,17.94
2004-02-18,23.13,23.63,22.79,22.95,18400,18.12
2004-02-19,23.18,23.18,20.31,20.65,49600,16.3
2004-02-20,20.98,21.75,20.5,21.31,32800,16.82
2004-02-23,22.21,22.23,20.13,20.36,31000,16.07
2004-02-24,20.71,20.73,20.03,20.24,18100,15.98
2004-02-25,20.39,20.5,19.66,19.99,21300,15.78
2004-02-26,20.03,20.7,19.79,20.06,11200,15.83
2004-02-27,20.24,20.35,19.75,19.98,13200,15.77
2004-03-01,20.0,21.95,20.0,21.05,25300,16.62
2004-03-03,21.25,22.23,21.0,21.34,22500,16.84
2004-03-04,21.0,21.58,20.04,20.19,12700,15.94
2004-03-05,20.95,21.38,20.25,21.13,16400,16.68
2004-03-08,20.88,21.69,20.88,21.03,10100,16.6
2004-03-09,20.88,21.08,20.5,20.9,8000,16.5
2004-03-10,20.58,21.0,20.13,20.43,4700,16.13
2004-03-11,20.14,21.25,19.91,20.03,11700,15.81
2004-03-12,19.76,20.21,18.76,19.73,14900,15.57
2004-03-15,20.5,20.5,18.25,18.63,14000,14.71
2004-03-16,18.74,18.98,18.0,18.21,7800,14.37
2004-03-17,18.75,19.68,18.55,18.81,9800,14.85
2004-03-18,18.88,19.25,18.1,18.34,8300,14.48
2004-03-19,18.49,18.63,17.78,18.6,8200,14.68
2004-03-22,18.5,18.5,17.25,17.5,49000,13.81
2004-03-23,17.53,17.53,16.28,16.59,28300,13.1
2004-03-24,17.35,17.93,16.75,17.35,18700,13.7
2004-03-25,17.5,18.0,17.33,17.56,11400,13.86
2004-03-26,18.0,18.25,17.5,17.64,32500,13.92
2004-03-29,18.13,18.43,17.75,18.2,6300,14.37
2004-03-30,18.01,19.0,18.01,18.33,13100,14.47
2004-03-31,19.35,19.35,18.25,18.49,16600,14.59
2004-04-01,18.7,19.5,18.7,19.39,17700,15.31
2004-04-02,19.75,21.25,19.73,20.46,35900,16.15
2004-04-05,20.75,20.75,20.03,20.2,9300,15.94
2004-04-06,20.0,20.38,18.9,19.35,5700,15.27
2004-04-07,19.55,19.86,18.58,19.28,10700,15.22
2004-04-08,19.19,20.48,19.13,19.91,22800,15.72
2004-04-12,20.9,20.9,19.8,20.08,11600,15.85
2004-04-13,20.73,20.78,19.58,20.43,15400,16.13
2004-04-15,20.76,20.76,19.25,19.5,12600,15.39
2004-04-16,20.0,20.25,19.59,19.68,10900,15.53
2004-04-19,19.83,20.38,19.38,19.48,11800,15.38
2004-04-20,19.56,19.73,19.35,19.59,4400,15.46
2004-04-21,19.95,19.95,19.5,19.61,6100,15.48
2004-04-22,19.63,20.65,19.63,20.44,16700,16.13
2004-04-23,20.25,20.58,19.85,19.95,21800,15.75
2004-04-27,17.75,18.75,17.25,17.83,43000,14.07
2004-04-28,18.0,18.2,17.33,17.86,27100,14.1
2004-04-29,17.26,17.98,17.13,17.29,37000,13.65
2004-04-30,17.43,17.44,16.88,17.06,20100,13.47
2004-05-03,17.45,17.45,15.95,16.36,16800,12.91
2004-05-04,16.88,17.1,16.06,16.6,17400,13.1
2004-05-05,16.78,16.98,16.5,16.78,7800,13.25
2004-05-06,17.35,18.23,16.91,17.54,24900,13.85
2004-05-07,17.5,17.85,17.25,17.38,7400,13.72
2004-05-10,17.0,17.06,16.75,16.86,6400,13.31
2004-05-11,17.49,17.49,15.75,16.94,22200,13.37
2004-05-12,16.83,17.33,16.8,17.19,10900,13.57
2004-05-13,15.25,18.83,15.25,17.71,10200,13.98
2004-05-14,18.46,18.46,16.75,17.1,25300,13.5
2004-05-17,15.55,16.98,13.75,16.69,115600,13.17
2004-05-18,16.0,18.0,16.0,17.13,70100,13.52
2004-05-19,17.29,17.75,17.19,17.38,21500,13.72
2004-05-20,16.98,17.5,16.98,17.38,4000,13.72
2004-05-21,16.38,17.48,16.33,17.33,11100,13.68
2004-05-24,17.73,17.73,17.16,17.26,3000,13.62
2004-05-25,16.98,17.35,16.88,17.1,4000,13.5
2004-05-26,17.03,17.45,16.75,17.21,59500,13.58
2004-05-27,17.48,17.48,16.8,17.03,1600,13.44
2004-05-28,16.78,17.23,16.78,17.03,8100,13.44
2004-05-31,16.03,17.25,15.25,17.16,28000,13.55
2004-06-01,16.69,17.25,16.63,17.21,9800,13.58
2004-06-02,17.26,17.4,16.63,16.68,20000,13.17
2004-06-03,16.81,17.0,15.78,16.13,23500,12.73
2004-06-04,15.98,15.98,15.5,15.74,6100,12.42
2004-06-07,16.1,16.1,15.65,15.71,4100,12.4
2004-06-08,15.68,15.68,14.55,14.95,5900,11.8
2004-06-09,15.5,15.5,14.89,14.91,7800,11.77
2004-06-10,14.75,15.33,14.75,14.81,22500,11.69
2004-06-11,15.53,15.54,14.75,14.81,4400,11.69
2004-06-14,14.38,14.49,13.95,14.0,7400,11.05
2004-06-15,14.25,14.58,13.75,13.83,7800,10.92
2004-06-16,13.93,14.13,13.75,13.75,8400,10.85
2004-06-17,13.75,14.0,13.75,13.79,9100,10.89
2004-06-18,13.81,14.05,13.56,13.74,14700,10.85
2004-06-21,13.64,13.64,12.5,12.53,14000,9.89
2004-06-22,12.76,13.23,12.69,12.74,4100,10.06
2004-06-23,12.13,13.19,12.13,12.51,17400,9.87
2004-06-24,13.25,13.25,12.5,12.53,4300,9.89
2004-06-25,13.25,13.25,12.51,12.63,2600,9.97
2004-06-28,13.03,13.54,12.88,13.46,4900,10.62
2004-06-29,13.44,14.48,13.31,13.58,7000,10.72
2004-06-30,14.0,14.0,13.23,13.29,2400,10.49
2004-07-01,13.38,13.38,13.25,13.25,400,10.46
2004-07-02,13.29,13.49,13.14,13.24,5500,10.45
2004-07-05,14.1,14.1,12.98,12.99,2400,10.25
2004-07-06,13.24,13.61,12.78,13.39,3400,10.57
2004-07-07,13.18,13.48,13.0,13.03,2800,10.29
2004-07-08,13.38,14.0,11.25,12.29,39300,9.7
2004-07-09,12.23,12.43,11.88,12.11,9400,9.56
2004-07-12,12.75,12.75,12.0,12.19,3200,9.62
2004-07-13,12.05,12.53,12.05,12.09,2100,9.54
2004-07-14,11.83,12.09,11.81,11.98,1500,9.46
2004-07-15,13.75,13.75,12.13,12.54,4900,9.9
2004-07-16,12.54,13.18,12.16,13.06,10700,10.31
2004-07-19,13.06,13.38,13.03,13.18,41300,10.4
2004-07-20,13.0,13.18,12.75,13.03,3600,10.29
2004-07-21,13.0,13.18,12.89,13.05,4400,10.3
2004-07-22,13.24,13.48,12.88,13.01,17100,10.27
2004-07-23,12.89,13.25,12.89,13.21,6600,10.43
2004-07-26,13.7,13.75,13.43,13.48,7200,10.64
